,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,5.246,100.0,5.246
1,2021-01-01 01:00:00+00:00,6.246,98.97076,6.0959997
2,2021-01-01 02:00:00+00:00,4.896,99.30531,4.796
3,2021-01-01 03:00:00+00:00,6.896,91.11247,5.546
4,2021-01-01 04:00:00+00:00,11.246,68.90717,5.746
5,2021-01-01 05:00:00+00:00,14.546,54.012764,5.3459997
6,2021-01-01 06:00:00+00:00,16.646,44.346157,4.446
7,2021-01-01 07:00:00+00:00,18.246,38.299538,3.796
8,2021-01-01 08:00:00+00:00,19.346,35.630157,3.7459998
9,2021-01-01 09:00:00+00:00,19.996,35.319756,4.196
10,2021-01-01 10:00:00+00:00,20.046,36.591106,4.746
11,2021-01-01 11:00:00+00:00,19.296,39.969387,5.3459997
12,2021-01-01 12:00:00+00:00,15.196,53.996555,5.946
13,2021-01-01 13:00:00+00:00,14.096,59.58927,6.3459997
14,2021-01-01 14:00:00+00:00,13.296,63.858376,6.5959997
15,2021-01-01 15:00:00+00:00,12.396,67.267,6.496
16,2021-01-01 16:00:00+00:00,11.496,71.13108,6.446
17,2021-01-01 17:00:00+00:00,11.246,72.0693,6.396
18,2021-01-01 18:00:00+00:00,11.096,72.289825,6.296
19,2021-01-01 19:00:00+00:00,10.846,72.994774,6.196
20,2021-01-01 20:00:00+00:00,10.596,73.96333,6.146
21,2021-01-01 21:00:00+00:00,10.496,74.457664,6.146
22,2021-01-01 22:00:00+00:00,10.696,72.96735,6.046
23,2021-01-01 23:00:00+00:00,10.796,71.73644,5.896
24,2021-01-02 00:00:00+00:00,10.246,77.82455,6.546
25,2021-01-02 01:00:00+00:00,10.946,74.025345,6.496
26,2021-01-02 02:00:00+00:00,11.696,70.68199,6.546
27,2021-01-02 03:00:00+00:00,12.546,67.76249,6.746
28,2021-01-02 04:00:00+00:00,13.596,64.36591,6.996
29,2021-01-02 05:00:00+00:00,15.446,59.104916,7.496
30,2021-01-02 06:00:00+00:00,16.896,57.093098,8.346
31,2021-01-02 07:00:00+00:00,17.546,59.613846,9.596
32,2021-01-02 08:00:00+00:00,18.846,58.936863,10.646
33,2021-01-02 09:00:00+00:00,20.146,55.641968,10.996
34,2021-01-02 10:00:00+00:00,20.796,53.98954,11.146
35,2021-01-02 11:00:00+00:00,20.246,58.305153,11.796
36,2021-01-02 12:00:00+00:00,18.296,72.63533,13.296
37,2021-01-02 13:00:00+00:00,16.896,81.16779,13.646
38,2021-01-02 14:00:00+00:00,15.945999,82.91931,13.046
39,2021-01-02 15:00:00+00:00,15.346,84.49199,12.746
40,2021-01-02 16:00:00+00:00,15.446,83.40376,12.646
41,2021-01-02 17:00:00+00:00,15.046,83.63091,12.296
42,2021-01-02 18:00:00+00:00,14.646,83.86008,11.946
43,2021-01-02 19:00:00+00:00,14.396,84.386246,11.796
44,2021-01-02 20:00:00+00:00,14.096,87.18213,11.996
45,2021-01-02 21:00:00+00:00,13.596,90.35511,12.046
46,2021-01-02 22:00:00+00:00,12.946,92.72667,11.796
47,2021-01-02 23:00:00+00:00,12.746,93.63848,11.746
48,2021-01-03 00:00:00+00:00,12.896,94.26473,11.996
49,2021-01-03 01:00:00+00:00,12.696,94.567314,11.846
50,2021-01-03 02:00:00+00:00,12.846,94.26255,11.946
51,2021-01-03 03:00:00+00:00,14.196,88.05587,12.246
52,2021-01-03 04:00:00+00:00,15.996,80.7843,12.696
53,2021-01-03 05:00:00+00:00,18.146,70.503235,12.696
54,2021-01-03 06:00:00+00:00,19.746,66.13834,13.246
55,2021-01-03 07:00:00+00:00,20.996,62.43462,13.546
56,2021-01-03 08:00:00+00:00,21.446,62.536163,13.996
57,2021-01-03 09:00:00+00:00,21.096,68.815926,15.146
58,2021-01-03 10:00:00+00:00,20.546,76.86342,16.346
59,2021-01-03 11:00:00+00:00,19.696,83.09904,16.746
60,2021-01-03 12:00:00+00:00,18.446,87.85837,16.396
61,2021-01-03 13:00:00+00:00,17.596,88.06538,15.596
62,2021-01-03 14:00:00+00:00,17.196,87.46696,15.096
63,2021-01-03 15:00:00+00:00,16.596,89.69658,14.896
64,2021-01-03 16:00:00+00:00,16.396,90.261444,14.796
65,2021-01-03 17:00:00+00:00,15.796,91.39316,14.396
66,2021-01-03 18:00:00+00:00,15.746,89.923096,14.096
67,2021-01-03 19:00:00+00:00,15.396,91.367615,13.996
68,2021-01-03 20:00:00+00:00,15.046,93.14211,13.946
69,2021-01-03 21:00:00+00:00,15.046,93.74798,14.046
70,2021-01-03 22:00:00+00:00,14.896,94.35094,13.996
71,2021-01-03 23:00:00+00:00,14.546,95.25991,13.796
72,2021-01-04 00:00:00+00:00,14.496,95.2581,13.746
73,2021-01-04 01:00:00+00:00,14.496,95.2581,13.746
74,2021-01-04 02:00:00+00:00,14.496,95.2581,13.746
75,2021-01-04 03:00:00+00:00,15.446,93.16263,14.346
76,2021-01-04 04:00:00+00:00,17.146,87.46243,15.046
77,2021-01-04 05:00:00+00:00,19.046,80.411064,15.596
78,2021-01-04 06:00:00+00:00,21.046,71.734566,15.746
79,2021-01-04 07:00:00+00:00,22.946,63.276024,15.596
80,2021-01-04 08:00:00+00:00,24.246,57.2104,15.246
81,2021-01-04 09:00:00+00:00,24.896,54.67646,15.146
82,2021-01-04 10:00:00+00:00,24.796,55.180782,15.196
83,2021-01-04 11:00:00+00:00,23.946,59.954617,15.696
84,2021-01-04 12:00:00+00:00,21.696,70.26778,16.046
85,2021-01-04 13:00:00+00:00,20.496,76.12449,16.146
86,2021-01-04 14:00:00+00:00,18.946,84.07619,16.196
87,2021-01-04 15:00:00+00:00,18.096,88.67199,16.196
88,2021-01-04 16:00:00+00:00,17.796,88.93096,15.945999
89,2021-01-04 17:00:00+00:00,17.196,82.266556,14.146
90,2021-01-04 18:00:00+00:00,16.196,85.970955,13.846
91,2021-01-04 19:00:00+00:00,16.346,85.43012,13.896
92,2021-01-04 20:00:00+00:00,14.946,91.934715,13.646
93,2021-01-04 21:00:00+00:00,15.046,94.66328,14.196
94,2021-01-04 22:00:00+00:00,14.946,95.274254,14.196
95,2021-01-04 23:00:00+00:00,14.646,95.573,13.946
96,2021-01-05 00:00:00+00:00,15.046,95.27783,14.296
97,2021-01-05 01:00:00+00:00,14.446,95.2563,13.696
98,2021-01-05 02:00:00+00:00,14.446,94.63902,13.596
