,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,19.685999,81.011345,16.335999
1,2021-01-01 01:00:00+00:00,19.335999,84.65583,16.685999
2,2021-01-01 02:00:00+00:00,19.185999,86.81615,16.935999
3,2021-01-01 03:00:00+00:00,20.685999,80.121735,17.136
4,2021-01-01 04:00:00+00:00,22.636,70.89259,17.085999
5,2021-01-01 05:00:00+00:00,24.636,62.252308,16.935999
6,2021-01-01 06:00:00+00:00,26.435999,54.193043,16.435999
7,2021-01-01 07:00:00+00:00,27.835999,47.73854,15.736
8,2021-01-01 08:00:00+00:00,28.585999,43.97429,15.136001
9,2021-01-01 09:00:00+00:00,28.685999,41.92673,14.486
10,2021-01-01 10:00:00+00:00,28.585999,41.36056,14.186
11,2021-01-01 11:00:00+00:00,27.935999,43.374054,14.336
12,2021-01-01 12:00:00+00:00,26.685999,48.826042,15.036
13,2021-01-01 13:00:00+00:00,25.585999,52.442913,15.136001
14,2021-01-01 14:00:00+00:00,24.136,58.108875,15.386001
15,2021-01-01 15:00:00+00:00,23.685999,60.08615,15.486
16,2021-01-01 16:00:00+00:00,22.636,65.05663,15.736
17,2021-01-01 17:00:00+00:00,22.335999,67.75128,16.086
18,2021-01-01 18:00:00+00:00,22.036,70.33207,16.386
19,2021-01-01 19:00:00+00:00,22.136,67.92764,15.936
20,2021-01-01 20:00:00+00:00,22.036,67.25924,15.686
21,2021-01-01 21:00:00+00:00,21.585999,69.13315,15.686
22,2021-01-01 22:00:00+00:00,20.986,71.72361,15.686
23,2021-01-01 23:00:00+00:00,20.435999,74.43204,15.736
24,2021-01-02 00:00:00+00:00,19.435999,81.75681,16.236
25,2021-01-02 01:00:00+00:00,19.185999,82.24844,16.086
26,2021-01-02 02:00:00+00:00,19.236,79.923744,15.686
27,2021-01-02 03:00:00+00:00,20.435999,72.08463,15.236
28,2021-01-02 04:00:00+00:00,22.085999,63.49328,14.836
29,2021-01-02 05:00:00+00:00,23.935999,55.68047,14.536
30,2021-01-02 06:00:00+00:00,25.486,50.59161,14.486
31,2021-01-02 07:00:00+00:00,26.685999,46.97357,14.436
32,2021-01-02 08:00:00+00:00,27.536,44.113323,14.236
33,2021-01-02 09:00:00+00:00,28.185999,41.65346,13.936
34,2021-01-02 10:00:00+00:00,28.236,40.33551,13.486
35,2021-01-02 11:00:00+00:00,27.886,40.238224,13.136001
36,2021-01-02 12:00:00+00:00,26.085999,46.65991,13.786
37,2021-01-02 13:00:00+00:00,23.486,55.030632,13.936
38,2021-01-02 14:00:00+00:00,22.085999,61.676125,14.386001
39,2021-01-02 15:00:00+00:00,21.835999,62.62385,14.386001
40,2021-01-02 16:00:00+00:00,20.786,67.219986,14.486
41,2021-01-02 17:00:00+00:00,21.286,65.60909,14.586
42,2021-01-02 18:00:00+00:00,20.685999,68.2932,14.636001
43,2021-01-02 19:00:00+00:00,19.185999,74.22037,14.486
44,2021-01-02 20:00:00+00:00,18.585999,75.81821,14.236
45,2021-01-02 21:00:00+00:00,19.185999,71.16129,13.836
46,2021-01-02 22:00:00+00:00,19.386,68.9238,13.536
47,2021-01-02 23:00:00+00:00,18.835999,67.25661,12.636001
48,2021-01-03 00:00:00+00:00,17.886,67.9505,11.886001
49,2021-01-03 01:00:00+00:00,17.486,67.198715,11.336
50,2021-01-03 02:00:00+00:00,17.435999,66.96617,11.236
51,2021-01-03 03:00:00+00:00,19.636,59.71658,11.586
52,2021-01-03 04:00:00+00:00,21.536,57.290752,12.736
53,2021-01-03 05:00:00+00:00,23.536,52.938053,13.386001
54,2021-01-03 06:00:00+00:00,25.185999,47.334286,13.186
55,2021-01-03 07:00:00+00:00,26.536,41.603325,12.436
56,2021-01-03 08:00:00+00:00,27.486,36.714905,11.386001
57,2021-01-03 09:00:00+00:00,27.986,34.03951,10.686
58,2021-01-03 10:00:00+00:00,28.136,32.74609,10.236
59,2021-01-03 11:00:00+00:00,27.786,33.19893,10.136001
60,2021-01-03 12:00:00+00:00,26.585999,39.48282,11.686
61,2021-01-03 13:00:00+00:00,24.036,47.80216,12.286
62,2021-01-03 14:00:00+00:00,22.685999,54.29458,12.986
63,2021-01-03 15:00:00+00:00,22.685999,56.46055,13.586
64,2021-01-03 16:00:00+00:00,23.786,50.96987,13.036
65,2021-01-03 17:00:00+00:00,23.786,55.82324,14.436
66,2021-01-03 18:00:00+00:00,22.136,66.21162,15.536
67,2021-01-03 19:00:00+00:00,21.886,67.87745,15.686
68,2021-01-03 20:00:00+00:00,22.335999,66.04169,15.686
69,2021-01-03 21:00:00+00:00,20.886,74.98391,16.286
70,2021-01-03 22:00:00+00:00,19.835999,78.74087,16.036
71,2021-01-03 23:00:00+00:00,20.036,76.2949,15.736
72,2021-01-04 00:00:00+00:00,20.536,60.12703,12.536
73,2021-01-04 01:00:00+00:00,20.286,60.463882,12.386001
74,2021-01-04 02:00:00+00:00,20.136,63.47329,12.986
75,2021-01-04 03:00:00+00:00,20.935999,66.38787,14.436
76,2021-01-04 04:00:00+00:00,22.536,64.20729,15.436
77,2021-01-04 05:00:00+00:00,24.286,59.271893,15.836
78,2021-01-04 06:00:00+00:00,26.085999,53.418564,15.886001
79,2021-01-04 07:00:00+00:00,27.486,49.037865,15.836
80,2021-01-04 08:00:00+00:00,27.935999,47.30917,15.686
81,2021-01-04 09:00:00+00:00,27.835999,46.6802,15.386001
82,2021-01-04 10:00:00+00:00,25.835999,54.215,15.886001
83,2021-01-04 11:00:00+00:00,23.736,61.85253,15.986
84,2021-01-04 12:00:00+00:00,22.486,69.30802,16.585999
85,2021-01-04 13:00:00+00:00,21.435999,76.273224,17.085999
86,2021-01-04 14:00:00+00:00,21.185999,76.962135,16.986
87,2021-01-04 15:00:00+00:00,20.636,78.85579,16.835999
88,2021-01-04 16:00:00+00:00,19.886,83.12138,16.935999
89,2021-01-04 17:00:00+00:00,19.685999,84.15869,16.935999
90,2021-01-04 18:00:00+00:00,19.435999,85.47582,16.935999
91,2021-01-04 19:00:00+00:00,19.236,86.820854,16.986
92,2021-01-04 20:00:00+00:00,19.286,86.82555,17.036
93,2021-01-04 21:00:00+00:00,19.286,87.10085,17.085999
94,2021-01-04 22:00:00+00:00,19.486,86.57012,17.185999
95,2021-01-04 23:00:00+00:00,19.286,89.613396,17.536
96,2021-01-05 00:00:00+00:00,18.886,89.30021,17.085999
97,2021-01-05 01:00:00+00:00,18.886,90.43715,17.286
98,2021-01-05 02:00:00+00:00,19.136,89.31954,17.335999
99,2021-01-05 03:00:00+00:00,19.935999,82.60208,16.886
100,2021-01-05 04:00:00+00:00,21.335999,70.42444,15.736
101,2021-01-05 05:00:00+00:00,22.685999,61.61417,14.936
102,2021-01-05 06:00:00+00:00,24.185999,57.012344,15.136001
