,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,2.777,98.59108,2.5769997
1,2021-01-01 01:00:00+00:00,3.5769997,94.16958,2.7269998
2,2021-01-01 02:00:00+00:00,9.377,71.21617,4.427
3,2021-01-01 03:00:00+00:00,15.426999,54.431107,6.2769995
4,2021-01-01 04:00:00+00:00,19.227001,44.30936,6.7769995
5,2021-01-01 05:00:00+00:00,21.027,41.303516,7.377
6,2021-01-01 06:00:00+00:00,22.527,33.412865,5.627
7,2021-01-01 07:00:00+00:00,23.327,27.29582,3.427
8,2021-01-01 08:00:00+00:00,23.176998,28.933968,4.127
9,2021-01-01 09:00:00+00:00,22.527,31.605867,4.8269997
10,2021-01-01 10:00:00+00:00,20.827,40.685654,6.977
11,2021-01-01 11:00:00+00:00,16.577,61.418255,9.127
12,2021-01-01 12:00:00+00:00,16.977001,50.86101,6.727
13,2021-01-01 13:00:00+00:00,14.227,63.850163,7.477
14,2021-01-01 14:00:00+00:00,11.477,76.95839,7.5769997
15,2021-01-01 15:00:00+00:00,10.026999,82.18328,7.127
16,2021-01-01 16:00:00+00:00,9.127,83.78031,6.5269995
17,2021-01-01 17:00:00+00:00,8.427,83.98714,5.877
18,2021-01-01 18:00:00+00:00,8.026999,82.78291,5.2769995
19,2021-01-01 19:00:00+00:00,7.5269995,83.009026,4.8269997
20,2021-01-01 20:00:00+00:00,6.8269997,84.68247,4.427
21,2021-01-01 21:00:00+00:00,5.677,90.07753,4.177
22,2021-01-01 22:00:00+00:00,4.7269998,94.55359,3.927
23,2021-01-01 23:00:00+00:00,4.177,96.210175,3.6269999
24,2021-01-02 00:00:00+00:00,3.4769998,97.21542,3.0769997
25,2021-01-02 01:00:00+00:00,4.0769997,94.1925,3.2269998
26,2021-01-02 02:00:00+00:00,9.427,75.04866,5.227
27,2021-01-02 03:00:00+00:00,15.026999,59.81531,7.2769995
28,2021-01-02 04:00:00+00:00,18.727001,47.630695,7.377
29,2021-01-02 05:00:00+00:00,20.577,41.60087,7.0769997
30,2021-01-02 06:00:00+00:00,22.027,34.925278,5.8269997
31,2021-01-02 07:00:00+00:00,22.876999,29.053366,3.927
32,2021-01-02 08:00:00+00:00,23.027,27.991886,3.527
33,2021-01-02 09:00:00+00:00,22.376999,31.673609,4.7269998
34,2021-01-02 10:00:00+00:00,20.727001,41.5013,7.177
35,2021-01-02 11:00:00+00:00,16.676998,61.648743,9.276999
36,2021-01-02 12:00:00+00:00,17.077,52.840603,7.377
37,2021-01-02 13:00:00+00:00,15.827001,57.409718,7.427
38,2021-01-02 14:00:00+00:00,14.077001,64.03467,7.377
39,2021-01-02 15:00:00+00:00,10.377,82.79101,7.5769997
40,2021-01-02 16:00:00+00:00,9.177,86.41397,7.0269995
41,2021-01-02 17:00:00+00:00,8.276999,87.521576,6.3269997
42,2021-01-02 18:00:00+00:00,7.677,86.8619,5.627
43,2021-01-02 19:00:00+00:00,7.227,85.91645,5.027
44,2021-01-02 20:00:00+00:00,6.477,87.352165,4.527
45,2021-01-02 21:00:00+00:00,5.127,92.928345,4.0769997
46,2021-01-02 22:00:00+00:00,3.527,100.0,3.527
47,2021-01-02 23:00:00+00:00,2.9769998,100.0,2.9769998
48,2021-01-03 00:00:00+00:00,2.277,100.0,2.277
49,2021-01-03 01:00:00+00:00,3.0769997,96.17685,2.527
50,2021-01-03 02:00:00+00:00,8.827,76.263695,4.877
51,2021-01-03 03:00:00+00:00,14.827001,58.953342,6.877
52,2021-01-03 04:00:00+00:00,18.777,44.487637,6.427
53,2021-01-03 05:00:00+00:00,21.077,32.998367,4.177
54,2021-01-03 06:00:00+00:00,22.626999,26.15585,2.2269998
55,2021-01-03 07:00:00+00:00,23.676998,23.43402,1.5769997
56,2021-01-03 08:00:00+00:00,24.077,21.755884,0.87699986
57,2021-01-03 09:00:00+00:00,23.727001,23.031195,1.3769999
58,2021-01-03 10:00:00+00:00,21.876999,35.613663,5.977
59,2021-01-03 11:00:00+00:00,17.077,58.704,8.927
60,2021-01-03 12:00:00+00:00,17.327,48.397152,6.3269997
61,2021-01-03 13:00:00+00:00,15.827001,56.824368,7.2769995
62,2021-01-03 14:00:00+00:00,14.477,63.472507,7.627
63,2021-01-03 15:00:00+00:00,11.127,79.84363,7.7769995
64,2021-01-03 16:00:00+00:00,9.727,84.13841,7.177
65,2021-01-03 17:00:00+00:00,8.827,83.744804,6.227
66,2021-01-03 18:00:00+00:00,8.077,82.216034,5.227
67,2021-01-03 19:00:00+00:00,7.677,79.06648,4.277
68,2021-01-03 20:00:00+00:00,7.477,76.038895,3.527
69,2021-01-03 21:00:00+00:00,6.977,76.49391,3.1269999
70,2021-01-03 22:00:00+00:00,6.5769997,76.69912,2.777
71,2021-01-03 23:00:00+00:00,5.877,79.07593,2.527
72,2021-01-04 00:00:00+00:00,4.7269998,85.95585,2.5769997
73,2021-01-04 01:00:00+00:00,4.9769998,85.67802,2.777
74,2021-01-04 02:00:00+00:00,10.177,68.92809,4.7269998
75,2021-01-04 03:00:00+00:00,16.176998,53.14747,6.627
76,2021-01-04 04:00:00+00:00,20.277,37.822445,5.427
77,2021-01-04 05:00:00+00:00,22.727001,27.908316,3.2269998
78,2021-01-04 06:00:00+00:00,24.327,23.945545,2.427
79,2021-01-04 07:00:00+00:00,25.277,21.833351,1.927
80,2021-01-04 08:00:00+00:00,25.426998,22.107288,2.2269998
81,2021-01-04 09:00:00+00:00,24.577,25.7705,3.677
82,2021-01-04 10:00:00+00:00,22.477001,38.060963,7.477
83,2021-01-04 11:00:00+00:00,17.926998,61.73254,10.477
84,2021-01-04 12:00:00+00:00,18.477001,48.052166,7.2769995
85,2021-01-04 13:00:00+00:00,17.227001,53.242077,7.627
86,2021-01-04 14:00:00+00:00,15.676999,58.759518,7.627
87,2021-01-04 15:00:00+00:00,12.276999,75.27626,8.026999
88,2021-01-04 16:00:00+00:00,10.827,79.800865,7.477
89,2021-01-04 17:00:00+00:00,10.327,77.30384,6.5269995
90,2021-01-04 18:00:00+00:00,9.627,77.46001,5.877
91,2021-01-04 19:00:00+00:00,9.127,77.38093,5.377
92,2021-01-04 20:00:00+00:00,8.727,77.31737,4.9769998
93,2021-01-04 21:00:00+00:00,8.327,77.79496,4.677
94,2021-01-04 22:00:00+00:00,7.977,78.28596,4.427
95,2021-01-04 23:00:00+00:00,7.5769997,78.774956,4.127
96,2021-01-05 00:00:00+00:00,6.2769995,83.73235,3.7269998
97,2021-01-05 01:00:00+00:00,5.927,86.68876,3.8769999
