,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,19.663,92.21096,18.363
1,2021-01-01 01:00:00+00:00,19.663,91.922325,18.313
2,2021-01-01 02:00:00+00:00,20.163,89.118614,18.313
3,2021-01-01 03:00:00+00:00,22.013,77.81976,17.963001
4,2021-01-01 04:00:00+00:00,23.963001,65.75306,17.163
5,2021-01-01 05:00:00+00:00,25.913,55.106262,16.213001
6,2021-01-01 06:00:00+00:00,27.763,46.36195,15.212999
7,2021-01-01 07:00:00+00:00,29.013,40.15907,14.113
8,2021-01-01 08:00:00+00:00,29.563,36.932693,13.313
9,2021-01-01 09:00:00+00:00,29.663,36.960533,13.412999
10,2021-01-01 10:00:00+00:00,29.613,35.29492,12.662999
11,2021-01-01 11:00:00+00:00,29.113,34.128487,11.712999
12,2021-01-01 12:00:00+00:00,27.913,38.82384,12.613
13,2021-01-01 13:00:00+00:00,26.413,42.395504,12.613
14,2021-01-01 14:00:00+00:00,25.263,46.133995,12.863
15,2021-01-01 15:00:00+00:00,23.863,50.65817,13.013
16,2021-01-01 16:00:00+00:00,22.863,54.87377,13.313
17,2021-01-01 17:00:00+00:00,21.963001,60.65791,14.013
18,2021-01-01 18:00:00+00:00,21.063,66.20031,14.513
19,2021-01-01 19:00:00+00:00,20.213001,70.43817,14.662999
20,2021-01-01 20:00:00+00:00,19.513,73.7988,14.712999
21,2021-01-01 21:00:00+00:00,18.863,77.34522,14.813
22,2021-01-01 22:00:00+00:00,18.313,80.31199,14.863
23,2021-01-01 23:00:00+00:00,17.813,82.342926,14.763
24,2021-01-02 00:00:00+00:00,17.363,88.32807,15.412999
25,2021-01-02 01:00:00+00:00,17.163,89.739204,15.462999
26,2021-01-02 02:00:00+00:00,17.863,86.96881,15.662999
27,2021-01-02 03:00:00+00:00,20.563,73.507126,15.662999
28,2021-01-02 04:00:00+00:00,23.413,51.71095,12.912999
29,2021-01-02 05:00:00+00:00,25.413,42.536636,11.763
30,2021-01-02 06:00:00+00:00,27.213001,35.323215,10.563
31,2021-01-02 07:00:00+00:00,28.463001,32.186943,10.263
32,2021-01-02 08:00:00+00:00,29.513,29.292538,9.763
33,2021-01-02 09:00:00+00:00,29.963001,27.787159,9.363
34,2021-01-02 10:00:00+00:00,29.963001,29.220001,10.113
35,2021-01-02 11:00:00+00:00,29.163,34.7097,12.013
36,2021-01-02 12:00:00+00:00,27.213001,41.2488,12.912999
37,2021-01-02 13:00:00+00:00,25.763,44.93077,12.912999
38,2021-01-02 14:00:00+00:00,25.063,45.778454,12.563
39,2021-01-02 15:00:00+00:00,24.563,46.24593,12.263
40,2021-01-02 16:00:00+00:00,24.113,52.572186,13.813
41,2021-01-02 17:00:00+00:00,23.213001,58.073723,14.513
42,2021-01-02 18:00:00+00:00,22.513,62.573887,15.013
43,2021-01-02 19:00:00+00:00,21.963001,65.75218,15.263
44,2021-01-02 20:00:00+00:00,21.213001,73.61943,16.313
45,2021-01-02 21:00:00+00:00,20.513,80.60721,17.063
46,2021-01-02 22:00:00+00:00,20.013,82.61139,16.963001
47,2021-01-02 23:00:00+00:00,19.613,82.562996,16.563
48,2021-01-03 00:00:00+00:00,19.363,82.79584,16.363
49,2021-01-03 01:00:00+00:00,19.363,83.05973,16.413
50,2021-01-03 02:00:00+00:00,19.813,81.5448,16.563
51,2021-01-03 03:00:00+00:00,21.763,69.833466,16.013
52,2021-01-03 04:00:00+00:00,24.313,47.87697,12.563
53,2021-01-03 05:00:00+00:00,26.763,35.43263,10.212999
54,2021-01-03 06:00:00+00:00,28.563,30.535488,9.563
55,2021-01-03 07:00:00+00:00,29.963001,28.352678,9.662999
56,2021-01-03 08:00:00+00:00,30.913,26.761282,9.613
57,2021-01-03 09:00:00+00:00,31.213001,27.022001,10.013
58,2021-01-03 10:00:00+00:00,30.813,30.044252,11.263
59,2021-01-03 11:00:00+00:00,29.863,34.112694,12.363
60,2021-01-03 12:00:00+00:00,28.413,41.58132,14.113
61,2021-01-03 13:00:00+00:00,27.463001,44.66763,14.363
62,2021-01-03 14:00:00+00:00,26.813,47.15971,14.613
63,2021-01-03 15:00:00+00:00,25.463001,52.91913,15.162999
64,2021-01-03 16:00:00+00:00,24.713001,56.23276,15.412999
65,2021-01-03 17:00:00+00:00,23.763,60.684013,15.712999
