,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,4.8564997,90.9721,3.5065
1,2021-01-01 01:00:00+00:00,4.6064997,90.31439,3.1565
2,2021-01-01 02:00:00+00:00,5.5065,87.56724,3.6065
3,2021-01-01 03:00:00+00:00,6.1064997,88.85903,4.4065
4,2021-01-01 04:00:00+00:00,10.2565,78.63254,6.7064996
5,2021-01-01 05:00:00+00:00,13.4565,64.77728,6.9564996
6,2021-01-01 06:00:00+00:00,15.4565,56.536537,6.8564997
7,2021-01-01 07:00:00+00:00,16.9065,51.192352,6.7565
8,2021-01-01 08:00:00+00:00,17.9065,47.89481,6.7064996
9,2021-01-01 09:00:00+00:00,18.4065,46.09678,6.6064997
10,2021-01-01 10:00:00+00:00,18.456501,45.952587,6.6064997
11,2021-01-01 11:00:00+00:00,17.5565,51.191746,7.3564997
12,2021-01-01 12:00:00+00:00,12.8065,67.58484,6.9564996
13,2021-01-01 13:00:00+00:00,12.356501,67.95608,6.6064997
14,2021-01-01 14:00:00+00:00,11.4565,71.12349,6.4065
15,2021-01-01 15:00:00+00:00,11.0565,71.53857,6.1064997
16,2021-01-01 16:00:00+00:00,10.606501,72.950966,5.9564996
17,2021-01-01 17:00:00+00:00,9.9065,76.4413,5.9564996
18,2021-01-01 18:00:00+00:00,9.4065,79.04871,5.9564996
19,2021-01-01 19:00:00+00:00,9.606501,77.994,5.9564996
20,2021-01-01 20:00:00+00:00,9.5065,78.51938,5.9564996
21,2021-01-01 21:00:00+00:00,8.9565,82.613434,6.1565
22,2021-01-01 22:00:00+00:00,9.2565,80.12648,6.0065
23,2021-01-01 23:00:00+00:00,9.4065,79.322205,6.0065
24,2021-01-02 00:00:00+00:00,9.4065,83.52617,6.7565
25,2021-01-02 01:00:00+00:00,9.606501,81.287056,6.5565
26,2021-01-02 02:00:00+00:00,9.2065,83.50219,6.5565
27,2021-01-02 03:00:00+00:00,11.4065,73.34819,6.8065
28,2021-01-02 04:00:00+00:00,12.0065,73.205635,7.3564997
29,2021-01-02 05:00:00+00:00,13.4565,69.35381,7.9564996
30,2021-01-02 06:00:00+00:00,15.4065,66.092316,9.106501
31,2021-01-02 07:00:00+00:00,17.3065,61.795055,9.9065
32,2021-01-02 08:00:00+00:00,17.4065,64.129974,10.5565
33,2021-01-02 09:00:00+00:00,18.706501,61.70771,11.2065
34,2021-01-02 10:00:00+00:00,18.956501,62.794117,11.7065
35,2021-01-02 11:00:00+00:00,18.4065,66.72753,12.106501
36,2021-01-02 12:00:00+00:00,16.1565,77.688515,12.2565
37,2021-01-02 13:00:00+00:00,15.356501,82.03604,12.3065
38,2021-01-02 14:00:00+00:00,15.106501,83.09026,12.2565
39,2021-01-02 15:00:00+00:00,14.3065,86.63007,12.106501
40,2021-01-02 16:00:00+00:00,13.9065,88.03052,11.9565
41,2021-01-02 17:00:00+00:00,13.606501,89.7628,11.9565
42,2021-01-02 18:00:00+00:00,13.4065,90.04415,11.8065
43,2021-01-02 19:00:00+00:00,13.2565,89.73625,11.606501
44,2021-01-02 20:00:00+00:00,13.106501,90.31996,11.5565
45,2021-01-02 21:00:00+00:00,12.9065,90.604836,11.4065
46,2021-01-02 22:00:00+00:00,12.8065,91.19948,11.4065
47,2021-01-02 23:00:00+00:00,12.5065,92.09072,11.2565
48,2021-01-03 00:00:00+00:00,13.106501,89.724815,11.4565
49,2021-01-03 01:00:00+00:00,12.9565,88.826225,11.1565
50,2021-01-03 02:00:00+00:00,12.9065,89.709564,11.2565
51,2021-01-03 03:00:00+00:00,13.7565,86.86305,11.606501
52,2021-01-03 04:00:00+00:00,15.3065,82.841934,12.4065
53,2021-01-03 05:00:00+00:00,17.3065,74.62716,12.7565
