,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,23.459,99.09886,23.309
1,2021-01-01 01:00:00+00:00,24.309,98.21617,24.009
2,2021-01-01 02:00:00+00:00,24.659,96.46935,24.059
3,2021-01-01 03:00:00+00:00,25.409,87.91244,23.259
4,2021-01-01 04:00:00+00:00,26.709,74.99934,21.909
5,2021-01-01 05:00:00+00:00,27.209,71.72429,21.659
6,2021-01-01 06:00:00+00:00,28.059,68.87528,21.809
7,2021-01-01 07:00:00+00:00,28.759,65.9271,21.759
8,2021-01-01 08:00:00+00:00,29.359001,63.677765,21.759
9,2021-01-01 09:00:00+00:00,29.459,64.089066,21.959
10,2021-01-01 10:00:00+00:00,28.309,70.83651,22.509
11,2021-01-01 11:00:00+00:00,28.009,69.71162,21.959
12,2021-01-01 12:00:00+00:00,27.309,77.17348,22.959
13,2021-01-01 13:00:00+00:00,27.359001,74.196686,22.359001
14,2021-01-01 14:00:00+00:00,26.659,78.732834,22.659
15,2021-01-01 15:00:00+00:00,25.059,87.08751,22.759
16,2021-01-01 16:00:00+00:00,24.459,89.17634,22.559
17,2021-01-01 17:00:00+00:00,23.859001,90.22337,22.159
18,2021-01-01 18:00:00+00:00,23.759,83.05511,20.709
19,2021-01-01 19:00:00+00:00,23.009,76.99911,18.759
20,2021-01-01 20:00:00+00:00,21.759,81.53458,18.459
21,2021-01-01 21:00:00+00:00,21.109001,84.58025,18.409
22,2021-01-01 22:00:00+00:00,22.459,77.156715,18.259
23,2021-01-01 23:00:00+00:00,23.459,73.081055,18.359001
24,2021-01-02 00:00:00+00:00,20.609001,86.13469,18.209
25,2021-01-02 01:00:00+00:00,20.709,84.53707,18.009
26,2021-01-02 02:00:00+00:00,22.259,82.62166,19.159
27,2021-01-02 03:00:00+00:00,23.659,72.20547,18.359001
28,2021-01-02 04:00:00+00:00,25.009,68.9258,18.909
29,2021-01-02 05:00:00+00:00,26.609001,64.47333,19.359001
30,2021-01-02 06:00:00+00:00,27.559,62.31653,19.709
31,2021-01-02 07:00:00+00:00,27.959,61.446274,19.859001
32,2021-01-02 08:00:00+00:00,28.159,61.681618,20.109001
33,2021-01-02 09:00:00+00:00,28.009,62.22313,20.109001
34,2021-01-02 10:00:00+00:00,28.209,62.84656,20.459
35,2021-01-02 11:00:00+00:00,27.959,65.96512,21.009
36,2021-01-02 12:00:00+00:00,27.159,71.06011,21.459
37,2021-01-02 13:00:00+00:00,25.559,73.216095,20.409
38,2021-01-02 14:00:00+00:00,27.009,65.36351,19.959
39,2021-01-02 15:00:00+00:00,26.859001,66.97018,20.209
40,2021-01-02 16:00:00+00:00,25.059,78.26533,21.009
41,2021-01-02 17:00:00+00:00,25.559,73.89667,20.559
42,2021-01-02 18:00:00+00:00,24.459,78.66239,20.509
43,2021-01-02 19:00:00+00:00,23.409,84.825356,20.709
44,2021-01-02 20:00:00+00:00,23.359001,87.46813,21.159
45,2021-01-02 21:00:00+00:00,23.159,84.017426,20.309
46,2021-01-02 22:00:00+00:00,22.759,85.01928,20.109001
47,2021-01-02 23:00:00+00:00,22.359001,89.28856,20.509
48,2021-01-03 00:00:00+00:00,22.459,89.84798,20.709
49,2021-01-03 01:00:00+00:00,22.409,89.01753,20.509
50,2021-01-03 02:00:00+00:00,23.159,86.1158,20.709
51,2021-01-03 03:00:00+00:00,25.009,80.20291,21.359001
52,2021-01-03 04:00:00+00:00,26.959,72.784706,21.659
53,2021-01-03 05:00:00+00:00,27.959,67.39703,21.359001
54,2021-01-03 06:00:00+00:00,28.559,66.69667,21.759
55,2021-01-03 07:00:00+00:00,29.009,67.19487,22.309
56,2021-01-03 08:00:00+00:00,29.059,67.82035,22.509
57,2021-01-03 09:00:00+00:00,29.059,67.61462,22.459
58,2021-01-03 10:00:00+00:00,28.409,70.63993,22.559
59,2021-01-03 11:00:00+00:00,28.159,71.457726,22.509
60,2021-01-03 12:00:00+00:00,27.359001,79.54752,23.509
61,2021-01-03 13:00:00+00:00,26.309,89.04971,24.359001
62,2021-01-03 14:00:00+00:00,25.409,92.80698,24.159
63,2021-01-03 15:00:00+00:00,25.009,94.19139,24.009
64,2021-01-03 16:00:00+00:00,24.909,94.18718,23.909
65,2021-01-03 17:00:00+00:00,24.409,96.173096,23.759
66,2021-01-03 18:00:00+00:00,24.459,94.73762,23.559
67,2021-01-03 19:00:00+00:00,24.009,93.29776,22.859001
68,2021-01-03 20:00:00+00:00,24.909,88.672295,22.909
69,2021-01-03 21:00:00+00:00,24.259,92.747116,23.009
70,2021-01-03 22:00:00+00:00,23.559,95.858315,22.859001
71,2021-01-03 23:00:00+00:00,23.059,95.843056,22.359001
72,2021-01-04 00:00:00+00:00,23.259,91.29084,21.759
73,2021-01-04 01:00:00+00:00,23.209,91.56703,21.759
74,2021-01-04 02:00:00+00:00,24.059,89.690025,22.259
75,2021-01-04 03:00:00+00:00,25.809,83.038895,22.709
76,2021-01-04 04:00:00+00:00,27.259,77.166,22.909
77,2021-01-04 05:00:00+00:00,28.259,73.45146,23.059
78,2021-01-04 06:00:00+00:00,28.909,69.87994,22.859001
79,2021-01-04 07:00:00+00:00,29.359001,68.9144,23.059
80,2021-01-04 08:00:00+00:00,29.209,71.429184,23.509
81,2021-01-04 09:00:00+00:00,29.409,71.24999,23.659
82,2021-01-04 10:00:00+00:00,28.459,75.96233,23.809
83,2021-01-04 11:00:00+00:00,26.509,85.40326,23.859001
84,2021-01-04 12:00:00+00:00,28.459,74.82745,23.559
85,2021-01-04 13:00:00+00:00,26.509,83.37054,23.459
86,2021-01-04 14:00:00+00:00,26.109001,86.39813,23.659
87,2021-01-04 15:00:00+00:00,26.059,86.133545,23.559
88,2021-01-04 16:00:00+00:00,24.909,90.56945,23.259
89,2021-01-04 17:00:00+00:00,24.659,91.10212,23.109001
90,2021-01-04 18:00:00+00:00,24.309,93.31229,23.159
91,2021-01-04 19:00:00+00:00,24.809,91.11162,23.259
92,2021-01-04 20:00:00+00:00,24.909,90.843346,23.309
93,2021-01-04 21:00:00+00:00,23.809,96.15615,23.159
94,2021-01-04 22:00:00+00:00,24.159,95.58778,23.409
95,2021-01-04 23:00:00+00:00,24.159,95.87655,23.459
96,2021-01-05 00:00:00+00:00,24.459,95.31007,23.659
97,2021-01-05 01:00:00+00:00,24.259,95.87956,23.559
98,2021-01-05 02:00:00+00:00,24.859001,93.05825,23.659
99,2021-01-05 03:00:00+00:00,25.859001,84.56728,23.059
100,2021-01-05 04:00:00+00:00,26.509,82.619255,23.309
101,2021-01-05 05:00:00+00:00,28.009,74.52896,23.059
102,2021-01-05 06:00:00+00:00,28.959,70.31363,23.009
103,2021-01-05 07:00:00+00:00,29.309,69.74332,23.209
104,2021-01-05 08:00:00+00:00,29.259,72.086464,23.709
105,2021-01-05 09:00:00+00:00,28.559,73.946846,23.459
106,2021-01-05 10:00:00+00:00,28.659,70.25833,22.709
107,2021-01-05 11:00:00+00:00,28.059,72.532776,22.659
108,2021-01-05 12:00:00+00:00,28.009,74.98101,23.159
109,2021-01-05 13:00:00+00:00,27.309,79.78094,23.509
110,2021-01-05 14:00:00+00:00,26.359001,86.94256,24.009
111,2021-01-05 15:00:00+00:00,25.859001,91.17793,24.309
112,2021-01-05 16:00:00+00:00,25.359001,90.59959,23.709
113,2021-01-05 17:00:00+00:00,24.809,92.77584,23.559
114,2021-01-05 18:00:00+00:00,24.459,94.73762,23.559
115,2021-01-05 19:00:00+00:00,24.359001,94.733765,23.459
116,2021-01-05 20:00:00+00:00,24.559,93.60632,23.459
117,2021-01-05 21:00:00+00:00,24.559,93.88899,23.509
118,2021-01-05 22:00:00+00:00,24.809,93.33643,23.659
119,2021-01-05 23:00:00+00:00,23.609001,97.91076,23.259
120,2021-01-06 00:00:00+00:00,24.109001,96.164635,23.459
121,2021-01-06 01:00:00+00:00,23.959,97.03481,23.459
122,2021-01-06 02:00:00+00:00,24.609001,94.743355,23.709
123,2021-01-06 03:00:00+00:00,25.759,89.54408,23.909
124,2021-01-06 04:00:00+00:00,27.009,85.19773,24.309
125,2021-01-06 05:00:00+00:00,27.909,83.77747,24.909
126,2021-01-06 06:00:00+00:00,28.409,79.45119,24.509
127,2021-01-06 07:00:00+00:00,28.309,77.32194,23.959
128,2021-01-06 08:00:00+00:00,28.559,76.435776,24.009
129,2021-01-06 09:00:00+00:00,27.209,81.22286,23.709
130,2021-01-06 10:00:00+00:00,27.159,81.70698,23.759
131,2021-01-06 11:00:00+00:00,26.459,84.122375,23.559
132,2021-01-06 12:00:00+00:00,25.809,86.369835,23.359001
133,2021-01-06 13:00:00+00:00,25.159,91.960655,23.759
134,2021-01-06 14:00:00+00:00,24.809,95.322075,24.009
135,2021-01-06 15:00:00+00:00,24.209,95.878044,23.509
136,2021-01-06 16:00:00+00:00,23.809,95.287735,23.009
137,2021-01-06 17:00:00+00:00,23.409,96.14484,22.759
138,2021-01-06 18:00:00+00:00,23.259,96.725685,22.709
139,2021-01-06 19:00:00+00:00,22.909,97.01168,22.409
140,2021-01-06 20:00:00+00:00,23.009,98.19883,22.709
141,2021-01-06 21:00:00+00:00,23.209,98.2015,22.909
142,2021-01-06 22:00:00+00:00,23.209,98.499275,22.959
143,2021-01-06 23:00:00+00:00,23.159,98.200874,22.859001
144,2021-01-07 00:00:00+00:00,23.209,96.431435,22.609001
145,2021-01-07 01:00:00+00:00,23.309,95.8507,22.609001
146,2021-01-07 02:00:00+00:00,23.959,93.57844,22.859001
147,2021-01-07 03:00:00+00:00,24.909,90.56945,23.259
148,2021-01-07 04:00:00+00:00,26.209,86.92895,23.859001
149,2021-01-07 05:00:00+00:00,27.609001,82.25384,24.309
150,2021-01-07 06:00:00+00:00,28.659,78.305885,24.509
151,2021-01-07 07:00:00+00:00,29.459,73.87393,24.309
152,2021-01-07 08:00:00+00:00,29.209,77.22356,24.809
153,2021-01-07 09:00:00+00:00,28.809,78.09336,24.609001
154,2021-01-07 10:00:00+00:00,28.709,75.09321,23.859001
155,2021-01-07 11:00:00+00:00,28.209,78.24181,24.059
156,2021-01-07 12:00:00+00:00,27.909,81.31065,24.409
157,2021-01-07 13:00:00+00:00,26.709,82.6428,23.509
158,2021-01-07 14:00:00+00:00,26.609001,83.13091,23.509
