,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,7.612,75.52785,3.562
1,2021-01-01 01:00:00+00:00,7.962,73.74929,3.562
2,2021-01-01 02:00:00+00:00,9.212,68.00795,3.612
3,2021-01-01 03:00:00+00:00,9.812,68.133766,4.212
4,2021-01-01 04:00:00+00:00,12.012,61.60667,4.862
5,2021-01-01 05:00:00+00:00,14.112,53.71093,4.862
6,2021-01-01 06:00:00+00:00,15.962,46.697803,4.562
7,2021-01-01 07:00:00+00:00,17.412,43.188953,4.7619996
8,2021-01-01 08:00:00+00:00,18.362,42.270756,5.312
9,2021-01-01 09:00:00+00:00,18.912,42.721985,5.962
10,2021-01-01 10:00:00+00:00,18.712,44.31641,6.312
11,2021-01-01 11:00:00+00:00,17.962,48.7386,7.0119996
12,2021-01-01 12:00:00+00:00,15.862,54.920124,6.812
13,2021-01-01 13:00:00+00:00,14.412001,60.90717,6.962
14,2021-01-01 14:00:00+00:00,13.812,63.756332,7.062
15,2021-01-01 15:00:00+00:00,12.812,68.28397,7.112
16,2021-01-01 16:00:00+00:00,11.912001,71.21094,6.862
17,2021-01-01 17:00:00+00:00,12.962,65.11353,6.562
18,2021-01-01 18:00:00+00:00,12.962,64.89003,6.5119996
19,2021-01-01 19:00:00+00:00,11.162001,73.30404,6.562
20,2021-01-01 20:00:00+00:00,11.562,70.89947,6.462
21,2021-01-01 21:00:00+00:00,10.812,74.512794,6.462
22,2021-01-01 22:00:00+00:00,12.012,68.589355,6.4119997
23,2021-01-01 23:00:00+00:00,11.012,73.782875,6.5119996
24,2021-01-02 00:00:00+00:00,9.862,83.01063,7.112
25,2021-01-02 01:00:00+00:00,10.012,81.62049,7.0119996
26,2021-01-02 02:00:00+00:00,10.712,80.05737,7.4119997
27,2021-01-02 03:00:00+00:00,12.012,78.09627,8.312
28,2021-01-02 04:00:00+00:00,13.862,75.79577,9.662001
