,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,16.654,71.38863,11.454
1,2021-01-01 01:00:00+00:00,16.504,71.59714,11.354
2,2021-01-01 02:00:00+00:00,17.004,70.28434,11.554
3,2021-01-01 03:00:00+00:00,19.404,62.277317,12.004
4,2021-01-01 04:00:00+00:00,21.854,54.79799,12.354
5,2021-01-01 05:00:00+00:00,23.954,48.411938,12.404
6,2021-01-01 06:00:00+00:00,25.704,42.337788,11.954
7,2021-01-01 07:00:00+00:00,26.854,39.427727,11.904
8,2021-01-01 08:00:00+00:00,27.504,38.83697,12.254
9,2021-01-01 09:00:00+00:00,27.754,38.39936,12.304
10,2021-01-01 10:00:00+00:00,27.654,38.49772,12.254
11,2021-01-01 11:00:00+00:00,27.054,39.8751,12.254
12,2021-01-01 12:00:00+00:00,23.704,54.552555,14.004
13,2021-01-01 13:00:00+00:00,22.054,57.793137,13.354
14,2021-01-01 14:00:00+00:00,20.904,62.21094,13.404
15,2021-01-01 15:00:00+00:00,20.404,63.532814,13.254
16,2021-01-01 16:00:00+00:00,20.404,61.692318,12.804
17,2021-01-01 17:00:00+00:00,20.254,60.258137,12.304
18,2021-01-01 18:00:00+00:00,19.754,61.542698,12.154
19,2021-01-01 19:00:00+00:00,19.054,63.440365,11.954
20,2021-01-01 20:00:00+00:00,18.504,65.22735,11.854
21,2021-01-01 21:00:00+00:00,18.004,67.08443,11.804
22,2021-01-01 22:00:00+00:00,17.904,67.50762,11.804
23,2021-01-01 23:00:00+00:00,17.804,67.9338,11.804
24,2021-01-02 00:00:00+00:00,17.204,75.346214,12.804
25,2021-01-02 01:00:00+00:00,17.204,75.59311,12.854
26,2021-01-02 02:00:00+00:00,17.254,76.34608,13.054
27,2021-01-02 03:00:00+00:00,19.254,68.67362,13.354
28,2021-01-02 04:00:00+00:00,21.604,60.1817,13.554
29,2021-01-02 05:00:00+00:00,23.654,53.31418,13.604
30,2021-01-02 06:00:00+00:00,25.304,47.675804,13.404
31,2021-01-02 07:00:00+00:00,26.454,44.391506,13.354
32,2021-01-02 08:00:00+00:00,27.054,43.272053,13.504
33,2021-01-02 09:00:00+00:00,27.304,42.781025,13.554
34,2021-01-02 10:00:00+00:00,27.104,43.145214,13.504
35,2021-01-02 11:00:00+00:00,26.704,44.028202,13.454
36,2021-01-02 12:00:00+00:00,24.304,53.30769,14.204
37,2021-01-02 13:00:00+00:00,22.504,56.415527,13.404
38,2021-01-02 14:00:00+00:00,21.854,58.502533,13.354
39,2021-01-02 15:00:00+00:00,21.654,59.22175,13.354
40,2021-01-02 16:00:00+00:00,21.254,60.0995,13.204
41,2021-01-02 17:00:00+00:00,21.454,58.981243,13.104
42,2021-01-02 18:00:00+00:00,21.104,59.478256,12.904
43,2021-01-02 19:00:00+00:00,20.404,60.690243,12.554
44,2021-01-02 20:00:00+00:00,19.954,61.791332,12.404
45,2021-01-02 21:00:00+00:00,19.704,62.141132,12.254
46,2021-01-02 22:00:00+00:00,19.204,63.682964,12.154
47,2021-01-02 23:00:00+00:00,18.904,64.24813,12.004
48,2021-01-03 00:00:00+00:00,18.354,70.0829,12.804
49,2021-01-03 01:00:00+00:00,18.254,70.293396,12.754
50,2021-01-03 02:00:00+00:00,18.354,70.773834,12.954
51,2021-01-03 03:00:00+00:00,20.254,64.333466,13.304
52,2021-01-03 04:00:00+00:00,22.204,58.01804,13.554
53,2021-01-03 05:00:00+00:00,24.454,53.69193,14.454
54,2021-01-03 06:00:00+00:00,26.104,49.94348,14.854
55,2021-01-03 07:00:00+00:00,27.254,44.90027,14.254
56,2021-01-03 08:00:00+00:00,27.954,41.589283,13.704
57,2021-01-03 09:00:00+00:00,28.304,38.93293,13.004
58,2021-01-03 10:00:00+00:00,28.354,37.32398,12.404
59,2021-01-03 11:00:00+00:00,27.804,38.161793,12.254
60,2021-01-03 12:00:00+00:00,24.604,50.033104,13.504
61,2021-01-03 13:00:00+00:00,22.954,52.443356,12.704
62,2021-01-03 14:00:00+00:00,22.104,54.146263,12.404
63,2021-01-03 15:00:00+00:00,21.154,56.63589,12.204
64,2021-01-03 16:00:00+00:00,20.404,59.898937,12.354
65,2021-01-03 17:00:00+00:00,20.054,62.017323,12.554
66,2021-01-03 18:00:00+00:00,19.804,62.368374,12.404
67,2021-01-03 19:00:00+00:00,19.504,62.50538,12.154
68,2021-01-03 20:00:00+00:00,19.254,63.694096,12.204
69,2021-01-03 21:00:00+00:00,18.704,66.35245,12.304
70,2021-01-03 22:00:00+00:00,18.104,69.57678,12.454
71,2021-01-03 23:00:00+00:00,17.804,70.90185,12.454
72,2021-01-04 00:00:00+00:00,17.454,80.71637,14.104
73,2021-01-04 01:00:00+00:00,17.154,82.26135,14.104
74,2021-01-04 02:00:00+00:00,17.554,80.46881,14.154
75,2021-01-04 03:00:00+00:00,20.154,70.20009,14.554
76,2021-01-04 04:00:00+00:00,22.654,62.404625,15.104
77,2021-01-04 05:00:00+00:00,24.654,56.398853,15.404
78,2021-01-04 06:00:00+00:00,26.154,49.635937,14.804
79,2021-01-04 07:00:00+00:00,27.254,44.61056,14.154
80,2021-01-04 08:00:00+00:00,27.554,42.296654,13.604
81,2021-01-04 09:00:00+00:00,26.204,46.239334,13.754
82,2021-01-04 10:00:00+00:00,25.654,52.798306,15.304
83,2021-01-04 11:00:00+00:00,25.204,54.578445,15.404
84,2021-01-04 12:00:00+00:00,23.854,65.730255,17.054
85,2021-01-04 13:00:00+00:00,22.954,62.471962,15.404
86,2021-01-04 14:00:00+00:00,22.054,65.982635,15.404
87,2021-01-04 15:00:00+00:00,21.154,68.82737,15.204
88,2021-01-04 16:00:00+00:00,21.954,62.246864,14.404
89,2021-01-04 17:00:00+00:00,22.104,60.887447,14.204
90,2021-01-04 18:00:00+00:00,20.954,65.32689,14.204
91,2021-01-04 19:00:00+00:00,21.104,62.256294,13.604
92,2021-01-04 20:00:00+00:00,21.054,60.841713,13.204
93,2021-01-04 21:00:00+00:00,20.354,62.90278,13.054
94,2021-01-04 22:00:00+00:00,19.854,64.87881,13.054
95,2021-01-04 23:00:00+00:00,19.754,64.85717,12.954
96,2021-01-05 00:00:00+00:00,19.854,67.90545,13.754
97,2021-01-05 01:00:00+00:00,20.154,65.58116,13.504
98,2021-01-05 02:00:00+00:00,20.004,66.40837,13.554
99,2021-01-05 03:00:00+00:00,20.254,65.81608,13.654
100,2021-01-05 04:00:00+00:00,20.004,69.49405,14.254
101,2021-01-05 05:00:00+00:00,20.554,68.48754,14.554
102,2021-01-05 06:00:00+00:00,21.654,63.19323,14.354
103,2021-01-05 07:00:00+00:00,21.904,61.63456,14.204
104,2021-01-05 08:00:00+00:00,22.504,59.42359,14.204
105,2021-01-05 09:00:00+00:00,22.804,59.111385,14.404
106,2021-01-05 10:00:00+00:00,22.804,59.879837,14.604
107,2021-01-05 11:00:00+00:00,22.204,63.519295,14.954
108,2021-01-05 12:00:00+00:00,20.954,72.409256,15.804
109,2021-01-05 13:00:00+00:00,20.454,75.15218,15.904
110,2021-01-05 14:00:00+00:00,19.904,76.763794,15.704
111,2021-01-05 15:00:00+00:00,20.104,75.33542,15.604
112,2021-01-05 16:00:00+00:00,19.804,76.25815,15.504
113,2021-01-05 17:00:00+00:00,19.554,76.955635,15.404
114,2021-01-05 18:00:00+00:00,19.404,76.194595,15.104
115,2021-01-05 19:00:00+00:00,19.104,75.9018,14.754
116,2021-01-05 20:00:00+00:00,18.554,78.554794,14.754
117,2021-01-05 21:00:00+00:00,18.854,77.59337,14.854
118,2021-01-05 22:00:00+00:00,18.954,77.35914,14.904
119,2021-01-05 23:00:00+00:00,19.004,76.8703,14.854
120,2021-01-06 00:00:00+00:00,18.054,82.37261,15.004
121,2021-01-06 01:00:00+00:00,19.104,77.881065,15.154
122,2021-01-06 02:00:00+00:00,19.154,77.63877,15.154
123,2021-01-06 03:00:00+00:00,21.054,69.92127,15.354
124,2021-01-06 04:00:00+00:00,23.554,59.289097,15.154
125,2021-01-06 05:00:00+00:00,25.404,53.07432,15.154
126,2021-01-06 06:00:00+00:00,26.854,48.24633,15.004
127,2021-01-06 07:00:00+00:00,27.704,45.901222,15.004
128,2021-01-06 08:00:00+00:00,28.454,43.938236,15.004
129,2021-01-06 09:00:00+00:00,28.704,43.305065,15.004
130,2021-01-06 10:00:00+00:00,28.654,43.43088,15.004
131,2021-01-06 11:00:00+00:00,28.204,44.153492,14.854
132,2021-01-06 12:00:00+00:00,26.354,53.657284,16.204
133,2021-01-06 13:00:00+00:00,24.004,64.11632,16.804
134,2021-01-06 14:00:00+00:00,23.454,64.20118,16.304
135,2021-01-06 15:00:00+00:00,22.704,67.1807,16.304
136,2021-01-06 16:00:00+00:00,22.604,64.22204,15.504
137,2021-01-06 17:00:00+00:00,22.104,66.41736,15.554
138,2021-01-06 18:00:00+00:00,21.454,69.55131,15.654
139,2021-01-06 19:00:00+00:00,20.954,69.67801,15.204
140,2021-01-06 20:00:00+00:00,20.154,72.26565,15.004
141,2021-01-06 21:00:00+00:00,19.854,73.14808,14.904
142,2021-01-06 22:00:00+00:00,19.304,76.67012,15.104
143,2021-01-06 23:00:00+00:00,19.154,79.148155,15.454
144,2021-01-07 00:00:00+00:00,19.304,82.001175,16.154
145,2021-01-07 01:00:00+00:00,19.454,82.28145,16.354
146,2021-01-07 02:00:00+00:00,19.854,81.03327,16.504
147,2021-01-07 03:00:00+00:00,22.504,70.64386,16.904
148,2021-01-07 04:00:00+00:00,24.754,65.50464,17.854
149,2021-01-07 05:00:00+00:00,26.204,62.405247,18.454
150,2021-01-07 06:00:00+00:00,27.554,54.644814,17.604
151,2021-01-07 07:00:00+00:00,28.454,49.60642,16.904
152,2021-01-07 08:00:00+00:00,28.754,48.90475,16.954
153,2021-01-07 09:00:00+00:00,28.804,48.9179,17.004
154,2021-01-07 10:00:00+00:00,28.054,50.45384,16.804
155,2021-01-07 11:00:00+00:00,27.554,51.45635,16.654
156,2021-01-07 12:00:00+00:00,26.804,59.113487,18.154
157,2021-01-07 13:00:00+00:00,25.754,58.495117,17.004
158,2021-01-07 14:00:00+00:00,25.004,59.62989,16.604
159,2021-01-07 15:00:00+00:00,24.254,61.969418,16.504
160,2021-01-07 16:00:00+00:00,23.904,62.484924,16.304
161,2021-01-07 17:00:00+00:00,23.354,64.179535,16.204
162,2021-01-07 18:00:00+00:00,23.304,64.168686,16.154
163,2021-01-07 19:00:00+00:00,22.854,66.99774,16.404
164,2021-01-07 20:00:00+00:00,22.304,70.1594,16.604
165,2021-01-07 21:00:00+00:00,22.154,73.54795,17.204
166,2021-01-07 22:00:00+00:00,22.004,76.36246,17.654
167,2021-01-07 23:00:00+00:00,21.804,80.524635,18.304
168,2021-01-08 00:00:00+00:00,21.604,86.770256,19.304
169,2021-01-08 01:00:00+00:00,21.654,88.682655,19.704
170,2021-01-08 02:00:00+00:00,21.604,92.03582,20.254
171,2021-01-08 03:00:00+00:00,21.954,89.53395,20.154
172,2021-01-08 04:00:00+00:00,23.254,80.46558,19.704
173,2021-01-08 05:00:00+00:00,24.554,71.46801,19.054
174,2021-01-08 06:00:00+00:00,26.054,64.154205,18.754
175,2021-01-08 07:00:00+00:00,27.604,56.403778,18.154
176,2021-01-08 08:00:00+00:00,28.104,54.26753,18.004
177,2021-01-08 09:00:00+00:00,28.404,51.026512,17.304
178,2021-01-08 10:00:00+00:00,28.804,47.996017,16.704
179,2021-01-08 11:00:00+00:00,28.454,48.670845,16.604
180,2021-01-08 12:00:00+00:00,24.704,65.7006,17.854
181,2021-01-08 13:00:00+00:00,23.454,66.90777,16.954
182,2021-01-08 14:00:00+00:00,23.254,66.443665,16.654
183,2021-01-08 15:00:00+00:00,22.954,67.6601,16.654
184,2021-01-08 16:00:00+00:00,22.854,67.211235,16.454
185,2021-01-08 17:00:00+00:00,22.954,65.96017,16.254
186,2021-01-08 18:00:00+00:00,22.954,65.12437,16.053999
187,2021-01-08 19:00:00+00:00,23.104,63.92085,15.904
188,2021-01-08 20:00:00+00:00,22.954,64.09273,15.804
189,2021-01-08 21:00:00+00:00,22.904,63.87724,15.704
190,2021-01-08 22:00:00+00:00,22.104,67.05825,15.704
191,2021-01-08 23:00:00+00:00,21.604,69.13666,15.704
192,2021-01-09 00:00:00+00:00,21.154,72.21411,15.954
193,2021-01-09 01:00:00+00:00,21.004,73.115364,16.004
194,2021-01-09 02:00:00+00:00,21.004,73.818405,16.154
195,2021-01-09 03:00:00+00:00,22.904,66.795135,16.404
196,2021-01-09 04:00:00+00:00,24.954,59.240284,16.454
197,2021-01-09 05:00:00+00:00,26.954,50.650204,15.854
