,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,5.8045,89.45838,4.2045
1,2021-01-01 01:00:00+00:00,3.7545,94.51172,2.9545
2,2021-01-01 02:00:00+00:00,2.9045,98.592514,2.7045
3,2021-01-01 03:00:00+00:00,4.4545,97.92141,4.1545
4,2021-01-01 04:00:00+00:00,6.6545,93.01169,5.6045003
5,2021-01-01 05:00:00+00:00,10.054501,81.34701,7.0045004
6,2021-01-01 06:00:00+00:00,12.7045,71.36222,7.6545
7,2021-01-01 07:00:00+00:00,14.304501,64.0858,7.6045003
8,2021-01-01 08:00:00+00:00,15.2045,59.450817,7.3545003
9,2021-01-01 09:00:00+00:00,15.6545,58.35458,7.5045004
10,2021-01-01 10:00:00+00:00,15.554501,59.738926,7.7545004
11,2021-01-01 11:00:00+00:00,14.7545,69.37813,9.2045
12,2021-01-01 12:00:00+00:00,11.0045,81.75063,8.0045
13,2021-01-01 13:00:00+00:00,8.554501,90.29249,7.0545
14,2021-01-01 14:00:00+00:00,7.3045,92.40733,6.1545
15,2021-01-01 15:00:00+00:00,6.2545004,93.31369,5.2545004
16,2021-01-01 16:00:00+00:00,5.3545003,94.91131,4.6045003
17,2021-01-01 17:00:00+00:00,4.9045,95.56057,4.2545004
18,2021-01-01 18:00:00+00:00,4.5045004,95.882744,3.9045
19,2021-01-01 19:00:00+00:00,3.7045,96.87789,3.2545
20,2021-01-01 20:00:00+00:00,3.1045,97.89877,2.8044999
21,2021-01-01 21:00:00+00:00,2.8044999,97.54648,2.4545
22,2021-01-01 22:00:00+00:00,2.7545,100.0,2.7545
23,2021-01-01 23:00:00+00:00,3.4045,100.0,3.4045
24,2021-01-02 00:00:00+00:00,4.4545,99.30285,4.3545003
25,2021-01-02 01:00:00+00:00,4.7545004,99.65172,4.7045
26,2021-01-02 02:00:00+00:00,5.1045003,99.6527,5.0545
27,2021-01-02 03:00:00+00:00,6.4545,97.616936,6.1045003
28,2021-01-02 04:00:00+00:00,7.6045003,97.3052,7.2045
29,2021-01-02 05:00:00+00:00,10.1545,88.89212,8.4045
30,2021-01-02 06:00:00+00:00,12.4045,80.56534,9.1545
31,2021-01-02 07:00:00+00:00,14.2545,71.896484,9.2545
32,2021-01-02 08:00:00+00:00,15.554501,64.14812,8.804501
33,2021-01-02 09:00:00+00:00,16.0045,61.699913,8.6545
34,2021-01-02 10:00:00+00:00,15.9545,62.106777,8.7045
35,2021-01-02 11:00:00+00:00,15.054501,71.08702,9.8545
36,2021-01-02 12:00:00+00:00,12.6045,85.31698,10.2045
37,2021-01-02 13:00:00+00:00,12.4045,86.73274,10.2545
38,2021-01-02 14:00:00+00:00,11.4545,92.027725,10.2045
39,2021-01-02 15:00:00+00:00,11.304501,92.018684,10.054501
40,2021-01-02 16:00:00+00:00,11.2045,92.63026,10.054501
41,2021-01-02 17:00:00+00:00,11.1045,91.39218,9.7545
42,2021-01-02 18:00:00+00:00,11.6545,87.83063,9.7045
43,2021-01-02 19:00:00+00:00,11.7045,86.374054,9.5045
44,2021-01-02 20:00:00+00:00,11.054501,89.26611,9.3545
45,2021-01-02 21:00:00+00:00,11.2045,89.278114,9.5045
46,2021-01-02 22:00:00+00:00,11.2545,88.684456,9.4545
47,2021-01-02 23:00:00+00:00,11.2045,88.68027,9.4045
48,2021-01-03 00:00:00+00:00,10.5045,90.73967,9.054501
49,2021-01-03 01:00:00+00:00,10.8545,91.68324,9.554501
50,2021-01-03 02:00:00+00:00,11.2545,91.40191,9.9045
51,2021-01-03 03:00:00+00:00,12.1045,88.755585,10.304501
52,2021-01-03 04:00:00+00:00,13.554501,85.70117,11.2045
53,2021-01-03 05:00:00+00:00,15.1045,81.197945,11.9045
54,2021-01-03 06:00:00+00:00,16.5545,76.484726,12.4045
55,2021-01-03 07:00:00+00:00,17.2045,75.34632,12.804501
56,2021-01-03 08:00:00+00:00,17.2545,80.167656,13.804501
57,2021-01-03 09:00:00+00:00,16.7045,84.64142,14.1045
58,2021-01-03 10:00:00+00:00,16.2545,86.8172,14.054501
59,2021-01-03 11:00:00+00:00,15.554501,91.37773,14.1545
60,2021-01-03 12:00:00+00:00,15.2545,92.85163,14.1045
61,2021-01-03 13:00:00+00:00,14.9545,92.53461,13.7545
62,2021-01-03 14:00:00+00:00,14.3545,93.41048,13.304501
63,2021-01-03 15:00:00+00:00,14.2545,92.7979,13.1045
64,2021-01-03 16:00:00+00:00,13.7045,94.60881,12.8545
65,2021-01-03 17:00:00+00:00,13.8545,92.776245,12.7045
66,2021-01-03 18:00:00+00:00,13.9545,92.78167,12.804501
67,2021-01-03 19:00:00+00:00,13.804501,92.16742,12.554501
68,2021-01-03 20:00:00+00:00,13.804501,92.16742,12.554501
69,2021-01-03 21:00:00+00:00,13.7545,90.069824,12.1545
70,2021-01-03 22:00:00+00:00,13.304501,91.23218,11.9045
71,2021-01-03 23:00:00+00:00,12.6545,93.32537,11.6045
72,2021-01-04 00:00:00+00:00,12.554501,95.50182,11.8545
73,2021-01-04 01:00:00+00:00,12.1045,95.80263,11.4545
74,2021-01-04 02:00:00+00:00,11.9045,96.113914,11.304501
75,2021-01-04 03:00:00+00:00,12.7545,95.19479,12.0045
76,2021-01-04 04:00:00+00:00,14.6545,91.61813,13.304501
77,2021-01-04 05:00:00+00:00,15.9545,87.63792,13.9045
78,2021-01-04 06:00:00+00:00,17.404501,81.234314,14.1545
79,2021-01-04 07:00:00+00:00,18.3545,78.02015,14.4545
80,2021-01-04 08:00:00+00:00,18.7045,75.59256,14.304501
81,2021-01-04 09:00:00+00:00,18.5545,75.813095,14.2045
82,2021-01-04 10:00:00+00:00,16.6045,88.8347,14.7545
83,2021-01-04 11:00:00+00:00,15.7045,94.0816,14.7545
