,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,16.286999,87.38442,14.187
1,2021-01-01 01:00:00+00:00,15.687,92.5753,14.487
2,2021-01-01 02:00:00+00:00,15.637,93.17239,14.537001
3,2021-01-01 03:00:00+00:00,18.137,81.32954,14.887
4,2021-01-01 04:00:00+00:00,21.137,68.383156,15.087001
5,2021-01-01 05:00:00+00:00,23.937,58.435093,15.287001
6,2021-01-01 06:00:00+00:00,26.087,52.740017,15.687
7,2021-01-01 07:00:00+00:00,27.687,48.778515,15.937
8,2021-01-01 08:00:00+00:00,28.837,46.354324,16.187
9,2021-01-01 09:00:00+00:00,29.387,45.33422,16.337
10,2021-01-01 10:00:00+00:00,29.437,45.203594,16.337
11,2021-01-01 11:00:00+00:00,28.987,46.690815,16.437
12,2021-01-01 12:00:00+00:00,27.087,55.222427,17.337
13,2021-01-01 13:00:00+00:00,24.487,64.017944,17.237
14,2021-01-01 14:00:00+00:00,23.837,66.35366,17.187
15,2021-01-01 15:00:00+00:00,22.987,67.881905,16.737
16,2021-01-01 16:00:00+00:00,22.237,69.92405,16.487
17,2021-01-01 17:00:00+00:00,21.937,69.422646,16.087
18,2021-01-01 18:00:00+00:00,20.887,69.88925,15.187
19,2021-01-01 19:00:00+00:00,19.937,66.17857,13.437
20,2021-01-01 20:00:00+00:00,19.187,62.846222,11.937
21,2021-01-01 21:00:00+00:00,18.737,61.919495,11.287001
22,2021-01-01 22:00:00+00:00,18.337,62.239265,10.987
23,2021-01-01 23:00:00+00:00,17.837,63.16718,10.737
24,2021-01-02 00:00:00+00:00,17.487,64.79113,10.787001
25,2021-01-02 01:00:00+00:00,17.087,64.488045,10.337001
26,2021-01-02 02:00:00+00:00,16.786999,63.35261,9.787001
27,2021-01-02 03:00:00+00:00,17.987,57.946003,9.587001
28,2021-01-02 04:00:00+00:00,19.887,51.9866,9.737
29,2021-01-02 05:00:00+00:00,21.987,48.19984,10.537001
30,2021-01-02 06:00:00+00:00,24.337,44.391273,11.437
31,2021-01-02 07:00:00+00:00,25.937,41.848106,11.987
32,2021-01-02 08:00:00+00:00,26.637,40.68548,12.187
33,2021-01-02 09:00:00+00:00,27.187,39.650955,12.287001
34,2021-01-02 10:00:00+00:00,27.387,39.060257,12.237
35,2021-01-02 11:00:00+00:00,27.137,39.247852,12.087001
36,2021-01-02 12:00:00+00:00,25.487,47.725067,13.587001
37,2021-01-02 13:00:00+00:00,22.987,52.451927,12.737
38,2021-01-02 14:00:00+00:00,22.536999,48.99406,11.287001
39,2021-01-02 15:00:00+00:00,21.036999,46.669266,9.187
40,2021-01-02 16:00:00+00:00,19.937,45.428726,7.787
41,2021-01-02 17:00:00+00:00,19.137,44.283993,6.687
42,2021-01-02 18:00:00+00:00,18.237,43.2738,5.537
43,2021-01-02 19:00:00+00:00,17.286999,43.607353,4.787
44,2021-01-02 20:00:00+00:00,16.487,46.358406,4.937
45,2021-01-02 21:00:00+00:00,15.837001,49.167976,5.187
46,2021-01-02 22:00:00+00:00,15.237,51.45108,5.287
47,2021-01-02 23:00:00+00:00,14.687,53.490143,5.337
48,2021-01-03 00:00:00+00:00,14.337001,60.473007,6.787
49,2021-01-03 01:00:00+00:00,13.787001,62.238445,6.687
50,2021-01-03 02:00:00+00:00,13.437,62.371136,6.387
51,2021-01-03 03:00:00+00:00,15.137,55.301205,6.237
52,2021-01-03 04:00:00+00:00,17.887,47.23552,6.487
53,2021-01-03 05:00:00+00:00,20.937,40.71699,7.087
54,2021-01-03 06:00:00+00:00,23.437,34.020977,6.687
55,2021-01-03 07:00:00+00:00,24.937,30.35387,6.337
56,2021-01-03 08:00:00+00:00,25.737,29.34467,6.537
57,2021-01-03 09:00:00+00:00,26.036999,29.428051,6.837
58,2021-01-03 10:00:00+00:00,26.087,29.441938,6.887
59,2021-01-03 11:00:00+00:00,25.737,30.058533,6.887
60,2021-01-03 12:00:00+00:00,24.587,35.53411,8.337001
61,2021-01-03 13:00:00+00:00,22.887,37.66146,7.687
62,2021-01-03 14:00:00+00:00,21.937,37.647697,6.837
63,2021-01-03 15:00:00+00:00,21.036999,40.191326,6.987
64,2021-01-03 16:00:00+00:00,20.036999,44.083675,7.437
65,2021-01-03 17:00:00+00:00,19.237,45.543533,7.187
66,2021-01-03 18:00:00+00:00,18.487,46.756683,6.887
67,2021-01-03 19:00:00+00:00,17.587,49.988766,7.037
68,2021-01-03 20:00:00+00:00,17.237,51.456997,7.137
69,2021-01-03 21:00:00+00:00,16.937,53.165787,7.337
70,2021-01-03 22:00:00+00:00,16.337,57.73305,7.987
71,2021-01-03 23:00:00+00:00,15.837001,63.995075,9.037001
72,2021-01-04 00:00:00+00:00,15.787001,65.07072,9.237
73,2021-01-04 01:00:00+00:00,15.637,66.811905,9.487
74,2021-01-04 02:00:00+00:00,15.537001,68.83849,9.837001
75,2021-01-04 03:00:00+00:00,17.036999,65.12546,10.437
76,2021-01-04 04:00:00+00:00,19.437,60.86412,11.687
77,2021-01-04 05:00:00+00:00,22.036999,58.35636,13.487
78,2021-01-04 06:00:00+00:00,23.987,54.44753,14.237
79,2021-01-04 07:00:00+00:00,25.587,50.130142,14.437
80,2021-01-04 08:00:00+00:00,26.637,48.18847,14.787001
81,2021-01-04 09:00:00+00:00,27.437,45.97687,14.787001
82,2021-01-04 10:00:00+00:00,27.437,44.516342,14.287001
83,2021-01-04 11:00:00+00:00,26.786999,42.91752,13.137
84,2021-01-04 12:00:00+00:00,25.687,43.60474,12.387
85,2021-01-04 13:00:00+00:00,23.137,48.510952,11.687
86,2021-01-04 14:00:00+00:00,22.337,47.34064,10.587001
87,2021-01-04 15:00:00+00:00,21.536999,46.493923,9.587001
88,2021-01-04 16:00:00+00:00,20.887,46.00296,8.837001
89,2021-01-04 17:00:00+00:00,20.036999,46.708603,8.287001
90,2021-01-04 18:00:00+00:00,19.036999,49.36656,8.187
91,2021-01-04 19:00:00+00:00,17.937,54.34049,8.587001
92,2021-01-04 20:00:00+00:00,17.187,58.533203,8.987
93,2021-01-04 21:00:00+00:00,16.786999,61.055214,9.237
94,2021-01-04 22:00:00+00:00,16.187,64.28894,9.437
95,2021-01-04 23:00:00+00:00,15.787001,65.50997,9.337001
96,2021-01-05 00:00:00+00:00,15.587001,67.70449,9.637
97,2021-01-05 01:00:00+00:00,15.137,66.03446,8.837001
98,2021-01-05 02:00:00+00:00,14.587001,66.3643,8.387
99,2021-01-05 03:00:00+00:00,16.387,59.737083,8.537001
100,2021-01-05 04:00:00+00:00,18.637,53.25057,8.937
101,2021-01-05 05:00:00+00:00,21.137,48.291195,9.787001
102,2021-01-05 06:00:00+00:00,23.536999,42.43628,10.037001
103,2021-01-05 07:00:00+00:00,25.187,38.18586,9.937
104,2021-01-05 08:00:00+00:00,26.137,36.457127,10.087001
105,2021-01-05 09:00:00+00:00,26.687,35.411247,10.137
106,2021-01-05 10:00:00+00:00,26.786999,34.852116,9.987
107,2021-01-05 11:00:00+00:00,26.337,35.194515,9.737
108,2021-01-05 12:00:00+00:00,24.687,44.34145,11.737
109,2021-01-05 13:00:00+00:00,22.286999,50.909195,11.637
110,2021-01-05 14:00:00+00:00,21.087,53.707676,11.337001
111,2021-01-05 15:00:00+00:00,20.137,55.639694,10.987
112,2021-01-05 16:00:00+00:00,19.437,56.207394,10.487
113,2021-01-05 17:00:00+00:00,18.786999,56.799088,10.037001
114,2021-01-05 18:00:00+00:00,17.937,57.352768,9.387
115,2021-01-05 19:00:00+00:00,17.187,57.943718,8.837001
116,2021-01-05 20:00:00+00:00,16.536999,58.770546,8.437
117,2021-01-05 21:00:00+00:00,15.987,59.438377,8.087001
118,2021-01-05 22:00:00+00:00,15.387,60.517567,7.787
119,2021-01-05 23:00:00+00:00,14.637,63.07772,7.687
120,2021-01-06 00:00:00+00:00,14.537001,68.63655,8.837001
121,2021-01-06 01:00:00+00:00,14.037001,70.65391,8.787001
122,2021-01-06 02:00:00+00:00,13.687,72.52176,8.837001
123,2021-01-06 03:00:00+00:00,15.387,67.890816,9.487
124,2021-01-06 04:00:00+00:00,17.737,61.894688,10.337001
125,2021-01-06 05:00:00+00:00,20.237,54.748573,10.837001
126,2021-01-06 06:00:00+00:00,22.637,47.58023,10.937
127,2021-01-06 07:00:00+00:00,24.536999,40.771812,10.337001
