,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,12.132501,94.543915,11.2825
1,2021-01-01 01:00:00+00:00,11.8325,94.845634,11.0325
2,2021-01-01 02:00:00+00:00,13.7825,88.601746,11.9325
3,2021-01-01 03:00:00+00:00,16.4825,76.72478,12.382501
4,2021-01-01 04:00:00+00:00,19.182499,64.09834,12.2325
5,2021-01-01 05:00:00+00:00,21.332499,53.2403,11.4325
6,2021-01-01 06:00:00+00:00,22.7825,45.30207,10.3325
7,2021-01-01 07:00:00+00:00,23.7825,40.152813,9.4325
8,2021-01-01 08:00:00+00:00,24.3825,36.205257,8.4325
9,2021-01-01 09:00:00+00:00,24.582499,34.3463,7.8325
10,2021-01-01 10:00:00+00:00,24.2325,34.954624,7.7825
11,2021-01-01 11:00:00+00:00,21.182499,50.78488,10.5825
12,2021-01-01 12:00:00+00:00,18.7825,46.51932,7.0825
13,2021-01-01 13:00:00+00:00,18.182499,46.671932,6.5825
14,2021-01-01 14:00:00+00:00,16.932499,49.128864,6.1825
15,2021-01-01 15:00:00+00:00,15.4325,54.620384,6.3325
16,2021-01-01 16:00:00+00:00,13.7825,62.88158,6.8325
17,2021-01-01 17:00:00+00:00,12.5825,70.37143,7.3325
18,2021-01-01 18:00:00+00:00,11.8325,75.201035,7.5825
19,2021-01-01 19:00:00+00:00,11.3325,79.06205,7.8325
20,2021-01-01 20:00:00+00:00,10.882501,83.13539,8.132501
21,2021-01-01 21:00:00+00:00,10.5825,86.84773,8.4825
22,2021-01-01 22:00:00+00:00,10.6825,88.03976,8.7825
23,2021-01-01 23:00:00+00:00,10.8325,88.948166,9.0825
24,2021-01-02 00:00:00+00:00,11.132501,91.39398,9.7825
25,2021-01-02 01:00:00+00:00,11.0825,92.00526,9.8325
26,2021-01-02 02:00:00+00:00,12.9825,84.22695,10.382501
27,2021-01-02 03:00:00+00:00,15.9825,70.55494,10.632501
28,2021-01-02 04:00:00+00:00,18.932499,57.40744,10.3325
29,2021-01-02 05:00:00+00:00,21.2825,46.42374,9.3325
30,2021-01-02 06:00:00+00:00,22.932499,39.777473,8.5325
31,2021-01-02 07:00:00+00:00,24.0325,35.136528,7.6825
32,2021-01-02 08:00:00+00:00,24.682499,32.66032,7.1825
33,2021-01-02 09:00:00+00:00,24.832499,31.928768,6.9824996
34,2021-01-02 10:00:00+00:00,24.432499,34.18707,7.6324997
35,2021-01-02 11:00:00+00:00,21.682499,55.66122,12.4325
36,2021-01-02 12:00:00+00:00,19.7825,44.617878,7.3824997
37,2021-01-02 13:00:00+00:00,17.6325,50.17256,7.1324997
38,2021-01-02 14:00:00+00:00,16.582499,52.709743,6.8824997
39,2021-01-02 15:00:00+00:00,15.2825,57.077076,6.8325
40,2021-01-02 16:00:00+00:00,14.0825,62.09409,6.9325
41,2021-01-02 17:00:00+00:00,13.4825,64.78307,6.9824996
42,2021-01-02 18:00:00+00:00,12.8325,68.992455,7.2825
43,2021-01-02 19:00:00+00:00,12.2325,74.7586,7.8824997
44,2021-01-02 20:00:00+00:00,11.9825,78.35696,8.3325
45,2021-01-02 21:00:00+00:00,11.632501,84.07261,9.0325
46,2021-01-02 22:00:00+00:00,11.2325,89.28034,9.5325
47,2021-01-02 23:00:00+00:00,10.882501,91.68499,9.5825
48,2021-01-03 00:00:00+00:00,10.882501,94.491486,10.0325
49,2021-01-03 01:00:00+00:00,11.2325,94.50625,10.382501
50,2021-01-03 02:00:00+00:00,13.2825,88.26725,11.382501
51,2021-01-03 03:00:00+00:00,16.0325,76.40139,11.882501
52,2021-01-03 04:00:00+00:00,18.932499,64.466225,12.0825
53,2021-01-03 05:00:00+00:00,21.1325,55.706245,11.9325
54,2021-01-03 06:00:00+00:00,22.7825,48.255245,11.2825
55,2021-01-03 07:00:00+00:00,24.082499,42.306126,10.4825
56,2021-01-03 08:00:00+00:00,24.9825,37.873226,9.632501
57,2021-01-03 09:00:00+00:00,25.432499,34.586903,8.6825
58,2021-01-03 10:00:00+00:00,25.2325,33.492264,8.0325
59,2021-01-03 11:00:00+00:00,22.182499,58.01285,13.5325
60,2021-01-03 12:00:00+00:00,22.9825,40.06167,8.6825
61,2021-01-03 13:00:00+00:00,22.3825,40.84983,8.4325
62,2021-01-03 14:00:00+00:00,18.932499,52.43701,8.9825
63,2021-01-03 15:00:00+00:00,16.582499,59.18087,8.5825
64,2021-01-03 16:00:00+00:00,15.8325,58.199833,7.6324997
65,2021-01-03 17:00:00+00:00,14.1825,62.5442,7.1324997
66,2021-01-03 18:00:00+00:00,13.7325,64.39646,7.1324997
67,2021-01-03 19:00:00+00:00,13.0325,72.15611,8.132501
68,2021-01-03 20:00:00+00:00,12.0825,79.97901,8.7325
69,2021-01-03 21:00:00+00:00,12.0825,81.066414,8.9325
70,2021-01-03 22:00:00+00:00,11.7325,84.36775,9.1825
71,2021-01-03 23:00:00+00:00,11.2325,88.682625,9.4325
72,2021-01-04 00:00:00+00:00,11.1825,91.70383,9.882501
73,2021-01-04 01:00:00+00:00,12.4325,89.97181,10.8325
74,2021-01-04 02:00:00+00:00,14.632501,80.60041,11.3325
75,2021-01-04 03:00:00+00:00,16.6325,72.57374,11.6825
76,2021-01-04 04:00:00+00:00,18.8825,63.82149,11.882501
77,2021-01-04 05:00:00+00:00,21.3825,55.221252,12.0325
78,2021-01-04 06:00:00+00:00,23.682499,47.08148,11.7325
79,2021-01-04 07:00:00+00:00,25.1325,41.76178,11.2325
80,2021-01-04 08:00:00+00:00,25.932499,39.299496,11.0325
