,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,13.642,84.86258,11.142
1,2021-01-01 01:00:00+00:00,12.542001,88.49709,10.692
2,2021-01-01 02:00:00+00:00,14.542001,82.47591,11.592
3,2021-01-01 03:00:00+00:00,17.892,69.079575,12.142
4,2021-01-01 04:00:00+00:00,20.241999,59.860546,12.192
5,2021-01-01 05:00:00+00:00,22.142,51.20815,11.592
6,2021-01-01 06:00:00+00:00,23.692,44.65549,10.942
7,2021-01-01 07:00:00+00:00,24.792,39.635624,10.142
8,2021-01-01 08:00:00+00:00,25.392,36.24675,9.342
9,2021-01-01 09:00:00+00:00,25.442,34.824097,8.792001
10,2021-01-01 10:00:00+00:00,24.942,36.11939,8.892
11,2021-01-01 11:00:00+00:00,23.392,43.83612,10.392
12,2021-01-01 12:00:00+00:00,21.292,48.495342,9.992001
13,2021-01-01 13:00:00+00:00,18.241999,62.424458,10.942
14,2021-01-01 14:00:00+00:00,20.692,49.48119,9.742001
15,2021-01-01 15:00:00+00:00,16.142,68.959816,10.442
16,2021-01-01 16:00:00+00:00,18.192,58.975258,10.042001
17,2021-01-01 17:00:00+00:00,17.392,62.856453,10.242001
18,2021-01-01 18:00:00+00:00,13.892,79.96503,10.492001
19,2021-01-01 19:00:00+00:00,13.142,83.68551,10.442
20,2021-01-01 20:00:00+00:00,15.942,69.61314,10.392
21,2021-01-01 21:00:00+00:00,15.892,69.603294,10.342
22,2021-01-01 22:00:00+00:00,15.092,72.77757,10.242001
23,2021-01-01 23:00:00+00:00,14.492001,74.89207,10.092
24,2021-01-02 00:00:00+00:00,14.342,76.38326,10.242001
25,2021-01-02 01:00:00+00:00,14.292001,75.1091,9.942
26,2021-01-02 02:00:00+00:00,14.742001,73.44771,10.042001
27,2021-01-02 03:00:00+00:00,18.292,58.80264,10.092
28,2021-01-02 04:00:00+00:00,20.792,50.85044,10.242001
29,2021-01-02 05:00:00+00:00,22.692,45.42843,10.292001
30,2021-01-02 06:00:00+00:00,24.292,40.161892,9.892
31,2021-01-02 07:00:00+00:00,25.491999,34.720802,8.792001
32,2021-01-02 08:00:00+00:00,26.192,30.704948,7.592
33,2021-01-02 09:00:00+00:00,26.292,29.297525,6.992
34,2021-01-02 10:00:00+00:00,25.792,30.073881,6.942
35,2021-01-02 11:00:00+00:00,24.142,37.508278,8.742001
36,2021-01-02 12:00:00+00:00,21.592,42.031162,8.142
37,2021-01-02 13:00:00+00:00,22.241999,37.221485,6.942
38,2021-01-02 14:00:00+00:00,20.442,42.862114,7.3919997
39,2021-01-02 15:00:00+00:00,19.392,47.007744,7.792
40,2021-01-02 16:00:00+00:00,15.842,62.080696,8.592
41,2021-01-02 17:00:00+00:00,15.042001,62.95599,8.042
42,2021-01-02 18:00:00+00:00,14.192,65.38401,7.792
43,2021-01-02 19:00:00+00:00,13.592,67.74877,7.742
44,2021-01-02 20:00:00+00:00,14.942,59.79474,7.192
45,2021-01-02 21:00:00+00:00,16.792,51.691242,6.792
46,2021-01-02 22:00:00+00:00,17.692,48.66449,6.742
47,2021-01-02 23:00:00+00:00,17.192,50.397816,6.792
48,2021-01-03 00:00:00+00:00,15.442,52.406265,5.742
49,2021-01-03 01:00:00+00:00,14.992001,54.69422,5.942
50,2021-01-03 02:00:00+00:00,15.492001,60.748867,7.942
51,2021-01-03 03:00:00+00:00,18.741999,49.96096,8.092
52,2021-01-03 04:00:00+00:00,21.491999,43.451477,8.542001
53,2021-01-03 05:00:00+00:00,23.692,35.764503,7.6419997
54,2021-01-03 06:00:00+00:00,25.342,31.207228,7.092
55,2021-01-03 07:00:00+00:00,26.491999,29.053146,7.042
56,2021-01-03 08:00:00+00:00,27.142,28.251886,7.192
57,2021-01-03 09:00:00+00:00,27.342,28.11409,7.292
58,2021-01-03 10:00:00+00:00,26.892,29.064426,7.3919997
59,2021-01-03 11:00:00+00:00,24.942,40.07689,10.442
60,2021-01-03 12:00:00+00:00,21.042,47.781956,9.542001
61,2021-01-03 13:00:00+00:00,19.892,49.264877,8.942
62,2021-01-03 14:00:00+00:00,20.991999,43.310856,8.042
63,2021-01-03 15:00:00+00:00,17.142,58.325066,8.892
64,2021-01-03 16:00:00+00:00,16.692,55.32254,7.692
65,2021-01-03 17:00:00+00:00,15.792001,58.38851,7.6419997
66,2021-01-03 18:00:00+00:00,15.642,57.55982,7.292
67,2021-01-03 19:00:00+00:00,15.042001,59.6148,7.242
68,2021-01-03 20:00:00+00:00,14.292001,63.430454,7.442
69,2021-01-03 21:00:00+00:00,18.342,45.762836,6.442
70,2021-01-03 22:00:00+00:00,18.142,45.549458,6.192
71,2021-01-03 23:00:00+00:00,18.042,45.208153,5.992
72,2021-01-04 00:00:00+00:00,18.241999,46.368668,6.542
73,2021-01-04 01:00:00+00:00,18.241999,46.209484,6.492
74,2021-01-04 02:00:00+00:00,17.942,61.325798,10.392
75,2021-01-04 03:00:00+00:00,20.292,45.527744,8.142
76,2021-01-04 04:00:00+00:00,22.592,42.599026,9.242001
77,2021-01-04 05:00:00+00:00,24.292,39.760307,9.742001
78,2021-01-04 06:00:00+00:00,25.692,36.453587,9.692
79,2021-01-04 07:00:00+00:00,26.792,33.47892,9.392
80,2021-01-04 08:00:00+00:00,27.592,31.305626,9.092
81,2021-01-04 09:00:00+00:00,27.792,30.630493,8.942
82,2021-01-04 10:00:00+00:00,27.292,31.646326,8.992001
83,2021-01-04 11:00:00+00:00,25.542,38.03124,10.192
84,2021-01-04 12:00:00+00:00,21.642,51.75754,11.292001
85,2021-01-04 13:00:00+00:00,20.741999,52.91102,10.792001
86,2021-01-04 14:00:00+00:00,19.042,60.37037,11.192
87,2021-01-04 15:00:00+00:00,18.892,60.33493,11.042001
88,2021-01-04 16:00:00+00:00,16.942,68.20876,11.042001
89,2021-01-04 17:00:00+00:00,16.192,70.83004,10.892
90,2021-01-04 18:00:00+00:00,16.192,70.12734,10.742001
91,2021-01-04 19:00:00+00:00,17.192,65.15915,10.592
92,2021-01-04 20:00:00+00:00,17.642,63.123158,10.542001
93,2021-01-04 21:00:00+00:00,14.842,76.46367,10.742001
94,2021-01-04 22:00:00+00:00,15.892,71.720924,10.792001
95,2021-01-04 23:00:00+00:00,17.542,64.37376,10.742001
96,2021-01-05 00:00:00+00:00,14.192,81.61683,11.092
97,2021-01-05 01:00:00+00:00,14.942,78.27696,11.192
98,2021-01-05 02:00:00+00:00,17.592,69.02008,11.842
99,2021-01-05 03:00:00+00:00,21.491999,55.79644,12.292001
100,2021-01-05 04:00:00+00:00,24.342,45.281303,11.742001
101,2021-01-05 05:00:00+00:00,26.392,37.39086,10.692
102,2021-01-05 06:00:00+00:00,27.942,32.582764,9.992001
103,2021-01-05 07:00:00+00:00,28.942,28.940275,9.092
104,2021-01-05 08:00:00+00:00,29.292,27.32635,8.542001
105,2021-01-05 09:00:00+00:00,29.142,27.193377,8.342
106,2021-01-05 10:00:00+00:00,28.442,28.90065,8.642
107,2021-01-05 11:00:00+00:00,26.892,33.6197,9.542001
108,2021-01-05 12:00:00+00:00,23.942,42.266804,10.342
109,2021-01-05 13:00:00+00:00,22.592,46.164574,10.442
110,2021-01-05 14:00:00+00:00,20.442,57.77877,11.842
111,2021-01-05 15:00:00+00:00,19.692,57.97791,11.192
112,2021-01-05 16:00:00+00:00,18.342,65.19235,11.692
113,2021-01-05 17:00:00+00:00,18.842,61.94364,11.392
114,2021-01-05 18:00:00+00:00,20.342,54.9575,10.992001
115,2021-01-05 19:00:00+00:00,19.292,59.240643,11.142
116,2021-01-05 20:00:00+00:00,19.491999,58.508278,11.142
117,2021-01-05 21:00:00+00:00,17.741999,65.712456,11.242001
118,2021-01-05 22:00:00+00:00,15.642,75.33516,11.292001
119,2021-01-05 23:00:00+00:00,15.492001,75.31018,11.142
120,2021-01-06 00:00:00+00:00,14.692,85.25625,12.242001
121,2021-01-06 01:00:00+00:00,15.142,81.73945,12.042001
122,2021-01-06 02:00:00+00:00,18.692,74.61812,14.092
123,2021-01-06 03:00:00+00:00,22.392,55.114006,12.942
124,2021-01-06 04:00:00+00:00,25.392,42.11165,11.592
125,2021-01-06 05:00:00+00:00,27.642,31.637407,9.292001
126,2021-01-06 06:00:00+00:00,29.192,26.298836,7.8919997
127,2021-01-06 07:00:00+00:00,29.991999,24.27234,7.3919997
128,2021-01-06 08:00:00+00:00,30.392,23.560076,7.292
129,2021-01-06 09:00:00+00:00,30.392,23.802742,7.442
130,2021-01-06 10:00:00+00:00,29.741999,25.564367,7.942
131,2021-01-06 11:00:00+00:00,27.892,39.45872,12.842
132,2021-01-06 12:00:00+00:00,25.842,36.741127,9.942
133,2021-01-06 13:00:00+00:00,23.642,50.599884,12.792001
134,2021-01-06 14:00:00+00:00,24.542,41.596573,10.642
135,2021-01-06 15:00:00+00:00,23.692,44.359825,10.842
136,2021-01-06 16:00:00+00:00,20.741999,58.233757,12.242001
137,2021-01-06 17:00:00+00:00,19.592,61.5053,11.992001
138,2021-01-06 18:00:00+00:00,19.342,61.245033,11.692
139,2021-01-06 19:00:00+00:00,19.741999,56.09707,10.742001
140,2021-01-06 20:00:00+00:00,18.942,59.156445,10.792001
141,2021-01-06 21:00:00+00:00,18.342,62.240414,10.992001
142,2021-01-06 22:00:00+00:00,18.241999,63.67902,11.242001
143,2021-01-06 23:00:00+00:00,17.892,66.18089,11.492001
144,2021-01-07 00:00:00+00:00,17.942,71.394165,12.692
145,2021-01-07 01:00:00+00:00,18.192,68.236664,12.242001
146,2021-01-07 02:00:00+00:00,20.741999,60.17555,12.742001
147,2021-01-07 03:00:00+00:00,24.342,48.199593,12.692
148,2021-01-07 04:00:00+00:00,26.392,41.020233,12.092
149,2021-01-07 05:00:00+00:00,27.741999,37.275417,11.842
150,2021-01-07 06:00:00+00:00,28.592,35.70972,11.942
