,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,16.696,96.56086,16.146
1,2021-01-01 01:00:00+00:00,16.196,97.16758,15.746
2,2021-01-01 02:00:00+00:00,17.296,89.17607,15.496
3,2021-01-01 03:00:00+00:00,18.496,76.79106,14.346
4,2021-01-01 04:00:00+00:00,20.246,64.75229,13.396
5,2021-01-01 05:00:00+00:00,21.896,52.86079,11.846
6,2021-01-01 06:00:00+00:00,23.196,49.822693,12.146
7,2021-01-01 07:00:00+00:00,24.046,48.755363,12.596
8,2021-01-01 08:00:00+00:00,24.646,46.420746,12.396
9,2021-01-01 09:00:00+00:00,24.846,45.569176,12.296
10,2021-01-01 10:00:00+00:00,24.296,46.021183,11.946
11,2021-01-01 11:00:00+00:00,23.596,46.439995,11.446
12,2021-01-01 12:00:00+00:00,22.746,50.36267,11.896
13,2021-01-01 13:00:00+00:00,20.746,56.908527,11.896
14,2021-01-01 14:00:00+00:00,19.646,66.55004,13.246
15,2021-01-01 15:00:00+00:00,18.746,76.335686,14.496
16,2021-01-01 16:00:00+00:00,18.246,78.50975,14.446
17,2021-01-01 17:00:00+00:00,17.896,79.48083,14.296
18,2021-01-01 18:00:00+00:00,16.896,85.48729,14.446
19,2021-01-01 19:00:00+00:00,16.196,91.418564,14.796
20,2021-01-01 20:00:00+00:00,15.696,95.30098,14.946
21,2021-01-01 21:00:00+00:00,15.196,96.21058,14.596
22,2021-01-01 22:00:00+00:00,14.696,95.88496,14.046
23,2021-01-01 23:00:00+00:00,14.246,95.55951,13.546
24,2021-01-02 00:00:00+00:00,14.246,95.24909,13.496
25,2021-01-02 01:00:00+00:00,14.396,92.20202,13.146
26,2021-01-02 02:00:00+00:00,15.496,85.90018,13.146
27,2021-01-02 03:00:00+00:00,18.196,73.570366,13.396
28,2021-01-02 04:00:00+00:00,20.746,65.07111,13.946
29,2021-01-02 05:00:00+00:00,22.996,60.11818,14.846
30,2021-01-02 06:00:00+00:00,25.546,50.770943,14.596
31,2021-01-02 07:00:00+00:00,26.146,49.633816,14.796
32,2021-01-02 08:00:00+00:00,25.546,51.595894,14.846
33,2021-01-02 09:00:00+00:00,25.396,54.801777,15.646
34,2021-01-02 10:00:00+00:00,24.446,59.120556,15.945999
35,2021-01-02 11:00:00+00:00,23.746,62.848934,16.246
36,2021-01-02 12:00:00+00:00,21.896,73.038994,16.846
37,2021-01-02 13:00:00+00:00,20.596,82.42111,17.496
38,2021-01-02 14:00:00+00:00,20.196,85.01602,17.596
39,2021-01-02 15:00:00+00:00,19.596,88.793945,17.696
40,2021-01-02 16:00:00+00:00,19.496,89.62917,17.746
41,2021-01-02 17:00:00+00:00,19.196,91.0307,17.696
42,2021-01-02 18:00:00+00:00,18.246,96.29696,17.646
43,2021-01-02 19:00:00+00:00,18.046,97.51393,17.646
44,2021-01-02 20:00:00+00:00,18.396,95.095215,17.596
45,2021-01-02 21:00:00+00:00,17.846,97.51016,17.446
46,2021-01-02 22:00:00+00:00,17.946,95.37988,17.196
47,2021-01-02 23:00:00+00:00,17.796,94.1735,16.846
48,2021-01-03 00:00:00+00:00,17.696,94.76852,16.846
49,2021-01-03 01:00:00+00:00,17.546,94.4622,16.646
50,2021-01-03 02:00:00+00:00,18.046,91.24449,16.596
51,2021-01-03 03:00:00+00:00,19.396,83.59355,16.546
52,2021-01-03 04:00:00+00:00,22.296,70.60496,16.696
53,2021-01-03 05:00:00+00:00,24.296,61.782166,16.496
54,2021-01-03 06:00:00+00:00,25.646,56.2822,16.296
55,2021-01-03 07:00:00+00:00,26.346,54.3431,16.396
56,2021-01-03 08:00:00+00:00,26.296,54.330574,16.346
57,2021-01-03 09:00:00+00:00,25.396,58.410053,16.646
58,2021-01-03 10:00:00+00:00,24.996,61.16065,16.996
59,2021-01-03 11:00:00+00:00,23.246,73.044014,18.146
60,2021-01-03 12:00:00+00:00,23.146,69.21621,17.196
61,2021-01-03 13:00:00+00:00,21.846,76.57888,17.546
62,2021-01-03 14:00:00+00:00,20.846,83.49588,17.946
63,2021-01-03 15:00:00+00:00,20.546,86.67085,18.246
64,2021-01-03 16:00:00+00:00,20.246,87.738235,18.146
65,2021-01-03 17:00:00+00:00,19.946,89.38183,18.146
66,2021-01-03 18:00:00+00:00,19.696,90.20948,18.046
67,2021-01-03 19:00:00+00:00,19.096,93.34565,17.996
68,2021-01-03 20:00:00+00:00,19.446,90.76113,17.896
69,2021-01-03 21:00:00+00:00,19.296,90.75107,17.746
70,2021-01-03 22:00:00+00:00,18.946,91.59048,17.546
71,2021-01-03 23:00:00+00:00,18.646,92.73641,17.446
72,2021-01-04 00:00:00+00:00,18.196,93.89344,17.196
73,2021-01-04 01:00:00+00:00,18.346,92.42737,17.096
74,2021-01-04 02:00:00+00:00,18.446,91.27011,16.996
75,2021-01-04 03:00:00+00:00,19.746,82.84165,16.746
76,2021-01-04 04:00:00+00:00,21.596,73.218735,16.596
77,2021-01-04 05:00:00+00:00,22.996,67.24009,16.596
78,2021-01-04 06:00:00+00:00,23.946,63.09363,16.496
79,2021-01-04 07:00:00+00:00,24.446,61.035088,16.446
80,2021-01-04 08:00:00+00:00,24.096,62.329224,16.446
81,2021-01-04 09:00:00+00:00,23.896,62.483135,16.296
82,2021-01-04 10:00:00+00:00,23.746,63.2505,16.346
83,2021-01-04 11:00:00+00:00,23.346,64.58801,16.296
84,2021-01-04 12:00:00+00:00,22.696,65.69612,15.945999
85,2021-01-04 13:00:00+00:00,21.296,71.551285,15.945999
86,2021-01-04 14:00:00+00:00,20.546,75.16733,15.996
87,2021-01-04 15:00:00+00:00,20.196,77.79537,16.196
88,2021-01-04 16:00:00+00:00,19.546,86.84994,17.296
89,2021-01-04 17:00:00+00:00,18.696,94.21238,17.746
90,2021-01-04 18:00:00+00:00,18.346,97.51958,17.946
91,2021-01-04 19:00:00+00:00,18.696,95.70617,17.996
92,2021-01-04 20:00:00+00:00,18.396,95.99843,17.746
93,2021-01-04 21:00:00+00:00,17.746,98.436226,17.496
94,2021-01-04 22:00:00+00:00,17.596,99.05803,17.446
95,2021-01-04 23:00:00+00:00,17.996,95.683556,17.296
96,2021-01-05 00:00:00+00:00,17.996,95.38161,17.246
97,2021-01-05 01:00:00+00:00,18.196,93.006294,17.046
98,2021-01-05 02:00:00+00:00,18.246,90.96822,16.746
99,2021-01-05 03:00:00+00:00,19.696,80.755135,16.296
100,2021-01-05 04:00:00+00:00,22.096,69.2324,16.196
101,2021-01-05 05:00:00+00:00,24.096,62.131237,16.396
102,2021-01-05 06:00:00+00:00,24.846,59.40362,16.396
103,2021-01-05 07:00:00+00:00,24.496,61.63128,16.646
104,2021-01-05 08:00:00+00:00,24.046,65.562805,17.196
105,2021-01-05 09:00:00+00:00,25.046,60.40161,16.846
106,2021-01-05 10:00:00+00:00,24.396,64.40433,17.246
107,2021-01-05 11:00:00+00:00,23.346,71.69747,17.946
108,2021-01-05 12:00:00+00:00,22.546,72.00621,17.246
109,2021-01-05 13:00:00+00:00,21.446,78.722755,17.596
110,2021-01-05 14:00:00+00:00,20.746,83.48439,17.846
111,2021-01-05 15:00:00+00:00,20.046,87.170586,17.846
112,2021-01-05 16:00:00+00:00,19.546,91.627335,18.146
113,2021-01-05 17:00:00+00:00,19.396,94.83439,18.546
114,2021-01-05 18:00:00+00:00,19.396,95.131645,18.596
115,2021-01-05 19:00:00+00:00,19.246,96.02381,18.596
116,2021-01-05 20:00:00+00:00,19.396,96.02828,18.746
117,2021-01-05 21:00:00+00:00,19.246,96.92886,18.746
118,2021-01-05 22:00:00+00:00,18.946,97.225945,18.496
119,2021-01-05 23:00:00+00:00,18.996,96.92308,18.496
120,2021-01-06 00:00:00+00:00,18.896,97.529884,18.496
121,2021-01-06 01:00:00+00:00,19.146,96.02085,18.496
122,2021-01-06 02:00:00+00:00,19.596,93.95649,18.596
123,2021-01-06 03:00:00+00:00,21.346,84.078,18.546
124,2021-01-06 04:00:00+00:00,22.446,78.865524,18.596
125,2021-01-06 05:00:00+00:00,22.796,76.24684,18.396
126,2021-01-06 06:00:00+00:00,23.596,72.42093,18.346
127,2021-01-06 07:00:00+00:00,24.146,70.06513,18.346
128,2021-01-06 08:00:00+00:00,25.446,64.2247,18.196
129,2021-01-06 09:00:00+00:00,22.096,85.74533,19.596
130,2021-01-06 10:00:00+00:00,23.146,77.98702,19.096
131,2021-01-06 11:00:00+00:00,22.996,78.94345,19.146
132,2021-01-06 12:00:00+00:00,21.796,82.82468,18.746
133,2021-01-06 13:00:00+00:00,20.746,88.60892,18.796
134,2021-01-06 14:00:00+00:00,20.196,92.241264,18.896
135,2021-01-06 15:00:00+00:00,19.696,95.4399,18.946
136,2021-01-06 16:00:00+00:00,19.496,96.63266,18.946
137,2021-01-06 17:00:00+00:00,19.296,97.842224,18.946
138,2021-01-06 18:00:00+00:00,19.246,98.453926,18.996
139,2021-01-06 19:00:00+00:00,19.296,98.147964,18.996
140,2021-01-06 20:00:00+00:00,19.346,97.84302,18.996
141,2021-01-06 21:00:00+00:00,19.346,96.93117,18.846
142,2021-01-06 22:00:00+00:00,19.346,96.327415,18.746
143,2021-01-06 23:00:00+00:00,19.296,96.32605,18.696
144,2021-01-07 00:00:00+00:00,19.096,98.1451,18.796
145,2021-01-07 01:00:00+00:00,19.296,97.23327,18.846
146,2021-01-07 02:00:00+00:00,19.496,96.03124,18.846
147,2021-01-07 03:00:00+00:00,20.446,90.26248,18.796
148,2021-01-07 04:00:00+00:00,21.646,83.0663,18.646
149,2021-01-07 05:00:00+00:00,23.046,75.336876,18.446
150,2021-01-07 06:00:00+00:00,24.146,70.285065,18.396
151,2021-01-07 07:00:00+00:00,24.496,68.1819,18.246
152,2021-01-07 08:00:00+00:00,24.546,68.62066,18.396
153,2021-01-07 09:00:00+00:00,24.296,69.65565,18.396
154,2021-01-07 10:00:00+00:00,24.046,70.26631,18.296
155,2021-01-07 11:00:00+00:00,23.796,70.44027,18.096
156,2021-01-07 12:00:00+00:00,23.246,73.734856,18.296
157,2021-01-07 13:00:00+00:00,21.646,81.52029,18.346
158,2021-01-07 14:00:00+00:00,20.746,86.41852,18.396
159,2021-01-07 15:00:00+00:00,20.146,91.66393,18.746
160,2021-01-07 16:00:00+00:00,19.746,95.7397,19.046
161,2021-01-07 17:00:00+00:00,19.646,96.636475,19.096
162,2021-01-07 18:00:00+00:00,19.496,97.23739,19.046
163,2021-01-07 19:00:00+00:00,19.396,97.23534,18.946
164,2021-01-07 20:00:00+00:00,19.046,98.14444,18.746
165,2021-01-07 21:00:00+00:00,19.496,96.93462,18.996
166,2021-01-07 22:00:00+00:00,19.646,95.73655,18.946
167,2021-01-07 23:00:00+00:00,19.296,97.537315,18.896
168,2021-01-08 00:00:00+00:00,19.446,95.43139,18.696
169,2021-01-08 01:00:00+00:00,19.146,97.23012,18.696
170,2021-01-08 02:00:00+00:00,19.546,94.84015,18.696
171,2021-01-08 03:00:00+00:00,20.846,85.88836,18.396
172,2021-01-08 04:00:00+00:00,22.346,76.897675,18.096
173,2021-01-08 05:00:00+00:00,23.496,71.05156,17.946
174,2021-01-08 06:00:00+00:00,24.796,65.30765,17.846
175,2021-01-08 07:00:00+00:00,25.796,60.765427,17.646
176,2021-01-08 08:00:00+00:00,25.546,64.04498,18.246
177,2021-01-08 09:00:00+00:00,25.596,66.29917,18.846
178,2021-01-08 10:00:00+00:00,24.846,70.415955,19.096
179,2021-01-08 11:00:00+00:00,24.746,70.837685,19.096
180,2021-01-08 12:00:00+00:00,22.496,80.86789,19.046
181,2021-01-08 13:00:00+00:00,21.246,87.007774,18.996
182,2021-01-08 14:00:00+00:00,20.696,92.269554,19.396
183,2021-01-08 15:00:00+00:00,20.096,95.15688,19.296
184,2021-01-08 16:00:00+00:00,19.746,96.63897,19.196
185,2021-01-08 17:00:00+00:00,19.546,98.15145,19.246
186,2021-01-08 18:00:00+00:00,19.846,95.742874,19.146
187,2021-01-08 19:00:00+00:00,19.496,96.33152,18.896
188,2021-01-08 20:00:00+00:00,19.046,98.14444,18.746
189,2021-01-08 21:00:00+00:00,18.996,98.45099,18.746
190,2021-01-08 22:00:00+00:00,19.196,95.422874,18.446
191,2021-01-08 23:00:00+00:00,18.646,98.13882,18.346
192,2021-01-09 00:00:00+00:00,18.696,96.91614,18.196
193,2021-01-09 01:00:00+00:00,18.896,95.71259,18.196
194,2021-01-09 02:00:00+00:00,19.096,94.229515,18.146
195,2021-01-09 03:00:00+00:00,20.496,85.04756,17.896
196,2021-01-09 04:00:00+00:00,21.546,79.48436,17.846
197,2021-01-09 05:00:00+00:00,22.746,73.88167,17.846
198,2021-01-09 06:00:00+00:00,23.646,69.75071,17.796
199,2021-01-09 07:00:00+00:00,24.196,68.12257,17.946
200,2021-01-09 08:00:00+00:00,24.346,67.300735,17.896
201,2021-01-09 09:00:00+00:00,24.846,65.73023,17.996
202,2021-01-09 10:00:00+00:00,24.946,65.13412,17.946
203,2021-01-09 11:00:00+00:00,24.646,65.48198,17.746
204,2021-01-09 12:00:00+00:00,23.296,69.464264,17.396
205,2021-01-09 13:00:00+00:00,21.796,76.08924,17.396
206,2021-01-09 14:00:00+00:00,20.546,82.15525,17.396
207,2021-01-09 15:00:00+00:00,19.896,86.88265,17.646
208,2021-01-09 16:00:00+00:00,18.996,94.818985,18.146
209,2021-01-09 17:00:00+00:00,18.646,97.21967,18.196
210,2021-01-09 18:00:00+00:00,18.546,97.82995,18.196
211,2021-01-09 19:00:00+00:00,18.896,95.41262,18.146
212,2021-01-09 20:00:00+00:00,18.896,95.11348,18.096
213,2021-01-09 21:00:00+00:00,18.996,94.225235,18.046
214,2021-01-09 22:00:00+00:00,18.896,93.925095,17.896
215,2021-01-09 23:00:00+00:00,18.296,96.29838,17.696
216,2021-01-10 00:00:00+00:00,18.396,96.604744,17.846
217,2021-01-10 01:00:00+00:00,17.946,97.512054,17.546
218,2021-01-10 02:00:00+00:00,18.146,94.188644,17.196
219,2021-01-10 03:00:00+00:00,19.296,86.2782,16.946
220,2021-01-10 04:00:00+00:00,21.996,73.05645,16.946
221,2021-01-10 05:00:00+00:00,23.446,67.11843,16.996
222,2021-01-10 06:00:00+00:00,24.246,62.16492,16.546
223,2021-01-10 07:00:00+00:00,25.546,55.36746,15.945999
224,2021-01-10 08:00:00+00:00,25.196,55.457706,15.646
225,2021-01-10 09:00:00+00:00,25.396,54.10412,15.446
226,2021-01-10 10:00:00+00:00,25.096,55.967793,15.696
227,2021-01-10 11:00:00+00:00,24.346,57.973297,15.546
228,2021-01-10 12:00:00+00:00,24.246,60.795258,16.196
229,2021-01-10 13:00:00+00:00,22.296,69.935295,16.546
230,2021-01-10 14:00:00+00:00,21.346,75.537415,16.846
231,2021-01-10 15:00:00+00:00,20.746,80.38362,17.246
232,2021-01-10 16:00:00+00:00,20.846,81.41854,17.546
233,2021-01-10 17:00:00+00:00,19.996,86.89199,17.746
234,2021-01-10 18:00:00+00:00,19.646,90.20595,17.996
235,2021-01-10 19:00:00+00:00,19.296,93.062904,18.146
