,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,12.678,92.71196,11.528
1,2021-01-01 01:00:00+00:00,12.528,93.010895,11.428
2,2021-01-01 02:00:00+00:00,14.278,85.77582,11.928
3,2021-01-01 03:00:00+00:00,17.178,72.9114,12.278
4,2021-01-01 04:00:00+00:00,19.977999,61.19109,12.278
5,2021-01-01 05:00:00+00:00,21.977999,51.84576,11.628
6,2021-01-01 06:00:00+00:00,23.328,45.15159,10.778
7,2021-01-01 07:00:00+00:00,24.227999,40.821163,10.078
8,2021-01-01 08:00:00+00:00,24.778,37.562,9.328
9,2021-01-01 09:00:00+00:00,24.877998,36.10126,8.828
10,2021-01-01 10:00:00+00:00,24.477999,36.10992,8.478
11,2021-01-01 11:00:00+00:00,22.477999,42.999043,9.278
12,2021-01-01 12:00:00+00:00,19.178,52.856094,9.328
13,2021-01-01 13:00:00+00:00,18.127998,55.68931,9.128
14,2021-01-01 14:00:00+00:00,17.977999,50.61025,7.578
15,2021-01-01 15:00:00+00:00,17.178,48.858585,6.328
16,2021-01-01 16:00:00+00:00,15.828,53.055157,6.278
17,2021-01-01 17:00:00+00:00,14.778,56.558598,6.228
18,2021-01-01 18:00:00+00:00,13.928,59.960255,6.278
19,2021-01-01 19:00:00+00:00,13.478,63.02768,6.578
20,2021-01-01 20:00:00+00:00,13.028,66.71132,6.978
21,2021-01-01 21:00:00+00:00,12.278,71.76991,7.328
22,2021-01-01 22:00:00+00:00,11.628,76.72067,7.678
23,2021-01-01 23:00:00+00:00,11.278,80.957985,8.128
24,2021-01-02 00:00:00+00:00,11.378,86.34142,9.178
25,2021-01-02 01:00:00+00:00,11.528,87.524956,9.528
26,2021-01-02 02:00:00+00:00,13.578,78.33327,9.878
27,2021-01-02 03:00:00+00:00,16.727999,65.494225,10.228
28,2021-01-02 04:00:00+00:00,19.828,53.381927,10.078
29,2021-01-02 05:00:00+00:00,22.078,44.65492,9.478
30,2021-01-02 06:00:00+00:00,23.678,38.79385,8.828
31,2021-01-02 07:00:00+00:00,24.678,35.081028,8.228
32,2021-01-02 08:00:00+00:00,25.278,32.82844,7.778
33,2021-01-02 09:00:00+00:00,25.377998,31.539295,7.278
34,2021-01-02 10:00:00+00:00,24.977999,31.751616,7.028
35,2021-01-02 11:00:00+00:00,22.278,45.618217,9.978
36,2021-01-02 12:00:00+00:00,19.428,49.138916,8.478
37,2021-01-02 13:00:00+00:00,19.178,49.40484,8.328
38,2021-01-02 14:00:00+00:00,19.377998,47.486126,7.928
39,2021-01-02 15:00:00+00:00,18.678,49.94364,8.028
40,2021-01-02 16:00:00+00:00,14.928,65.54451,8.528
41,2021-01-02 17:00:00+00:00,14.978,61.250183,7.578
