,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,-4.7535,36.65475,-17.3535
1,2021-01-01 01:00:00+00:00,-5.9535,38.489567,-17.8535
2,2021-01-01 02:00:00+00:00,-6.2035,38.736393,-18.0035
3,2021-01-01 03:00:00+00:00,-4.8034997,35.574043,-17.7535
4,2021-01-01 04:00:00+00:00,-2.7034998,30.27394,-17.803501
5,2021-01-01 05:00:00+00:00,-0.6035,28.574354,-16.6535
6,2021-01-01 06:00:00+00:00,0.84650004,30.863338,-14.453501
7,2021-01-01 07:00:00+00:00,1.8965,33.138187,-12.653501
8,2021-01-01 08:00:00+00:00,2.2465,45.973152,-8.203501
9,2021-01-01 09:00:00+00:00,2.5465002,50.91523,-6.6035
10,2021-01-01 10:00:00+00:00,2.1965,55.698578,-5.7535
11,2021-01-01 11:00:00+00:00,0.9965,66.46533,-4.5534997
12,2021-01-01 12:00:00+00:00,-0.6035,62.173687,-6.9535
13,2021-01-01 13:00:00+00:00,-1.7535001,58.150295,-8.903501
14,2021-01-01 14:00:00+00:00,-1.9035,50.22182,-10.903501
15,2021-01-01 15:00:00+00:00,-2.2034998,43.385353,-13.0035
16,2021-01-01 16:00:00+00:00,-2.5035,38.615993,-14.703501
17,2021-01-01 17:00:00+00:00,-3.9035,43.927464,-14.403501
18,2021-01-01 18:00:00+00:00,-4.4035,37.700947,-16.7035
19,2021-01-01 19:00:00+00:00,-4.0534997,32.91953,-18.0035
20,2021-01-01 20:00:00+00:00,-4.7535,31.60192,-19.1035
21,2021-01-01 21:00:00+00:00,-3.7535,27.13717,-20.0035
22,2021-01-01 22:00:00+00:00,-3.8535,24.217432,-21.4035
23,2021-01-01 23:00:00+00:00,-4.7035,23.134445,-22.6535
24,2021-01-02 00:00:00+00:00,-5.4535,29.035738,-20.7035
25,2021-01-02 01:00:00+00:00,-4.9535,25.964392,-21.553501
26,2021-01-02 02:00:00+00:00,-4.5035,24.023342,-22.053501
27,2021-01-02 03:00:00+00:00,-3.4534998,20.603878,-22.9035
28,2021-01-02 04:00:00+00:00,-2.1035,19.224571,-22.553501
29,2021-01-02 05:00:00+00:00,-0.15349999,19.591705,-20.7035
30,2021-01-02 06:00:00+00:00,1.0465,25.146235,-16.7535
31,2021-01-02 07:00:00+00:00,2.2465,27.577951,-14.6035
32,2021-01-02 08:00:00+00:00,2.8965,34.66965,-11.203501
33,2021-01-02 09:00:00+00:00,2.5965002,47.341366,-7.5035
34,2021-01-02 10:00:00+00:00,2.1465,54.426426,-6.1035
35,2021-01-02 11:00:00+00:00,1.0965,65.49383,-4.6535
36,2021-01-02 12:00:00+00:00,0.14650002,65.27458,-5.6035
37,2021-01-02 13:00:00+00:00,-0.95350003,61.13648,-7.5035
38,2021-01-02 14:00:00+00:00,-0.35349998,48.91192,-9.8035
39,2021-01-02 15:00:00+00:00,-2.9034998,54.509254,-10.8035
40,2021-01-02 16:00:00+00:00,-3.0035,48.514812,-12.3535
41,2021-01-02 17:00:00+00:00,-1.8035,37.125626,-14.5535
42,2021-01-02 18:00:00+00:00,-2.6534998,37.782936,-15.1035
43,2021-01-02 19:00:00+00:00,-3.5535,40.902176,-14.953501
44,2021-01-02 20:00:00+00:00,-3.0035,40.57198,-14.5535
45,2021-01-02 21:00:00+00:00,-2.5035,41.907616,-13.703501
46,2021-01-02 22:00:00+00:00,-1.9035,45.08315,-12.2535
47,2021-01-02 23:00:00+00:00,-1.6035,49.12542,-10.903501
48,2021-01-03 00:00:00+00:00,-2.4534998,65.16895,-8.1035
49,2021-01-03 01:00:00+00:00,-1.6535,67.65838,-6.8535
50,2021-01-03 02:00:00+00:00,-1.6035,71.66624,-6.0534997
51,2021-01-03 03:00:00+00:00,-1.2535,71.19231,-5.8034997
52,2021-01-03 04:00:00+00:00,-0.95350003,71.25283,-5.5035
53,2021-01-03 05:00:00+00:00,-0.4035,72.722885,-4.7035
54,2021-01-03 06:00:00+00:00,0.39650002,73.42411,-3.8034997
55,2021-01-03 07:00:00+00:00,2.3965,69.04892,-2.7034998
56,2021-01-03 08:00:00+00:00,3.6465,66.3174,-2.0535
57,2021-01-03 09:00:00+00:00,3.3965,69.00427,-1.7535001
58,2021-01-03 10:00:00+00:00,2.1965,74.03185,-1.9534999
59,2021-01-03 11:00:00+00:00,1.3465,78.091,-2.0535
60,2021-01-03 12:00:00+00:00,-1.7535001,90.49391,-3.1035
61,2021-01-03 13:00:00+00:00,-1.3535,88.20117,-3.0535
62,2021-01-03 14:00:00+00:00,-1.4035,87.21707,-3.2535
63,2021-01-03 15:00:00+00:00,-1.1535,86.595345,-3.1035
64,2021-01-03 16:00:00+00:00,-1.5535,89.50542,-3.0535
65,2021-01-03 17:00:00+00:00,-1.7034999,90.16168,-3.1035
66,2021-01-03 18:00:00+00:00,-2.1035,92.85804,-3.1035
67,2021-01-03 19:00:00+00:00,-2.1534998,90.12666,-3.5535
68,2021-01-03 20:00:00+00:00,-1.6535,87.84536,-3.4034998
69,2021-01-03 21:00:00+00:00,-2.4534998,92.49216,-3.5035
70,2021-01-03 22:00:00+00:00,-2.2034998,89.78663,-3.6535
71,2021-01-03 23:00:00+00:00,-2.1534998,90.80203,-3.4534998
72,2021-01-04 00:00:00+00:00,-3.6535,97.77973,-3.9534998
73,2021-01-04 01:00:00+00:00,-3.1534998,96.69968,-3.6035
74,2021-01-04 02:00:00+00:00,-3.5035,97.41716,-3.8535
75,2021-01-04 03:00:00+00:00,-3.5535,97.05186,-3.9534998
76,2021-01-04 04:00:00+00:00,-2.8535,96.34799,-3.3535
77,2021-01-04 05:00:00+00:00,-1.4535,94.27913,-2.2535
78,2021-01-04 06:00:00+00:00,-0.10349998,89.2952,-1.6535
79,2021-01-04 07:00:00+00:00,0.5465,88.374016,-1.1535
80,2021-01-04 08:00:00+00:00,1.1965001,84.02509,-1.2035
81,2021-01-04 09:00:00+00:00,1.5465,84.37462,-0.80350006
82,2021-01-04 10:00:00+00:00,1.2465,90.71545,-0.10349998
83,2021-01-04 11:00:00+00:00,0.24650002,89.652275,-1.2535
84,2021-01-04 12:00:00+00:00,-1.6035,92.543015,-2.6534998
