,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,3.1455,100.0,3.1455
1,2021-01-01 01:00:00+00:00,3.1455,99.64716,3.0955
2,2021-01-01 02:00:00+00:00,3.4955,99.99999,3.4955
3,2021-01-01 03:00:00+00:00,4.5955,98.95706,4.4455
4,2021-01-01 04:00:00+00:00,6.1955,97.61204,5.8455
5,2021-01-01 05:00:00+00:00,8.3455,91.83716,7.0955
6,2021-01-01 06:00:00+00:00,11.2455,80.953575,8.0955
7,2021-01-01 07:00:00+00:00,13.5455,70.08183,8.195499
8,2021-01-01 08:00:00+00:00,14.7455,63.74985,7.9455
9,2021-01-01 09:00:00+00:00,15.2955,61.32506,7.8954997
10,2021-01-01 10:00:00+00:00,15.2955,61.533955,7.9455
11,2021-01-01 11:00:00+00:00,14.695499,67.064735,8.6455
12,2021-01-01 12:00:00+00:00,13.445499,71.019646,8.2955
13,2021-01-01 13:00:00+00:00,9.3955,86.14083,7.1955
14,2021-01-01 14:00:00+00:00,7.6454997,91.16325,6.2955
15,2021-01-01 15:00:00+00:00,8.0955,89.33228,6.4455
16,2021-01-01 16:00:00+00:00,7.5455,90.529816,6.0955
17,2021-01-01 17:00:00+00:00,4.9455,96.57039,4.4455
18,2021-01-01 18:00:00+00:00,3.9455001,98.951584,3.7955
19,2021-01-01 19:00:00+00:00,3.5455,99.29771,3.4455001
20,2021-01-01 20:00:00+00:00,3.3955,99.64787,3.3455
21,2021-01-01 21:00:00+00:00,2.7955,100.0,2.7955
22,2021-01-01 22:00:00+00:00,2.5955,100.0,2.5955
23,2021-01-01 23:00:00+00:00,3.7455,100.0,3.7455
24,2021-01-02 00:00:00+00:00,4.4455,99.30278,4.3455
25,2021-01-02 01:00:00+00:00,4.7454996,100.0,4.7454996
26,2021-01-02 02:00:00+00:00,4.6454997,100.0,4.6454997
27,2021-01-02 03:00:00+00:00,5.2454996,98.61877,5.0455
28,2021-01-02 04:00:00+00:00,7.2454996,97.63181,6.8954997
29,2021-01-02 05:00:00+00:00,9.6455,92.85605,8.5455
30,2021-01-02 06:00:00+00:00,12.3455,83.03279,9.5455
31,2021-01-02 07:00:00+00:00,14.445499,72.904465,9.6455
32,2021-01-02 08:00:00+00:00,15.945499,67.32633,9.8955
33,2021-01-02 09:00:00+00:00,16.4955,65.00736,9.8955
34,2021-01-02 10:00:00+00:00,16.6955,63.75792,9.7955
35,2021-01-02 11:00:00+00:00,15.2455,76.27495,11.0955
36,2021-01-02 12:00:00+00:00,12.945499,82.5518,10.0455
37,2021-01-02 13:00:00+00:00,12.8455,83.930664,10.195499
38,2021-01-02 14:00:00+00:00,11.8955,91.7483,10.5955
39,2021-01-02 15:00:00+00:00,12.0455,89.64349,10.3955
40,2021-01-02 16:00:00+00:00,11.4955,90.80842,10.0455
41,2021-01-02 17:00:00+00:00,11.1455,90.78421,9.695499
42,2021-01-02 18:00:00+00:00,11.5955,85.49622,9.2455
43,2021-01-02 19:00:00+00:00,11.0455,88.66687,9.2455
44,2021-01-02 20:00:00+00:00,10.8455,90.1551,9.2955
45,2021-01-02 21:00:00+00:00,11.1455,88.37758,9.2955
46,2021-01-02 22:00:00+00:00,10.0455,91.32302,8.695499
47,2021-01-02 23:00:00+00:00,10.4955,88.321335,8.6455
48,2021-01-03 00:00:00+00:00,11.0455,90.473114,9.5455
49,2021-01-03 01:00:00+00:00,10.9955,91.69209,9.695499
50,2021-01-03 02:00:00+00:00,11.1455,91.70149,9.8455
51,2021-01-03 03:00:00+00:00,11.8955,89.33312,10.195499
52,2021-01-03 04:00:00+00:00,13.5955,85.70544,11.2455
53,2021-01-03 05:00:00+00:00,14.8455,84.1593,12.195499
54,2021-01-03 06:00:00+00:00,16.345499,82.96741,13.445499
55,2021-01-03 07:00:00+00:00,17.1455,78.85972,13.445499
56,2021-01-03 08:00:00+00:00,17.2955,80.173256,13.8455
57,2021-01-03 09:00:00+00:00,16.3955,88.24589,14.445499
58,2021-01-03 10:00:00+00:00,15.9955,87.357765,13.8955
59,2021-01-03 11:00:00+00:00,15.3455,90.47925,13.7955
60,2021-01-03 12:00:00+00:00,14.5455,93.11631,13.445499
61,2021-01-03 13:00:00+00:00,13.9955,94.6207,13.1455
62,2021-01-03 14:00:00+00:00,13.8455,95.54596,13.1455
63,2021-01-03 15:00:00+00:00,13.5955,94.91449,12.7955
64,2021-01-03 16:00:00+00:00,13.3455,94.59409,12.4955
65,2021-01-03 17:00:00+00:00,13.3955,91.84075,12.0955
66,2021-01-03 18:00:00+00:00,13.945499,87.744484,11.945499
67,2021-01-03 19:00:00+00:00,13.6455,89.17631,11.8955
68,2021-01-03 20:00:00+00:00,13.2455,91.52951,11.8955
69,2021-01-03 21:00:00+00:00,13.0955,91.21848,11.695499
70,2021-01-03 22:00:00+00:00,12.3455,91.472176,10.9955
71,2021-01-03 23:00:00+00:00,12.1455,92.68258,10.9955
72,2021-01-04 00:00:00+00:00,12.5955,94.2516,11.695499
73,2021-01-04 01:00:00+00:00,12.3955,94.554855,11.5455
74,2021-01-04 02:00:00+00:00,12.7955,94.57143,11.945499
75,2021-01-04 03:00:00+00:00,13.445499,93.059135,12.3455
76,2021-01-04 04:00:00+00:00,14.2455,91.592545,12.8955
77,2021-01-04 05:00:00+00:00,15.1455,88.138435,13.195499
78,2021-01-04 06:00:00+00:00,16.0455,85.39875,13.5955
79,2021-01-04 07:00:00+00:00,17.1455,80.9374,13.8455
80,2021-01-04 08:00:00+00:00,18.2955,77.75958,14.3455
81,2021-01-04 09:00:00+00:00,17.2955,82.81284,14.3455
82,2021-01-04 10:00:00+00:00,16.345499,90.257835,14.7455
83,2021-01-04 11:00:00+00:00,16.3955,91.13752,14.945499
84,2021-01-04 12:00:00+00:00,15.5455,87.31646,13.445499
85,2021-01-04 13:00:00+00:00,15.3455,85.604706,12.945499
86,2021-01-04 14:00:00+00:00,14.4955,88.66127,12.6455
87,2021-01-04 15:00:00+00:00,13.5455,92.75943,12.3955
88,2021-01-04 16:00:00+00:00,13.695499,91.25775,12.2955
89,2021-01-04 17:00:00+00:00,13.7955,91.56426,12.445499
90,2021-01-04 18:00:00+00:00,13.5455,93.676865,12.5455
91,2021-01-04 19:00:00+00:00,13.8455,93.08002,12.7455
92,2021-01-04 20:00:00+00:00,14.2955,89.228035,12.5455
93,2021-01-04 21:00:00+00:00,13.7455,89.18429,11.9955
94,2021-01-04 22:00:00+00:00,13.7955,88.895134,11.9955
95,2021-01-04 23:00:00+00:00,13.195499,90.02855,11.5955
96,2021-01-05 00:00:00+00:00,13.2455,90.628555,11.7455
97,2021-01-05 01:00:00+00:00,13.2955,91.83463,11.9955
98,2021-01-05 02:00:00+00:00,13.445499,93.059135,12.3455
99,2021-01-05 03:00:00+00:00,14.1455,91.8864,12.8455
100,2021-01-05 04:00:00+00:00,14.7955,91.62692,13.445499
101,2021-01-05 05:00:00+00:00,16.4455,87.68183,14.3955
102,2021-01-05 06:00:00+00:00,16.3955,91.13752,14.945499
103,2021-01-05 07:00:00+00:00,16.2955,89.96367,14.6455
104,2021-01-05 08:00:00+00:00,16.095499,90.53178,14.5455
105,2021-01-05 09:00:00+00:00,16.5455,86.8448,14.3455
106,2021-01-05 10:00:00+00:00,16.0455,87.079414,13.8955
107,2021-01-05 11:00:00+00:00,15.5455,88.46013,13.6455
108,2021-01-05 12:00:00+00:00,14.8955,88.984535,13.0955
109,2021-01-05 13:00:00+00:00,14.0955,89.79978,12.445499
110,2021-01-05 14:00:00+00:00,14.195499,89.51329,12.4955
111,2021-01-05 15:00:00+00:00,13.8455,91.56742,12.4955
112,2021-01-05 16:00:00+00:00,13.5455,91.548485,12.195499
113,2021-01-05 17:00:00+00:00,13.2455,90.628555,11.7455
114,2021-01-05 18:00:00+00:00,12.945499,90.60757,11.445499
