,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,10.328,63.624035,3.7280002
1,2021-01-01 01:00:00+00:00,10.278,64.28716,3.828
2,2021-01-01 02:00:00+00:00,10.078,65.61125,3.928
3,2021-01-01 03:00:00+00:00,11.478,60.200428,4.028
4,2021-01-01 04:00:00+00:00,14.078,51.496536,4.228
5,2021-01-01 05:00:00+00:00,16.428,48.31587,5.478
6,2021-01-01 06:00:00+00:00,18.278,48.65863,7.278
7,2021-01-01 07:00:00+00:00,20.127998,46.260845,8.228
8,2021-01-01 08:00:00+00:00,21.627998,44.679832,9.078
9,2021-01-01 09:00:00+00:00,22.377998,44.588673,9.728
10,2021-01-01 10:00:00+00:00,22.627998,44.807796,10.028
11,2021-01-01 11:00:00+00:00,22.178,46.35947,10.128
12,2021-01-01 12:00:00+00:00,20.477999,52.316475,10.378
13,2021-01-01 13:00:00+00:00,18.477999,60.236935,10.628
14,2021-01-01 14:00:00+00:00,17.678,64.19011,10.828
15,2021-01-01 15:00:00+00:00,17.127998,66.90182,10.928
16,2021-01-01 16:00:00+00:00,16.428,69.24682,10.778
17,2021-01-01 17:00:00+00:00,15.528,72.85628,10.678
18,2021-01-01 18:00:00+00:00,14.978,75.22435,10.628
19,2021-01-01 19:00:00+00:00,14.728,76.70019,10.678
20,2021-01-01 20:00:00+00:00,14.328,78.44549,10.628
21,2021-01-01 21:00:00+00:00,14.078,78.670044,10.428
22,2021-01-01 22:00:00+00:00,13.728,79.410164,10.228
23,2021-01-01 23:00:00+00:00,13.578,80.45645,10.278
24,2021-01-02 00:00:00+00:00,14.328,84.37863,11.728
25,2021-01-02 01:00:00+00:00,14.228,88.34842,12.328
26,2021-01-02 02:00:00+00:00,13.778,91.56316,12.428
27,2021-01-02 03:00:00+00:00,15.178,87.85421,13.178
28,2021-01-02 04:00:00+00:00,17.778,79.46418,14.178
29,2021-01-02 05:00:00+00:00,20.727999,69.410706,14.928
30,2021-01-02 06:00:00+00:00,22.778,64.05446,15.628
31,2021-01-02 07:00:00+00:00,24.377998,55.79023,14.978
32,2021-01-02 08:00:00+00:00,25.778,46.880547,13.578
33,2021-01-02 09:00:00+00:00,26.428,42.122604,12.528
34,2021-01-02 10:00:00+00:00,26.078,41.203392,11.878
35,2021-01-02 11:00:00+00:00,25.178,42.33107,11.478
36,2021-01-02 12:00:00+00:00,23.078,43.31183,9.928
37,2021-01-02 13:00:00+00:00,20.828,45.98661,8.778
38,2021-01-02 14:00:00+00:00,18.678,50.971035,8.328
39,2021-01-02 15:00:00+00:00,18.428,50.387657,7.928
40,2021-01-02 16:00:00+00:00,16.627998,56.832535,8.028
41,2021-01-02 17:00:00+00:00,15.378,61.344498,7.978
42,2021-01-02 18:00:00+00:00,14.478,65.00327,7.978
43,2021-01-02 19:00:00+00:00,13.978,67.828926,8.128
44,2021-01-02 20:00:00+00:00,13.728,70.35557,8.428
45,2021-01-02 21:00:00+00:00,13.628,72.51094,8.778
46,2021-01-02 22:00:00+00:00,13.178,75.68261,8.978
47,2021-01-02 23:00:00+00:00,12.678,77.934204,8.928
48,2021-01-03 00:00:00+00:00,12.078,83.00022,9.278
49,2021-01-03 01:00:00+00:00,11.328,86.336426,9.128
50,2021-01-03 02:00:00+00:00,10.978,85.43074,8.628
