,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,11.72,93.27791,10.67
1,2021-01-01 01:00:00+00:00,10.32,94.785446,9.5199995
2,2021-01-01 02:00:00+00:00,12.37,89.668465,10.72
3,2021-01-01 03:00:00+00:00,14.5199995,78.47408,10.82
4,2021-01-01 04:00:00+00:00,16.77,68.1738,10.87
5,2021-01-01 05:00:00+00:00,18.92,57.981487,10.47
6,2021-01-01 06:00:00+00:00,20.570002,48.46164,9.32
7,2021-01-01 07:00:00+00:00,21.42,43.874382,8.62
8,2021-01-01 08:00:00+00:00,21.820002,41.528404,8.17
9,2021-01-01 09:00:00+00:00,21.720001,41.35935,8.0199995
10,2021-01-01 10:00:00+00:00,21.070002,43.77618,8.2699995
11,2021-01-01 11:00:00+00:00,18.62,56.567593,9.82
12,2021-01-01 12:00:00+00:00,16.77,61.670395,9.37
13,2021-01-01 13:00:00+00:00,15.919999,62.098778,8.67
14,2021-01-01 14:00:00+00:00,14.5199995,67.02777,8.47
15,2021-01-01 15:00:00+00:00,13.5199995,74.47512,9.07
16,2021-01-01 16:00:00+00:00,13.0199995,79.308136,9.5199995
17,2021-01-01 17:00:00+00:00,12.82,81.437645,9.72
18,2021-01-01 18:00:00+00:00,12.42,82.48626,9.5199995
19,2021-01-01 19:00:00+00:00,11.7699995,84.65639,9.2699995
20,2021-01-01 20:00:00+00:00,11.17,86.32058,8.97
21,2021-01-01 21:00:00+00:00,10.67,88.03865,8.7699995
22,2021-01-01 22:00:00+00:00,10.07,90.09758,8.5199995
23,2021-01-01 23:00:00+00:00,9.5199995,91.59871,8.22
24,2021-01-02 00:00:00+00:00,10.32,93.83488,9.37
25,2021-01-02 01:00:00+00:00,9.12,95.38118,8.42
26,2021-01-02 02:00:00+00:00,11.62,89.61061,9.97
27,2021-01-02 03:00:00+00:00,13.97,77.09327,10.0199995
28,2021-01-02 04:00:00+00:00,16.52,65.4492,10.0199995
29,2021-01-02 05:00:00+00:00,18.720001,56.592644,9.92
30,2021-01-02 06:00:00+00:00,20.320002,49.713726,9.47
31,2021-01-02 07:00:00+00:00,21.27,45.64549,9.07
32,2021-01-02 08:00:00+00:00,21.820002,43.543514,8.87
33,2021-01-02 09:00:00+00:00,21.92,42.123817,8.47
34,2021-01-02 10:00:00+00:00,21.42,42.701458,8.22
