,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,3.263,99.29609,3.163
1,2021-01-01 01:00:00+00:00,3.213,98.945366,3.063
2,2021-01-01 02:00:00+00:00,3.313,98.249176,3.063
3,2021-01-01 03:00:00+00:00,4.113,98.26041,3.863
4,2021-01-01 04:00:00+00:00,6.063,98.287315,5.813
5,2021-01-01 05:00:00+00:00,9.013,94.41168,8.162999
6,2021-01-01 06:00:00+00:00,12.662999,76.3683,8.613
7,2021-01-01 07:00:00+00:00,14.813,64.41807,8.162999
8,2021-01-01 08:00:00+00:00,16.213001,58.096016,7.963
9,2021-01-01 09:00:00+00:00,17.063,53.19895,7.463
10,2021-01-01 10:00:00+00:00,17.463001,50.298622,7.013
11,2021-01-01 11:00:00+00:00,17.213001,52.696365,7.463
12,2021-01-01 12:00:00+00:00,13.662999,74.49978,9.212999
13,2021-01-01 13:00:00+00:00,12.662999,76.11041,8.563
14,2021-01-01 14:00:00+00:00,12.013,78.89425,8.462999
15,2021-01-01 15:00:00+00:00,11.313,80.68833,8.113
16,2021-01-01 16:00:00+00:00,10.813,81.170975,7.713
17,2021-01-01 17:00:00+00:00,10.613,81.42137,7.563
18,2021-01-01 18:00:00+00:00,10.263,82.776855,7.463
19,2021-01-01 19:00:00+00:00,10.162999,83.902115,7.563
20,2021-01-01 20:00:00+00:00,10.563,81.97194,7.613
21,2021-01-01 21:00:00+00:00,10.712999,81.15755,7.613
22,2021-01-01 22:00:00+00:00,10.063,83.31948,7.363
23,2021-01-01 23:00:00+00:00,10.113,85.04812,7.713
24,2021-01-02 00:00:00+00:00,9.813,86.7728,7.713
25,2021-01-02 01:00:00+00:00,10.063,84.753296,7.613
26,2021-01-02 02:00:00+00:00,9.763,84.71984,7.313
27,2021-01-02 03:00:00+00:00,10.912999,79.27038,7.463
28,2021-01-02 04:00:00+00:00,12.613,71.8329,7.663
29,2021-01-02 05:00:00+00:00,14.412999,63.674717,7.613
30,2021-01-02 06:00:00+00:00,16.163,58.28149,7.963
31,2021-01-02 07:00:00+00:00,17.213001,58.14601,8.912999
32,2021-01-02 08:00:00+00:00,17.513,63.515953,10.513
33,2021-01-02 09:00:00+00:00,17.163,69.621826,11.563
34,2021-01-02 10:00:00+00:00,17.513,67.6504,11.462999
35,2021-01-02 11:00:00+00:00,17.313,70.34379,11.863
36,2021-01-02 12:00:00+00:00,16.513,69.49411,10.912999
37,2021-01-02 13:00:00+00:00,15.363,72.342705,10.412999
38,2021-01-02 14:00:00+00:00,14.912999,72.98875,10.113
39,2021-01-02 15:00:00+00:00,14.363,75.87817,10.162999
40,2021-01-02 16:00:00+00:00,13.962999,78.91586,10.363
41,2021-01-02 17:00:00+00:00,13.763,83.203865,10.962999
42,2021-01-02 18:00:00+00:00,13.263,87.683075,11.263
43,2021-01-02 19:00:00+00:00,13.113,89.72531,11.462999
44,2021-01-02 20:00:00+00:00,12.813,91.1999,11.412999
45,2021-01-02 21:00:00+00:00,12.912999,90.60528,11.412999
46,2021-01-02 22:00:00+00:00,12.462999,91.1768,11.063
47,2021-01-02 23:00:00+00:00,12.313,91.47011,10.962999
48,2021-01-03 00:00:00+00:00,12.513,90.27709,10.962999
49,2021-01-03 01:00:00+00:00,12.063,91.45406,10.712999
50,2021-01-03 02:00:00+00:00,12.313,91.16689,10.912999
51,2021-01-03 03:00:00+00:00,13.563,88.00034,11.613
52,2021-01-03 04:00:00+00:00,15.113,83.91371,12.412999
53,2021-01-03 05:00:00+00:00,16.463001,79.53717,12.912999
54,2021-01-03 06:00:00+00:00,18.213001,74.53724,13.613
55,2021-01-03 07:00:00+00:00,19.913,69.47636,14.162999
56,2021-01-03 08:00:00+00:00,20.763,67.21528,14.462999
57,2021-01-03 09:00:00+00:00,20.913,67.02934,14.563
58,2021-01-03 10:00:00+00:00,20.713001,67.85928,14.563
59,2021-01-03 11:00:00+00:00,19.913,73.867645,15.113
60,2021-01-03 12:00:00+00:00,17.413,82.027824,14.313
61,2021-01-03 13:00:00+00:00,17.113,85.78591,14.712999
62,2021-01-03 14:00:00+00:00,16.863,87.436806,14.763
63,2021-01-03 15:00:00+00:00,16.113,90.82558,14.613
64,2021-01-03 16:00:00+00:00,15.513,92.565636,14.313
65,2021-01-03 17:00:00+00:00,15.462999,92.26386,14.212999
66,2021-01-03 18:00:00+00:00,15.063,92.54066,13.863
67,2021-01-03 19:00:00+00:00,14.763,92.825294,13.613
68,2021-01-03 20:00:00+00:00,14.363,93.10687,13.263
69,2021-01-03 21:00:00+00:00,14.313,93.40841,13.263
70,2021-01-03 22:00:00+00:00,14.113,94.62547,13.263
71,2021-01-03 23:00:00+00:00,14.063,94.93252,13.263
72,2021-01-04 00:00:00+00:00,13.513,97.74487,13.162999
73,2021-01-04 01:00:00+00:00,12.712999,98.697754,12.513
74,2021-01-04 02:00:00+00:00,12.513,98.69573,12.313
75,2021-01-04 03:00:00+00:00,14.212999,94.01473,13.263
76,2021-01-04 04:00:00+00:00,15.513,89.905815,13.863
77,2021-01-04 05:00:00+00:00,16.913,86.87959,14.712999
78,2021-01-04 06:00:00+00:00,18.213001,85.62283,15.763
79,2021-01-04 07:00:00+00:00,20.013,78.01653,16.063
80,2021-01-04 08:00:00+00:00,21.563,68.90776,15.613
81,2021-01-04 09:00:00+00:00,22.213001,65.80481,15.513
82,2021-01-04 10:00:00+00:00,21.613,68.69732,15.613
83,2021-01-04 11:00:00+00:00,20.013,79.775986,16.413
84,2021-01-04 12:00:00+00:00,18.713001,84.85854,16.113
85,2021-01-04 13:00:00+00:00,17.913,90.081726,16.263
86,2021-01-04 14:00:00+00:00,16.913,93.834816,15.912999
87,2021-01-04 15:00:00+00:00,16.663,93.52348,15.613
88,2021-01-04 16:00:00+00:00,16.663,91.155,15.212999
89,2021-01-04 17:00:00+00:00,16.313,92.01624,15.013
90,2021-01-04 18:00:00+00:00,16.013,92.29546,14.763
91,2021-01-04 19:00:00+00:00,15.763,92.57949,14.563
92,2021-01-04 20:00:00+00:00,15.613,91.97462,14.313
93,2021-01-04 21:00:00+00:00,15.462999,91.07625,14.013
94,2021-01-04 22:00:00+00:00,15.212999,90.469925,13.662999
95,2021-01-04 23:00:00+00:00,14.962999,90.7473,13.462999
96,2021-01-05 00:00:00+00:00,15.212999,88.72071,13.363
97,2021-01-05 01:00:00+00:00,14.712999,90.43464,13.162999
98,2021-01-05 02:00:00+00:00,14.912999,89.56858,13.212999
99,2021-01-05 03:00:00+00:00,15.863,87.062355,13.712999
100,2021-01-05 04:00:00+00:00,16.713001,85.74517,14.313
101,2021-01-05 05:00:00+00:00,18.013,81.31346,14.763
102,2021-01-05 06:00:00+00:00,19.063,77.62501,15.063
103,2021-01-05 07:00:00+00:00,19.863,75.78035,15.462999
104,2021-01-05 08:00:00+00:00,20.563,74.4534,15.863
105,2021-01-05 09:00:00+00:00,20.963001,70.80649,15.462999
106,2021-01-05 10:00:00+00:00,21.363,69.311356,15.513
107,2021-01-05 11:00:00+00:00,20.463001,76.36232,16.163
108,2021-01-05 12:00:00+00:00,18.763,85.1348,16.213001
109,2021-01-05 13:00:00+00:00,18.063,86.15717,15.712999
110,2021-01-05 14:00:00+00:00,17.863,85.58698,15.412999
111,2021-01-05 15:00:00+00:00,17.563,87.50005,15.462999
112,2021-01-05 16:00:00+00:00,17.163,89.16559,15.363
113,2021-01-05 17:00:00+00:00,17.013,89.44044,15.263
114,2021-01-05 18:00:00+00:00,16.963001,90.59191,15.412999
115,2021-01-05 19:00:00+00:00,16.713001,92.631744,15.513
116,2021-01-05 20:00:00+00:00,16.863,93.23455,15.763
117,2021-01-05 21:00:00+00:00,16.263,94.71197,15.412999
118,2021-01-05 22:00:00+00:00,16.013,94.70202,15.162999
119,2021-01-05 23:00:00+00:00,15.712999,95.91662,15.063
120,2021-01-06 00:00:00+00:00,15.513,94.98783,14.712999
121,2021-01-06 01:00:00+00:00,16.013,91.40696,14.613
122,2021-01-06 02:00:00+00:00,14.712999,94.34311,13.813
123,2021-01-06 03:00:00+00:00,16.113,91.70843,14.763
124,2021-01-06 04:00:00+00:00,17.413,88.33232,15.462999
125,2021-01-06 05:00:00+00:00,18.613,84.84784,16.013
126,2021-01-06 06:00:00+00:00,19.713001,79.73455,16.113
127,2021-01-06 07:00:00+00:00,20.613,74.938805,16.013
128,2021-01-06 08:00:00+00:00,21.163,69.94213,15.462999
129,2021-01-06 09:00:00+00:00,21.413,67.34812,15.113
130,2021-01-06 10:00:00+00:00,21.363,66.90614,14.962999
131,2021-01-06 11:00:00+00:00,20.713001,73.53312,15.813
132,2021-01-06 12:00:00+00:00,18.363,86.18677,16.013
133,2021-01-06 13:00:00+00:00,17.313,89.4635,15.563
134,2021-01-06 14:00:00+00:00,16.463001,92.32116,15.212999
135,2021-01-06 15:00:00+00:00,15.813,93.78386,14.813
136,2021-01-06 16:00:00+00:00,15.363,94.370766,14.462999
137,2021-01-06 17:00:00+00:00,14.962999,95.274864,14.212999
138,2021-01-06 18:00:00+00:00,14.613,96.19371,14.013
139,2021-01-06 19:00:00+00:00,14.162999,97.123245,13.712999
140,2021-01-06 20:00:00+00:00,13.712999,98.067245,13.412999
141,2021-01-06 21:00:00+00:00,13.412999,98.38334,13.162999
142,2021-01-06 22:00:00+00:00,13.212999,98.38083,12.962999
143,2021-01-06 23:00:00+00:00,12.962999,98.70029,12.763
144,2021-01-07 00:00:00+00:00,12.712999,98.697754,12.513
145,2021-01-07 01:00:00+00:00,12.313,98.693695,12.113
146,2021-01-07 02:00:00+00:00,11.912999,99.67098,11.863
147,2021-01-07 03:00:00+00:00,13.613,96.79465,13.113
