,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,12.9175,90.30634,11.367499
1,2021-01-01 01:00:00+00:00,12.4675,91.78374,11.1675
2,2021-01-01 02:00:00+00:00,14.8175,82.23846,11.8175
3,2021-01-01 03:00:00+00:00,17.5175,70.84765,12.1675
4,2021-01-01 04:00:00+00:00,20.1175,61.223427,12.4175
5,2021-01-01 05:00:00+00:00,22.2675,52.609875,12.117499
6,2021-01-01 06:00:00+00:00,23.667501,45.84887,11.3175
7,2021-01-01 07:00:00+00:00,24.5175,41.728344,10.6675
8,2021-01-01 08:00:00+00:00,24.9675,40.21785,10.5175
9,2021-01-01 09:00:00+00:00,25.0175,39.435097,10.2675
10,2021-01-01 10:00:00+00:00,24.567501,40.91659,10.4175
11,2021-01-01 11:00:00+00:00,21.567501,58.43349,13.0675
12,2021-01-01 12:00:00+00:00,18.7675,65.284164,12.117499
13,2021-01-01 13:00:00+00:00,18.8675,64.2401,11.9675
14,2021-01-01 14:00:00+00:00,18.7175,63.156128,11.5675
15,2021-01-01 15:00:00+00:00,17.4675,68.08986,11.5175
16,2021-01-01 16:00:00+00:00,16.2675,74.205086,11.6675
17,2021-01-01 17:00:00+00:00,14.6675,83.58674,11.9175
18,2021-01-01 18:00:00+00:00,14.4675,83.83951,11.7675
19,2021-01-01 19:00:00+00:00,13.867499,86.30194,11.617499
20,2021-01-01 20:00:00+00:00,13.5675,88.2918,11.6675
21,2021-01-01 21:00:00+00:00,13.2175,90.32796,11.6675
22,2021-01-01 22:00:00+00:00,12.7175,91.1936,11.3175
23,2021-01-01 23:00:00+00:00,11.9175,91.4447,10.5675
24,2021-01-02 00:00:00+00:00,12.5175,91.78683,11.2175
25,2021-01-02 01:00:00+00:00,11.9675,91.14396,10.5675
26,2021-01-02 02:00:00+00:00,14.117499,76.85924,10.117499
27,2021-01-02 03:00:00+00:00,16.667501,63.751644,9.7675
28,2021-01-02 04:00:00+00:00,19.417501,54.175106,9.9175
29,2021-01-02 05:00:00+00:00,21.667501,47.315605,9.9675
30,2021-01-02 06:00:00+00:00,23.2175,43.206085,10.0175
31,2021-01-02 07:00:00+00:00,24.2675,38.83007,9.367499
32,2021-01-02 08:00:00+00:00,24.917501,35.387627,8.5675
33,2021-01-02 09:00:00+00:00,25.167501,33.360275,7.9175
34,2021-01-02 10:00:00+00:00,24.667501,35.197235,8.2675
35,2021-01-02 11:00:00+00:00,21.5175,55.6198,12.2675
36,2021-01-02 12:00:00+00:00,18.7175,60.09364,10.8175
37,2021-01-02 13:00:00+00:00,18.3675,61.221024,10.7675
38,2021-01-02 14:00:00+00:00,17.9675,61.947903,10.5675
39,2021-01-02 15:00:00+00:00,19.067501,55.74052,10.0175
40,2021-01-02 16:00:00+00:00,18.8675,55.317883,9.7175
41,2021-01-02 17:00:00+00:00,18.2675,58.209564,9.9175
42,2021-01-02 18:00:00+00:00,15.867499,70.298225,10.4675
43,2021-01-02 19:00:00+00:00,14.5675,78.22078,10.8175
44,2021-01-02 20:00:00+00:00,12.9675,87.07609,10.867499
45,2021-01-02 21:00:00+00:00,12.617499,88.5035,10.7675
46,2021-01-02 22:00:00+00:00,12.117499,89.94826,10.5175
47,2021-01-02 23:00:00+00:00,11.9675,90.8409,10.5175
48,2021-01-03 00:00:00+00:00,12.117499,93.91891,11.1675
