,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,5.137,90.67219,3.737
1,2021-01-01 01:00:00+00:00,4.937,92.917885,3.887
2,2021-01-01 02:00:00+00:00,3.387,96.18629,2.837
3,2021-01-01 03:00:00+00:00,4.937,92.26713,3.787
4,2021-01-01 04:00:00+00:00,8.837001,80.623474,5.687
5,2021-01-01 05:00:00+00:00,12.487,67.9832,6.737
6,2021-01-01 06:00:00+00:00,14.937,56.404465,6.337
7,2021-01-01 07:00:00+00:00,16.687,47.556637,5.487
8,2021-01-01 08:00:00+00:00,17.737,43.281677,5.087
9,2021-01-01 09:00:00+00:00,18.237,41.65138,4.987
10,2021-01-01 10:00:00+00:00,18.187,42.36776,5.187
11,2021-01-01 11:00:00+00:00,17.387,46.289337,5.737
12,2021-01-01 12:00:00+00:00,13.887,61.83572,6.687
13,2021-01-01 13:00:00+00:00,12.487,68.922424,6.937
14,2021-01-01 14:00:00+00:00,11.737,74.67323,7.387
15,2021-01-01 15:00:00+00:00,11.587001,76.71408,7.637
16,2021-01-01 16:00:00+00:00,10.937,79.81655,7.587
17,2021-01-01 17:00:00+00:00,10.637,80.04676,7.337
18,2021-01-01 18:00:00+00:00,10.137,81.07992,7.037
19,2021-01-01 19:00:00+00:00,10.237,79.716354,6.887
20,2021-01-01 20:00:00+00:00,10.537001,78.4055,6.937
21,2021-01-01 21:00:00+00:00,9.887,81.88425,6.937
22,2021-01-01 22:00:00+00:00,9.787001,84.72251,7.337
23,2021-01-01 23:00:00+00:00,10.337001,84.78375,7.887
24,2021-01-02 00:00:00+00:00,10.387,88.0135,8.487
25,2021-01-02 01:00:00+00:00,10.637,89.53407,8.987
26,2021-01-02 02:00:00+00:00,10.887,87.17107,8.837001
27,2021-01-02 03:00:00+00:00,11.337001,85.757484,9.037001
28,2021-01-02 04:00:00+00:00,12.087001,87.57623,10.087001
29,2021-01-02 05:00:00+00:00,13.087001,81.4727,9.987
30,2021-01-02 06:00:00+00:00,14.537001,74.6498,10.087001
31,2021-01-02 07:00:00+00:00,15.737,68.64868,9.987
32,2021-01-02 08:00:00+00:00,16.937,65.977585,10.537001
33,2021-01-02 09:00:00+00:00,17.536999,65.66848,11.037001
34,2021-01-02 10:00:00+00:00,17.786999,67.26111,11.637
35,2021-01-02 11:00:00+00:00,17.337,72.22485,12.287001
36,2021-01-02 12:00:00+00:00,16.036999,75.400764,11.687
37,2021-01-02 13:00:00+00:00,15.037001,79.07232,11.437
38,2021-01-02 14:00:00+00:00,14.487,80.84806,11.237
39,2021-01-02 15:00:00+00:00,14.237,83.53629,11.487
40,2021-01-02 16:00:00+00:00,13.987,87.45965,11.937
41,2021-01-02 17:00:00+00:00,13.787001,90.66624,12.287001
42,2021-01-02 18:00:00+00:00,13.637,92.76442,12.487
43,2021-01-02 19:00:00+00:00,13.337001,94.2839,12.437
44,2021-01-02 20:00:00+00:00,12.987,94.57934,12.137
45,2021-01-02 21:00:00+00:00,12.937,94.88893,12.137
46,2021-01-02 22:00:00+00:00,13.137,94.89671,12.337001
47,2021-01-02 23:00:00+00:00,13.287001,94.90254,12.487
48,2021-01-03 00:00:00+00:00,13.037001,94.270874,12.137
49,2021-01-03 01:00:00+00:00,12.687,94.566925,11.837001
50,2021-01-03 02:00:00+00:00,12.737,93.94748,11.787001
51,2021-01-03 03:00:00+00:00,13.537001,91.2474,12.137
52,2021-01-03 04:00:00+00:00,14.837001,86.68141,12.637
53,2021-01-03 05:00:00+00:00,16.087,81.593155,12.937
54,2021-01-03 06:00:00+00:00,17.137,78.34646,13.337001
55,2021-01-03 07:00:00+00:00,18.687,73.17926,13.787001
56,2021-01-03 08:00:00+00:00,20.036999,72.477486,14.937
57,2021-01-03 09:00:00+00:00,20.437,73.01582,15.437
58,2021-01-03 10:00:00+00:00,20.487,73.96594,15.687
59,2021-01-03 11:00:00+00:00,19.937,75.54985,15.487
60,2021-01-03 12:00:00+00:00,17.937,75.712875,13.587001
61,2021-01-03 13:00:00+00:00,17.137,79.89146,13.637
62,2021-01-03 14:00:00+00:00,16.387,84.33235,13.737
63,2021-01-03 15:00:00+00:00,15.637,89.044235,13.837001
64,2021-01-03 16:00:00+00:00,15.287001,91.955154,13.987
65,2021-01-03 17:00:00+00:00,15.087001,93.74991,14.087001
66,2021-01-03 18:00:00+00:00,14.737,95.26676,13.987
67,2021-01-03 19:00:00+00:00,14.387,95.87527,13.737
68,2021-01-03 20:00:00+00:00,14.137,96.17987,13.537001
69,2021-01-03 21:00:00+00:00,13.937,96.17404,13.337001
70,2021-01-03 22:00:00+00:00,13.737,96.16818,13.137
71,2021-01-03 23:00:00+00:00,13.587001,95.85001,12.937
72,2021-01-04 00:00:00+00:00,13.737,96.48248,13.187
73,2021-01-04 01:00:00+00:00,14.187,94.93728,13.387
74,2021-01-04 02:00:00+00:00,14.387,93.716896,13.387
75,2021-01-04 03:00:00+00:00,14.937,91.33815,13.537001
76,2021-01-04 04:00:00+00:00,15.887,88.77614,14.037001
77,2021-01-04 05:00:00+00:00,17.137,85.78836,14.737
78,2021-01-04 06:00:00+00:00,18.337,80.31523,14.887
79,2021-01-04 07:00:00+00:00,19.087,76.63611,14.887
80,2021-01-04 08:00:00+00:00,20.187,71.34723,14.837001
81,2021-01-04 09:00:00+00:00,20.737,67.64545,14.537001
82,2021-01-04 10:00:00+00:00,19.937,71.99414,14.737
83,2021-01-04 11:00:00+00:00,19.187,77.64374,15.187
84,2021-01-04 12:00:00+00:00,17.237,90.61082,15.687
85,2021-01-04 13:00:00+00:00,17.187,91.48113,15.787001
86,2021-01-04 14:00:00+00:00,17.036999,92.35378,15.787001
87,2021-01-04 15:00:00+00:00,16.737,93.22819,15.637
88,2021-01-04 16:00:00+00:00,16.237,94.105194,15.287001
89,2021-01-04 17:00:00+00:00,16.237,94.105194,15.287001
