,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,8.4545,96.335785,7.9045
1,2021-01-01 01:00:00+00:00,7.8545003,96.97885,7.4045
2,2021-01-01 02:00:00+00:00,9.9045,92.55703,8.7545
3,2021-01-01 03:00:00+00:00,12.6045,80.86412,9.4045
4,2021-01-01 04:00:00+00:00,15.3545,67.42937,9.3545
5,2021-01-01 05:00:00+00:00,17.654501,56.897694,9.0045
6,2021-01-01 06:00:00+00:00,19.3545,49.118942,8.4045
7,2021-01-01 07:00:00+00:00,20.5045,46.052483,8.5045
8,2021-01-01 08:00:00+00:00,21.2045,44.261223,8.554501
9,2021-01-01 09:00:00+00:00,21.4545,42.71119,8.2545
10,2021-01-01 10:00:00+00:00,21.154501,43.503918,8.2545
11,2021-01-01 11:00:00+00:00,18.404501,61.84289,10.9545
12,2021-01-01 12:00:00+00:00,15.054501,69.43772,9.5045
13,2021-01-01 13:00:00+00:00,13.9045,75.80277,9.7045
14,2021-01-01 14:00:00+00:00,13.1545,78.79699,9.554501
15,2021-01-01 15:00:00+00:00,12.4045,80.83704,9.2045
16,2021-01-01 16:00:00+00:00,11.3545,83.47444,8.6545
17,2021-01-01 17:00:00+00:00,10.8545,81.73106,7.8545003
18,2021-01-01 18:00:00+00:00,10.554501,80.58401,7.3545003
19,2021-01-01 19:00:00+00:00,10.0045,82.46211,7.1545
20,2021-01-01 20:00:00+00:00,9.7045,84.71331,7.2545004
21,2021-01-01 21:00:00+00:00,9.3545,87.02481,7.3045
22,2021-01-01 22:00:00+00:00,9.1545,88.8087,7.4045
23,2021-01-01 23:00:00+00:00,8.9545,89.7071,7.3545003
24,2021-01-02 00:00:00+00:00,8.6045,92.482735,7.4545
25,2021-01-02 01:00:00+00:00,7.9545,93.721664,7.0045004
26,2021-01-02 02:00:00+00:00,9.9045,88.26984,8.054501
27,2021-01-02 03:00:00+00:00,12.804501,77.95355,9.054501
28,2021-01-02 04:00:00+00:00,15.7045,66.37881,9.4545
29,2021-01-02 05:00:00+00:00,18.0545,54.924583,8.8545
30,2021-01-02 06:00:00+00:00,19.7045,49.04802,8.7045
31,2021-01-02 07:00:00+00:00,20.904501,46.47579,9.0045
32,2021-01-02 08:00:00+00:00,21.7045,44.251575,9.0045
33,2021-01-02 09:00:00+00:00,22.0045,43.595226,9.054501
34,2021-01-02 10:00:00+00:00,21.7045,45.61243,9.4545
35,2021-01-02 11:00:00+00:00,19.0045,68.40021,13.054501
36,2021-01-02 12:00:00+00:00,16.0545,70.56875,10.7045
37,2021-01-02 13:00:00+00:00,15.9545,71.25727,10.7545
38,2021-01-02 14:00:00+00:00,15.304501,74.03841,10.7045
39,2021-01-02 15:00:00+00:00,14.2045,78.427055,10.5045
40,2021-01-02 16:00:00+00:00,13.304501,80.68825,10.054501
41,2021-01-02 17:00:00+00:00,13.7045,76.02461,9.554501
42,2021-01-02 18:00:00+00:00,14.804501,69.15493,9.2045
43,2021-01-02 19:00:00+00:00,14.804501,68.45968,9.054501
44,2021-01-02 20:00:00+00:00,12.6545,78.19395,8.9545
45,2021-01-02 21:00:00+00:00,11.2045,85.74369,8.9045
46,2021-01-02 22:00:00+00:00,10.6545,87.74031,8.7045
47,2021-01-02 23:00:00+00:00,10.1545,90.7152,8.7045
48,2021-01-03 00:00:00+00:00,9.3545,95.389565,8.6545
49,2021-01-03 01:00:00+00:00,9.4545,95.07136,8.7045
50,2021-01-03 02:00:00+00:00,11.4045,90.80213,9.9545
51,2021-01-03 03:00:00+00:00,14.7045,81.41372,11.554501
52,2021-01-03 04:00:00+00:00,17.6045,70.399734,12.1545
53,2021-01-03 05:00:00+00:00,19.7545,58.96063,11.5045
