,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,9.978,88.27626,8.128
1,2021-01-01 01:00:00+00:00,10.728,85.11514,8.328
2,2021-01-01 02:00:00+00:00,12.978,76.67755,8.978
3,2021-01-01 03:00:00+00:00,15.928,68.91697,10.228
4,2021-01-01 04:00:00+00:00,18.578,60.662636,10.828
5,2021-01-01 05:00:00+00:00,20.627998,53.58925,10.878
6,2021-01-01 06:00:00+00:00,22.328,47.65437,10.678
7,2021-01-01 07:00:00+00:00,23.428,42.547863,9.978
8,2021-01-01 08:00:00+00:00,23.828,40.98236,9.778
9,2021-01-01 09:00:00+00:00,23.727999,42.63185,10.278
10,2021-01-01 10:00:00+00:00,23.278,47.59682,11.528
11,2021-01-01 11:00:00+00:00,21.678,51.425285,11.228
12,2021-01-01 12:00:00+00:00,20.278,55.490944,11.078
13,2021-01-01 13:00:00+00:00,17.078,68.91777,11.328
14,2021-01-01 14:00:00+00:00,15.978,71.97557,10.928
15,2021-01-01 15:00:00+00:00,13.578,84.01495,10.928
16,2021-01-01 16:00:00+00:00,13.778,84.037865,11.128
17,2021-01-01 17:00:00+00:00,13.178,85.662125,10.828
18,2021-01-01 18:00:00+00:00,11.978,87.85965,10.028
19,2021-01-01 19:00:00+00:00,12.828,81.1661,9.678
20,2021-01-01 20:00:00+00:00,12.478,81.11939,9.328
21,2021-01-01 21:00:00+00:00,10.478,89.21982,8.778
22,2021-01-01 22:00:00+00:00,10.678,88.63585,8.878
23,2021-01-01 23:00:00+00:00,10.228,89.501976,8.578
24,2021-01-02 00:00:00+00:00,9.828,91.308716,8.478
25,2021-01-02 01:00:00+00:00,9.778,91.615135,8.478
26,2021-01-02 02:00:00+00:00,12.778,81.43212,9.678
27,2021-01-02 03:00:00+00:00,15.628,72.150665,10.628
28,2021-01-02 04:00:00+00:00,18.127998,62.19135,10.778
29,2021-01-02 05:00:00+00:00,20.178,55.465656,10.978
30,2021-01-02 06:00:00+00:00,21.778,52.136883,11.528
31,2021-01-02 07:00:00+00:00,22.778,48.57455,11.378
32,2021-01-02 08:00:00+00:00,23.278,44.68939,10.578
33,2021-01-02 09:00:00+00:00,23.127998,45.7005,10.778
34,2021-01-02 10:00:00+00:00,22.778,48.57455,11.378
35,2021-01-02 11:00:00+00:00,19.328,65.19074,12.628
36,2021-01-02 12:00:00+00:00,18.727999,65.06118,12.028
37,2021-01-02 13:00:00+00:00,16.477999,74.48638,11.928
38,2021-01-02 14:00:00+00:00,15.678,75.34113,11.328
39,2021-01-02 15:00:00+00:00,14.828,78.0007,11.028
40,2021-01-02 16:00:00+00:00,14.028,79.18889,10.478
41,2021-01-02 17:00:00+00:00,14.928,69.88065,9.478
42,2021-01-02 18:00:00+00:00,15.378,64.761986,8.778
43,2021-01-02 19:00:00+00:00,14.278,68.583954,8.578
44,2021-01-02 20:00:00+00:00,12.678,75.85577,8.528
45,2021-01-02 21:00:00+00:00,10.428,88.31546,8.578
46,2021-01-02 22:00:00+00:00,10.528,86.54876,8.378
47,2021-01-02 23:00:00+00:00,10.378,86.82788,8.278
48,2021-01-03 00:00:00+00:00,10.628,87.14651,8.578
49,2021-01-03 01:00:00+00:00,10.828,85.70437,8.528
50,2021-01-03 02:00:00+00:00,12.828,77.43335,8.978
51,2021-01-03 03:00:00+00:00,16.028,70.09548,10.578
52,2021-01-03 04:00:00+00:00,18.877998,59.535572,10.828
53,2021-01-03 05:00:00+00:00,21.028,50.238506,10.278
54,2021-01-03 06:00:00+00:00,22.428,44.602573,9.778
55,2021-01-03 07:00:00+00:00,23.328,41.953724,9.678
56,2021-01-03 08:00:00+00:00,23.627998,42.461765,10.128
57,2021-01-03 09:00:00+00:00,23.477999,44.448147,10.678
58,2021-01-03 10:00:00+00:00,22.578,51.832104,12.178
59,2021-01-03 11:00:00+00:00,19.278,63.909092,12.278
60,2021-01-03 12:00:00+00:00,17.328,69.8843,11.778
61,2021-01-03 13:00:00+00:00,17.127998,65.79914,10.678
62,2021-01-03 14:00:00+00:00,16.127998,67.36429,10.078
63,2021-01-03 15:00:00+00:00,14.678,71.73418,9.628
64,2021-01-03 16:00:00+00:00,13.828,72.54758,8.978
65,2021-01-03 17:00:00+00:00,13.478,73.22205,8.778
66,2021-01-03 18:00:00+00:00,12.828,77.43335,8.978
67,2021-01-03 19:00:00+00:00,12.628,76.36261,8.578
68,2021-01-03 20:00:00+00:00,11.628,78.837265,8.078
69,2021-01-03 21:00:00+00:00,10.728,82.55324,7.8780003
70,2021-01-03 22:00:00+00:00,11.028,81.47633,7.978
71,2021-01-03 23:00:00+00:00,10.728,84.827065,8.278
72,2021-01-04 00:00:00+00:00,10.678,90.446785,9.178
73,2021-01-04 01:00:00+00:00,10.678,88.93543,8.928
74,2021-01-04 02:00:00+00:00,12.928,78.49903,9.278
75,2021-01-04 03:00:00+00:00,16.428,65.6486,9.978
76,2021-01-04 04:00:00+00:00,19.377998,57.901024,10.878
77,2021-01-04 05:00:00+00:00,21.578,53.12809,11.628
78,2021-01-04 06:00:00+00:00,23.227999,46.80234,11.228
