,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,3.113,95.83699,2.513
1,2021-01-01 01:00:00+00:00,2.813,95.146736,2.113
2,2021-01-01 02:00:00+00:00,2.763,98.94153,2.613
3,2021-01-01 03:00:00+00:00,5.663,92.957756,4.613
4,2021-01-01 04:00:00+00:00,10.363,78.110504,6.713
5,2021-01-01 05:00:00+00:00,13.412999,67.942795,7.613
6,2021-01-01 06:00:00+00:00,15.263,57.662262,6.963
7,2021-01-01 07:00:00+00:00,16.613,51.11329,6.463
8,2021-01-01 08:00:00+00:00,17.513,46.807285,6.013
9,2021-01-01 09:00:00+00:00,18.013,44.11863,5.613
10,2021-01-01 10:00:00+00:00,18.013,43.511032,5.413
11,2021-01-01 11:00:00+00:00,17.263,53.981773,7.863
12,2021-01-01 12:00:00+00:00,15.763,54.706287,6.663
13,2021-01-01 13:00:00+00:00,14.513,59.89591,6.813
14,2021-01-01 14:00:00+00:00,13.462999,64.77874,6.963
15,2021-01-01 15:00:00+00:00,12.863,66.447655,6.763
16,2021-01-01 16:00:00+00:00,10.363,74.17779,5.963
17,2021-01-01 17:00:00+00:00,8.613,78.6566,5.113
18,2021-01-01 18:00:00+00:00,8.113,78.30686,4.563
19,2021-01-01 19:00:00+00:00,8.363,75.12741,4.213
20,2021-01-01 20:00:00+00:00,7.363,78.4665,3.863
21,2021-01-01 21:00:00+00:00,7.913,74.786194,3.713
22,2021-01-01 22:00:00+00:00,7.213,78.44353,3.713
23,2021-01-01 23:00:00+00:00,6.813,84.090324,4.313
24,2021-01-02 00:00:00+00:00,6.813,86.17336,4.663
25,2021-01-02 01:00:00+00:00,6.663,88.28864,4.863
26,2021-01-02 02:00:00+00:00,7.363,85.93068,5.163
27,2021-01-02 03:00:00+00:00,10.162999,74.915596,5.913
28,2021-01-02 04:00:00+00:00,12.763,66.19833,6.613
29,2021-01-02 05:00:00+00:00,13.363,64.53476,6.813
30,2021-01-02 06:00:00+00:00,14.563,61.36154,7.213
31,2021-01-02 07:00:00+00:00,16.163,56.522217,7.513
32,2021-01-02 08:00:00+00:00,16.213001,57.89882,7.913
33,2021-01-02 09:00:00+00:00,16.963001,55.76978,8.063
34,2021-01-02 10:00:00+00:00,17.263,56.41648,8.513
35,2021-01-02 11:00:00+00:00,16.863,61.27879,9.363
36,2021-01-02 12:00:00+00:00,16.513,59.767414,8.662999
37,2021-01-02 13:00:00+00:00,15.813,62.70684,8.712999
38,2021-01-02 14:00:00+00:00,14.162999,70.678215,8.912999
39,2021-01-02 15:00:00+00:00,12.662999,76.62696,8.662999
40,2021-01-02 16:00:00+00:00,12.212999,79.19097,8.712999
41,2021-01-02 17:00:00+00:00,13.712999,70.83069,8.513
42,2021-01-02 18:00:00+00:00,11.962999,80.23299,8.662999
43,2021-01-02 19:00:00+00:00,11.263,82.62016,8.412999
44,2021-01-02 20:00:00+00:00,11.813,77.53733,8.013
45,2021-01-02 21:00:00+00:00,10.813,83.40972,8.113
46,2021-01-02 22:00:00+00:00,11.763,78.05824,8.063
47,2021-01-02 23:00:00+00:00,11.462999,79.89139,8.113
48,2021-01-03 00:00:00+00:00,11.813,84.093376,9.212999
49,2021-01-03 01:00:00+00:00,11.962999,84.677826,9.462999
50,2021-01-03 02:00:00+00:00,13.013,78.248184,9.313
51,2021-01-03 03:00:00+00:00,14.063,77.36598,10.162999
52,2021-01-03 04:00:00+00:00,15.712999,80.48171,12.363
53,2021-01-03 05:00:00+00:00,17.363,81.75658,14.212999
54,2021-01-03 06:00:00+00:00,18.963001,79.37529,15.313
55,2021-01-03 07:00:00+00:00,19.413,81.49375,16.163
56,2021-01-03 08:00:00+00:00,20.013,80.540665,16.563
57,2021-01-03 09:00:00+00:00,20.313,74.64986,15.662999
58,2021-01-03 10:00:00+00:00,20.213001,76.07945,15.863
59,2021-01-03 11:00:00+00:00,18.963001,87.90338,16.913
60,2021-01-03 12:00:00+00:00,17.313,88.60755,15.412999
61,2021-01-03 13:00:00+00:00,16.813,90.29121,15.212999
62,2021-01-03 14:00:00+00:00,16.463001,89.97598,14.813
63,2021-01-03 15:00:00+00:00,16.363,89.678986,14.662999
64,2021-01-03 16:00:00+00:00,16.263,89.96127,14.613
65,2021-01-03 17:00:00+00:00,16.163,89.66389,14.462999
66,2021-01-03 18:00:00+00:00,15.863,89.64111,14.162999
67,2021-01-03 19:00:00+00:00,15.563,91.08286,14.113
68,2021-01-03 20:00:00+00:00,15.263,91.95371,13.962999
69,2021-01-03 21:00:00+00:00,15.212999,92.84942,14.063
70,2021-01-03 22:00:00+00:00,14.763,93.43067,13.712999
71,2021-01-03 23:00:00+00:00,14.513,94.33457,13.613
72,2021-01-04 00:00:00+00:00,14.513,95.879234,13.863
73,2021-01-04 01:00:00+00:00,14.662999,95.26411,13.912999
74,2021-01-04 02:00:00+00:00,14.912999,94.65792,14.063
75,2021-01-04 03:00:00+00:00,16.013,90.81881,14.513
76,2021-01-04 04:00:00+00:00,16.913,89.14584,15.113
77,2021-01-04 05:00:00+00:00,19.263,80.183495,15.763
78,2021-01-04 06:00:00+00:00,21.263,72.003555,16.013
79,2021-01-04 07:00:00+00:00,22.513,65.86783,15.813
80,2021-01-04 08:00:00+00:00,23.113,61.711334,15.363
81,2021-01-04 09:00:00+00:00,23.513,59.66151,15.212999
82,2021-01-04 10:00:00+00:00,23.213001,61.14294,15.313
83,2021-01-04 11:00:00+00:00,21.963001,68.986084,16.013
84,2021-01-04 12:00:00+00:00,19.863,76.02359,15.513
85,2021-01-04 13:00:00+00:00,19.963001,75.55406,15.513
86,2021-01-04 14:00:00+00:00,17.063,88.87187,15.212999
87,2021-01-04 15:00:00+00:00,16.113,91.70843,14.763
88,2021-01-04 16:00:00+00:00,16.113,91.70843,14.763
89,2021-01-04 17:00:00+00:00,15.962999,91.109184,14.513
90,2021-01-04 18:00:00+00:00,15.763,90.80185,14.263
91,2021-01-04 19:00:00+00:00,15.662999,90.795074,14.162999
92,2021-01-04 20:00:00+00:00,15.412999,92.56013,14.212999
93,2021-01-04 21:00:00+00:00,15.063,94.66396,14.212999
94,2021-01-04 22:00:00+00:00,14.513,95.879234,13.863
95,2021-01-04 23:00:00+00:00,14.462999,95.877655,13.813
96,2021-01-05 00:00:00+00:00,14.613,95.57188,13.912999
