,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,8.337001,93.740166,7.387
1,2021-01-01 01:00:00+00:00,7.987,94.36714,7.137
2,2021-01-01 02:00:00+00:00,9.837001,93.180725,8.787001
3,2021-01-01 03:00:00+00:00,12.487,81.12059,9.337001
4,2021-01-01 04:00:00+00:00,15.187,70.1662,9.787001
5,2021-01-01 05:00:00+00:00,17.337,57.98075,8.987
6,2021-01-01 06:00:00+00:00,18.837,48.480404,7.737
7,2021-01-01 07:00:00+00:00,19.837,43.72718,7.137
8,2021-01-01 08:00:00+00:00,20.437,41.84681,7.037
9,2021-01-01 09:00:00+00:00,20.637,40.77112,6.837
10,2021-01-01 10:00:00+00:00,20.286999,41.947735,6.937
11,2021-01-01 11:00:00+00:00,17.487,63.93462,10.587001
12,2021-01-01 12:00:00+00:00,15.737,61.428898,8.337001
13,2021-01-01 13:00:00+00:00,15.537001,60.1428,7.837
14,2021-01-01 14:00:00+00:00,13.887,67.81005,8.037001
15,2021-01-01 15:00:00+00:00,12.787001,74.09653,8.287001
16,2021-01-01 16:00:00+00:00,12.087001,77.31736,8.237
17,2021-01-01 17:00:00+00:00,10.987,80.91853,7.837
18,2021-01-01 18:00:00+00:00,9.987,83.59547,7.337
19,2021-01-01 19:00:00+00:00,9.487,83.822784,6.887
20,2021-01-01 20:00:00+00:00,8.887,85.20573,6.537
21,2021-01-01 21:00:00+00:00,9.187,83.7874,6.587
22,2021-01-01 22:00:00+00:00,8.787001,86.3747,6.637
23,2021-01-01 23:00:00+00:00,8.987,86.09895,6.787
24,2021-01-02 00:00:00+00:00,9.537001,89.752144,7.937
25,2021-01-02 01:00:00+00:00,8.987,94.410545,8.137
26,2021-01-02 02:00:00+00:00,9.787001,96.69844,9.287001
27,2021-01-02 03:00:00+00:00,12.587001,83.340836,9.837001
28,2021-01-02 04:00:00+00:00,15.187,70.40165,9.837001
29,2021-01-02 05:00:00+00:00,17.286999,59.351574,9.287001
30,2021-01-02 06:00:00+00:00,18.887,51.896847,8.787001
31,2021-01-02 07:00:00+00:00,20.087,46.722427,8.337001
32,2021-01-02 08:00:00+00:00,20.786999,43.400505,7.887
33,2021-01-02 09:00:00+00:00,21.036999,42.44862,7.787
34,2021-01-02 10:00:00+00:00,20.786999,44.59584,8.287001
35,2021-01-02 11:00:00+00:00,18.937,62.376392,11.587001
36,2021-01-02 12:00:00+00:00,19.187,51.453278,8.937
37,2021-01-02 13:00:00+00:00,18.087,55.67887,9.087001
38,2021-01-02 14:00:00+00:00,16.937,60.4772,9.237
39,2021-01-02 15:00:00+00:00,16.286999,63.452595,9.337001
40,2021-01-02 16:00:00+00:00,14.837001,69.62831,9.337001
41,2021-01-02 17:00:00+00:00,12.787001,77.95088,9.037001
42,2021-01-02 18:00:00+00:00,11.787001,80.75311,8.587001
43,2021-01-02 19:00:00+00:00,11.887,76.24185,7.837
44,2021-01-02 20:00:00+00:00,13.787001,64.85062,7.287
45,2021-01-02 21:00:00+00:00,13.687,66.62408,7.587
46,2021-01-02 22:00:00+00:00,13.487,72.73054,8.687
47,2021-01-02 23:00:00+00:00,12.337001,82.475876,9.437
48,2021-01-03 00:00:00+00:00,11.337001,92.947525,10.237
49,2021-01-03 01:00:00+00:00,10.587001,96.0742,9.987
50,2021-01-03 02:00:00+00:00,11.687,96.426605,11.137
51,2021-01-03 03:00:00+00:00,14.287001,81.08971,11.087001
52,2021-01-03 04:00:00+00:00,16.737,67.715385,10.737
53,2021-01-03 05:00:00+00:00,18.837,59.32815,10.737
54,2021-01-03 06:00:00+00:00,20.036999,56.92092,11.237
55,2021-01-03 07:00:00+00:00,20.786999,55.25295,11.487
56,2021-01-03 08:00:00+00:00,21.286999,53.404892,11.437
57,2021-01-03 09:00:00+00:00,21.536999,52.593346,11.437
58,2021-01-03 10:00:00+00:00,21.087,54.60303,11.587001
59,2021-01-03 11:00:00+00:00,20.237,66.45708,13.787001
60,2021-01-03 12:00:00+00:00,19.337,63.503494,12.237
61,2021-01-03 13:00:00+00:00,18.437,66.95373,12.187
62,2021-01-03 14:00:00+00:00,16.437,77.98647,12.587001
63,2021-01-03 15:00:00+00:00,15.437,83.129845,12.587001
64,2021-01-03 16:00:00+00:00,15.437,81.50911,12.287001
65,2021-01-03 17:00:00+00:00,14.337001,82.99764,11.487
66,2021-01-03 18:00:00+00:00,13.537001,84.28973,10.937
67,2021-01-03 19:00:00+00:00,14.137,80.26574,10.787001
68,2021-01-03 20:00:00+00:00,14.187,80.27263,10.837001
69,2021-01-03 21:00:00+00:00,14.687,80.6078,11.387
70,2021-01-03 22:00:00+00:00,12.487,90.27519,10.937
71,2021-01-03 23:00:00+00:00,12.337001,91.16848,10.937
72,2021-01-04 00:00:00+00:00,13.087001,92.42932,11.887
73,2021-01-04 01:00:00+00:00,14.087001,90.09424,12.487
74,2021-01-04 02:00:00+00:00,14.087001,92.48597,12.887
75,2021-01-04 03:00:00+00:00,15.437,85.056526,12.937
76,2021-01-04 04:00:00+00:00,17.536999,74.66614,12.987
77,2021-01-04 05:00:00+00:00,19.437,65.857475,12.887
78,2021-01-04 06:00:00+00:00,20.837,59.80518,12.737
79,2021-01-04 07:00:00+00:00,22.187,54.16746,12.487
80,2021-01-04 08:00:00+00:00,23.087,51.120247,12.437
81,2021-01-04 09:00:00+00:00,23.387,49.710003,12.287001
82,2021-01-04 10:00:00+00:00,23.286999,49.35757,12.087001
83,2021-01-04 11:00:00+00:00,22.337,58.050236,13.687
84,2021-01-04 12:00:00+00:00,21.487,58.033436,12.887
85,2021-01-04 13:00:00+00:00,20.087,63.87847,13.037001
86,2021-01-04 14:00:00+00:00,19.286999,66.692604,12.937
87,2021-01-04 15:00:00+00:00,16.587,78.00903,12.737
88,2021-01-04 16:00:00+00:00,15.237,83.10592,12.387
89,2021-01-04 17:00:00+00:00,14.437,85.79214,12.087001
90,2021-01-04 18:00:00+00:00,14.387,83.8302,11.687
91,2021-01-04 19:00:00+00:00,14.087001,84.35162,11.487
92,2021-01-04 20:00:00+00:00,15.137,78.825836,11.487
93,2021-01-04 21:00:00+00:00,14.687,85.25572,12.237
94,2021-01-04 22:00:00+00:00,13.737,88.306366,11.837001
95,2021-01-04 23:00:00+00:00,14.537001,83.296234,11.737
96,2021-01-05 00:00:00+00:00,13.637,90.954445,12.187
97,2021-01-05 01:00:00+00:00,14.787001,85.26633,12.337001
98,2021-01-05 02:00:00+00:00,14.687,89.25902,12.937
99,2021-01-05 03:00:00+00:00,16.837,78.558075,13.087001
100,2021-01-05 04:00:00+00:00,19.087,68.86459,13.237
101,2021-01-05 05:00:00+00:00,21.036999,61.036514,13.237
102,2021-01-05 06:00:00+00:00,22.087,57.61315,13.337001
103,2021-01-05 07:00:00+00:00,22.887,55.780422,13.587001
104,2021-01-05 08:00:00+00:00,22.786999,55.75547,13.487
105,2021-01-05 09:00:00+00:00,22.137,63.096794,14.787001
106,2021-01-05 10:00:00+00:00,21.237,69.064964,15.337001
107,2021-01-05 11:00:00+00:00,20.237,71.5865,14.937
108,2021-01-05 12:00:00+00:00,20.036999,69.276,14.237
109,2021-01-05 13:00:00+00:00,19.887,69.24666,14.087001
110,2021-01-05 14:00:00+00:00,19.737,71.49449,14.437
111,2021-01-05 15:00:00+00:00,19.237,75.67914,14.837001
112,2021-01-05 16:00:00+00:00,18.137,82.1184,15.037001
113,2021-01-05 17:00:00+00:00,18.286999,80.30848,14.837001
114,2021-01-05 18:00:00+00:00,17.637,82.321205,14.587001
115,2021-01-05 19:00:00+00:00,18.036999,78.73342,14.287001
116,2021-01-05 20:00:00+00:00,17.237,83.074005,14.337001
117,2021-01-05 21:00:00+00:00,16.536999,87.97358,14.537001
118,2021-01-05 22:00:00+00:00,16.587,88.54735,14.687
119,2021-01-05 23:00:00+00:00,15.637,91.97609,14.337001
120,2021-01-06 00:00:00+00:00,16.087,92.89591,14.937
121,2021-01-06 01:00:00+00:00,15.737,94.386604,14.837001
122,2021-01-06 02:00:00+00:00,16.887,89.71849,15.187
123,2021-01-06 03:00:00+00:00,18.837,81.15952,15.537001
124,2021-01-06 04:00:00+00:00,20.887,73.328705,15.937
125,2021-01-06 05:00:00+00:00,21.837,70.294464,16.187
126,2021-01-06 06:00:00+00:00,22.737,66.125404,16.087
127,2021-01-06 07:00:00+00:00,23.087,64.32667,15.987
128,2021-01-06 08:00:00+00:00,24.437,58.181072,15.687
129,2021-01-06 09:00:00+00:00,24.637,56.757412,15.487
130,2021-01-06 10:00:00+00:00,23.987,60.92987,15.987
131,2021-01-06 11:00:00+00:00,22.536999,65.45301,15.737
132,2021-01-06 12:00:00+00:00,21.087,73.12988,16.087
133,2021-01-06 13:00:00+00:00,20.687,73.29387,15.737
134,2021-01-06 14:00:00+00:00,19.937,76.52373,15.687
135,2021-01-06 15:00:00+00:00,19.337,79.4279,15.687
136,2021-01-06 16:00:00+00:00,18.887,81.42631,15.637
137,2021-01-06 17:00:00+00:00,18.337,83.47134,15.487
138,2021-01-06 18:00:00+00:00,17.937,85.04754,15.387
139,2021-01-06 19:00:00+00:00,17.437,87.20843,15.287001
140,2021-01-06 20:00:00+00:00,17.036999,88.30051,15.087001
141,2021-01-06 21:00:00+00:00,16.587,89.6959,14.887
142,2021-01-06 22:00:00+00:00,16.137,90.82721,14.637
