,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,9.2025,84.07764,6.6525
1,2021-01-01 01:00:00+00:00,9.2025,84.94809,6.8025002
2,2021-01-01 02:00:00+00:00,10.1525,81.08201,7.0525002
3,2021-01-01 03:00:00+00:00,12.9025,68.77123,7.3025002
4,2021-01-01 04:00:00+00:00,15.6525,59.96627,7.9025
5,2021-01-01 05:00:00+00:00,18.1525,55.88336,9.2025
6,2021-01-01 06:00:00+00:00,20.3025,52.97279,10.4025
7,2021-01-01 07:00:00+00:00,21.9025,50.80736,11.252501
8,2021-01-01 08:00:00+00:00,23.0025,48.957306,11.7025
9,2021-01-01 09:00:00+00:00,23.5525,47.986626,11.9025
10,2021-01-01 10:00:00+00:00,23.5025,48.13148,11.9025
11,2021-01-01 11:00:00+00:00,22.4025,53.340977,12.4525
12,2021-01-01 12:00:00+00:00,19.0025,66.6332,12.6525
13,2021-01-01 13:00:00+00:00,17.8025,73.2618,12.9525
14,2021-01-01 14:00:00+00:00,16.6525,78.78808,12.9525
15,2021-01-01 15:00:00+00:00,15.6525,81.27,12.4525
16,2021-01-01 16:00:00+00:00,14.8025,83.32774,12.002501
17,2021-01-01 17:00:00+00:00,14.3025,84.09771,11.6525
18,2021-01-01 18:00:00+00:00,13.8025,85.72684,11.4525
19,2021-01-01 19:00:00+00:00,13.4025,86.8291,11.252501
20,2021-01-01 20:00:00+00:00,13.002501,88.5361,11.1525
21,2021-01-01 21:00:00+00:00,12.6525,91.189316,11.252501
22,2021-01-01 22:00:00+00:00,12.7025,92.10237,11.4525
23,2021-01-01 23:00:00+00:00,12.9525,91.81361,11.6525
24,2021-01-02 00:00:00+00:00,12.9525,92.42166,11.752501
25,2021-01-02 01:00:00+00:00,12.9025,91.81054,11.6025
26,2021-01-02 02:00:00+00:00,13.4025,89.74734,11.752501
27,2021-01-02 03:00:00+00:00,16.1025,78.44974,12.3525
28,2021-01-02 04:00:00+00:00,19.1525,66.882996,12.8525
29,2021-01-02 05:00:00+00:00,21.9025,57.00701,13.002501
30,2021-01-02 06:00:00+00:00,24.1025,49.900253,13.002501
31,2021-01-02 07:00:00+00:00,25.5025,44.566223,12.5525
32,2021-01-02 08:00:00+00:00,26.1525,41.224186,11.9525
33,2021-01-02 09:00:00+00:00,26.3025,39.79613,11.5525
34,2021-01-02 10:00:00+00:00,26.0025,40.374508,11.502501
35,2021-01-02 11:00:00+00:00,24.7525,47.217014,12.752501
36,2021-01-02 12:00:00+00:00,21.0025,61.628304,13.3525
37,2021-01-02 13:00:00+00:00,20.1025,65.57018,13.4525
38,2021-01-02 14:00:00+00:00,20.1025,63.881878,13.0525
39,2021-01-02 15:00:00+00:00,19.4525,66.076416,12.9525
40,2021-01-02 16:00:00+00:00,18.4025,73.84608,13.6525
41,2021-01-02 17:00:00+00:00,17.6525,78.16843,13.8025
42,2021-01-02 18:00:00+00:00,16.8025,82.75323,13.8525
43,2021-01-02 19:00:00+00:00,16.4525,84.33964,13.8025
44,2021-01-02 20:00:00+00:00,15.8525,86.21635,13.5525
45,2021-01-02 21:00:00+00:00,15.5525,84.79147,13.002501
46,2021-01-02 22:00:00+00:00,15.5525,80.45988,12.2025
47,2021-01-02 23:00:00+00:00,15.6025,76.33243,11.4525
48,2021-01-03 00:00:00+00:00,15.1025,79.86949,11.6525
49,2021-01-03 01:00:00+00:00,15.3525,77.56542,11.4525
50,2021-01-03 02:00:00+00:00,15.952499,74.39649,11.4025
51,2021-01-03 03:00:00+00:00,17.8025,67.70978,11.752501
52,2021-01-03 04:00:00+00:00,19.5025,62.710896,12.2025
53,2021-01-03 05:00:00+00:00,22.0025,56.291157,12.9025
54,2021-01-03 06:00:00+00:00,24.5525,50.510117,13.6025
55,2021-01-03 07:00:00+00:00,26.1025,46.664356,13.8025
56,2021-01-03 08:00:00+00:00,26.9025,44.514427,13.8025
57,2021-01-03 09:00:00+00:00,27.3025,43.340477,13.752501
58,2021-01-03 10:00:00+00:00,26.9525,43.810688,13.6025
59,2021-01-03 11:00:00+00:00,25.5025,49.463596,14.1525
60,2021-01-03 12:00:00+00:00,22.6025,61.397026,14.8025
61,2021-01-03 13:00:00+00:00,21.7525,65.286415,14.9525
62,2021-01-03 14:00:00+00:00,21.0525,70.370834,15.4525
63,2021-01-03 15:00:00+00:00,20.4025,74.90394,15.8025
64,2021-01-03 16:00:00+00:00,19.9025,76.0299,15.5525
65,2021-01-03 17:00:00+00:00,19.3525,77.41991,15.3025
66,2021-01-03 18:00:00+00:00,18.6525,79.587006,15.0525
67,2021-01-03 19:00:00+00:00,17.8025,82.34162,14.752501
68,2021-01-03 20:00:00+00:00,17.6025,82.582985,14.6025
69,2021-01-03 21:00:00+00:00,16.8525,85.206924,14.3525
70,2021-01-03 22:00:00+00:00,16.5525,83.2624,13.7025
71,2021-01-03 23:00:00+00:00,16.0025,82.92612,13.1025
72,2021-01-04 00:00:00+00:00,16.7525,81.67865,13.6025
73,2021-01-04 01:00:00+00:00,16.8025,80.62904,13.4525
74,2021-01-04 02:00:00+00:00,16.8025,80.10556,13.3525
75,2021-01-04 03:00:00+00:00,17.6025,75.90536,13.3025
76,2021-01-04 04:00:00+00:00,18.7525,69.70314,13.1025
77,2021-01-04 05:00:00+00:00,19.7025,65.05834,12.9525
78,2021-01-04 06:00:00+00:00,20.7025,61.559425,13.0525
79,2021-01-04 07:00:00+00:00,22.0025,57.218044,13.1525
80,2021-01-04 08:00:00+00:00,22.6525,55.179592,13.2025
81,2021-01-04 09:00:00+00:00,23.0025,54.55246,13.3525
82,2021-01-04 10:00:00+00:00,23.2525,53.384907,13.252501
83,2021-01-04 11:00:00+00:00,22.4525,61.95895,14.8025
84,2021-01-04 12:00:00+00:00,20.1025,70.41722,14.5525
85,2021-01-04 13:00:00+00:00,19.6525,70.33169,14.1025
86,2021-01-04 14:00:00+00:00,18.4025,76.52841,14.2025
87,2021-01-04 15:00:00+00:00,18.6525,76.07455,14.3525
88,2021-01-04 16:00:00+00:00,18.3525,78.52534,14.5525
89,2021-01-04 17:00:00+00:00,18.0525,80.79612,14.7025
90,2021-01-04 18:00:00+00:00,17.8025,82.34162,14.752501
91,2021-01-04 19:00:00+00:00,17.6025,82.84982,14.6525
92,2021-01-04 20:00:00+00:00,17.7525,81.54246,14.5525
93,2021-01-04 21:00:00+00:00,18.0525,80.2766,14.6025
94,2021-01-04 22:00:00+00:00,18.4525,78.793655,14.7025
95,2021-01-04 23:00:00+00:00,17.8525,85.86074,15.4525
96,2021-01-05 00:00:00+00:00,17.3025,90.325966,15.7025
97,2021-01-05 01:00:00+00:00,17.1025,92.35746,15.8525
98,2021-01-05 02:00:00+00:00,17.1525,92.065704,15.8525
99,2021-01-05 03:00:00+00:00,17.9525,89.22756,16.1525
100,2021-01-05 04:00:00+00:00,18.3525,88.13035,16.3525
101,2021-01-05 05:00:00+00:00,18.5025,87.30594,16.3525
102,2021-01-05 06:00:00+00:00,19.7025,77.9704,15.752501
103,2021-01-05 07:00:00+00:00,22.5525,56.611492,13.502501
104,2021-01-05 08:00:00+00:00,22.7525,56.110863,13.5525
105,2021-01-05 09:00:00+00:00,22.0525,59.70295,13.8525
106,2021-01-05 10:00:00+00:00,22.3525,59.387695,14.0525
107,2021-01-05 11:00:00+00:00,21.4525,64.8029,14.5525
108,2021-01-05 12:00:00+00:00,20.3525,72.76709,15.3025
109,2021-01-05 13:00:00+00:00,18.7525,81.148506,15.4525
110,2021-01-05 14:00:00+00:00,18.0525,85.33271,15.5525
111,2021-01-05 15:00:00+00:00,17.3525,89.18048,15.5525
112,2021-01-05 16:00:00+00:00,17.5525,88.344086,15.6025
113,2021-01-05 17:00:00+00:00,16.5525,93.21888,15.4525
114,2021-01-05 18:00:00+00:00,16.2025,94.40619,15.3025
115,2021-01-05 19:00:00+00:00,15.9025,95.00255,15.1025
116,2021-01-05 20:00:00+00:00,15.9025,93.486565,14.8525
117,2021-01-05 21:00:00+00:00,15.8025,91.98595,14.502501
118,2021-01-05 22:00:00+00:00,15.6525,91.68008,14.3025
119,2021-01-05 23:00:00+00:00,15.3525,91.95908,14.0525
120,2021-01-06 00:00:00+00:00,15.252501,89.594574,13.5525
121,2021-01-06 01:00:00+00:00,14.9025,90.15377,13.3025
122,2021-01-06 02:00:00+00:00,15.3025,88.728096,13.4525
123,2021-01-06 03:00:00+00:00,17.5525,78.918625,13.8525
124,2021-01-06 04:00:00+00:00,20.1025,69.065025,14.252501
125,2021-01-06 05:00:00+00:00,22.7525,59.867733,14.5525
126,2021-01-06 06:00:00+00:00,24.8525,51.083515,14.0525
127,2021-01-06 07:00:00+00:00,26.2025,45.93943,13.6525
128,2021-01-06 08:00:00+00:00,26.8025,44.631805,13.752501
129,2021-01-06 09:00:00+00:00,26.9025,45.095856,14.002501
130,2021-01-06 10:00:00+00:00,26.4025,48.28139,14.6025
131,2021-01-06 11:00:00+00:00,24.9525,56.11178,15.6025
132,2021-01-06 12:00:00+00:00,22.6025,65.25787,15.752501
133,2021-01-06 13:00:00+00:00,21.9525,69.20452,16.0525
134,2021-01-06 14:00:00+00:00,21.2025,74.560616,16.5025
135,2021-01-06 15:00:00+00:00,20.4025,79.3246,16.7025
