,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,17.365,91.200584,15.915
1,2021-01-01 01:00:00+00:00,16.865,92.344025,15.615
2,2021-01-01 02:00:00+00:00,17.265001,90.323296,15.665
3,2021-01-01 03:00:00+00:00,19.965,80.53429,16.515001
4,2021-01-01 04:00:00+00:00,22.815,70.92577,17.265001
5,2021-01-01 05:00:00+00:00,25.315,62.20738,17.565
6,2021-01-01 06:00:00+00:00,27.365,53.912052,17.215
7,2021-01-01 07:00:00+00:00,28.515001,48.68696,16.665
8,2021-01-01 08:00:00+00:00,28.315,49.25631,16.665
9,2021-01-01 09:00:00+00:00,28.665,47.655148,16.465
10,2021-01-01 10:00:00+00:00,28.765001,46.780148,16.265001
11,2021-01-01 11:00:00+00:00,28.115,48.736206,16.315
12,2021-01-01 12:00:00+00:00,26.765001,57.273655,17.615
13,2021-01-01 13:00:00+00:00,24.715,64.26974,17.515001
14,2021-01-01 14:00:00+00:00,24.865,62.303516,17.165
15,2021-01-01 15:00:00+00:00,23.515001,67.987305,17.265001
16,2021-01-01 16:00:00+00:00,24.215,62.15799,16.515001
17,2021-01-01 17:00:00+00:00,21.915,76.34851,17.565
18,2021-01-01 18:00:00+00:00,21.315,80.20674,17.765001
19,2021-01-01 19:00:00+00:00,20.215,89.12269,18.365
20,2021-01-01 20:00:00+00:00,20.965,83.509544,18.065
21,2021-01-01 21:00:00+00:00,21.065,83.783516,18.215
22,2021-01-01 22:00:00+00:00,20.615,83.46932,17.715
23,2021-01-01 23:00:00+00:00,20.365,82.1329,17.215
24,2021-01-02 00:00:00+00:00,18.465,92.72672,17.265001
25,2021-01-02 01:00:00+00:00,17.615,94.16562,16.665
26,2021-01-02 02:00:00+00:00,18.265001,90.681206,16.715
27,2021-01-02 03:00:00+00:00,20.815,78.383156,16.915
28,2021-01-02 04:00:00+00:00,23.115,67.47807,16.765001
29,2021-01-02 05:00:00+00:00,24.965,59.620773,16.565
30,2021-01-02 06:00:00+00:00,26.565,52.52602,16.065
31,2021-01-02 07:00:00+00:00,27.815,47.732925,15.714999
32,2021-01-02 08:00:00+00:00,28.815,44.036743,15.365
33,2021-01-02 09:00:00+00:00,28.865,42.247566,14.764999
34,2021-01-02 10:00:00+00:00,28.915,41.719852,14.615
35,2021-01-02 11:00:00+00:00,28.615,42.31514,14.565
36,2021-01-02 12:00:00+00:00,26.965,48.275925,15.115
37,2021-01-02 13:00:00+00:00,24.765001,52.062584,14.264999
38,2021-01-02 14:00:00+00:00,23.865,55.483273,14.415
39,2021-01-02 15:00:00+00:00,21.915,65.53124,15.165
40,2021-01-02 16:00:00+00:00,22.565,61.190895,14.714999
41,2021-01-02 17:00:00+00:00,21.965,63.466568,14.714999
42,2021-01-02 18:00:00+00:00,21.215,67.307724,14.915
43,2021-01-02 19:00:00+00:00,20.365,72.07177,15.165
44,2021-01-02 20:00:00+00:00,18.865,79.87263,15.315
45,2021-01-02 21:00:00+00:00,17.865,86.69109,15.615
46,2021-01-02 22:00:00+00:00,18.365,82.41084,15.315
47,2021-01-02 23:00:00+00:00,17.765001,84.48471,15.115
48,2021-01-03 00:00:00+00:00,15.764999,93.78163,14.764999
49,2021-01-03 01:00:00+00:00,14.565,94.95175,13.764999
50,2021-01-03 02:00:00+00:00,15.065,93.14309,13.964999
51,2021-01-03 03:00:00+00:00,17.515001,77.38921,13.514999
52,2021-01-03 04:00:00+00:00,20.665,58.79187,12.315
53,2021-01-03 05:00:00+00:00,23.665,49.296524,12.415
54,2021-01-03 06:00:00+00:00,26.065,44.866894,13.165
55,2021-01-03 07:00:00+00:00,27.465,39.46885,12.464999
56,2021-01-03 08:00:00+00:00,28.265001,35.854195,11.714999
57,2021-01-03 09:00:00+00:00,28.465,35.32283,11.665
58,2021-01-03 10:00:00+00:00,28.465,35.20638,11.615
59,2021-01-03 11:00:00+00:00,28.315,35.986683,11.815
60,2021-01-03 12:00:00+00:00,26.315,53.136517,16.015
61,2021-01-03 13:00:00+00:00,23.715,51.621086,13.165
62,2021-01-03 14:00:00+00:00,23.315,56.25028,14.115
63,2021-01-03 15:00:00+00:00,21.465,60.937103,13.615
64,2021-01-03 16:00:00+00:00,21.015001,63.4617,13.815
65,2021-01-03 17:00:00+00:00,19.915,76.0319,15.565
66,2021-01-03 18:00:00+00:00,19.515001,76.94958,15.365
67,2021-01-03 19:00:00+00:00,19.465,78.18506,15.565
68,2021-01-03 20:00:00+00:00,19.265001,87.09892,17.065
69,2021-01-03 21:00:00+00:00,19.265001,89.32949,17.465
70,2021-01-03 22:00:00+00:00,19.115,91.88985,17.765001
71,2021-01-03 23:00:00+00:00,19.115,93.05362,17.965
72,2021-01-04 00:00:00+00:00,18.965,94.52047,18.065
73,2021-01-04 01:00:00+00:00,18.765001,96.311386,18.165
74,2021-01-04 02:00:00+00:00,19.115,95.4201,18.365
75,2021-01-04 03:00:00+00:00,19.765001,90.21438,18.115
76,2021-01-04 04:00:00+00:00,21.415,82.2619,18.265001
77,2021-01-04 05:00:00+00:00,23.765001,69.335686,17.815
78,2021-01-04 06:00:00+00:00,26.065,58.199734,17.215
79,2021-01-04 07:00:00+00:00,26.815,54.116142,16.765001
80,2021-01-04 08:00:00+00:00,27.215,53.36485,16.915
81,2021-01-04 09:00:00+00:00,27.365,54.25397,17.315
82,2021-01-04 10:00:00+00:00,26.115,61.22192,18.065
83,2021-01-04 11:00:00+00:00,24.415,72.5654,19.165
84,2021-01-04 12:00:00+00:00,23.515001,80.74964,20.015001
85,2021-01-04 13:00:00+00:00,22.115,86.81791,19.815
86,2021-01-04 14:00:00+00:00,21.515001,88.6714,19.565
87,2021-01-04 15:00:00+00:00,21.265001,89.4821,19.465
88,2021-01-04 16:00:00+00:00,20.715,92.27066,19.415
89,2021-01-04 17:00:00+00:00,19.715,95.440544,18.965
90,2021-01-04 18:00:00+00:00,19.865,93.96849,18.865
91,2021-01-04 19:00:00+00:00,18.965,97.531166,18.565
92,2021-01-04 20:00:00+00:00,18.615,98.138374,18.315
93,2021-01-04 21:00:00+00:00,18.315,98.75266,18.115
94,2021-01-04 22:00:00+00:00,18.265001,98.44238,18.015001
95,2021-01-04 23:00:00+00:00,17.865,99.059975,17.715
96,2021-01-05 00:00:00+00:00,18.065,97.207436,17.615
97,2021-01-05 01:00:00+00:00,18.565,95.10139,17.765001
98,2021-01-05 02:00:00+00:00,18.565,95.701935,17.865
99,2021-01-05 03:00:00+00:00,20.065,89.671715,18.315
100,2021-01-05 04:00:00+00:00,21.765001,80.01573,18.165
101,2021-01-05 05:00:00+00:00,23.365,72.60761,18.165
102,2021-01-05 06:00:00+00:00,23.065,73.93579,18.165
103,2021-01-05 07:00:00+00:00,24.815,65.51742,17.915
104,2021-01-05 08:00:00+00:00,26.115,57.66194,17.115
105,2021-01-05 09:00:00+00:00,26.565,55.795998,17.015001
106,2021-01-05 10:00:00+00:00,26.565,55.619522,16.965
107,2021-01-05 11:00:00+00:00,26.415,56.470207,17.065
108,2021-01-05 12:00:00+00:00,25.715,69.062096,19.615
109,2021-01-05 13:00:00+00:00,25.015001,62.140293,17.265001
110,2021-01-05 14:00:00+00:00,22.915,77.22582,18.715
111,2021-01-05 15:00:00+00:00,22.565,74.55197,17.815
112,2021-01-05 16:00:00+00:00,22.115,77.10436,17.915
113,2021-01-05 17:00:00+00:00,20.665,86.140175,18.265001
114,2021-01-05 18:00:00+00:00,20.215,89.40243,18.415
115,2021-01-05 19:00:00+00:00,20.015001,90.799255,18.465
116,2021-01-05 20:00:00+00:00,19.765001,91.928345,18.415
117,2021-01-05 21:00:00+00:00,19.365,94.53669,18.465
118,2021-01-05 22:00:00+00:00,19.165,96.62429,18.615
119,2021-01-05 23:00:00+00:00,19.265001,97.53672,18.865
120,2021-01-06 00:00:00+00:00,19.665,94.54885,18.765001
121,2021-01-06 01:00:00+00:00,19.815,93.38083,18.715
122,2021-01-06 02:00:00+00:00,19.415,95.430336,18.665
123,2021-01-06 03:00:00+00:00,20.565,88.87171,18.665
124,2021-01-06 04:00:00+00:00,22.115,77.34719,17.965
125,2021-01-06 05:00:00+00:00,23.965,66.800766,17.415
126,2021-01-06 06:00:00+00:00,25.715,59.60698,17.265001
127,2021-01-06 07:00:00+00:00,27.165,53.861794,17.015001
128,2021-01-06 08:00:00+00:00,28.215,49.543808,16.665
129,2021-01-06 09:00:00+00:00,28.465,47.601913,16.265001
130,2021-01-06 10:00:00+00:00,28.365,47.879433,16.265001
131,2021-01-06 11:00:00+00:00,27.665,50.673824,16.515001
132,2021-01-06 12:00:00+00:00,26.515001,59.231792,17.915
133,2021-01-06 13:00:00+00:00,24.765001,60.72126,16.665
134,2021-01-06 14:00:00+00:00,23.565,65.46157,16.715
135,2021-01-06 15:00:00+00:00,22.865,72.29109,17.615
136,2021-01-06 16:00:00+00:00,21.615,83.84544,18.765001
137,2021-01-06 17:00:00+00:00,21.615,83.06266,18.615
138,2021-01-06 18:00:00+00:00,20.665,89.43667,18.865
139,2021-01-06 19:00:00+00:00,20.365,92.250854,19.065
140,2021-01-06 20:00:00+00:00,20.565,93.70802,19.515001
141,2021-01-06 21:00:00+00:00,20.365,96.05688,19.715
142,2021-01-06 22:00:00+00:00,20.565,95.46927,19.815
143,2021-01-06 23:00:00+00:00,20.265001,95.75614,19.565
144,2021-01-07 00:00:00+00:00,19.665,94.84471,18.815
145,2021-01-07 01:00:00+00:00,19.465,95.43204,18.715
146,2021-01-07 02:00:00+00:00,19.565,96.33341,18.965
147,2021-01-07 03:00:00+00:00,20.865,91.42282,19.415
148,2021-01-07 04:00:00+00:00,22.265001,83.657585,19.365
149,2021-01-07 05:00:00+00:00,23.615,76.85182,19.315
150,2021-01-07 06:00:00+00:00,24.315,74.37716,19.465
151,2021-01-07 07:00:00+00:00,25.265001,72.04177,19.865
152,2021-01-07 08:00:00+00:00,25.915,69.96203,20.015001
153,2021-01-07 09:00:00+00:00,26.265001,68.52877,20.015001
154,2021-01-07 10:00:00+00:00,24.715,73.98345,19.765001
155,2021-01-07 11:00:00+00:00,25.215,70.26588,19.415
156,2021-01-07 12:00:00+00:00,24.065,81.57153,20.715
157,2021-01-07 13:00:00+00:00,23.115,86.91039,20.815
158,2021-01-07 14:00:00+00:00,23.015001,85.572426,20.465
159,2021-01-07 15:00:00+00:00,22.265001,88.18527,20.215
160,2021-01-07 16:00:00+00:00,21.915,89.53104,20.115
161,2021-01-07 17:00:00+00:00,21.665,90.6278,20.065
162,2021-01-07 18:00:00+00:00,20.665,94.58905,19.765001
163,2021-01-07 19:00:00+00:00,20.315,95.75771,19.615
164,2021-01-07 20:00:00+00:00,20.365,95.462524,19.615
165,2021-01-07 21:00:00+00:00,20.265001,95.16295,19.465
166,2021-01-07 22:00:00+00:00,20.215,94.86571,19.365
167,2021-01-07 23:00:00+00:00,20.365,93.69876,19.315
168,2021-01-08 00:00:00+00:00,20.215,96.35122,19.615
169,2021-01-08 01:00:00+00:00,20.265001,96.65197,19.715
170,2021-01-08 02:00:00+00:00,20.415,96.05836,19.765001
171,2021-01-08 03:00:00+00:00,21.365,90.6075,19.765001
172,2021-01-08 04:00:00+00:00,22.165,83.907005,19.315
173,2021-01-08 05:00:00+00:00,24.065,72.957985,18.915
174,2021-01-08 06:00:00+00:00,26.065,62.76664,18.415
175,2021-01-08 07:00:00+00:00,26.115,61.995502,18.265001
176,2021-01-08 08:00:00+00:00,26.315,60.883904,18.165
177,2021-01-08 09:00:00+00:00,25.865,62.919613,18.265001
178,2021-01-08 10:00:00+00:00,25.215,66.22076,18.465
179,2021-01-08 11:00:00+00:00,25.115,66.616264,18.465
180,2021-01-08 12:00:00+00:00,23.465,79.00961,19.615
181,2021-01-08 13:00:00+00:00,22.465,84.72547,19.765001
182,2021-01-08 14:00:00+00:00,22.115,87.62856,19.965
183,2021-01-08 15:00:00+00:00,21.815,88.970856,19.915
184,2021-01-08 16:00:00+00:00,22.265001,84.44145,19.515001
185,2021-01-08 17:00:00+00:00,20.915,93.43417,19.815
186,2021-01-08 18:00:00+00:00,20.765001,95.77191,20.065
187,2021-01-08 19:00:00+00:00,20.265001,96.65197,19.715
188,2021-01-08 20:00:00+00:00,20.565,95.7656,19.865
189,2021-01-08 21:00:00+00:00,20.465,96.059845,19.815
190,2021-01-08 22:00:00+00:00,20.215,96.052505,19.565
191,2021-01-08 23:00:00+00:00,20.065,96.04806,19.415
192,2021-01-09 00:00:00+00:00,19.315,96.02586,18.665
193,2021-01-09 01:00:00+00:00,19.915,95.44733,19.165
194,2021-01-09 02:00:00+00:00,19.915,95.15038,19.115
195,2021-01-09 03:00:00+00:00,20.915,91.4259,19.465
196,2021-01-09 04:00:00+00:00,22.015001,85.4712,19.465
197,2021-01-09 05:00:00+00:00,23.515001,78.52753,19.565
198,2021-01-09 06:00:00+00:00,25.815,68.22875,19.515001
199,2021-01-09 07:00:00+00:00,27.315,58.31309,18.415
200,2021-01-09 08:00:00+00:00,27.965,54.575077,17.965
201,2021-01-09 09:00:00+00:00,28.565,52.207306,17.815
202,2021-01-09 10:00:00+00:00,28.265001,53.96765,18.065
203,2021-01-09 11:00:00+00:00,27.615,57.297935,18.415
204,2021-01-09 12:00:00+00:00,25.665,69.69846,19.715
205,2021-01-09 13:00:00+00:00,23.565,83.54597,20.615
206,2021-01-09 14:00:00+00:00,22.915,84.77317,20.215
207,2021-01-09 15:00:00+00:00,21.865,92.62012,20.615
208,2021-01-09 16:00:00+00:00,22.115,89.269875,20.265001
209,2021-01-09 17:00:00+00:00,21.215,94.90354,20.365
210,2021-01-09 18:00:00+00:00,20.815,95.77346,20.115
211,2021-01-09 19:00:00+00:00,20.315,97.5561,19.915
212,2021-01-09 20:00:00+00:00,20.065,97.85464,19.715
213,2021-01-09 21:00:00+00:00,20.415,95.76086,19.715
214,2021-01-09 22:00:00+00:00,20.165,96.94996,19.665
215,2021-01-09 23:00:00+00:00,19.465,99.07138,19.315
216,2021-01-10 00:00:00+00:00,20.115,97.855484,19.765001
217,2021-01-10 01:00:00+00:00,19.915,97.54876,19.515001
218,2021-01-10 02:00:00+00:00,20.015001,97.85385,19.665
219,2021-01-10 03:00:00+00:00,21.465,94.03918,20.465
220,2021-01-10 04:00:00+00:00,23.315,84.81544,20.615
221,2021-01-10 05:00:00+00:00,25.415,72.74037,20.165
222,2021-01-10 06:00:00+00:00,27.065,64.3703,19.765001
223,2021-01-10 07:00:00+00:00,28.115,58.319912,19.165
224,2021-01-10 08:00:00+00:00,28.765001,53.419086,18.365
225,2021-01-10 09:00:00+00:00,28.915,51.158314,17.815
226,2021-01-10 10:00:00+00:00,28.765001,50.00291,17.315
227,2021-01-10 11:00:00+00:00,28.515001,49.937706,17.065
228,2021-01-10 12:00:00+00:00,27.265001,57.39383,18.115
229,2021-01-10 13:00:00+00:00,25.265001,61.02861,17.215
230,2021-01-10 14:00:00+00:00,24.315,63.576706,16.965
231,2021-01-10 15:00:00+00:00,23.265001,68.15291,17.065
232,2021-01-10 16:00:00+00:00,21.465,78.477646,17.565
233,2021-01-10 17:00:00+00:00,22.865,67.85748,16.615
234,2021-01-10 18:00:00+00:00,20.915,76.92038,16.715
