,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,19.447,96.33019,18.847
1,2021-01-01 01:00:00+00:00,19.247,96.324684,18.647
2,2021-01-01 02:00:00+00:00,20.347,91.676125,18.947
3,2021-01-01 03:00:00+00:00,22.197,81.08187,18.796999
4,2021-01-01 04:00:00+00:00,23.897,68.92609,17.847
5,2021-01-01 05:00:00+00:00,24.397,66.05159,17.647
6,2021-01-01 06:00:00+00:00,24.747,63.47015,17.347
7,2021-01-01 07:00:00+00:00,25.546999,57.34277,16.497
8,2021-01-01 08:00:00+00:00,25.296999,62.794388,17.697
9,2021-01-01 09:00:00+00:00,25.897,56.52301,16.597
10,2021-01-01 10:00:00+00:00,25.347,58.770515,16.697
11,2021-01-01 11:00:00+00:00,24.597,63.43735,17.197
12,2021-01-01 12:00:00+00:00,24.397,63.796257,17.097
13,2021-01-01 13:00:00+00:00,23.247,68.58209,17.147
14,2021-01-01 14:00:00+00:00,22.847,71.15617,17.347
15,2021-01-01 15:00:00+00:00,22.097,74.709526,17.397
16,2021-01-01 16:00:00+00:00,21.296999,76.97919,17.097
17,2021-01-01 17:00:00+00:00,20.597,80.61835,17.147
18,2021-01-01 18:00:00+00:00,19.847,84.44336,17.147
19,2021-01-01 19:00:00+00:00,19.046999,87.910706,16.997
20,2021-01-01 20:00:00+00:00,18.697,88.44003,16.747
21,2021-01-01 21:00:00+00:00,18.397,89.54626,16.647
22,2021-01-01 22:00:00+00:00,18.147,90.67319,16.597
23,2021-01-01 23:00:00+00:00,18.397,89.26226,16.597
24,2021-01-02 00:00:00+00:00,18.347,90.9749,16.847
25,2021-01-02 01:00:00+00:00,19.097,87.63706,16.997
26,2021-01-02 02:00:00+00:00,20.397,83.181305,17.447
27,2021-01-02 03:00:00+00:00,22.546999,76.447334,18.197
28,2021-01-02 04:00:00+00:00,24.546999,68.62086,18.397
29,2021-01-02 05:00:00+00:00,25.647,64.874504,18.546999
30,2021-01-02 06:00:00+00:00,25.097,68.513916,18.897
31,2021-01-02 07:00:00+00:00,24.597,72.37182,19.296999
32,2021-01-02 08:00:00+00:00,23.447,85.352974,20.847
33,2021-01-02 09:00:00+00:00,22.697,89.58943,20.897
34,2021-01-02 10:00:00+00:00,22.747,87.68378,20.597
35,2021-01-02 11:00:00+00:00,22.546999,89.30294,20.697
36,2021-01-02 12:00:00+00:00,23.046999,82.972046,19.997
37,2021-01-02 13:00:00+00:00,22.046999,88.167,19.997
38,2021-01-02 14:00:00+00:00,21.647,91.47133,20.197
39,2021-01-02 15:00:00+00:00,21.546999,92.603004,20.296999
40,2021-01-02 16:00:00+00:00,21.647,90.9074,20.097
41,2021-01-02 17:00:00+00:00,21.296999,90.60289,19.697
42,2021-01-02 18:00:00+00:00,20.897,91.14098,19.397
43,2021-01-02 19:00:00+00:00,20.747,91.41545,19.296999
44,2021-01-02 20:00:00+00:00,20.397,93.118835,19.247
45,2021-01-02 21:00:00+00:00,20.197,93.98326,19.197
46,2021-01-02 22:00:00+00:00,19.947,94.855484,19.097
47,2021-01-02 23:00:00+00:00,19.847,95.147934,19.046999
48,2021-01-03 00:00:00+00:00,20.546999,91.97431,19.197
49,2021-01-03 01:00:00+00:00,20.747,90.848015,19.197
50,2021-01-03 02:00:00+00:00,21.347,88.93389,19.447
51,2021-01-03 03:00:00+00:00,22.847,82.43568,19.697
52,2021-01-03 04:00:00+00:00,24.546999,72.363,19.247
53,2021-01-03 05:00:00+00:00,25.847,65.52798,18.897
54,2021-01-03 06:00:00+00:00,27.147,59.939186,18.697
55,2021-01-03 07:00:00+00:00,27.796999,57.341568,18.597
56,2021-01-03 08:00:00+00:00,28.296999,56.219414,18.747
57,2021-01-03 09:00:00+00:00,27.497,59.4607,18.897
58,2021-01-03 10:00:00+00:00,26.497,63.453056,18.997
59,2021-01-03 11:00:00+00:00,25.747,68.85416,19.597
60,2021-01-03 12:00:00+00:00,24.546999,78.19133,20.497
61,2021-01-03 13:00:00+00:00,23.647,83.81288,20.747
62,2021-01-03 14:00:00+00:00,23.397,85.61083,20.847
63,2021-01-03 15:00:00+00:00,22.546999,89.30294,20.697
64,2021-01-03 16:00:00+00:00,22.497,86.85334,20.197
65,2021-01-03 17:00:00+00:00,21.997,87.34703,19.796999
66,2021-01-03 18:00:00+00:00,21.796999,87.87293,19.697
67,2021-01-03 19:00:00+00:00,21.546999,88.67401,19.597
68,2021-01-03 20:00:00+00:00,21.546999,87.85137,19.447
69,2021-01-03 21:00:00+00:00,21.197,89.19911,19.347
70,2021-01-03 22:00:00+00:00,20.997,90.02064,19.296999
71,2021-01-03 23:00:00+00:00,20.546999,92.54878,19.296999
72,2021-01-04 00:00:00+00:00,20.247,93.11125,19.097
73,2021-01-04 01:00:00+00:00,20.597,91.40608,19.147
74,2021-01-04 02:00:00+00:00,21.197,88.645645,19.247
75,2021-01-04 03:00:00+00:00,22.597,82.1497,19.397
76,2021-01-04 04:00:00+00:00,24.497,71.0131,18.897
77,2021-01-04 05:00:00+00:00,26.046999,63.553703,18.597
78,2021-01-04 06:00:00+00:00,26.697,61.931576,18.796999
79,2021-01-04 07:00:00+00:00,26.747,63.507313,19.247
80,2021-01-04 08:00:00+00:00,27.147,61.072853,18.997
81,2021-01-04 09:00:00+00:00,26.897,63.936073,19.497
82,2021-01-04 10:00:00+00:00,26.296999,67.69128,19.847
83,2021-01-04 11:00:00+00:00,25.497,71.416824,19.947
84,2021-01-04 12:00:00+00:00,25.147,72.244446,19.796999
85,2021-01-04 13:00:00+00:00,24.097,76.92539,19.796999
86,2021-01-04 14:00:00+00:00,23.397,81.48764,20.046999
87,2021-01-04 15:00:00+00:00,22.647,87.13579,20.397
88,2021-01-04 16:00:00+00:00,22.046999,90.65358,20.447
89,2021-01-04 17:00:00+00:00,21.597,93.17905,20.447
90,2021-01-04 18:00:00+00:00,21.296999,95.49379,20.546999
91,2021-01-04 19:00:00+00:00,21.347,95.49545,20.597
