,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,8.162999,92.45725,7.013
1,2021-01-01 01:00:00+00:00,7.813,94.036674,6.913
2,2021-01-01 02:00:00+00:00,10.063,86.502594,7.913
3,2021-01-01 03:00:00+00:00,13.412999,73.45814,8.763
4,2021-01-01 04:00:00+00:00,16.713001,61.86479,9.363
5,2021-01-01 05:00:00+00:00,19.263,50.95521,8.863
6,2021-01-01 06:00:00+00:00,20.913,40.01844,6.813
7,2021-01-01 07:00:00+00:00,21.813,35.966045,6.063
8,2021-01-01 08:00:00+00:00,22.263,34.751976,5.963
9,2021-01-01 09:00:00+00:00,22.413,34.19917,5.863
10,2021-01-01 10:00:00+00:00,22.013,34.800674,5.763
11,2021-01-01 11:00:00+00:00,19.813,43.571,7.063
12,2021-01-01 12:00:00+00:00,17.313,51.65368,7.263
13,2021-01-01 13:00:00+00:00,15.563,58.932205,7.563
14,2021-01-01 14:00:00+00:00,14.263,64.29534,7.613
15,2021-01-01 15:00:00+00:00,13.462999,67.72193,7.613
16,2021-01-01 16:00:00+00:00,12.912999,69.24482,7.413
17,2021-01-01 17:00:00+00:00,12.212999,69.57964,6.813
18,2021-01-01 18:00:00+00:00,11.412999,70.38386,6.213
19,2021-01-01 19:00:00+00:00,10.662999,73.72059,6.163
20,2021-01-01 20:00:00+00:00,10.363,77.044174,6.513
21,2021-01-01 21:00:00+00:00,9.712999,81.86157,6.763
22,2021-01-01 22:00:00+00:00,9.263,84.08466,6.713
23,2021-01-01 23:00:00+00:00,8.813,86.67449,6.713
24,2021-01-02 00:00:00+00:00,8.063,92.45147,6.913
25,2021-01-02 01:00:00+00:00,7.713,92.74939,6.613
26,2021-01-02 02:00:00+00:00,10.013,86.79235,7.913
27,2021-01-02 03:00:00+00:00,13.113,75.92751,8.962999
28,2021-01-02 04:00:00+00:00,16.513,65.01118,9.912999
29,2021-01-02 05:00:00+00:00,19.263,54.499184,9.863
30,2021-01-02 06:00:00+00:00,20.913,44.93435,8.513
31,2021-01-02 07:00:00+00:00,21.863,40.980194,8.013
