,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,10.912999,92.61392,9.763
1,2021-01-01 01:00:00+00:00,10.263,93.202896,9.212999
2,2021-01-01 02:00:00+00:00,12.813,84.77177,10.313
3,2021-01-01 03:00:00+00:00,15.912999,70.54159,10.563
4,2021-01-01 04:00:00+00:00,18.513,55.786987,9.513
5,2021-01-01 05:00:00+00:00,20.213001,47.234356,8.613
6,2021-01-01 06:00:00+00:00,21.463001,40.450577,7.463
7,2021-01-01 07:00:00+00:00,22.213001,35.587025,6.263
8,2021-01-01 08:00:00+00:00,22.363,32.906013,5.263
9,2021-01-01 09:00:00+00:00,22.163,31.502468,4.463
10,2021-01-01 10:00:00+00:00,21.413,33.443184,4.663
11,2021-01-01 11:00:00+00:00,19.213001,41.78591,5.913
12,2021-01-01 12:00:00+00:00,16.363,50.520306,6.063
13,2021-01-01 13:00:00+00:00,15.013,58.797253,7.013
14,2021-01-01 14:00:00+00:00,13.563,66.14437,7.363
15,2021-01-01 15:00:00+00:00,12.863,68.52848,7.213
16,2021-01-01 16:00:00+00:00,12.513,68.92771,6.963
17,2021-01-01 17:00:00+00:00,12.113,70.038795,6.813
18,2021-01-01 18:00:00+00:00,11.662999,72.14732,6.813
19,2021-01-01 19:00:00+00:00,11.212999,74.07251,6.763
20,2021-01-01 20:00:00+00:00,10.912999,75.04439,6.663
21,2021-01-01 21:00:00+00:00,10.662999,75.77955,6.563
22,2021-01-01 22:00:00+00:00,10.363,76.515854,6.413
23,2021-01-01 23:00:00+00:00,9.912999,77.77278,6.213
24,2021-01-02 00:00:00+00:00,10.313,81.10369,7.213
25,2021-01-02 01:00:00+00:00,9.813,83.00461,7.063
26,2021-01-02 02:00:00+00:00,12.263,71.76709,7.313
27,2021-01-02 03:00:00+00:00,15.763,57.393696,7.363
28,2021-01-02 04:00:00+00:00,18.613,45.21295,6.513
29,2021-01-02 05:00:00+00:00,20.413,39.601624,6.213
30,2021-01-02 06:00:00+00:00,21.713001,36.31152,6.113
31,2021-01-02 07:00:00+00:00,22.513,33.64104,5.713
32,2021-01-02 08:00:00+00:00,22.813,32.466873,5.463
33,2021-01-02 09:00:00+00:00,22.663,32.311794,5.263
34,2021-01-02 10:00:00+00:00,21.963001,34.78636,5.713
35,2021-01-02 11:00:00+00:00,19.163,50.244423,8.563
36,2021-01-02 12:00:00+00:00,16.213001,55.768265,7.363
37,2021-01-02 13:00:00+00:00,15.212999,61.724205,7.913
38,2021-01-02 14:00:00+00:00,14.363,66.767876,8.263
39,2021-01-02 15:00:00+00:00,13.863,70.620316,8.613
40,2021-01-02 16:00:00+00:00,13.313,73.19239,8.613
41,2021-01-02 17:00:00+00:00,12.712999,75.86155,8.563
42,2021-01-02 18:00:00+00:00,12.462999,76.8545,8.513
43,2021-01-02 19:00:00+00:00,11.912999,79.41568,8.462999
44,2021-01-02 20:00:00+00:00,11.412999,81.52714,8.363
