,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,8.9065,91.5594,7.6064997
1,2021-01-01 01:00:00+00:00,8.4565,91.217735,7.1064997
2,2021-01-01 02:00:00+00:00,10.856501,88.35261,9.0065
3,2021-01-01 03:00:00+00:00,13.3065,76.98859,9.356501
4,2021-01-01 04:00:00+00:00,15.7565,67.73949,9.8065
5,2021-01-01 05:00:00+00:00,17.8565,55.99685,8.9565
6,2021-01-01 06:00:00+00:00,19.206501,47.438816,7.7565
7,2021-01-01 07:00:00+00:00,20.0565,44.23988,7.5065
8,2021-01-01 08:00:00+00:00,20.5565,42.602665,7.4065
9,2021-01-01 09:00:00+00:00,20.706501,40.93098,6.9564996
10,2021-01-01 10:00:00+00:00,20.3565,41.395893,6.8065
11,2021-01-01 11:00:00+00:00,17.8565,57.719574,9.4065
12,2021-01-01 12:00:00+00:00,14.6565,65.93097,8.356501
13,2021-01-01 13:00:00+00:00,14.0065,67.14717,8.0065
14,2021-01-01 14:00:00+00:00,13.4565,70.06436,8.106501
15,2021-01-01 15:00:00+00:00,13.1565,72.91684,8.4065
16,2021-01-01 16:00:00+00:00,12.4065,77.62963,8.606501
17,2021-01-01 17:00:00+00:00,11.4065,80.975365,8.2565
18,2021-01-01 18:00:00+00:00,10.8065,82.00337,7.8564997
19,2021-01-01 19:00:00+00:00,10.1565,83.330765,7.4564996
20,2021-01-01 20:00:00+00:00,9.6565,84.418655,7.1565
21,2021-01-01 21:00:00+00:00,9.7065,83.27634,7.0065
22,2021-01-01 22:00:00+00:00,9.356501,84.67434,6.9065
23,2021-01-01 23:00:00+00:00,8.9065,86.68372,6.8065
24,2021-01-02 00:00:00+00:00,8.9065,90.01038,7.3564997
25,2021-01-02 01:00:00+00:00,9.2565,89.42515,7.6064997
26,2021-01-02 02:00:00+00:00,10.356501,91.03592,8.9565
27,2021-01-02 03:00:00+00:00,13.2565,77.239975,9.356501
28,2021-01-02 04:00:00+00:00,15.8065,66.17794,9.5065
29,2021-01-02 05:00:00+00:00,17.9065,55.07235,8.7565
30,2021-01-02 06:00:00+00:00,19.4065,48.636185,8.3065
31,2021-01-02 07:00:00+00:00,20.4065,44.48927,7.9065
32,2021-01-02 08:00:00+00:00,20.956501,41.99423,7.5565
33,2021-01-02 09:00:00+00:00,21.1565,41.05905,7.4065
34,2021-01-02 10:00:00+00:00,20.9065,43.13983,7.9065
35,2021-01-02 11:00:00+00:00,18.4065,69.40822,12.7065
36,2021-01-02 12:00:00+00:00,16.1565,63.851376,9.3065
37,2021-01-02 13:00:00+00:00,15.4565,65.43821,9.0065
38,2021-01-02 14:00:00+00:00,16.0565,61.712048,8.7065
39,2021-01-02 15:00:00+00:00,15.0565,67.140564,9.0065
40,2021-01-02 16:00:00+00:00,14.1565,73.59026,9.5065
41,2021-01-02 17:00:00+00:00,13.9065,76.05763,9.7565
42,2021-01-02 18:00:00+00:00,13.5065,76.76206,9.5065
43,2021-01-02 19:00:00+00:00,13.356501,76.22363,9.2565
44,2021-01-02 20:00:00+00:00,14.4565,70.496956,9.1565
45,2021-01-02 21:00:00+00:00,14.2565,70.69622,9.0065
46,2021-01-02 22:00:00+00:00,13.9565,71.59898,8.9065
47,2021-01-02 23:00:00+00:00,12.2065,78.922806,8.6565
48,2021-01-03 00:00:00+00:00,11.106501,86.0234,8.856501
