,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,20.261,95.459015,19.511
1,2021-01-01 01:00:00+00:00,20.711,94.590904,19.811
2,2021-01-01 02:00:00+00:00,21.261,93.16228,20.111
3,2021-01-01 03:00:00+00:00,22.211,87.90852,20.111
4,2021-01-01 04:00:00+00:00,23.861,75.93937,19.361
5,2021-01-01 05:00:00+00:00,25.211,67.054146,18.661001
6,2021-01-01 06:00:00+00:00,26.311,60.882988,18.161001
7,2021-01-01 07:00:00+00:00,26.561,61.322823,18.511
8,2021-01-01 08:00:00+00:00,26.661001,60.772015,18.461
9,2021-01-01 09:00:00+00:00,27.161001,57.730465,18.111
10,2021-01-01 10:00:00+00:00,26.961,55.36603,17.261
11,2021-01-01 11:00:00+00:00,26.561,57.951244,17.611
12,2021-01-01 12:00:00+00:00,24.361,71.8803,18.961
13,2021-01-01 13:00:00+00:00,23.111,78.46945,19.161001
14,2021-01-01 14:00:00+00:00,21.961,86.534546,19.611
15,2021-01-01 15:00:00+00:00,21.911001,87.06875,19.661001
16,2021-01-01 16:00:00+00:00,21.511,87.84826,19.411001
17,2021-01-01 17:00:00+00:00,21.811,85.98391,19.361
18,2021-01-01 18:00:00+00:00,21.061,89.74558,19.311
19,2021-01-01 19:00:00+00:00,20.461,92.2563,19.161001
20,2021-01-01 20:00:00+00:00,18.711,96.007866,18.061
21,2021-01-01 21:00:00+00:00,18.661001,96.3085,18.061
22,2021-01-01 22:00:00+00:00,18.261,96.60127,17.711
23,2021-01-01 23:00:00+00:00,19.461,93.36357,18.361
24,2021-01-02 00:00:00+00:00,19.261,94.236595,18.311
25,2021-01-02 01:00:00+00:00,19.311,94.238716,18.361
26,2021-01-02 02:00:00+00:00,19.811,92.798416,18.611
27,2021-01-02 03:00:00+00:00,21.811,83.08561,18.811
28,2021-01-02 04:00:00+00:00,23.711,73.583565,18.711
29,2021-01-02 05:00:00+00:00,24.911001,69.5552,18.961
30,2021-01-02 06:00:00+00:00,25.511,68.38155,19.261
31,2021-01-02 07:00:00+00:00,25.711,69.061325,19.611
32,2021-01-02 08:00:00+00:00,26.161001,67.87446,19.761
