,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,12.133,92.068436,10.883
1,2021-01-01 01:00:00+00:00,11.883,92.668045,10.733001
2,2021-01-01 02:00:00+00:00,13.733001,86.57424,11.533
3,2021-01-01 03:00:00+00:00,16.483,75.226616,12.083
4,2021-01-01 04:00:00+00:00,19.282999,63.283012,12.133
5,2021-01-01 05:00:00+00:00,21.383,51.51817,10.983001
6,2021-01-01 06:00:00+00:00,22.833,41.673885,9.133
7,2021-01-01 07:00:00+00:00,23.782999,36.902405,8.183001
8,2021-01-01 08:00:00+00:00,24.333,34.627754,7.733
9,2021-01-01 09:00:00+00:00,24.532999,33.52266,7.433
10,2021-01-01 10:00:00+00:00,24.133,37.379192,8.683001
11,2021-01-01 11:00:00+00:00,20.883,59.42569,12.683001
12,2021-01-01 12:00:00+00:00,17.733,59.858955,9.833
13,2021-01-01 13:00:00+00:00,16.833,59.04195,8.783
14,2021-01-01 14:00:00+00:00,15.933,59.223675,7.9830003
15,2021-01-01 15:00:00+00:00,15.183001,61.298553,7.783
16,2021-01-01 16:00:00+00:00,14.083,64.916115,7.5829997
17,2021-01-01 17:00:00+00:00,13.233001,66.07308,7.033
18,2021-01-01 18:00:00+00:00,12.433001,67.73889,6.633
19,2021-01-01 19:00:00+00:00,11.683001,71.4119,6.683
20,2021-01-01 20:00:00+00:00,11.233001,74.33063,6.8329997
21,2021-01-01 21:00:00+00:00,10.483001,78.936584,6.983
22,2021-01-01 22:00:00+00:00,10.233001,81.09289,7.133
23,2021-01-01 23:00:00+00:00,9.983001,82.74201,7.183
24,2021-01-02 00:00:00+00:00,10.133,86.21594,7.933
25,2021-01-02 01:00:00+00:00,10.133,87.39567,8.133
26,2021-01-02 02:00:00+00:00,12.433001,78.690094,8.833
27,2021-01-02 03:00:00+00:00,15.433001,67.21941,9.383
28,2021-01-02 04:00:00+00:00,18.432999,55.76673,9.433001
29,2021-01-02 05:00:00+00:00,20.782999,45.203217,8.483001
30,2021-01-02 06:00:00+00:00,22.432999,37.403816,7.183
31,2021-01-02 07:00:00+00:00,23.682999,32.826794,6.383
32,2021-01-02 08:00:00+00:00,24.432999,30.004274,5.733
33,2021-01-02 09:00:00+00:00,24.733,28.864363,5.433
34,2021-01-02 10:00:00+00:00,24.432999,33.38007,7.283
35,2021-01-02 11:00:00+00:00,23.233,39.594284,8.733001
36,2021-01-02 12:00:00+00:00,22.833,35.276627,6.683
37,2021-01-02 13:00:00+00:00,21.282999,39.442886,6.933
38,2021-01-02 14:00:00+00:00,17.133,55.060303,8.033
39,2021-01-02 15:00:00+00:00,15.883,58.212322,7.683
40,2021-01-02 16:00:00+00:00,13.833,66.42854,7.683
41,2021-01-02 17:00:00+00:00,13.483001,65.90141,7.233
42,2021-01-02 18:00:00+00:00,13.333,66.321236,7.183
43,2021-01-02 19:00:00+00:00,12.283,72.75766,7.533
44,2021-01-02 20:00:00+00:00,11.633,77.77339,7.883
45,2021-01-02 21:00:00+00:00,11.183001,80.39671,7.933
46,2021-01-02 22:00:00+00:00,10.933001,82.01968,7.9830003
47,2021-01-02 23:00:00+00:00,10.583,84.81103,8.133
48,2021-01-03 00:00:00+00:00,10.483001,89.22021,8.783
49,2021-01-03 01:00:00+00:00,10.733001,88.93997,8.983001
50,2021-01-03 02:00:00+00:00,13.033,79.844154,9.633
51,2021-01-03 03:00:00+00:00,15.933,70.31088,10.533
52,2021-01-03 04:00:00+00:00,18.883,60.93597,11.183001
53,2021-01-03 05:00:00+00:00,21.032999,52.811234,11.033
54,2021-01-03 06:00:00+00:00,22.583,45.39829,10.183001
55,2021-01-03 07:00:00+00:00,23.733,40.409473,9.483001
56,2021-01-03 08:00:00+00:00,24.483,37.859127,9.183001
57,2021-01-03 09:00:00+00:00,24.883,36.22475,8.883
58,2021-01-03 10:00:00+00:00,24.733,36.67416,8.933001
59,2021-01-03 11:00:00+00:00,24.233,37.407555,8.783
60,2021-01-03 12:00:00+00:00,22.932999,41.005547,8.983001
61,2021-01-03 13:00:00+00:00,20.083,48.820526,8.983001
62,2021-01-03 14:00:00+00:00,20.133,43.068424,7.183
63,2021-01-03 15:00:00+00:00,19.383,43.003586,6.483
64,2021-01-03 16:00:00+00:00,17.782999,48.689487,6.8329997
65,2021-01-03 17:00:00+00:00,14.083,66.9355,8.033
66,2021-01-03 18:00:00+00:00,13.133,72.91258,8.383
67,2021-01-03 19:00:00+00:00,12.633,77.927315,8.883
68,2021-01-03 20:00:00+00:00,11.983001,82.98864,9.183001
69,2021-01-03 21:00:00+00:00,11.883,83.81892,9.233001
70,2021-01-03 22:00:00+00:00,12.083,83.280464,9.333
71,2021-01-03 23:00:00+00:00,11.433001,86.92983,9.333
72,2021-01-04 00:00:00+00:00,11.033,91.38754,9.683001
73,2021-01-04 01:00:00+00:00,11.583,92.03545,10.333
74,2021-01-04 02:00:00+00:00,14.483001,80.31342,11.133
75,2021-01-04 03:00:00+00:00,17.182999,71.48742,11.983001
76,2021-01-04 04:00:00+00:00,19.383,64.142494,12.433001
77,2021-01-04 05:00:00+00:00,21.333,58.759922,12.933001
78,2021-01-04 06:00:00+00:00,22.883,53.289997,12.883
79,2021-01-04 07:00:00+00:00,24.282999,47.244633,12.333
80,2021-01-04 08:00:00+00:00,25.133,43.594887,11.883
81,2021-01-04 09:00:00+00:00,25.483,42.2763,11.733001
82,2021-01-04 10:00:00+00:00,25.432999,42.965008,11.933001
83,2021-01-04 11:00:00+00:00,23.432999,62.37953,15.833
84,2021-01-04 12:00:00+00:00,23.833,49.992058,12.783
85,2021-01-04 13:00:00+00:00,22.733,53.77668,12.883
86,2021-01-04 14:00:00+00:00,21.532999,58.044617,12.933001
87,2021-01-04 15:00:00+00:00,18.932999,68.38588,12.983001
88,2021-01-04 16:00:00+00:00,18.983,66.62913,12.633
89,2021-01-04 17:00:00+00:00,16.083,79.22311,12.483001
90,2021-01-04 18:00:00+00:00,14.383,86.92278,12.233001
91,2021-01-04 19:00:00+00:00,13.733001,88.890015,11.933001
92,2021-01-04 20:00:00+00:00,13.183001,90.624176,11.683001
93,2021-01-04 21:00:00+00:00,12.783,92.10715,11.533
94,2021-01-04 22:00:00+00:00,12.533,92.703964,11.383
95,2021-01-04 23:00:00+00:00,12.233001,92.68741,11.083
96,2021-01-05 00:00:00+00:00,11.533,94.83382,10.733001
97,2021-01-05 01:00:00+00:00,11.383,94.82785,10.583
98,2021-01-05 02:00:00+00:00,14.383,85.504616,11.983001
99,2021-01-05 03:00:00+00:00,17.733,74.45584,13.133
100,2021-01-05 04:00:00+00:00,20.883,64.470535,13.933001
101,2021-01-05 05:00:00+00:00,23.182999,56.583202,14.083
102,2021-01-05 06:00:00+00:00,24.932999,49.634083,13.683001
103,2021-01-05 07:00:00+00:00,26.133,45.771397,13.533
104,2021-01-05 08:00:00+00:00,26.883,43.50745,13.433001
105,2021-01-05 09:00:00+00:00,27.182999,42.60864,13.383
106,2021-01-05 10:00:00+00:00,27.083,43.13943,13.483001
107,2021-01-05 11:00:00+00:00,26.532999,45.583435,13.833
108,2021-01-05 12:00:00+00:00,22.932999,62.067715,15.283
109,2021-01-05 13:00:00+00:00,23.932999,56.584896,14.783
110,2021-01-05 14:00:00+00:00,22.633,61.00961,14.733001
111,2021-01-05 15:00:00+00:00,21.182999,66.86906,14.783
112,2021-01-05 16:00:00+00:00,18.083,81.06097,14.783
113,2021-01-05 17:00:00+00:00,16.682999,86.01988,14.333
114,2021-01-05 18:00:00+00:00,16.032999,85.12011,13.533
115,2021-01-05 19:00:00+00:00,15.083,87.8458,13.083
116,2021-01-05 20:00:00+00:00,14.383,90.11591,12.783
117,2021-01-05 21:00:00+00:00,14.033,91.27972,12.633
118,2021-01-05 22:00:00+00:00,13.533,93.676285,12.533
119,2021-01-05 23:00:00+00:00,13.183001,95.21048,12.433001
120,2021-01-06 00:00:00+00:00,13.133,95.52168,12.433001
121,2021-01-06 01:00:00+00:00,15.033,89.870094,13.383
122,2021-01-06 02:00:00+00:00,15.933,87.92074,13.933001
123,2021-01-06 03:00:00+00:00,18.932999,77.35596,14.883
124,2021-01-06 04:00:00+00:00,21.782999,66.99248,15.383
125,2021-01-06 05:00:00+00:00,24.083,58.657696,15.483001
126,2021-01-06 06:00:00+00:00,25.932999,51.36517,15.133
127,2021-01-06 07:00:00+00:00,27.083,46.627422,14.683001
128,2021-01-06 08:00:00+00:00,27.633,44.858578,14.583
129,2021-01-06 09:00:00+00:00,27.983,43.527386,14.433001
130,2021-01-06 10:00:00+00:00,27.782999,44.3238,14.533
131,2021-01-06 11:00:00+00:00,26.083,62.57421,18.383
132,2021-01-06 12:00:00+00:00,23.682999,60.860012,15.683001
133,2021-01-06 13:00:00+00:00,23.532999,59.474915,15.183001
134,2021-01-06 14:00:00+00:00,21.682999,67.403076,15.383
135,2021-01-06 15:00:00+00:00,19.983,75.0746,15.433001
136,2021-01-06 16:00:00+00:00,18.983,79.63314,15.383
137,2021-01-06 17:00:00+00:00,18.282999,81.348434,15.033
138,2021-01-06 18:00:00+00:00,17.532999,83.916916,14.783
139,2021-01-06 19:00:00+00:00,17.083,87.17577,14.933001
140,2021-01-06 20:00:00+00:00,16.983,86.88617,14.783
141,2021-01-06 21:00:00+00:00,16.383,87.960144,14.383
142,2021-01-06 22:00:00+00:00,16.083,86.80086,13.883
143,2021-01-06 23:00:00+00:00,16.032999,85.12011,13.533
144,2021-01-07 00:00:00+00:00,15.533,89.616005,13.833
145,2021-01-07 01:00:00+00:00,15.583,89.61981,13.883
146,2021-01-07 02:00:00+00:00,18.032999,79.757355,14.483001
147,2021-01-07 03:00:00+00:00,20.983,69.6836,15.233001
148,2021-01-07 04:00:00+00:00,23.883,60.13205,15.683001
149,2021-01-07 05:00:00+00:00,25.932999,52.869675,15.583
150,2021-01-07 06:00:00+00:00,27.233,48.50253,15.433001
151,2021-01-07 07:00:00+00:00,28.133,44.85018,15.033
152,2021-01-07 08:00:00+00:00,28.682999,42.883213,14.833
153,2021-01-07 09:00:00+00:00,28.833,42.238766,14.733001
154,2021-01-07 10:00:00+00:00,28.733,43.31301,15.033
155,2021-01-07 11:00:00+00:00,26.282999,59.17748,17.682999
156,2021-01-07 12:00:00+00:00,23.233,61.34399,15.383
157,2021-01-07 13:00:00+00:00,23.182999,59.583908,14.883
158,2021-01-07 14:00:00+00:00,22.383,62.143147,14.783
159,2021-01-07 15:00:00+00:00,20.032999,74.60299,15.383
160,2021-01-07 16:00:00+00:00,19.182999,76.404945,14.933001
161,2021-01-07 17:00:00+00:00,19.282999,70.03328,13.683001
162,2021-01-07 18:00:00+00:00,18.583,67.6469,12.483001
163,2021-01-07 19:00:00+00:00,17.633,70.86952,12.283
164,2021-01-07 20:00:00+00:00,18.083,69.11737,12.333
165,2021-01-07 21:00:00+00:00,17.282999,72.452705,12.283
166,2021-01-07 22:00:00+00:00,17.032999,75.31795,12.633
167,2021-01-07 23:00:00+00:00,17.182999,76.334755,12.983001
168,2021-01-08 00:00:00+00:00,17.532999,80.72695,14.183001
169,2021-01-08 01:00:00+00:00,17.233,83.34252,14.383
170,2021-01-08 02:00:00+00:00,18.932999,75.874275,14.583
171,2021-01-08 03:00:00+00:00,20.282999,71.364975,14.933001
172,2021-01-08 04:00:00+00:00,21.932999,66.38184,15.383
173,2021-01-08 05:00:00+00:00,24.282999,58.7053,15.683001
174,2021-01-08 06:00:00+00:00,23.833,60.120403,15.633
175,2021-01-08 07:00:00+00:00,23.833,60.120403,15.633
176,2021-01-08 08:00:00+00:00,24.432999,57.624004,15.533
177,2021-01-08 09:00:00+00:00,24.983,55.939903,15.583
178,2021-01-08 10:00:00+00:00,25.282999,56.013905,15.883
179,2021-01-08 11:00:00+00:00,23.682999,71.533615,18.233
180,2021-01-08 12:00:00+00:00,22.733,65.70391,15.983001
181,2021-01-08 13:00:00+00:00,22.532999,65.87204,15.833
182,2021-01-08 14:00:00+00:00,21.483,73.665886,16.583
183,2021-01-08 15:00:00+00:00,19.833,79.497375,16.182999
184,2021-01-08 16:00:00+00:00,19.583,82.2973,16.483
185,2021-01-08 17:00:00+00:00,18.383,87.017296,16.182999
186,2021-01-08 18:00:00+00:00,18.782999,84.59592,16.133
187,2021-01-08 19:00:00+00:00,19.182999,81.46432,15.933
188,2021-01-08 20:00:00+00:00,17.782999,87.519844,15.683001
189,2021-01-08 21:00:00+00:00,17.032999,90.30687,15.433001
190,2021-01-08 22:00:00+00:00,16.233,93.20271,15.133
191,2021-01-08 23:00:00+00:00,16.032999,94.39907,15.133
192,2021-01-09 00:00:00+00:00,16.032999,95.31294,15.283
193,2021-01-09 01:00:00+00:00,17.633,88.91786,15.783
194,2021-01-09 02:00:00+00:00,18.532999,85.38266,16.032999
195,2021-01-09 03:00:00+00:00,20.532999,78.09351,16.583
196,2021-01-09 04:00:00+00:00,22.833,69.15553,16.883
197,2021-01-09 05:00:00+00:00,24.583,60.87263,16.532999
198,2021-01-09 06:00:00+00:00,25.932999,54.58668,16.083
199,2021-01-09 07:00:00+00:00,26.983,50.657764,15.883
200,2021-01-09 08:00:00+00:00,27.682999,48.004047,15.683001
201,2021-01-09 09:00:00+00:00,27.983,46.719707,15.533
202,2021-01-09 10:00:00+00:00,27.833,47.890636,15.783
203,2021-01-09 11:00:00+00:00,26.233,59.915855,17.833
204,2021-01-09 12:00:00+00:00,23.532999,66.2908,16.883
205,2021-01-09 13:00:00+00:00,24.333,60.428944,16.182999
206,2021-01-09 14:00:00+00:00,24.532999,58.390434,15.833
207,2021-01-09 15:00:00+00:00,21.083,75.25526,16.532999
208,2021-01-09 16:00:00+00:00,21.083,73.12919,16.083
209,2021-01-09 17:00:00+00:00,20.282999,74.884125,15.683001
