,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,20.7035,97.56322,20.3035
1,2021-01-01 01:00:00+00:00,19.9035,98.156395,19.6035
2,2021-01-01 02:00:00+00:00,21.3535,93.45525,20.2535
3,2021-01-01 03:00:00+00:00,23.0035,83.48217,20.0535
4,2021-01-01 04:00:00+00:00,25.0535,70.894325,19.4035
5,2021-01-01 05:00:00+00:00,26.3035,63.609356,18.8535
6,2021-01-01 06:00:00+00:00,27.5535,56.56887,18.1535
7,2021-01-01 07:00:00+00:00,28.4535,50.717743,17.2535
8,2021-01-01 08:00:00+00:00,29.4035,45.050835,16.2535
9,2021-01-01 09:00:00+00:00,29.9035,41.857445,15.5535
10,2021-01-01 10:00:00+00:00,30.2535,37.245216,14.0535
11,2021-01-01 11:00:00+00:00,28.8535,48.930923,17.0535
12,2021-01-01 12:00:00+00:00,26.8535,59.684036,18.3535
13,2021-01-01 13:00:00+00:00,25.2035,66.63436,18.5535
14,2021-01-01 14:00:00+00:00,24.3535,73.23578,19.2535
15,2021-01-01 15:00:00+00:00,23.8535,78.090515,19.8035
16,2021-01-01 16:00:00+00:00,22.7535,83.71273,19.8535
17,2021-01-01 17:00:00+00:00,22.8035,80.90789,19.3535
18,2021-01-01 18:00:00+00:00,21.7035,86.241325,19.3035
19,2021-01-01 19:00:00+00:00,21.2535,88.374725,19.2535
20,2021-01-01 20:00:00+00:00,19.9535,95.15179,19.1535
21,2021-01-01 21:00:00+00:00,19.4035,96.32899,18.8035
22,2021-01-01 22:00:00+00:00,19.0535,96.92442,18.5535
23,2021-01-01 23:00:00+00:00,18.9535,95.41458,18.2035
24,2021-01-02 00:00:00+00:00,19.2035,93.93893,18.2035
25,2021-01-02 01:00:00+00:00,20.1535,90.24187,18.5035
26,2021-01-02 02:00:00+00:00,21.3035,84.86628,18.6535
27,2021-01-02 03:00:00+00:00,23.1035,74.87564,18.4035
28,2021-01-02 04:00:00+00:00,25.0035,65.5569,18.1035
29,2021-01-02 05:00:00+00:00,27.1535,58.27485,18.2535
30,2021-01-02 06:00:00+00:00,28.3535,53.820526,18.1035
31,2021-01-02 07:00:00+00:00,28.2035,55.671593,18.5035
32,2021-01-02 08:00:00+00:00,28.7535,55.980263,19.1035
33,2021-01-02 09:00:00+00:00,29.4535,53.759083,19.1035
34,2021-01-02 10:00:00+00:00,29.3535,54.07023,19.1035
35,2021-01-02 11:00:00+00:00,28.5535,57.881233,19.4535
36,2021-01-02 12:00:00+00:00,26.7535,68.412315,20.4535
37,2021-01-02 13:00:00+00:00,25.7535,71.906136,20.3035
38,2021-01-02 14:00:00+00:00,25.1035,75.20118,20.4035
39,2021-01-02 15:00:00+00:00,24.5035,78.91154,20.6035
40,2021-01-02 16:00:00+00:00,23.9535,83.58992,21.0035
41,2021-01-02 17:00:00+00:00,23.1035,90.72428,21.5035
42,2021-01-02 18:00:00+00:00,22.5035,94.9517,21.6535
43,2021-01-02 19:00:00+00:00,22.1035,95.228294,21.3035
44,2021-01-02 20:00:00+00:00,21.8535,94.63625,20.9535
45,2021-01-02 21:00:00+00:00,21.3535,95.79033,20.6535
46,2021-01-02 22:00:00+00:00,21.7535,92.61412,20.5035
47,2021-01-02 23:00:00+00:00,21.8535,91.76678,20.4535
48,2021-01-03 00:00:00+00:00,22.1535,91.22117,20.6535
49,2021-01-03 01:00:00+00:00,22.2535,90.9471,20.7035
50,2021-01-03 02:00:00+00:00,23.1035,86.909325,20.8035
51,2021-01-03 03:00:00+00:00,23.9035,82.56228,20.7535
52,2021-01-03 04:00:00+00:00,23.8535,86.97808,21.5535
53,2021-01-03 05:00:00+00:00,23.8535,87.77958,21.7035
54,2021-01-03 06:00:00+00:00,23.9535,87.78818,21.8035
55,2021-01-03 07:00:00+00:00,25.3035,79.26607,21.4535
56,2021-01-03 08:00:00+00:00,26.3535,73.803185,21.3035
57,2021-01-03 09:00:00+00:00,26.9535,70.58838,21.1535
58,2021-01-03 10:00:00+00:00,27.6035,68.36741,21.2535
59,2021-01-03 11:00:00+00:00,27.4535,68.9701,21.2535
60,2021-01-03 12:00:00+00:00,26.2035,72.653595,20.9035
61,2021-01-03 13:00:00+00:00,25.1035,80.46139,21.5035
62,2021-01-03 14:00:00+00:00,24.6035,84.95041,21.9035
63,2021-01-03 15:00:00+00:00,24.2035,88.346344,22.1535
64,2021-01-03 16:00:00+00:00,23.9535,91.05705,22.4035
65,2021-01-03 17:00:00+00:00,23.3035,95.55999,22.5535
66,2021-01-03 18:00:00+00:00,22.9035,97.89975,22.5535
67,2021-01-03 19:00:00+00:00,23.3535,96.72797,22.8035
68,2021-01-03 20:00:00+00:00,23.2035,96.13898,22.5535
69,2021-01-03 21:00:00+00:00,23.1035,94.685234,22.2035
70,2021-01-03 22:00:00+00:00,22.8035,95.252846,22.0035
71,2021-01-03 23:00:00+00:00,22.5535,96.12043,21.9035
72,2021-01-04 00:00:00+00:00,22.8035,92.95419,21.6035
73,2021-01-04 01:00:00+00:00,23.2535,89.630714,21.4535
74,2021-01-04 02:00:00+00:00,23.4535,88.28441,21.4035
75,2021-01-04 03:00:00+00:00,24.8035,79.44049,21.0035
76,2021-01-04 04:00:00+00:00,26.4535,68.14274,20.1035
77,2021-01-04 05:00:00+00:00,27.5535,62.12225,19.6535
78,2021-01-04 06:00:00+00:00,27.8035,60.46519,19.4535
79,2021-01-04 07:00:00+00:00,28.1535,59.059593,19.4035
80,2021-01-04 08:00:00+00:00,27.4035,64.64186,20.1535
81,2021-01-04 09:00:00+00:00,26.7535,70.335,20.9035
82,2021-01-04 10:00:00+00:00,26.7035,69.89429,20.7535
83,2021-01-04 11:00:00+00:00,27.2535,65.01121,20.1035
84,2021-01-04 12:00:00+00:00,25.4535,77.13073,21.1535
85,2021-01-04 13:00:00+00:00,24.9535,81.93245,21.6535
86,2021-01-04 14:00:00+00:00,24.5035,86.24552,22.0535
87,2021-01-04 15:00:00+00:00,24.1535,89.69694,22.3535
88,2021-01-04 16:00:00+00:00,23.9535,91.334206,22.4535
89,2021-01-04 17:00:00+00:00,23.3035,96.141846,22.6535
90,2021-01-04 18:00:00+00:00,22.8035,97.898224,22.4535
91,2021-01-04 19:00:00+00:00,22.4535,98.19136,22.1535
92,2021-01-04 20:00:00+00:00,22.4535,97.59486,22.0535
93,2021-01-04 21:00:00+00:00,22.0035,96.104576,21.3535
94,2021-01-04 22:00:00+00:00,21.8535,94.92748,21.0035
95,2021-01-04 23:00:00+00:00,21.5535,95.50233,20.8035
96,2021-01-05 00:00:00+00:00,22.1535,94.35824,21.2035
97,2021-01-05 01:00:00+00:00,22.3535,93.21662,21.2035
98,2021-01-05 02:00:00+00:00,23.0035,89.887436,21.2535
99,2021-01-05 03:00:00+00:00,24.6035,79.90294,20.9035
100,2021-01-05 04:00:00+00:00,26.4535,69.84732,20.5035
101,2021-01-05 05:00:00+00:00,27.5035,64.863045,20.3035
102,2021-01-05 06:00:00+00:00,28.0535,63.789116,20.5535
103,2021-01-05 07:00:00+00:00,28.4035,61.73611,20.3535
104,2021-01-05 08:00:00+00:00,29.6035,57.950222,20.4535
105,2021-01-05 09:00:00+00:00,30.5535,56.06971,20.8035
106,2021-01-05 10:00:00+00:00,27.7535,71.60278,22.1535
107,2021-01-05 11:00:00+00:00,25.8035,84.81763,23.0535
108,2021-01-05 12:00:00+00:00,26.8535,70.78695,21.1035
109,2021-01-05 13:00:00+00:00,26.0035,76.27447,21.5035
110,2021-01-05 14:00:00+00:00,25.1535,81.95693,21.8535
111,2021-01-05 15:00:00+00:00,24.7535,85.48532,22.1535
112,2021-01-05 16:00:00+00:00,24.3035,91.07943,22.7535
113,2021-01-05 17:00:00+00:00,24.0035,91.89365,22.6035
114,2021-01-05 18:00:00+00:00,23.8035,89.39823,21.9535
115,2021-01-05 19:00:00+00:00,23.8035,88.85435,21.8535
116,2021-01-05 20:00:00+00:00,23.3035,92.696815,22.0535
117,2021-01-05 21:00:00+00:00,23.1535,93.25601,22.0035
118,2021-01-05 22:00:00+00:00,23.3035,90.4607,21.6535
119,2021-01-05 23:00:00+00:00,22.9535,92.961845,21.7535
120,2021-01-06 00:00:00+00:00,22.6035,95.82907,21.9035
121,2021-01-06 01:00:00+00:00,22.7035,95.540344,21.9535
122,2021-01-06 02:00:00+00:00,23.7035,91.04101,22.1535
123,2021-01-06 03:00:00+00:00,24.8535,84.97641,22.1535
124,2021-01-06 04:00:00+00:00,26.0035,77.92393,21.8535
125,2021-01-06 05:00:00+00:00,27.5035,69.829956,21.5035
126,2021-01-06 06:00:00+00:00,28.4535,67.70138,21.9035
127,2021-01-06 07:00:00+00:00,29.3535,65.05099,22.1035
128,2021-01-06 08:00:00+00:00,29.5035,64.4904,22.1035
129,2021-01-06 09:00:00+00:00,27.4535,74.2123,22.4535
130,2021-01-06 10:00:00+00:00,28.1535,71.4567,22.5035
131,2021-01-06 11:00:00+00:00,26.6035,79.44472,22.7535
132,2021-01-06 12:00:00+00:00,26.5535,79.19729,22.6535
133,2021-01-06 13:00:00+00:00,25.2535,88.43221,23.2035
134,2021-01-06 14:00:00+00:00,24.7035,93.33137,23.5535
135,2021-01-06 15:00:00+00:00,24.3035,94.44623,23.3535
136,2021-01-06 16:00:00+00:00,24.2535,93.592155,23.1535
137,2021-01-06 17:00:00+00:00,24.0535,95.29617,23.2535
138,2021-01-06 18:00:00+00:00,23.4535,96.7304,22.9035
139,2021-01-06 19:00:00+00:00,23.4035,96.14467,22.7535
140,2021-01-06 20:00:00+00:00,23.5535,95.2789,22.7535
141,2021-01-06 21:00:00+00:00,23.5035,94.9886,22.6535
142,2021-01-06 22:00:00+00:00,23.5035,91.5849,22.0535
143,2021-01-06 23:00:00+00:00,23.1035,95.26326,22.3035
144,2021-01-07 00:00:00+00:00,22.9535,96.13184,22.3035
145,2021-01-07 01:00:00+00:00,23.1035,96.13614,22.4535
146,2021-01-07 02:00:00+00:00,23.5535,93.27559,22.4035
147,2021-01-07 03:00:00+00:00,24.6535,86.25989,22.2035
148,2021-01-07 04:00:00+00:00,25.7535,79.813545,22.0035
149,2021-01-07 05:00:00+00:00,27.3535,71.531235,21.7535
150,2021-01-07 06:00:00+00:00,28.0535,67.829704,21.5535
151,2021-01-07 07:00:00+00:00,28.6535,65.70429,21.6035
152,2021-01-07 08:00:00+00:00,28.6535,66.3095,21.7535
153,2021-01-07 09:00:00+00:00,28.9035,67.173874,22.2035
154,2021-01-07 10:00:00+00:00,28.8035,66.137825,21.8535
155,2021-01-07 11:00:00+00:00,28.5035,67.29928,21.8535
156,2021-01-07 12:00:00+00:00,28.0035,69.9235,22.0035
157,2021-01-07 13:00:00+00:00,26.3035,79.16274,22.4035
158,2021-01-07 14:00:00+00:00,25.9535,80.817924,22.4035
159,2021-01-07 15:00:00+00:00,25.2535,84.50294,22.4535
160,2021-01-07 16:00:00+00:00,24.5035,88.63983,22.5035
161,2021-01-07 17:00:00+00:00,24.0535,91.340416,22.5535
162,2021-01-07 18:00:00+00:00,23.4035,94.40965,22.4535
163,2021-01-07 19:00:00+00:00,23.1035,95.55345,22.3535
164,2021-01-07 20:00:00+00:00,23.0035,96.13328,22.3535
165,2021-01-07 21:00:00+00:00,22.9535,96.71829,22.4035
166,2021-01-07 22:00:00+00:00,23.0535,96.13473,22.4035
167,2021-01-07 23:00:00+00:00,23.0535,96.427345,22.4535
168,2021-01-08 00:00:00+00:00,23.1535,97.60736,22.7535
169,2021-01-08 01:00:00+00:00,23.1035,96.72192,22.5535
170,2021-01-08 02:00:00+00:00,23.7535,92.72056,22.5035
171,2021-01-08 03:00:00+00:00,24.9535,86.81414,22.6035
172,2021-01-08 04:00:00+00:00,26.2535,78.91542,22.3035
173,2021-01-08 05:00:00+00:00,27.3535,74.648224,22.4535
174,2021-01-08 06:00:00+00:00,28.1535,73.21166,22.9035
175,2021-01-08 07:00:00+00:00,28.9035,72.24178,23.4035
176,2021-01-08 08:00:00+00:00,29.2535,71.652664,23.6035
177,2021-01-08 09:00:00+00:00,30.0035,63.428432,22.3035
178,2021-01-08 10:00:00+00:00,26.0535,85.87379,23.5035
179,2021-01-08 11:00:00+00:00,25.4535,84.26813,22.6035
180,2021-01-08 12:00:00+00:00,26.8535,76.17355,22.3035
181,2021-01-08 13:00:00+00:00,25.5535,83.00936,22.4535
182,2021-01-08 14:00:00+00:00,24.9535,86.28855,22.5035
183,2021-01-08 15:00:00+00:00,24.3535,90.25781,22.6535
184,2021-01-08 16:00:00+00:00,23.7035,93.850876,22.6535
185,2021-01-08 17:00:00+00:00,23.5035,93.55717,22.4035
186,2021-01-08 18:00:00+00:00,23.1535,95.265015,22.3535
187,2021-01-08 19:00:00+00:00,22.9035,96.717064,22.3535
188,2021-01-08 20:00:00+00:00,22.7535,96.71342,22.2035
189,2021-01-08 21:00:00+00:00,22.4035,99.09172,22.2535
190,2021-01-08 22:00:00+00:00,22.7035,97.89664,22.3535
191,2021-01-08 23:00:00+00:00,22.7535,96.71342,22.2035
192,2021-01-09 00:00:00+00:00,22.6035,96.12185,21.9535
193,2021-01-09 01:00:00+00:00,22.7035,96.41805,22.1035
194,2021-01-09 02:00:00+00:00,23.3035,94.69303,22.4035
195,2021-01-09 03:00:00+00:00,24.6535,87.05085,22.3535
196,2021-01-09 04:00:00+00:00,26.2535,76.31314,21.7535
197,2021-01-09 05:00:00+00:00,27.6535,69.00841,21.4535
198,2021-01-09 06:00:00+00:00,28.2535,66.83932,21.5035
199,2021-01-09 07:00:00+00:00,29.0035,63.992214,21.5035
200,2021-01-09 08:00:00+00:00,29.2535,62.68871,21.4035
201,2021-01-09 09:00:00+00:00,30.0535,59.317493,21.2535
202,2021-01-09 10:00:00+00:00,30.0535,59.13586,21.2035
203,2021-01-09 11:00:00+00:00,29.5535,59.934765,20.9535
204,2021-01-09 12:00:00+00:00,27.0535,74.14611,22.0535
205,2021-01-09 13:00:00+00:00,25.9035,82.04836,22.6035
