,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,5.172,93.25715,4.172
1,2021-01-01 01:00:00+00:00,5.722,90.396996,4.272
2,2021-01-01 02:00:00+00:00,6.172,89.487854,4.572
3,2021-01-01 03:00:00+00:00,8.972,80.086136,5.722
4,2021-01-01 04:00:00+00:00,12.672,66.17866,6.522
5,2021-01-01 05:00:00+00:00,15.122,56.841,6.6219997
6,2021-01-01 06:00:00+00:00,16.872002,51.359055,6.772
7,2021-01-01 07:00:00+00:00,18.272001,47.66801,6.972
8,2021-01-01 08:00:00+00:00,19.322,45.411777,7.222
9,2021-01-01 09:00:00+00:00,19.872002,44.642994,7.472
10,2021-01-01 10:00:00+00:00,19.972,44.823624,7.6219997
11,2021-01-01 11:00:00+00:00,18.972,57.99424,10.522
12,2021-01-01 12:00:00+00:00,14.572,68.643654,8.872
13,2021-01-01 13:00:00+00:00,13.872,68.967636,8.272
14,2021-01-01 14:00:00+00:00,13.072,69.75068,7.672
15,2021-01-01 15:00:00+00:00,12.122,73.97963,7.6219997
16,2021-01-01 16:00:00+00:00,11.472,77.484055,7.672
17,2021-01-01 17:00:00+00:00,11.272,77.717445,7.522
18,2021-01-01 18:00:00+00:00,11.122,76.37726,7.1219997
19,2021-01-01 19:00:00+00:00,10.872,74.523254,6.522
20,2021-01-01 20:00:00+00:00,10.522,72.93549,5.8719997
21,2021-01-01 21:00:00+00:00,10.272,72.13565,5.472
22,2021-01-01 22:00:00+00:00,10.072,72.09806,5.272
23,2021-01-01 23:00:00+00:00,10.022,72.33953,5.272
24,2021-01-02 00:00:00+00:00,9.572,79.07324,6.1219997
25,2021-01-02 01:00:00+00:00,9.672,79.08803,6.222
26,2021-01-02 02:00:00+00:00,10.572,75.764336,6.472
27,2021-01-02 03:00:00+00:00,12.372,70.8131,7.222
28,2021-01-02 04:00:00+00:00,14.722,63.74455,7.922
29,2021-01-02 05:00:00+00:00,16.172,60.704433,8.572
30,2021-01-02 06:00:00+00:00,16.672,60.414173,8.972
31,2021-01-02 07:00:00+00:00,17.472,60.199036,9.672
32,2021-01-02 08:00:00+00:00,18.272001,60.188023,10.422
33,2021-01-02 09:00:00+00:00,18.972,60.15401,11.072
34,2021-01-02 10:00:00+00:00,19.472,60.07345,11.522
35,2021-01-02 11:00:00+00:00,19.272001,62.452656,11.922
36,2021-01-02 12:00:00+00:00,17.522001,67.87624,11.522
37,2021-01-02 13:00:00+00:00,15.922,74.885025,11.472
38,2021-01-02 14:00:00+00:00,15.422,77.83288,11.572
39,2021-01-02 15:00:00+00:00,15.622,76.33556,11.472
40,2021-01-02 16:00:00+00:00,15.522,76.572395,11.422
41,2021-01-02 17:00:00+00:00,14.472,83.28849,11.672
42,2021-01-02 18:00:00+00:00,14.522,83.5697,11.772
43,2021-01-02 19:00:00+00:00,13.972,86.59756,11.772
44,2021-01-02 20:00:00+00:00,13.972,86.59756,11.772
45,2021-01-02 21:00:00+00:00,13.222,90.32827,11.672
46,2021-01-02 22:00:00+00:00,12.822,91.2005,11.422
47,2021-01-02 23:00:00+00:00,13.372,88.56727,11.522
48,2021-01-03 00:00:00+00:00,13.822,86.01272,11.522
49,2021-01-03 01:00:00+00:00,13.522,86.84056,11.372
50,2021-01-03 02:00:00+00:00,13.472,87.12365,11.372
51,2021-01-03 03:00:00+00:00,15.022,80.91972,11.772
52,2021-01-03 04:00:00+00:00,17.022001,72.16733,11.972
53,2021-01-03 05:00:00+00:00,19.322,63.500156,12.222
54,2021-01-03 06:00:00+00:00,21.322,57.426174,12.572
55,2021-01-03 07:00:00+00:00,22.972,52.620007,12.772
56,2021-01-03 08:00:00+00:00,23.922,50.50851,13.022
57,2021-01-03 09:00:00+00:00,24.322,49.471745,13.072
58,2021-01-03 10:00:00+00:00,24.022001,50.370174,13.072
59,2021-01-03 11:00:00+00:00,22.722,56.46944,13.622
60,2021-01-03 12:00:00+00:00,20.422,64.79039,13.572
61,2021-01-03 13:00:00+00:00,19.122002,67.75689,13.022
62,2021-01-03 14:00:00+00:00,17.972,74.25409,13.322
63,2021-01-03 15:00:00+00:00,17.272001,80.95414,13.972
64,2021-01-03 16:00:00+00:00,16.772001,86.5863,14.522
65,2021-01-03 17:00:00+00:00,16.172,92.00789,14.872
66,2021-01-03 18:00:00+00:00,15.872,93.18437,14.772
67,2021-01-03 19:00:00+00:00,15.572,93.77264,14.572
68,2021-01-03 20:00:00+00:00,15.272,94.366905,14.372
69,2021-01-03 21:00:00+00:00,15.322,94.06455,14.372
70,2021-01-03 22:00:00+00:00,15.122,94.36054,14.222
71,2021-01-03 23:00:00+00:00,15.322,93.45819,14.272
72,2021-01-04 00:00:00+00:00,15.372,93.460625,14.322
73,2021-01-04 01:00:00+00:00,15.272,93.75859,14.272
74,2021-01-04 02:00:00+00:00,15.372,93.763275,14.372
75,2021-01-04 03:00:00+00:00,16.972,87.44668,14.872
76,2021-01-04 04:00:00+00:00,19.072,79.13647,15.372
77,2021-01-04 05:00:00+00:00,21.122002,70.83623,15.622
78,2021-01-04 06:00:00+00:00,22.822,64.4752,15.772
79,2021-01-04 07:00:00+00:00,24.172,59.62509,15.822
80,2021-01-04 08:00:00+00:00,24.372002,58.72645,15.772
81,2021-01-04 09:00:00+00:00,24.222,58.316082,15.522
82,2021-01-04 10:00:00+00:00,23.072,65.14949,16.172
83,2021-01-04 11:00:00+00:00,22.222,69.03668,16.272001
84,2021-01-04 12:00:00+00:00,20.272001,78.0549,16.322
85,2021-01-04 13:00:00+00:00,19.972,76.28476,15.672
86,2021-01-04 14:00:00+00:00,18.772001,80.63235,15.372
87,2021-01-04 15:00:00+00:00,17.972,84.23665,15.272
88,2021-01-04 16:00:00+00:00,17.622002,86.11351,15.272
89,2021-01-04 17:00:00+00:00,17.972,82.62799,14.972
90,2021-01-04 18:00:00+00:00,16.872002,89.14257,15.072
91,2021-01-04 19:00:00+00:00,16.772001,89.13466,14.972
92,2021-01-04 20:00:00+00:00,16.472,91.73044,15.122
93,2021-01-04 21:00:00+00:00,17.122002,87.460266,15.022
94,2021-01-04 22:00:00+00:00,16.522001,92.32451,15.272
