,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,7.213,85.91499,5.013
1,2021-01-01 01:00:00+00:00,7.063,87.10414,5.063
2,2021-01-01 02:00:00+00:00,8.013,83.069176,5.313
3,2021-01-01 03:00:00+00:00,10.513,70.941185,5.463
4,2021-01-01 04:00:00+00:00,13.613,57.64619,5.413
5,2021-01-01 05:00:00+00:00,16.363,45.841267,4.663
6,2021-01-01 06:00:00+00:00,18.413,40.556118,4.763
7,2021-01-01 07:00:00+00:00,19.963001,38.393295,5.363
8,2021-01-01 08:00:00+00:00,21.013,37.642117,6.013
9,2021-01-01 09:00:00+00:00,21.563,37.670017,6.513
10,2021-01-01 10:00:00+00:00,21.513,38.704826,6.863
11,2021-01-01 11:00:00+00:00,20.463001,46.040962,8.462999
12,2021-01-01 12:00:00+00:00,16.813,57.266148,8.313
13,2021-01-01 13:00:00+00:00,15.263,62.793167,8.212999
14,2021-01-01 14:00:00+00:00,14.712999,64.39579,8.063
15,2021-01-01 15:00:00+00:00,13.563,68.43813,7.863
16,2021-01-01 16:00:00+00:00,13.013,69.264915,7.513
17,2021-01-01 17:00:00+00:00,12.313,70.318695,7.063
18,2021-01-01 18:00:00+00:00,11.863,69.7491,6.513
19,2021-01-01 19:00:00+00:00,11.412999,69.419174,6.013
20,2021-01-01 20:00:00+00:00,10.962999,70.05248,5.713
21,2021-01-01 21:00:00+00:00,10.563,70.705284,5.463
22,2021-01-01 22:00:00+00:00,10.313,70.41123,5.163
23,2021-01-01 23:00:00+00:00,9.962999,70.34217,4.813
24,2021-01-02 00:00:00+00:00,9.412999,77.694725,5.713
25,2021-01-02 01:00:00+00:00,9.363,77.418304,5.613
26,2021-01-02 02:00:00+00:00,9.962999,74.10707,5.563
27,2021-01-02 03:00:00+00:00,12.813,62.22548,5.763
28,2021-01-02 04:00:00+00:00,16.213001,52.974648,6.613
29,2021-01-02 05:00:00+00:00,19.013,49.52781,8.212999
30,2021-01-02 06:00:00+00:00,21.313,47.695885,9.763
31,2021-01-02 07:00:00+00:00,22.913,46.2528,10.763
32,2021-01-02 08:00:00+00:00,23.913,44.865044,11.212999
33,2021-01-02 09:00:00+00:00,24.313,44.09185,11.313
34,2021-01-02 10:00:00+00:00,24.263,43.932228,11.212999
35,2021-01-02 11:00:00+00:00,22.863,52.248196,12.563
36,2021-01-02 12:00:00+00:00,19.313,65.40143,12.662999
37,2021-01-02 13:00:00+00:00,19.013,64.06094,12.063
38,2021-01-02 14:00:00+00:00,18.013,65.770454,11.513
39,2021-01-02 15:00:00+00:00,17.263,68.04825,11.313
40,2021-01-02 16:00:00+00:00,16.113,73.20338,11.313
41,2021-01-02 17:00:00+00:00,15.662999,75.58843,11.363
42,2021-01-02 18:00:00+00:00,14.813,80.358795,11.462999
