,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,4.6805,90.31991,3.2305
1,2021-01-01 01:00:00+00:00,2.9805,94.81509,2.2305
2,2021-01-01 02:00:00+00:00,2.3805,96.155525,1.8305
3,2021-01-01 03:00:00+00:00,4.8805003,92.26372,3.7305
4,2021-01-01 04:00:00+00:00,9.0305,79.54197,5.6805
5,2021-01-01 05:00:00+00:00,12.580501,68.00261,6.8305
6,2021-01-01 06:00:00+00:00,14.7805,57.938564,6.5805
7,2021-01-01 07:00:00+00:00,16.0805,51.678253,6.1305003
8,2021-01-01 08:00:00+00:00,16.880499,47.941147,5.7805004
9,2021-01-01 09:00:00+00:00,17.380499,46.127563,5.6805
10,2021-01-01 10:00:00+00:00,17.4805,44.27433,5.1805
11,2021-01-01 11:00:00+00:00,16.5805,51.10453,6.4305
12,2021-01-01 12:00:00+00:00,12.5305,69.167786,7.0305004
13,2021-01-01 13:00:00+00:00,11.1805,71.80922,6.2805004
14,2021-01-01 14:00:00+00:00,10.3805,74.43747,6.0305004
15,2021-01-01 15:00:00+00:00,9.9305,74.87546,5.6805
16,2021-01-01 16:00:00+00:00,9.2305,77.66614,5.5305004
17,2021-01-01 17:00:00+00:00,8.3805,83.11443,5.6805
18,2021-01-01 18:00:00+00:00,7.7805004,87.475174,5.8305
19,2021-01-01 19:00:00+00:00,7.7805004,89.61541,6.1805
20,2021-01-01 20:00:00+00:00,7.6305003,91.79237,6.3805003
21,2021-01-01 21:00:00+00:00,7.9305,92.7615,6.8305
22,2021-01-01 22:00:00+00:00,7.9805,93.40242,6.9805
23,2021-01-01 23:00:00+00:00,7.9305,93.39986,6.9305
24,2021-01-02 00:00:00+00:00,7.9305,95.01274,7.1805
25,2021-01-02 01:00:00+00:00,7.8805003,94.68616,7.0805
26,2021-01-02 02:00:00+00:00,7.6305003,94.67581,6.8305
27,2021-01-02 03:00:00+00:00,8.7305,90.92488,7.3305
28,2021-01-02 04:00:00+00:00,10.7305,82.27314,7.8305
29,2021-01-02 05:00:00+00:00,13.1305,72.912125,8.3805
30,2021-01-02 06:00:00+00:00,15.2305,65.1685,8.7305
31,2021-01-02 07:00:00+00:00,16.9305,59.465527,8.9805
32,2021-01-02 08:00:00+00:00,18.0805,56.622246,9.330501
33,2021-01-02 09:00:00+00:00,18.2305,56.65987,9.4805
34,2021-01-02 10:00:00+00:00,18.1805,56.83795,9.4805
35,2021-01-02 11:00:00+00:00,17.380499,61.605717,9.9305
