,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,15.911,91.400475,14.511001
1,2021-01-01 01:00:00+00:00,15.261001,93.15317,14.161
2,2021-01-01 02:00:00+00:00,15.361,90.7745,13.861
3,2021-01-01 03:00:00+00:00,17.961,79.23338,14.311001
4,2021-01-01 04:00:00+00:00,21.311,66.89543,14.911
5,2021-01-01 05:00:00+00:00,23.811,59.159737,15.361
6,2021-01-01 06:00:00+00:00,25.711,54.357056,15.811001
7,2021-01-01 07:00:00+00:00,27.061,51.32896,16.161001
8,2021-01-01 08:00:00+00:00,27.761,50.537945,16.561
9,2021-01-01 09:00:00+00:00,28.211,50.494667,16.961
10,2021-01-01 10:00:00+00:00,28.261,51.47548,17.311
11,2021-01-01 11:00:00+00:00,27.811,56.277336,18.311
12,2021-01-01 12:00:00+00:00,26.061,61.983418,18.211
13,2021-01-01 13:00:00+00:00,23.261,72.36153,18.011
14,2021-01-01 14:00:00+00:00,22.361,77.62748,18.261
15,2021-01-01 15:00:00+00:00,21.811,80.77842,18.361
16,2021-01-01 16:00:00+00:00,21.811,78.28102,17.861
17,2021-01-01 17:00:00+00:00,21.611,80.49902,18.111
18,2021-01-01 18:00:00+00:00,21.511,82.27363,18.361
19,2021-01-01 19:00:00+00:00,21.111,84.5805,18.411001
20,2021-01-01 20:00:00+00:00,20.361,88.30033,18.361
21,2021-01-01 21:00:00+00:00,19.511,92.78254,18.311
22,2021-01-01 22:00:00+00:00,18.661001,95.10488,17.861
23,2021-01-01 23:00:00+00:00,18.111,95.98984,17.461
24,2021-01-02 00:00:00+00:00,17.661001,97.81533,17.311
25,2021-01-02 01:00:00+00:00,17.361,98.431625,17.111
26,2021-01-02 02:00:00+00:00,17.511,96.582,16.961
27,2021-01-02 03:00:00+00:00,18.961,85.42693,16.461
28,2021-01-02 04:00:00+00:00,20.461,75.876526,16.061
29,2021-01-02 05:00:00+00:00,22.111,68.13986,15.961
30,2021-01-02 06:00:00+00:00,23.361,63.570053,16.061
31,2021-01-02 07:00:00+00:00,24.661001,61.47327,16.761
32,2021-01-02 08:00:00+00:00,24.911001,61.920765,17.111
33,2021-01-02 09:00:00+00:00,25.461,59.54767,17.011
34,2021-01-02 10:00:00+00:00,25.561,58.26414,16.761
35,2021-01-02 11:00:00+00:00,25.411001,58.785652,16.761
36,2021-01-02 12:00:00+00:00,24.211,72.303535,18.911001
37,2021-01-02 13:00:00+00:00,22.061,74.70355,17.361
38,2021-01-02 14:00:00+00:00,21.411001,75.78769,16.961
39,2021-01-02 15:00:00+00:00,20.761,81.151115,17.411001
40,2021-01-02 16:00:00+00:00,19.761,88.24993,17.761
41,2021-01-02 17:00:00+00:00,18.861,93.040596,17.711
42,2021-01-02 18:00:00+00:00,17.861,95.376945,17.111
43,2021-01-02 19:00:00+00:00,17.311,95.6613,16.611
44,2021-01-02 20:00:00+00:00,16.911001,92.05151,15.611
45,2021-01-02 21:00:00+00:00,16.461,76.46983,12.311001
46,2021-01-02 22:00:00+00:00,15.661,67.49307,9.661
47,2021-01-02 23:00:00+00:00,15.111,64.26631,8.411
48,2021-01-03 00:00:00+00:00,15.061001,68.28173,9.261001
49,2021-01-03 01:00:00+00:00,14.761001,68.450836,9.011001
50,2021-01-03 02:00:00+00:00,14.111,81.06629,10.911
51,2021-01-03 03:00:00+00:00,16.161001,67.14629,10.061001
52,2021-01-03 04:00:00+00:00,18.761,57.94246,10.311001
53,2021-01-03 05:00:00+00:00,21.261,49.96661,10.411
