,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,12.1,90.84998,10.65
1,2021-01-01 01:00:00+00:00,12.1,92.37281,10.9
2,2021-01-01 02:00:00+00:00,14.5,82.19856,11.5
3,2021-01-01 03:00:00+00:00,17.45,70.834854,12.1
4,2021-01-01 04:00:00+00:00,20.25,60.257183,12.3
5,2021-01-01 05:00:00+00:00,22.4,51.785496,12.0
6,2021-01-01 06:00:00+00:00,23.75,46.0235,11.45
7,2021-01-01 07:00:00+00:00,24.55,42.86132,11.1
8,2021-01-01 08:00:00+00:00,24.9,41.42084,10.9
9,2021-01-01 09:00:00+00:00,24.85,40.723938,10.6
10,2021-01-01 10:00:00+00:00,24.3,41.94599,10.55
11,2021-01-01 11:00:00+00:00,21.55,56.363163,12.5
12,2021-01-01 12:00:00+00:00,18.35,68.04478,12.35
13,2021-01-01 13:00:00+00:00,17.5,72.73007,12.55
14,2021-01-01 14:00:00+00:00,16.55,75.23777,12.15
15,2021-01-01 15:00:00+00:00,15.8,75.611,11.5
16,2021-01-01 16:00:00+00:00,15.05,77.77619,11.2
17,2021-01-01 17:00:00+00:00,14.5,80.58239,11.2
18,2021-01-01 18:00:00+00:00,14.0,84.063225,11.35
19,2021-01-01 19:00:00+00:00,13.8,85.72658,11.45
20,2021-01-01 20:00:00+00:00,13.6,85.99018,11.3
21,2021-01-01 21:00:00+00:00,13.15,87.67287,11.15
22,2021-01-01 22:00:00+00:00,12.55,90.279755,11.0
23,2021-01-01 23:00:00+00:00,12.0,91.14612,10.6
24,2021-01-02 00:00:00+00:00,11.95,93.28964,10.9
25,2021-01-02 01:00:00+00:00,11.85,92.97492,10.75
26,2021-01-02 02:00:00+00:00,14.0,80.246796,10.65
27,2021-01-02 03:00:00+00:00,16.85,65.52056,10.35
28,2021-01-02 04:00:00+00:00,19.75,54.98959,10.45
29,2021-01-02 05:00:00+00:00,22.05,48.862835,10.8
30,2021-01-02 06:00:00+00:00,23.55,44.764706,10.85
31,2021-01-02 07:00:00+00:00,24.4,41.973988,10.65
32,2021-01-02 08:00:00+00:00,24.9,39.139477,10.05
33,2021-01-02 09:00:00+00:00,24.95,37.610664,9.5
34,2021-01-02 10:00:00+00:00,24.45,38.881683,9.55
35,2021-01-02 11:00:00+00:00,21.4,60.922035,13.55
36,2021-01-02 12:00:00+00:00,19.0,60.761784,11.25
37,2021-01-02 13:00:00+00:00,17.95,66.19316,11.55
38,2021-01-02 14:00:00+00:00,18.6,62.0934,11.2
39,2021-01-02 15:00:00+00:00,18.5,61.25191,10.9
40,2021-01-02 16:00:00+00:00,17.85,63.380474,10.8
41,2021-01-02 17:00:00+00:00,15.5,74.072365,10.9
42,2021-01-02 18:00:00+00:00,13.3,85.107574,10.85
43,2021-01-02 19:00:00+00:00,13.15,84.80878,10.65
44,2021-01-02 20:00:00+00:00,12.7,86.47284,10.5
45,2021-01-02 21:00:00+00:00,12.6,87.623,10.6
46,2021-01-02 22:00:00+00:00,12.15,90.55162,10.65
47,2021-01-02 23:00:00+00:00,11.5,92.64674,10.35
48,2021-01-03 00:00:00+00:00,11.4,94.82852,10.6
49,2021-01-03 01:00:00+00:00,12.0,94.22548,11.1
50,2021-01-03 02:00:00+00:00,14.4,83.00526,11.55
51,2021-01-03 03:00:00+00:00,17.7,70.418,12.25
52,2021-01-03 04:00:00+00:00,20.6,60.93508,12.8
53,2021-01-03 05:00:00+00:00,22.7,53.768234,12.85
54,2021-01-03 06:00:00+00:00,24.2,47.689693,12.4
55,2021-01-03 07:00:00+00:00,25.15,43.313072,11.8
56,2021-01-03 08:00:00+00:00,25.7,40.423454,11.25
57,2021-01-03 09:00:00+00:00,25.75,39.50978,10.95
58,2021-01-03 10:00:00+00:00,25.3,40.57993,10.95
59,2021-01-03 11:00:00+00:00,22.3,59.761326,14.1
60,2021-01-03 12:00:00+00:00,19.15,66.01243,12.65
61,2021-01-03 13:00:00+00:00,18.4,67.60944,12.3
62,2021-01-03 14:00:00+00:00,17.3,68.281364,11.4
63,2021-01-03 15:00:00+00:00,16.2,71.06717,10.95
64,2021-01-03 16:00:00+00:00,15.2,77.285614,11.25
65,2021-01-03 17:00:00+00:00,14.6,82.21116,11.6
66,2021-01-03 18:00:00+00:00,14.05,86.89108,11.9
67,2021-01-03 19:00:00+00:00,13.7,88.59483,11.85
68,2021-01-03 20:00:00+00:00,13.4,89.451485,11.7
69,2021-01-03 21:00:00+00:00,13.2,89.73193,11.55
70,2021-01-03 22:00:00+00:00,12.8,90.29786,11.25
71,2021-01-03 23:00:00+00:00,12.1,92.06646,10.85
72,2021-01-04 00:00:00+00:00,11.95,94.85026,11.15
73,2021-01-04 01:00:00+00:00,12.3,94.86402,11.5
74,2021-01-04 02:00:00+00:00,15.2,83.101494,12.35
75,2021-01-04 03:00:00+00:00,18.7,71.07042,13.35
76,2021-01-04 04:00:00+00:00,21.9,61.434433,14.15
77,2021-01-04 05:00:00+00:00,24.2,52.42426,13.85
78,2021-01-04 06:00:00+00:00,25.65,47.613964,13.7
79,2021-01-04 07:00:00+00:00,26.55,44.27345,13.4
80,2021-01-04 08:00:00+00:00,27.1,41.896626,13.05
81,2021-01-04 09:00:00+00:00,27.25,41.259075,12.95
82,2021-01-04 10:00:00+00:00,26.75,43.047558,13.15
83,2021-01-04 11:00:00+00:00,23.65,63.028214,16.2
84,2021-01-04 12:00:00+00:00,20.5,72.32788,15.35
85,2021-01-04 13:00:00+00:00,19.45,75.470535,15.0
86,2021-01-04 14:00:00+00:00,18.4,77.274284,14.35
87,2021-01-04 15:00:00+00:00,17.65,79.189064,14.0
88,2021-01-04 16:00:00+00:00,16.85,84.38378,14.2
89,2021-01-04 17:00:00+00:00,16.3,87.10315,14.15
90,2021-01-04 18:00:00+00:00,15.7,89.049286,13.9
91,2021-01-04 19:00:00+00:00,15.3,90.18262,13.7
92,2021-01-04 20:00:00+00:00,15.15,90.46551,13.6
93,2021-01-04 21:00:00+00:00,14.75,91.624084,13.4
94,2021-01-04 22:00:00+00:00,14.25,92.495155,13.05
95,2021-01-04 23:00:00+00:00,14.25,92.495155,13.05
96,2021-01-05 00:00:00+00:00,13.8,93.99603,12.85
97,2021-01-05 01:00:00+00:00,14.05,93.39535,13.0
