,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,-6.571,55.927677,-13.921
1,2021-01-01 01:00:00+00:00,-5.6210003,48.718945,-14.721
2,2021-01-01 02:00:00+00:00,-5.471,44.720352,-15.620999
3,2021-01-01 03:00:00+00:00,-3.271,38.693417,-15.370999
4,2021-01-01 04:00:00+00:00,-0.321,36.83457,-13.321
5,2021-01-01 05:00:00+00:00,1.679,42.85335,-9.620999
6,2021-01-01 06:00:00+00:00,3.279,44.873707,-7.571
7,2021-01-01 07:00:00+00:00,4.329,45.708042,-6.3710003
8,2021-01-01 08:00:00+00:00,4.9789996,46.07483,-5.671
9,2021-01-01 09:00:00+00:00,5.029,47.151012,-5.321
10,2021-01-01 10:00:00+00:00,4.329,49.512203,-5.321
11,2021-01-01 11:00:00+00:00,2.579,55.59058,-5.421
12,2021-01-01 12:00:00+00:00,-1.971,69.96619,-6.721
13,2021-01-01 13:00:00+00:00,-2.5709999,66.675354,-7.921
14,2021-01-01 14:00:00+00:00,-3.5709999,63.146965,-9.571
15,2021-01-01 15:00:00+00:00,-3.171,58.692432,-10.120999
16,2021-01-01 16:00:00+00:00,-3.271,53.119484,-11.471
17,2021-01-01 17:00:00+00:00,-3.921,52.2992,-12.271
18,2021-01-01 18:00:00+00:00,-4.721,52.490845,-12.971
19,2021-01-01 19:00:00+00:00,-5.1210003,50.49201,-13.821
20,2021-01-01 20:00:00+00:00,-5.221,49.848156,-14.071
21,2021-01-01 21:00:00+00:00,-5.471,38.48071,-17.421001
22,2021-01-01 22:00:00+00:00,-5.571,35.329956,-18.521
23,2021-01-01 23:00:00+00:00,-5.721,35.132336,-18.721
24,2021-01-02 00:00:00+00:00,-4.471,36.132465,-17.271
25,2021-01-02 01:00:00+00:00,-5.571,37.965923,-17.671001
26,2021-01-02 02:00:00+00:00,-5.571,37.64694,-17.771
27,2021-01-02 03:00:00+00:00,-2.8209999,30.493925,-17.821001
28,2021-01-02 04:00:00+00:00,0.329,30.577904,-15.021
29,2021-01-02 05:00:00+00:00,2.379,27.617739,-14.471
30,2021-01-02 06:00:00+00:00,3.729,31.117205,-11.821
31,2021-01-02 07:00:00+00:00,4.329,39.02213,-8.421
32,2021-01-02 08:00:00+00:00,4.929,42.837,-6.671
33,2021-01-02 09:00:00+00:00,4.779,46.36754,-5.7710004
34,2021-01-02 10:00:00+00:00,4.1289997,48.708782,-5.721
35,2021-01-02 11:00:00+00:00,2.479,55.143074,-5.6210003
36,2021-01-02 12:00:00+00:00,-1.8709999,67.350555,-7.1210003
37,2021-01-02 13:00:00+00:00,-2.071,62.534126,-8.271
38,2021-01-02 14:00:00+00:00,-3.171,63.9919,-9.021
39,2021-01-02 15:00:00+00:00,-3.521,60.244186,-10.120999
40,2021-01-02 16:00:00+00:00,-3.971,60.605904,-10.471
41,2021-01-02 17:00:00+00:00,-2.171,50.143524,-11.171
42,2021-01-02 18:00:00+00:00,-4.071,55.944527,-11.571
43,2021-01-02 19:00:00+00:00,-3.771,53.403126,-11.870999
44,2021-01-02 20:00:00+00:00,-3.121,43.81067,-13.721
45,2021-01-02 21:00:00+00:00,-0.070999995,33.88974,-14.120999
46,2021-01-02 22:00:00+00:00,0.47899997,33.64732,-13.721
47,2021-01-02 23:00:00+00:00,0.67899996,35.105034,-13.021
48,2021-01-03 00:00:00+00:00,-0.521,54.106693,-8.671
49,2021-01-03 01:00:00+00:00,-1.1209999,56.529617,-8.671
50,2021-01-03 02:00:00+00:00,-2.021,58.079258,-9.171
51,2021-01-03 03:00:00+00:00,0.129,48.10028,-9.571
52,2021-01-03 04:00:00+00:00,0.47899997,54.806454,-7.571
53,2021-01-03 05:00:00+00:00,0.529,57.855934,-6.821
54,2021-01-03 06:00:00+00:00,1.7290001,57.511486,-5.7710004
55,2021-01-03 07:00:00+00:00,2.879,58.031998,-4.571
56,2021-01-03 08:00:00+00:00,4.8789997,50.04586,-4.671
57,2021-01-03 09:00:00+00:00,5.3789997,51.71554,-3.771
58,2021-01-03 10:00:00+00:00,4.079,61.006516,-2.771
59,2021-01-03 11:00:00+00:00,2.329,63.838467,-3.8209999
60,2021-01-03 12:00:00+00:00,-1.6209999,77.31847,-5.071
61,2021-01-03 13:00:00+00:00,-2.121,84.88613,-4.321
62,2021-01-03 14:00:00+00:00,-0.271,76.10309,-3.971
63,2021-01-03 15:00:00+00:00,-0.421,76.07718,-4.1210003
64,2021-01-03 16:00:00+00:00,-1.221,79.15258,-4.3710003
65,2021-01-03 17:00:00+00:00,-1.5209999,80.9135,-4.3710003
66,2021-01-03 18:00:00+00:00,-1.021,78.00235,-4.3710003
67,2021-01-03 19:00:00+00:00,-1.221,77.97007,-4.571
68,2021-01-03 20:00:00+00:00,-1.721,81.80343,-4.421
69,2021-01-03 21:00:00+00:00,-1.471,79.41261,-4.571
70,2021-01-03 22:00:00+00:00,-0.971,77.42598,-4.421
71,2021-01-03 23:00:00+00:00,-1.3709999,79.72726,-4.421
72,2021-01-04 00:00:00+00:00,-1.971,83.323235,-4.421
73,2021-01-04 01:00:00+00:00,-1.971,82.387665,-4.571
74,2021-01-04 02:00:00+00:00,-2.471,84.84545,-4.671
75,2021-01-04 03:00:00+00:00,-1.8709999,82.0914,-4.5210004
76,2021-01-04 04:00:00+00:00,-0.871,79.206406,-4.021
77,2021-01-04 05:00:00+00:00,0.579,76.24911,-3.121
78,2021-01-04 06:00:00+00:00,2.4290001,70.60694,-2.371
79,2021-01-04 07:00:00+00:00,3.729,66.5807,-1.921
80,2021-01-04 08:00:00+00:00,4.079,66.41385,-1.6209999
81,2021-01-04 09:00:00+00:00,4.1289997,69.157555,-1.021
82,2021-01-04 10:00:00+00:00,3.9290001,73.00686,-0.47100002
83,2021-01-04 11:00:00+00:00,3.329,76.15677,-0.47100002
84,2021-01-04 12:00:00+00:00,-0.121,86.38228,-2.121
85,2021-01-04 13:00:00+00:00,-0.121,82.631516,-2.721
86,2021-01-04 14:00:00+00:00,-1.221,83.417915,-3.671
87,2021-01-04 15:00:00+00:00,-2.071,85.53191,-4.171
88,2021-01-04 16:00:00+00:00,-1.8709999,83.33591,-4.321
89,2021-01-04 17:00:00+00:00,-1.171,77.39297,-4.6210003
90,2021-01-04 18:00:00+00:00,-0.921,76.56513,-4.5210004
91,2021-01-04 19:00:00+00:00,-1.171,77.39297,-4.6210003
92,2021-01-04 20:00:00+00:00,-0.321,74.96092,-4.221
93,2021-01-04 21:00:00+00:00,-0.221,76.11171,-3.921
94,2021-01-04 22:00:00+00:00,-0.121,76.414345,-3.771
