,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,12.874,88.231926,10.974
1,2021-01-01 01:00:00+00:00,12.524,90.57798,11.024
2,2021-01-01 02:00:00+00:00,14.574,81.12779,11.374
3,2021-01-01 03:00:00+00:00,17.374,70.12404,11.874
4,2021-01-01 04:00:00+00:00,20.174002,60.04156,12.174
5,2021-01-01 05:00:00+00:00,22.374,51.438606,11.874
6,2021-01-01 06:00:00+00:00,23.774,45.274643,11.224
7,2021-01-01 07:00:00+00:00,24.674002,41.495316,10.724
8,2021-01-01 08:00:00+00:00,25.124,39.994694,10.574
9,2021-01-01 09:00:00+00:00,25.124,39.202625,10.274
10,2021-01-01 10:00:00+00:00,24.624,40.390026,10.274
11,2021-01-01 11:00:00+00:00,21.724,55.489243,12.424
12,2021-01-01 12:00:00+00:00,18.374,66.28287,11.974
13,2021-01-01 13:00:00+00:00,19.074001,62.407608,11.724
14,2021-01-01 14:00:00+00:00,18.024,66.86768,11.774
15,2021-01-01 15:00:00+00:00,17.074001,71.23187,11.824
16,2021-01-01 16:00:00+00:00,16.224,75.43172,11.874
17,2021-01-01 17:00:00+00:00,14.274,86.058426,11.974
18,2021-01-01 18:00:00+00:00,14.224,84.92586,11.724
19,2021-01-01 19:00:00+00:00,13.774,86.29264,11.524
20,2021-01-01 20:00:00+00:00,13.424,87.6976,11.424
21,2021-01-01 21:00:00+00:00,13.124,87.961624,11.174
22,2021-01-01 22:00:00+00:00,12.574,87.03882,10.474
23,2021-01-01 23:00:00+00:00,11.824,85.80804,9.524
24,2021-01-02 00:00:00+00:00,12.074,87.57504,10.074
25,2021-01-02 01:00:00+00:00,11.774,85.51507,9.424
26,2021-01-02 02:00:00+00:00,13.774,73.27512,9.074
27,2021-01-02 03:00:00+00:00,16.474,62.01778,9.174
28,2021-01-02 04:00:00+00:00,19.424002,52.566315,9.474
29,2021-01-02 05:00:00+00:00,21.724,45.617825,9.474
30,2021-01-02 06:00:00+00:00,23.274,41.240215,9.374
31,2021-01-02 07:00:00+00:00,24.324001,37.05604,8.724
32,2021-01-02 08:00:00+00:00,25.024,33.891228,8.024
33,2021-01-02 09:00:00+00:00,25.174002,32.57625,7.574
34,2021-01-02 10:00:00+00:00,24.724,34.153324,7.874
35,2021-01-02 11:00:00+00:00,21.424002,56.889065,12.524
36,2021-01-02 12:00:00+00:00,18.024,59.728546,10.074
37,2021-01-02 13:00:00+00:00,17.724,60.25899,9.924
38,2021-01-02 14:00:00+00:00,19.024,52.993805,9.224
39,2021-01-02 15:00:00+00:00,18.824001,53.659523,9.224
40,2021-01-02 16:00:00+00:00,18.824001,53.4792,9.174
41,2021-01-02 17:00:00+00:00,18.474,54.66293,9.174
42,2021-01-02 18:00:00+00:00,16.724,63.551025,9.774
43,2021-01-02 19:00:00+00:00,15.324,71.85448,10.274
44,2021-01-02 20:00:00+00:00,12.874,85.91614,10.574
45,2021-01-02 21:00:00+00:00,12.324,88.47855,10.474
46,2021-01-02 22:00:00+00:00,12.174,88.17104,10.274
47,2021-01-02 23:00:00+00:00,11.624,90.51435,10.124
48,2021-01-03 00:00:00+00:00,11.574,92.03491,10.324
49,2021-01-03 01:00:00+00:00,12.024,91.75628,10.724
50,2021-01-03 02:00:00+00:00,14.724,81.955795,11.674
51,2021-01-03 03:00:00+00:00,17.674002,70.87726,12.324
52,2021-01-03 04:00:00+00:00,20.474,61.708374,12.874
53,2021-01-03 05:00:00+00:00,22.624,54.456493,12.974
54,2021-01-03 06:00:00+00:00,24.174002,48.154354,12.524
55,2021-01-03 07:00:00+00:00,25.324001,42.37174,11.624
56,2021-01-03 08:00:00+00:00,25.974,38.792637,10.874
57,2021-01-03 09:00:00+00:00,26.124,37.439964,10.474
58,2021-01-03 10:00:00+00:00,25.624,39.082535,10.674
59,2021-01-03 11:00:00+00:00,22.474,60.776436,14.524
60,2021-01-03 12:00:00+00:00,19.274,63.28099,12.124
61,2021-01-03 13:00:00+00:00,17.974,69.32326,12.274
62,2021-01-03 14:00:00+00:00,16.874,72.85698,11.974
63,2021-01-03 15:00:00+00:00,16.224,73.465675,11.474
64,2021-01-03 16:00:00+00:00,15.874,74.87693,11.424
65,2021-01-03 17:00:00+00:00,15.024,81.187325,11.824
66,2021-01-03 18:00:00+00:00,14.174,86.61722,11.974
67,2021-01-03 19:00:00+00:00,13.874,86.874275,11.724
68,2021-01-03 20:00:00+00:00,13.724,86.85994,11.574
69,2021-01-03 21:00:00+00:00,13.624,87.71561,11.624
70,2021-01-03 22:00:00+00:00,13.124,89.72616,11.474
71,2021-01-03 23:00:00+00:00,12.624,91.18745,11.224
72,2021-01-04 00:00:00+00:00,12.974,93.3415,11.924
73,2021-01-04 01:00:00+00:00,13.524,92.150955,12.274
74,2021-01-04 02:00:00+00:00,15.874,84.00062,13.174
75,2021-01-04 03:00:00+00:00,18.874,71.103,13.524
76,2021-01-04 04:00:00+00:00,21.874,60.244972,13.824
77,2021-01-04 05:00:00+00:00,24.174002,52.078186,13.724
78,2021-01-04 06:00:00+00:00,25.774,45.82277,13.224
79,2021-01-04 07:00:00+00:00,26.824001,41.411205,12.624
80,2021-01-04 08:00:00+00:00,27.374,39.443428,12.374
81,2021-01-04 09:00:00+00:00,27.524,39.09855,12.374
82,2021-01-04 10:00:00+00:00,27.074001,41.07548,12.724
83,2021-01-04 11:00:00+00:00,23.974,61.12168,16.024
84,2021-01-04 12:00:00+00:00,20.824001,68.541214,14.824
85,2021-01-04 13:00:00+00:00,19.874,71.98269,14.674
86,2021-01-04 14:00:00+00:00,19.224,73.74891,14.424
87,2021-01-04 15:00:00+00:00,18.824001,74.64031,14.224
88,2021-01-04 16:00:00+00:00,17.724,79.45655,14.124
89,2021-01-04 17:00:00+00:00,16.424002,87.11468,14.274
90,2021-01-04 18:00:00+00:00,16.174002,88.22695,14.224
91,2021-01-04 19:00:00+00:00,15.924,89.06719,14.124
92,2021-01-04 20:00:00+00:00,15.474,89.90294,13.824
93,2021-01-04 21:00:00+00:00,15.024,90.45662,13.474
94,2021-01-04 22:00:00+00:00,14.574,91.31474,13.174
95,2021-01-04 23:00:00+00:00,14.624,91.02059,13.174
96,2021-01-05 00:00:00+00:00,14.424,93.11005,13.324
97,2021-01-05 01:00:00+00:00,14.474,92.80975,13.324
98,2021-01-05 02:00:00+00:00,16.724,83.55327,13.924
99,2021-01-05 03:00:00+00:00,19.724,71.72341,14.474
100,2021-01-05 04:00:00+00:00,22.774,60.650105,14.774
101,2021-01-05 05:00:00+00:00,25.074001,51.639835,14.424
102,2021-01-05 06:00:00+00:00,26.674002,46.21688,14.174
103,2021-01-05 07:00:00+00:00,27.724,43.036076,14.024
104,2021-01-05 08:00:00+00:00,28.324001,41.288097,13.924
105,2021-01-05 09:00:00+00:00,28.524,40.153706,13.674
106,2021-01-05 10:00:00+00:00,28.024,42.152237,13.974
107,2021-01-05 11:00:00+00:00,25.624,55.74131,16.124
108,2021-01-05 12:00:00+00:00,22.924002,64.703545,15.924
109,2021-01-05 13:00:00+00:00,21.874,69.18924,15.974
110,2021-01-05 14:00:00+00:00,22.324001,66.25077,15.724
111,2021-01-05 15:00:00+00:00,22.324001,65.617714,15.574
112,2021-01-05 16:00:00+00:00,21.724,66.98036,15.324
113,2021-01-05 17:00:00+00:00,21.124,69.04284,15.224
114,2021-01-05 18:00:00+00:00,20.374,72.073395,15.174
115,2021-01-05 19:00:00+00:00,19.624,75.4989,15.174
116,2021-01-05 20:00:00+00:00,19.124,77.63422,15.124
117,2021-01-05 21:00:00+00:00,18.474,80.85198,15.124
118,2021-01-05 22:00:00+00:00,17.374,85.812386,14.974
119,2021-01-05 23:00:00+00:00,15.974,91.10993,14.524
120,2021-01-06 00:00:00+00:00,14.674,95.88427,14.024
121,2021-01-06 01:00:00+00:00,14.774,95.88738,14.124
122,2021-01-06 02:00:00+00:00,17.674002,85.84272,15.274
123,2021-01-06 03:00:00+00:00,20.824001,72.385994,15.674
124,2021-01-06 04:00:00+00:00,23.724,61.064415,15.774
