,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,9.882,95.087616,9.132
1,2021-01-01 01:00:00+00:00,9.432,94.749626,8.632
2,2021-01-01 02:00:00+00:00,12.582,86.46118,10.382
3,2021-01-01 03:00:00+00:00,15.632,72.15139,10.632
4,2021-01-01 04:00:00+00:00,17.932,64.45963,11.132
5,2021-01-01 05:00:00+00:00,19.532,57.555405,10.932
6,2021-01-01 06:00:00+00:00,20.581999,52.34375,10.482
7,2021-01-01 07:00:00+00:00,21.182,48.790962,9.982
8,2021-01-01 08:00:00+00:00,21.331999,47.38235,9.682
9,2021-01-01 09:00:00+00:00,21.132,47.327534,9.482
10,2021-01-01 10:00:00+00:00,20.432,49.410995,9.482
11,2021-01-01 11:00:00+00:00,18.782,58.141228,10.382
12,2021-01-01 12:00:00+00:00,15.832,69.59146,10.282001
13,2021-01-01 13:00:00+00:00,14.632,76.684906,10.582
14,2021-01-01 14:00:00+00:00,13.482,83.725204,10.782001
15,2021-01-01 15:00:00+00:00,13.082,85.937416,10.782001
16,2021-01-01 16:00:00+00:00,12.782001,85.90672,10.482
17,2021-01-01 17:00:00+00:00,12.632,85.31991,10.232
18,2021-01-01 18:00:00+00:00,12.732,84.76285,10.232
19,2021-01-01 19:00:00+00:00,12.832,84.77384,10.332
20,2021-01-01 20:00:00+00:00,12.582,86.17326,10.332
21,2021-01-01 21:00:00+00:00,12.182,87.29278,10.132
22,2021-01-01 22:00:00+00:00,11.732,87.5437,9.732
23,2021-01-01 23:00:00+00:00,11.332,86.92012,9.232
24,2021-01-02 00:00:00+00:00,11.482,90.50426,9.982
25,2021-01-02 01:00:00+00:00,10.582,90.74506,9.132
26,2021-01-02 02:00:00+00:00,13.232,82.312256,10.282001
27,2021-01-02 03:00:00+00:00,16.231998,69.902306,10.732
28,2021-01-02 04:00:00+00:00,18.382,61.02117,10.732
29,2021-01-02 05:00:00+00:00,19.932,53.946503,10.332
30,2021-01-02 06:00:00+00:00,21.182,47.660076,9.632
