,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,5.934,81.64731,3.034
1,2021-01-01 01:00:00+00:00,6.984,77.58326,3.334
2,2021-01-01 02:00:00+00:00,9.934,69.11942,4.534
3,2021-01-01 03:00:00+00:00,12.834,58.256996,4.834
4,2021-01-01 04:00:00+00:00,15.184,51.080406,5.1340003
5,2021-01-01 05:00:00+00:00,17.334,48.06671,6.234
6,2021-01-01 06:00:00+00:00,18.984,50.880554,8.584
7,2021-01-01 07:00:00+00:00,20.383999,44.181232,7.784
8,2021-01-01 08:00:00+00:00,21.034,37.648144,6.034
9,2021-01-01 09:00:00+00:00,20.784,37.57638,5.784
10,2021-01-01 10:00:00+00:00,19.984,40.305607,6.084
11,2021-01-01 11:00:00+00:00,16.684,52.736633,6.984
12,2021-01-01 12:00:00+00:00,15.684,52.289906,5.934
13,2021-01-01 13:00:00+00:00,12.733999,66.64848,6.684
14,2021-01-01 14:00:00+00:00,10.884,76.076996,6.834
15,2021-01-01 15:00:00+00:00,9.184,84.36479,6.684
16,2021-01-01 16:00:00+00:00,8.384,87.531555,6.434
17,2021-01-01 17:00:00+00:00,8.134,87.20696,6.1340003
18,2021-01-01 18:00:00+00:00,8.084,86.00575,5.8840003
19,2021-01-01 19:00:00+00:00,8.084,84.53063,5.6340003
20,2021-01-01 20:00:00+00:00,7.334,86.22692,5.184
21,2021-01-01 21:00:00+00:00,5.984,90.41624,4.534
22,2021-01-01 22:00:00+00:00,5.584,90.38684,4.1340003
23,2021-01-01 23:00:00+00:00,5.334,90.05143,3.834
24,2021-01-02 00:00:00+00:00,5.234,89.41239,3.6340003
25,2021-01-02 01:00:00+00:00,6.234,88.559746,4.484
26,2021-01-02 02:00:00+00:00,10.184,73.63475,5.684
27,2021-01-02 03:00:00+00:00,13.184,63.177246,6.334
28,2021-01-02 04:00:00+00:00,15.733999,54.511112,6.584
29,2021-01-02 05:00:00+00:00,17.633999,54.262024,8.283999
30,2021-01-02 06:00:00+00:00,19.034,51.935802,8.934
31,2021-01-02 07:00:00+00:00,20.084,44.39877,7.584
32,2021-01-02 08:00:00+00:00,20.584,41.460636,7.034
33,2021-01-02 09:00:00+00:00,20.383999,42.553818,7.234
34,2021-01-02 10:00:00+00:00,19.383999,49.96512,8.684
35,2021-01-02 11:00:00+00:00,18.434,45.47467,6.434
36,2021-01-02 12:00:00+00:00,16.834,50.997345,6.6340003
37,2021-01-02 13:00:00+00:00,15.033999,62.954166,8.033999
38,2021-01-02 14:00:00+00:00,12.584,73.06081,7.8840003
39,2021-01-02 15:00:00+00:00,10.084,83.60702,7.434
40,2021-01-02 16:00:00+00:00,8.334,90.276276,6.834
41,2021-01-02 17:00:00+00:00,7.9340005,89.62747,6.334
42,2021-01-02 18:00:00+00:00,7.534,88.97877,5.834
43,2021-01-02 19:00:00+00:00,7.584,86.25252,5.434
44,2021-01-02 20:00:00+00:00,6.8840003,86.78385,4.834
45,2021-01-02 21:00:00+00:00,6.284,87.94703,4.434
46,2021-01-02 22:00:00+00:00,5.934,88.533714,4.184
47,2021-01-02 23:00:00+00:00,5.584,88.81473,3.8840003
48,2021-01-03 00:00:00+00:00,5.784,87.90143,3.934
49,2021-01-03 01:00:00+00:00,6.6340003,85.85417,4.434
50,2021-01-03 02:00:00+00:00,10.334,72.649,5.6340003
51,2021-01-03 03:00:00+00:00,13.384,63.223118,6.534
52,2021-01-03 04:00:00+00:00,15.983999,55.519325,7.084
53,2021-01-03 05:00:00+00:00,17.834,55.61452,8.834
54,2021-01-03 06:00:00+00:00,19.234,54.49174,9.834
55,2021-01-03 07:00:00+00:00,20.284,49.205227,9.283999
56,2021-01-03 08:00:00+00:00,20.883999,41.973686,7.484
57,2021-01-03 09:00:00+00:00,20.734,39.967304,6.6340003
58,2021-01-03 10:00:00+00:00,19.184,53.21422,9.434
59,2021-01-03 11:00:00+00:00,15.584,59.542976,7.7339997
60,2021-01-03 12:00:00+00:00,16.984,49.312645,6.284
61,2021-01-03 13:00:00+00:00,14.134,64.26647,7.484
62,2021-01-03 14:00:00+00:00,12.684,72.33709,7.834
63,2021-01-03 15:00:00+00:00,10.834,79.529945,7.434
64,2021-01-03 16:00:00+00:00,9.783999,83.28573,7.084
65,2021-01-03 17:00:00+00:00,8.483999,89.6705,6.8840003
