,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,12.25,91.16271,10.85
1,2021-01-01 01:00:00+00:00,12.05,90.54455,10.55
2,2021-01-01 02:00:00+00:00,13.7,81.28175,10.55
3,2021-01-01 03:00:00+00:00,16.35,68.54345,10.55
4,2021-01-01 04:00:00+00:00,18.9,58.754124,10.65
5,2021-01-01 05:00:00+00:00,21.0,51.932827,10.75
6,2021-01-01 06:00:00+00:00,22.45,47.529297,10.75
7,2021-01-01 07:00:00+00:00,23.35,45.007782,10.75
8,2021-01-01 08:00:00+00:00,23.8,43.080704,10.5
9,2021-01-01 09:00:00+00:00,23.7,43.196552,10.45
10,2021-01-01 10:00:00+00:00,23.05,44.775265,10.4
11,2021-01-01 11:00:00+00:00,20.75,53.443066,10.95
12,2021-01-01 12:00:00+00:00,19.0,57.808205,10.5
13,2021-01-01 13:00:00+00:00,18.35,60.407436,10.55
14,2021-01-01 14:00:00+00:00,17.25,64.09524,10.4
15,2021-01-01 15:00:00+00:00,16.25,66.494644,10.0
16,2021-01-01 16:00:00+00:00,15.4,68.12184,9.55
17,2021-01-01 17:00:00+00:00,14.6,70.28782,9.25
18,2021-01-01 18:00:00+00:00,13.85,73.28872,9.15
19,2021-01-01 19:00:00+00:00,13.35,75.45655,9.1
20,2021-01-01 20:00:00+00:00,13.1,75.92537,8.95
21,2021-01-01 21:00:00+00:00,12.7,77.15244,8.8
22,2021-01-01 22:00:00+00:00,12.25,78.66286,8.65
23,2021-01-01 23:00:00+00:00,11.95,79.96032,8.6
24,2021-01-02 00:00:00+00:00,11.8,84.09188,9.2
25,2021-01-02 01:00:00+00:00,11.8,83.80922,9.15
26,2021-01-02 02:00:00+00:00,13.5,75.9911,9.35
27,2021-01-02 03:00:00+00:00,16.25,64.087296,9.45
28,2021-01-02 04:00:00+00:00,18.95,55.15374,9.75
29,2021-01-02 05:00:00+00:00,21.0,50.23101,10.25
30,2021-01-02 06:00:00+00:00,22.4,47.673977,10.75
31,2021-01-02 07:00:00+00:00,23.35,45.007782,10.75
32,2021-01-02 08:00:00+00:00,23.8,43.224457,10.55
33,2021-01-02 09:00:00+00:00,23.75,42.923405,10.4
34,2021-01-02 10:00:00+00:00,23.2,43.78264,10.2
35,2021-01-02 11:00:00+00:00,20.25,60.257183,12.3
36,2021-01-02 12:00:00+00:00,18.75,60.30134,10.9
37,2021-01-02 13:00:00+00:00,17.3,66.27477,10.95
38,2021-01-02 14:00:00+00:00,16.35,70.15797,10.9
39,2021-01-02 15:00:00+00:00,16.05,71.03879,10.8
40,2021-01-02 16:00:00+00:00,15.55,73.34643,10.8
41,2021-01-02 17:00:00+00:00,14.8,75.94973,10.6
42,2021-01-02 18:00:00+00:00,14.25,76.36842,10.15
43,2021-01-02 19:00:00+00:00,13.65,78.606636,10.0
44,2021-01-02 20:00:00+00:00,13.0,82.55858,10.1
45,2021-01-02 21:00:00+00:00,12.5,85.87777,10.2
46,2021-01-02 22:00:00+00:00,11.9,89.03557,10.15
47,2021-01-02 23:00:00+00:00,12.0,88.45092,10.15
48,2021-01-03 00:00:00+00:00,11.2,92.01237,9.95
49,2021-01-03 01:00:00+00:00,11.0,91.38538,9.65
50,2021-01-03 02:00:00+00:00,12.85,80.89727,9.65
51,2021-01-03 03:00:00+00:00,16.0,67.563324,10.0
52,2021-01-03 04:00:00+00:00,19.0,59.961437,11.05
53,2021-01-03 05:00:00+00:00,21.3,53.408257,11.45
54,2021-01-03 06:00:00+00:00,22.75,48.88941,11.45
55,2021-01-03 07:00:00+00:00,23.55,47.201023,11.65
56,2021-01-03 08:00:00+00:00,23.95,46.53674,11.8
57,2021-01-03 09:00:00+00:00,24.0,47.1678,12.05
58,2021-01-03 10:00:00+00:00,23.5,49.577065,12.35
59,2021-01-03 11:00:00+00:00,20.95,67.25355,14.65
60,2021-01-03 12:00:00+00:00,20.25,62.469563,12.85
61,2021-01-03 13:00:00+00:00,18.6,70.13025,13.05
62,2021-01-03 14:00:00+00:00,16.7,78.53792,12.95
63,2021-01-03 15:00:00+00:00,16.25,79.24703,12.65
64,2021-01-03 16:00:00+00:00,15.65,81.26968,12.45
65,2021-01-03 17:00:00+00:00,15.3,81.22369,12.1
66,2021-01-03 18:00:00+00:00,14.65,82.48931,11.7
67,2021-01-03 19:00:00+00:00,13.55,87.13098,11.45
68,2021-01-03 20:00:00+00:00,13.1,88.83804,11.3
69,2021-01-03 21:00:00+00:00,12.7,90.29061,11.15
70,2021-01-03 22:00:00+00:00,12.55,90.57981,11.05
71,2021-01-03 23:00:00+00:00,12.35,91.472466,11.0
72,2021-01-04 00:00:00+00:00,12.3,93.61694,11.3
73,2021-01-04 01:00:00+00:00,12.65,92.7104,11.5
74,2021-01-04 02:00:00+00:00,14.7,82.768074,11.8
75,2021-01-04 03:00:00+00:00,17.8,70.206184,12.3
76,2021-01-04 04:00:00+00:00,20.55,62.333668,13.1
77,2021-01-04 05:00:00+00:00,22.3,57.29093,13.45
78,2021-01-04 06:00:00+00:00,23.55,53.114334,13.45
79,2021-01-04 07:00:00+00:00,24.25,51.09166,13.5
80,2021-01-04 08:00:00+00:00,24.7,49.57224,13.45
81,2021-01-04 09:00:00+00:00,24.7,49.41108,13.4
82,2021-01-04 10:00:00+00:00,24.3,50.44358,13.35
83,2021-01-04 11:00:00+00:00,22.1,66.20411,15.5
84,2021-01-04 12:00:00+00:00,21.85,61.422962,14.1
85,2021-01-04 13:00:00+00:00,21.1,64.309044,14.1
86,2021-01-04 14:00:00+00:00,18.35,76.02597,14.05
87,2021-01-04 15:00:00+00:00,16.9,80.64215,13.55
88,2021-01-04 16:00:00+00:00,16.5,79.802734,13.0
