,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,7.324,81.8319,4.424
1,2021-01-01 01:00:00+00:00,7.224,82.10554,4.374
2,2021-01-01 02:00:00+00:00,8.324,77.52337,4.624
3,2021-01-01 03:00:00+00:00,11.074,67.687874,5.324
4,2021-01-01 04:00:00+00:00,14.174,58.388554,6.124
5,2021-01-01 05:00:00+00:00,16.674002,48.383923,5.724
6,2021-01-01 06:00:00+00:00,18.424002,43.77891,5.874
7,2021-01-01 07:00:00+00:00,19.724,41.643864,6.324
8,2021-01-01 08:00:00+00:00,20.574001,41.033726,6.874
9,2021-01-01 09:00:00+00:00,20.924002,41.13336,7.224
10,2021-01-01 10:00:00+00:00,20.774,41.656837,7.274
11,2021-01-01 11:00:00+00:00,18.974,63.213745,11.824
12,2021-01-01 12:00:00+00:00,16.974,57.30636,8.474
13,2021-01-01 13:00:00+00:00,17.624,51.03528,7.374
14,2021-01-01 14:00:00+00:00,17.374,50.102436,6.874
15,2021-01-01 15:00:00+00:00,16.574001,52.527008,6.824
16,2021-01-01 16:00:00+00:00,15.574,56.17986,6.874
17,2021-01-01 17:00:00+00:00,11.924,72.94092,7.224
18,2021-01-01 18:00:00+00:00,11.774,73.66588,7.224
19,2021-01-01 19:00:00+00:00,10.624,77.350784,6.824
20,2021-01-01 20:00:00+00:00,9.724,80.19255,6.474
21,2021-01-01 21:00:00+00:00,9.274,81.80419,6.324
22,2021-01-01 22:00:00+00:00,9.324,81.24911,6.274
23,2021-01-01 23:00:00+00:00,9.224,81.79765,6.274
24,2021-01-02 00:00:00+00:00,10.024,80.23478,6.774
25,2021-01-02 01:00:00+00:00,9.874,80.48973,6.674
26,2021-01-02 02:00:00+00:00,9.324,89.7357,7.724
27,2021-01-02 03:00:00+00:00,12.124,74.48586,7.724
28,2021-01-02 04:00:00+00:00,15.374,63.675514,8.524
29,2021-01-02 05:00:00+00:00,17.824001,55.424488,8.774
30,2021-01-02 06:00:00+00:00,19.674002,50.55184,9.124
31,2021-01-02 07:00:00+00:00,21.074001,48.436104,9.774
32,2021-01-02 08:00:00+00:00,22.024,47.57151,10.374
33,2021-01-02 09:00:00+00:00,22.474,47.694107,10.824
34,2021-01-02 10:00:00+00:00,22.424002,48.478935,11.024
35,2021-01-02 11:00:00+00:00,21.474,61.137585,13.674
36,2021-01-02 12:00:00+00:00,20.924002,55.65382,11.724
37,2021-01-02 13:00:00+00:00,17.274,71.740005,12.124
38,2021-01-02 14:00:00+00:00,16.024,76.90513,11.974
39,2021-01-02 15:00:00+00:00,15.224,80.150406,11.824
40,2021-01-02 16:00:00+00:00,14.424,83.83447,11.724
41,2021-01-02 17:00:00+00:00,14.374,83.828705,11.674
42,2021-01-02 18:00:00+00:00,14.374,83.55237,11.624
43,2021-01-02 19:00:00+00:00,13.724,86.00278,11.424
44,2021-01-02 20:00:00+00:00,13.174,86.80712,11.024
45,2021-01-02 21:00:00+00:00,12.274,89.66108,10.624
46,2021-01-02 22:00:00+00:00,11.674,90.5179,10.174
47,2021-01-02 23:00:00+00:00,11.424,91.10773,10.024
48,2021-01-03 00:00:00+00:00,11.174,95.4539,10.474
49,2021-01-03 01:00:00+00:00,11.174,94.81955,10.374
50,2021-01-03 02:00:00+00:00,12.724,90.8926,11.274
51,2021-01-03 03:00:00+00:00,15.824,79.44658,12.274
52,2021-01-03 04:00:00+00:00,18.924002,68.60783,13.024
53,2021-01-03 05:00:00+00:00,20.774,61.77713,13.174
54,2021-01-03 06:00:00+00:00,22.424002,56.579754,13.374
55,2021-01-03 07:00:00+00:00,23.624,52.616917,13.374
56,2021-01-03 08:00:00+00:00,24.324001,49.79628,13.174
57,2021-01-03 09:00:00+00:00,24.374,49.324303,13.074
58,2021-01-03 10:00:00+00:00,24.124,50.397125,13.174
59,2021-01-03 11:00:00+00:00,22.524,65.032715,15.624
60,2021-01-03 12:00:00+00:00,20.024,72.24222,14.874
61,2021-01-03 13:00:00+00:00,19.374,73.77482,14.574
62,2021-01-03 14:00:00+00:00,17.924002,80.2591,14.474
63,2021-01-03 15:00:00+00:00,17.274,83.617004,14.474
64,2021-01-03 16:00:00+00:00,17.424002,81.764336,14.274
65,2021-01-03 17:00:00+00:00,16.374,85.710556,13.974
66,2021-01-03 18:00:00+00:00,15.974,84.8372,13.424
67,2021-01-03 19:00:00+00:00,15.624,82.33925,12.624
68,2021-01-03 20:00:00+00:00,14.374,85.50368,11.974
69,2021-01-03 21:00:00+00:00,13.324,89.44553,11.624
70,2021-01-03 22:00:00+00:00,12.874,90.3032,11.324
71,2021-01-03 23:00:00+00:00,12.674,91.19074,11.274
72,2021-01-04 00:00:00+00:00,14.874,83.06237,12.024
73,2021-01-04 01:00:00+00:00,14.674,84.97451,12.174
74,2021-01-04 02:00:00+00:00,15.174,83.09838,12.324
75,2021-01-04 03:00:00+00:00,16.974,76.8022,12.874
76,2021-01-04 04:00:00+00:00,19.424002,69.60678,13.724
77,2021-01-04 05:00:00+00:00,21.474,62.74546,14.074
78,2021-01-04 06:00:00+00:00,22.924002,57.25742,14.024
79,2021-01-04 07:00:00+00:00,24.174002,53.620598,14.174
80,2021-01-04 08:00:00+00:00,24.974,51.780968,14.374
81,2021-01-04 09:00:00+00:00,25.274,51.19361,14.474
82,2021-01-04 10:00:00+00:00,24.974,51.780968,14.374
83,2021-01-04 11:00:00+00:00,23.624,57.79927,14.824
84,2021-01-04 12:00:00+00:00,20.124,71.56577,14.824
85,2021-01-04 13:00:00+00:00,18.924002,73.69697,14.124
86,2021-01-04 14:00:00+00:00,17.824001,78.19392,13.974
87,2021-01-04 15:00:00+00:00,16.624,84.907326,14.074
88,2021-01-04 16:00:00+00:00,15.474,91.372604,14.074
89,2021-01-04 17:00:00+00:00,15.324,91.659744,13.974
90,2021-01-04 18:00:00+00:00,15.674,89.047195,13.874
91,2021-01-04 19:00:00+00:00,16.174002,85.968735,13.824
92,2021-01-04 20:00:00+00:00,16.174002,85.41218,13.724
93,2021-01-04 21:00:00+00:00,16.324001,83.23536,13.474
94,2021-01-04 22:00:00+00:00,16.224,83.495,13.424
95,2021-01-04 23:00:00+00:00,16.074001,84.57232,13.474
