,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,14.7225,43.331467,2.3725
1,2021-01-01 01:00:00+00:00,14.322499,43.370483,2.0225
2,2021-01-01 02:00:00+00:00,13.9725,43.735844,1.8225
3,2021-01-01 03:00:00+00:00,15.322499,42.4382,2.6225
4,2021-01-01 04:00:00+00:00,17.9225,39.57355,3.9724998
5,2021-01-01 05:00:00+00:00,20.9225,36.843365,5.6225
6,2021-01-01 06:00:00+00:00,23.622501,34.78123,7.1725
7,2021-01-01 07:00:00+00:00,25.4725,32.660397,7.8725
8,2021-01-01 08:00:00+00:00,26.7225,29.316599,7.3725
9,2021-01-01 09:00:00+00:00,27.372501,26.257607,6.3225
10,2021-01-01 10:00:00+00:00,27.522501,24.799314,5.6225
11,2021-01-01 11:00:00+00:00,27.122501,24.436316,5.0725
12,2021-01-01 12:00:00+00:00,25.7225,27.47798,5.5725
13,2021-01-01 13:00:00+00:00,22.7225,31.66137,5.0225
14,2021-01-01 14:00:00+00:00,20.9225,37.616146,5.9225
15,2021-01-01 15:00:00+00:00,19.272501,42.97223,6.3725
16,2021-01-01 16:00:00+00:00,18.1725,45.715305,6.2725
17,2021-01-01 17:00:00+00:00,17.522501,46.32729,5.8725
18,2021-01-01 18:00:00+00:00,17.122501,45.736534,5.3225
19,2021-01-01 19:00:00+00:00,16.522501,45.726536,4.7725
20,2021-01-01 20:00:00+00:00,15.9225,46.52381,4.4725003
21,2021-01-01 21:00:00+00:00,15.4725,47.052303,4.2225
22,2021-01-01 22:00:00+00:00,15.072499,47.270878,3.9225001
23,2021-01-01 23:00:00+00:00,14.7225,49.37643,4.2225
24,2021-01-02 00:00:00+00:00,13.9725,59.971035,6.3225
25,2021-01-02 01:00:00+00:00,13.572499,61.126778,6.2225003
26,2021-01-02 02:00:00+00:00,13.372499,59.61859,5.6725
27,2021-01-02 03:00:00+00:00,15.122499,52.68499,5.5225
28,2021-01-02 04:00:00+00:00,17.622501,43.098667,4.9225
29,2021-01-02 05:00:00+00:00,20.022501,36.456875,4.6725
30,2021-01-02 06:00:00+00:00,22.272501,30.878744,4.2725
31,2021-01-02 07:00:00+00:00,23.9725,26.61917,3.6225
32,2021-01-02 08:00:00+00:00,25.2225,23.594067,2.9724998
33,2021-01-02 09:00:00+00:00,25.9225,21.92285,2.5225
34,2021-01-02 10:00:00+00:00,26.0725,21.270376,2.2224998
35,2021-01-02 11:00:00+00:00,25.522501,21.97517,2.2224998
36,2021-01-02 12:00:00+00:00,23.9725,24.626907,2.5225
37,2021-01-02 13:00:00+00:00,20.9725,28.113943,1.8225
38,2021-01-02 14:00:00+00:00,19.7225,29.512854,1.4225
39,2021-01-02 15:00:00+00:00,18.1725,32.278126,1.3225
40,2021-01-02 16:00:00+00:00,17.0725,34.225548,1.1725
41,2021-01-02 17:00:00+00:00,16.3225,35.509968,1.0225
42,2021-01-02 18:00:00+00:00,15.9725,36.051075,0.9225
43,2021-01-02 19:00:00+00:00,15.4725,37.62665,1.0725
44,2021-01-02 20:00:00+00:00,14.9225,41.4269,1.9225
45,2021-01-02 21:00:00+00:00,14.4725,44.193077,2.4225001
46,2021-01-02 22:00:00+00:00,14.122499,45.205006,2.4225001
47,2021-01-02 23:00:00+00:00,13.822499,47.252705,2.7725
48,2021-01-03 00:00:00+00:00,13.2225,56.553993,4.7725
49,2021-01-03 01:00:00+00:00,12.7225,59.666718,5.0725
50,2021-01-03 02:00:00+00:00,12.4225,60.42973,4.9725003
51,2021-01-03 03:00:00+00:00,13.872499,55.550007,5.1225
52,2021-01-03 04:00:00+00:00,16.2225,49.103554,5.5225
53,2021-01-03 05:00:00+00:00,18.872501,43.604416,6.2225003
54,2021-01-03 06:00:00+00:00,21.1725,36.281956,5.6225
55,2021-01-03 07:00:00+00:00,23.022501,30.13059,4.5725
56,2021-01-03 08:00:00+00:00,24.2225,26.222692,3.6225
57,2021-01-03 09:00:00+00:00,24.9225,24.19019,3.0725002
58,2021-01-03 10:00:00+00:00,25.0725,23.63783,2.8725
59,2021-01-03 11:00:00+00:00,24.6725,24.294765,2.9225001
60,2021-01-03 12:00:00+00:00,23.4225,26.095959,2.8725
61,2021-01-03 13:00:00+00:00,20.622501,30.953897,2.8725
62,2021-01-03 14:00:00+00:00,19.2225,35.71994,3.6725001
63,2021-01-03 15:00:00+00:00,17.6725,39.501232,3.7224998
64,2021-01-03 16:00:00+00:00,16.6725,43.279926,4.1225
65,2021-01-03 17:00:00+00:00,16.0725,47.550682,4.9225
66,2021-01-03 18:00:00+00:00,15.7725,51.239674,5.7225003
67,2021-01-03 19:00:00+00:00,15.322499,54.969257,6.3225
68,2021-01-03 20:00:00+00:00,14.9225,57.577076,6.6225
69,2021-01-03 21:00:00+00:00,14.622499,59.308975,6.7725
70,2021-01-03 22:00:00+00:00,14.322499,60.469532,6.7725
71,2021-01-03 23:00:00+00:00,14.0225,62.50715,6.9725003
72,2021-01-04 00:00:00+00:00,13.572499,70.56411,8.3225
73,2021-01-04 01:00:00+00:00,13.072499,72.90159,8.3225
74,2021-01-04 02:00:00+00:00,12.872499,72.12638,7.9725003
75,2021-01-04 03:00:00+00:00,14.572499,63.71078,7.7725
76,2021-01-04 04:00:00+00:00,17.022501,53.735558,7.5725
77,2021-01-04 05:00:00+00:00,19.4725,47.350964,7.9725003
78,2021-01-04 06:00:00+00:00,21.8225,41.108185,8.0225
79,2021-01-04 07:00:00+00:00,23.6725,33.508114,6.6725
80,2021-01-04 08:00:00+00:00,24.872501,29.20503,5.7225003
81,2021-01-04 09:00:00+00:00,25.5725,27.05832,5.2225003
82,2021-01-04 10:00:00+00:00,25.772501,26.553904,5.1225
83,2021-01-04 11:00:00+00:00,25.4725,27.219496,5.2225003
84,2021-01-04 12:00:00+00:00,24.122501,30.230051,5.5725
85,2021-01-04 13:00:00+00:00,21.1725,36.78774,5.8225
86,2021-01-04 14:00:00+00:00,20.022501,43.779503,7.3225
87,2021-01-04 15:00:00+00:00,18.5725,46.780468,6.9725003
88,2021-01-04 16:00:00+00:00,17.522501,48.785275,6.6225
89,2021-01-04 17:00:00+00:00,16.772501,51.508892,6.7225003
90,2021-01-04 18:00:00+00:00,15.872499,57.225437,7.4225
91,2021-01-04 19:00:00+00:00,15.1725,63.199936,8.2225
92,2021-01-04 20:00:00+00:00,14.822499,67.77433,8.9225
93,2021-01-04 21:00:00+00:00,14.6725,70.53869,9.372499
94,2021-01-04 22:00:00+00:00,14.4725,71.4552,9.372499
95,2021-01-04 23:00:00+00:00,14.122499,72.60141,9.2725
96,2021-01-05 00:00:00+00:00,13.9225,77.60316,10.072499
97,2021-01-05 01:00:00+00:00,13.4725,80.71107,10.2225
98,2021-01-05 02:00:00+00:00,13.1725,83.96837,10.5225
99,2021-01-05 03:00:00+00:00,15.072499,77.26578,11.122499
100,2021-01-05 04:00:00+00:00,17.4225,67.18552,11.2725
101,2021-01-05 05:00:00+00:00,19.6725,56.64185,10.822499
102,2021-01-05 06:00:00+00:00,21.8225,44.734028,9.2725
103,2021-01-05 07:00:00+00:00,23.4725,36.814064,7.8725
104,2021-01-05 08:00:00+00:00,24.5725,32.741116,7.1225
105,2021-01-05 09:00:00+00:00,25.122501,31.03895,6.8225
106,2021-01-05 10:00:00+00:00,25.1725,31.159641,6.9225
107,2021-01-05 11:00:00+00:00,24.772501,32.021404,6.9725003
108,2021-01-05 12:00:00+00:00,23.4225,39.38125,8.822499
109,2021-01-05 13:00:00+00:00,20.622501,47.028717,8.9225
110,2021-01-05 14:00:00+00:00,19.4725,50.83955,9.0225
111,2021-01-05 15:00:00+00:00,18.1725,51.356762,7.9725003
112,2021-01-05 16:00:00+00:00,17.0725,53.020157,7.4225
113,2021-01-05 17:00:00+00:00,16.522501,55.847313,7.6725
114,2021-01-05 18:00:00+00:00,16.0725,58.656734,7.9725003
115,2021-01-05 19:00:00+00:00,15.572499,60.974804,8.0725
116,2021-01-05 20:00:00+00:00,15.0225,63.38062,8.122499
117,2021-01-05 21:00:00+00:00,14.5225,65.678795,8.1725
118,2021-01-05 22:00:00+00:00,14.322499,67.213615,8.3225
119,2021-01-05 23:00:00+00:00,13.9725,69.222,8.4225
120,2021-01-06 00:00:00+00:00,13.1725,77.48699,9.322499
121,2021-01-06 01:00:00+00:00,13.072499,79.58234,9.622499
122,2021-01-06 02:00:00+00:00,12.872499,81.99201,9.872499
123,2021-01-06 03:00:00+00:00,14.572499,76.42037,10.4725
124,2021-01-06 04:00:00+00:00,17.0725,68.916664,11.322499
125,2021-01-06 05:00:00+00:00,19.7225,58.5642,11.372499
126,2021-01-06 06:00:00+00:00,21.9725,46.613758,10.0225
127,2021-01-06 07:00:00+00:00,23.6725,38.013412,8.5225
128,2021-01-06 08:00:00+00:00,24.9225,31.954128,7.0725
129,2021-01-06 09:00:00+00:00,25.622501,28.515505,6.0225
130,2021-01-06 10:00:00+00:00,25.7225,27.47798,5.5725
131,2021-01-06 11:00:00+00:00,25.272501,28.222393,5.5725
132,2021-01-06 12:00:00+00:00,24.022501,31.70019,6.1725
133,2021-01-06 13:00:00+00:00,21.3225,37.086,6.0725
134,2021-01-06 14:00:00+00:00,19.9725,40.302315,6.0725
