,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,2.2435,99.290245,2.1435
1,2021-01-01 01:00:00+00:00,2.4935,99.291695,2.3935
2,2021-01-01 02:00:00+00:00,2.9435,98.94307,2.7935
3,2021-01-01 03:00:00+00:00,4.5435004,89.673134,2.9935
4,2021-01-01 04:00:00+00:00,5.6935,97.26418,5.2935004
5,2021-01-01 05:00:00+00:00,7.4435,96.96907,6.9935
6,2021-01-01 06:00:00+00:00,9.4935,91.597015,8.1935
7,2021-01-01 07:00:00+00:00,12.0935,79.17354,8.5935
8,2021-01-01 08:00:00+00:00,13.9935,67.60221,8.0935
9,2021-01-01 09:00:00+00:00,15.0935,61.906563,7.8435
10,2021-01-01 10:00:00+00:00,15.3435,61.75472,8.0435
11,2021-01-01 11:00:00+00:00,14.5435,70.75141,9.2935
12,2021-01-01 12:00:00+00:00,10.8435,82.00815,7.8935003
13,2021-01-01 13:00:00+00:00,8.6935,88.16329,6.8435
14,2021-01-01 14:00:00+00:00,7.5935,90.84605,6.1935
15,2021-01-01 15:00:00+00:00,7.0935,91.12591,5.7435
16,2021-01-01 16:00:00+00:00,6.9935,90.176735,5.4935
17,2021-01-01 17:00:00+00:00,7.3435,88.962906,5.6435003
18,2021-01-01 18:00:00+00:00,7.2935004,90.51162,5.8435
19,2021-01-01 19:00:00+00:00,7.1435003,91.76167,5.8935003
20,2021-01-01 20:00:00+00:00,7.1435003,92.7175,6.0435004
21,2021-01-01 21:00:00+00:00,7.2935004,93.04613,6.2435
22,2021-01-01 22:00:00+00:00,7.7935004,89.92592,6.2435
23,2021-01-01 23:00:00+00:00,7.5935,90.22147,6.0935
24,2021-01-02 00:00:00+00:00,8.4935,91.846375,7.2435
25,2021-01-02 01:00:00+00:00,8.4935,92.47633,7.3435
26,2021-01-02 02:00:00+00:00,7.8435,94.36087,6.9935
27,2021-01-02 03:00:00+00:00,9.393499,89.43604,7.7435
28,2021-01-02 04:00:00+00:00,10.4935,90.43353,8.9935
29,2021-01-02 05:00:00+00:00,11.4935,85.19797,9.0935
30,2021-01-02 06:00:00+00:00,12.643499,83.06896,9.8435
31,2021-01-02 07:00:00+00:00,13.9435,80.23898,10.5935
32,2021-01-02 08:00:00+00:00,14.5435,79.791,11.0935
33,2021-01-02 09:00:00+00:00,14.9935,76.99756,10.9935
34,2021-01-02 10:00:00+00:00,15.1935,77.02898,11.1935
35,2021-01-02 11:00:00+00:00,14.9935,80.1185,11.5935
36,2021-01-02 12:00:00+00:00,14.0435,77.88145,10.2435
37,2021-01-02 13:00:00+00:00,14.5435,73.65868,9.893499
38,2021-01-02 14:00:00+00:00,13.893499,74.790276,9.4935
39,2021-01-02 15:00:00+00:00,13.4935,77.018166,9.5435
40,2021-01-02 16:00:00+00:00,13.393499,78.04336,9.643499
41,2021-01-02 17:00:00+00:00,12.893499,81.9947,9.893499
42,2021-01-02 18:00:00+00:00,12.7935,84.20547,10.1935
43,2021-01-02 19:00:00+00:00,12.2935,86.43262,10.0935
44,2021-01-02 20:00:00+00:00,12.143499,86.70738,9.9935
45,2021-01-02 21:00:00+00:00,12.0935,86.12392,9.8435
46,2021-01-02 22:00:00+00:00,12.143499,85.55399,9.7935
47,2021-01-02 23:00:00+00:00,12.393499,84.1599,9.7935
48,2021-01-03 00:00:00+00:00,11.2435,92.015,9.9935
49,2021-01-03 01:00:00+00:00,11.7935,89.02689,10.0435
50,2021-01-03 02:00:00+00:00,11.6935,88.42469,9.8435
51,2021-01-03 03:00:00+00:00,12.5935,86.17443,10.3435
52,2021-01-03 04:00:00+00:00,14.3435,85.50048,11.9435
53,2021-01-03 05:00:00+00:00,16.293499,81.08857,13.0435
54,2021-01-03 06:00:00+00:00,17.1935,78.61038,13.4435
55,2021-01-03 07:00:00+00:00,18.043499,76.22378,13.7935
56,2021-01-03 08:00:00+00:00,18.6935,74.618355,14.0935
57,2021-01-03 09:00:00+00:00,19.1435,74.213135,14.4435
58,2021-01-03 10:00:00+00:00,18.793499,79.096794,15.0935
59,2021-01-03 11:00:00+00:00,18.3935,82.15032,15.2935
60,2021-01-03 12:00:00+00:00,16.793499,84.10471,14.0935
61,2021-01-03 13:00:00+00:00,16.0935,87.0839,13.9435
