,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,13.83,90.37186,12.28
1,2021-01-01 01:00:00+00:00,13.63,90.65532,12.13
2,2021-01-01 02:00:00+00:00,14.63,84.690674,12.08
3,2021-01-01 03:00:00+00:00,17.98,68.6441,12.13
4,2021-01-01 04:00:00+00:00,21.63,54.56136,12.08
5,2021-01-01 05:00:00+00:00,24.529999,46.085186,12.18
6,2021-01-01 06:00:00+00:00,26.529999,42.42795,12.7300005
7,2021-01-01 07:00:00+00:00,27.929998,40.38197,13.2300005
8,2021-01-01 08:00:00+00:00,28.73,38.798004,13.33
9,2021-01-01 09:00:00+00:00,28.98,38.489975,13.43
10,2021-01-01 10:00:00+00:00,28.88,38.839756,13.4800005
11,2021-01-01 11:00:00+00:00,28.279999,40.216652,13.4800005
12,2021-01-01 12:00:00+00:00,25.73,50.492504,14.68
13,2021-01-01 13:00:00+00:00,23.679998,55.97758,14.38
14,2021-01-01 14:00:00+00:00,23.279999,56.790607,14.2300005
15,2021-01-01 15:00:00+00:00,22.679998,57.944996,13.9800005
16,2021-01-01 16:00:00+00:00,22.179998,58.96277,13.78
17,2021-01-01 17:00:00+00:00,21.429998,61.326447,13.68
18,2021-01-01 18:00:00+00:00,20.88,62.815987,13.53
19,2021-01-01 19:00:00+00:00,20.179998,64.949265,13.38
20,2021-01-01 20:00:00+00:00,19.83,65.726105,13.2300005
21,2021-01-01 21:00:00+00:00,19.58,65.88781,13.03
22,2021-01-01 22:00:00+00:00,19.48,65.43722,12.83
23,2021-01-01 23:00:00+00:00,19.13,66.00819,12.63
24,2021-01-02 00:00:00+00:00,19.029999,69.53013,13.33
25,2021-01-02 01:00:00+00:00,19.279999,67.568214,13.13
26,2021-01-02 02:00:00+00:00,19.58,66.31947,13.13
27,2021-01-02 03:00:00+00:00,21.38,60.325336,13.38
28,2021-01-02 04:00:00+00:00,23.48,53.269527,13.43
29,2021-01-02 05:00:00+00:00,25.429998,49.44439,14.08
30,2021-01-02 06:00:00+00:00,26.98,47.50966,14.88
31,2021-01-02 07:00:00+00:00,28.23,45.31101,15.28
32,2021-01-02 08:00:00+00:00,28.929998,43.92708,15.43
33,2021-01-02 09:00:00+00:00,29.179998,43.43527,15.4800005
34,2021-01-02 10:00:00+00:00,29.13,43.143963,15.33
35,2021-01-02 11:00:00+00:00,28.529999,44.24244,15.18
36,2021-01-02 12:00:00+00:00,26.38,50.988644,15.43
37,2021-01-02 13:00:00+00:00,24.08,58.84522,15.53
38,2021-01-02 14:00:00+00:00,23.429998,60.60708,15.38
39,2021-01-02 15:00:00+00:00,22.73,62.823856,15.28
40,2021-01-02 16:00:00+00:00,22.13,63.913063,14.9800005
41,2021-01-02 17:00:00+00:00,21.88,63.858322,14.7300005
42,2021-01-02 18:00:00+00:00,21.48,65.22831,14.68
43,2021-01-02 19:00:00+00:00,21.38,64.78728,14.4800005
44,2021-01-02 20:00:00+00:00,20.88,65.948326,14.28
45,2021-01-02 21:00:00+00:00,20.73,65.49098,14.03
