,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,6.52,81.151855,3.52
1,2021-01-01 01:00:00+00:00,5.8199997,85.16606,3.52
2,2021-01-01 02:00:00+00:00,6.12,86.10165,3.9699998
3,2021-01-01 03:00:00+00:00,8.0199995,82.49492,5.22
4,2021-01-01 04:00:00+00:00,10.5199995,79.21288,7.0699997
5,2021-01-01 05:00:00+00:00,13.2699995,75.189224,8.97
6,2021-01-01 06:00:00+00:00,15.62,68.62506,9.87
7,2021-01-01 07:00:00+00:00,16.92,62.538994,9.72
8,2021-01-01 08:00:00+00:00,17.77,57.504425,9.2699995
9,2021-01-01 09:00:00+00:00,18.27,53.878124,8.7699995
10,2021-01-01 10:00:00+00:00,18.220001,53.86513,8.72
11,2021-01-01 11:00:00+00:00,17.27,63.67353,10.32
12,2021-01-01 12:00:00+00:00,15.57,70.94764,10.32
13,2021-01-01 13:00:00+00:00,10.5199995,87.43173,8.5199995
14,2021-01-01 14:00:00+00:00,10.0199995,88.27993,8.17
15,2021-01-01 15:00:00+00:00,8.97,89.40234,7.3199997
16,2021-01-01 16:00:00+00:00,7.72,90.54239,6.27
17,2021-01-01 17:00:00+00:00,6.62,91.72847,5.37
18,2021-01-01 18:00:00+00:00,6.17,91.06287,4.8199997
19,2021-01-01 19:00:00+00:00,5.5699997,91.02156,4.22
20,2021-01-01 20:00:00+00:00,5.12,89.40317,3.52
21,2021-01-01 21:00:00+00:00,5.22,83.013596,2.5700002
22,2021-01-01 22:00:00+00:00,5.17,76.46635,1.37
23,2021-01-01 23:00:00+00:00,4.0699997,78.235756,0.62
24,2021-01-02 00:00:00+00:00,6.0699997,76.34336,2.2199998
25,2021-01-02 01:00:00+00:00,6.12,77.17081,2.42
26,2021-01-02 02:00:00+00:00,6.3199997,73.188736,1.87
27,2021-01-02 03:00:00+00:00,10.12,62.907295,3.37
28,2021-01-02 04:00:00+00:00,14.12,61.678524,6.87
29,2021-01-02 05:00:00+00:00,16.320002,54.663334,7.17
30,2021-01-02 06:00:00+00:00,17.62,56.506493,8.87
31,2021-01-02 07:00:00+00:00,18.570002,56.17712,9.67
32,2021-01-02 08:00:00+00:00,19.37,53.62119,9.72
33,2021-01-02 09:00:00+00:00,19.62,53.327835,9.87
34,2021-01-02 10:00:00+00:00,19.320002,57.503147,10.72
35,2021-01-02 11:00:00+00:00,17.42,79.93067,13.92
36,2021-01-02 12:00:00+00:00,15.47,75.556564,11.17
37,2021-01-02 13:00:00+00:00,14.32,78.70579,10.67
38,2021-01-02 14:00:00+00:00,13.42,81.788704,10.37
39,2021-01-02 15:00:00+00:00,11.72,88.13131,9.82
40,2021-01-02 16:00:00+00:00,11.22,86.61704,9.07
41,2021-01-02 17:00:00+00:00,11.97,79.69313,8.57
42,2021-01-02 18:00:00+00:00,10.87,78.18808,7.22
43,2021-01-02 19:00:00+00:00,9.62,78.53655,6.0699997
44,2021-01-02 20:00:00+00:00,9.0199995,75.76631,4.97
45,2021-01-02 21:00:00+00:00,8.92,73.15,4.37
46,2021-01-02 22:00:00+00:00,8.72,74.926575,4.52
47,2021-01-02 23:00:00+00:00,10.47,64.10536,3.9699998
48,2021-01-03 00:00:00+00:00,11.7699995,59.641506,4.17
49,2021-01-03 01:00:00+00:00,11.47,63.885597,4.87
50,2021-01-03 02:00:00+00:00,12.37,63.647858,5.67
51,2021-01-03 03:00:00+00:00,13.17,76.7083,9.17
52,2021-01-03 04:00:00+00:00,14.82,78.51866,11.12
53,2021-01-03 05:00:00+00:00,16.570002,78.51878,12.82
