,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,-1.6389999,21.676344,-20.789
1,2021-01-01 01:00:00+00:00,-4.289,28.041641,-20.089
2,2021-01-01 02:00:00+00:00,-4.289,27.68126,-20.239
3,2021-01-01 03:00:00+00:00,-3.389,32.30264,-17.639
4,2021-01-01 04:00:00+00:00,-0.83899975,36.226818,-13.989
5,2021-01-01 05:00:00+00:00,2.5110002,39.542667,-9.889
6,2021-01-01 06:00:00+00:00,4.961,42.68268,-6.6889997
7,2021-01-01 07:00:00+00:00,6.7110004,46.932228,-3.8390002
8,2021-01-01 08:00:00+00:00,7.261,50.160034,-2.4389997
9,2021-01-01 09:00:00+00:00,7.7110004,38.556408,-5.539
10,2021-01-01 10:00:00+00:00,6.511,35.361942,-7.739
11,2021-01-01 11:00:00+00:00,4.6610003,28.187952,-12.239
12,2021-01-01 12:00:00+00:00,3.561,18.241606,-18.439001
13,2021-01-01 13:00:00+00:00,-1.539,28.889688,-17.339
14,2021-01-01 14:00:00+00:00,-4.289,34.263916,-17.739
15,2021-01-01 15:00:00+00:00,-5.589,35.32422,-18.539
16,2021-01-01 16:00:00+00:00,-6.1889997,35.132874,-19.139
17,2021-01-01 17:00:00+00:00,-6.6889997,35.12343,-19.589
18,2021-01-01 18:00:00+00:00,-7.089,34.54601,-20.139
19,2021-01-01 19:00:00+00:00,-7.339,33.874836,-20.589
20,2021-01-01 20:00:00+00:00,-7.839,34.45457,-20.839
21,2021-01-01 21:00:00+00:00,-8.239,34.62601,-21.139
22,2021-01-01 22:00:00+00:00,-8.438999,34.112423,-21.489
23,2021-01-01 23:00:00+00:00,-8.688999,33.73539,-21.839
24,2021-01-02 00:00:00+00:00,-5.789,29.437656,-20.839
25,2021-01-02 01:00:00+00:00,-7.839,36.29054,-20.239
26,2021-01-02 02:00:00+00:00,-7.1389995,38.11129,-19.039
27,2021-01-02 03:00:00+00:00,-4.6889997,38.728592,-16.639
28,2021-01-02 04:00:00+00:00,-1.289,38.995865,-13.489
29,2021-01-02 05:00:00+00:00,2.1610003,40.69968,-9.839001
30,2021-01-02 06:00:00+00:00,4.861,44.487213,-6.239
