,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,17.192999,97.18895,16.743
1,2021-01-01 01:00:00+00:00,16.543,98.73569,16.343
2,2021-01-01 02:00:00+00:00,17.093,90.60091,15.542999
3,2021-01-01 03:00:00+00:00,18.192999,80.81478,14.842999
4,2021-01-01 04:00:00+00:00,19.793,67.89312,13.693
5,2021-01-01 05:00:00+00:00,21.493,60.745754,13.592999
6,2021-01-01 06:00:00+00:00,22.843,53.804817,12.993
7,2021-01-01 07:00:00+00:00,23.743,51.29251,13.092999
8,2021-01-01 08:00:00+00:00,23.843,50.158546,12.842999
9,2021-01-01 09:00:00+00:00,23.993,48.105576,12.342999
10,2021-01-01 10:00:00+00:00,24.093,47.974815,12.393
11,2021-01-01 11:00:00+00:00,23.393,51.36854,12.792999
12,2021-01-01 12:00:00+00:00,21.793,63.428566,14.542999
13,2021-01-01 13:00:00+00:00,20.143,69.52107,14.393
14,2021-01-01 14:00:00+00:00,19.293,73.76085,14.493
15,2021-01-01 15:00:00+00:00,18.543,78.30038,14.693
16,2021-01-01 16:00:00+00:00,17.442999,86.09573,15.092999
17,2021-01-01 17:00:00+00:00,17.243,88.88643,15.393
18,2021-01-01 18:00:00+00:00,16.793,92.63614,15.592999
19,2021-01-01 19:00:00+00:00,16.393,94.11207,15.443
20,2021-01-01 20:00:00+00:00,15.643,96.53328,15.092999
21,2021-01-01 21:00:00+00:00,14.993,96.51607,14.443
22,2021-01-01 22:00:00+00:00,14.493,96.502754,13.943
23,2021-01-01 23:00:00+00:00,14.292999,96.184425,13.693
24,2021-01-02 00:00:00+00:00,14.493,96.502754,13.943
25,2021-01-02 01:00:00+00:00,14.643,96.19459,14.042999
26,2021-01-02 02:00:00+00:00,15.842999,92.583916,14.643
27,2021-01-02 03:00:00+00:00,18.543,81.38201,15.292999
28,2021-01-02 04:00:00+00:00,21.043,70.59494,15.493
29,2021-01-02 05:00:00+00:00,23.393,62.57022,15.842999
30,2021-01-02 06:00:00+00:00,24.393,59.29711,15.943
31,2021-01-02 07:00:00+00:00,24.843,57.53883,15.893
32,2021-01-02 08:00:00+00:00,24.543,61.057266,16.543
33,2021-01-02 09:00:00+00:00,23.493,66.0726,16.793
34,2021-01-02 10:00:00+00:00,23.143,69.654655,17.293
35,2021-01-02 11:00:00+00:00,21.793,78.27841,17.843
36,2021-01-02 12:00:00+00:00,20.493,87.21132,18.293
37,2021-01-02 13:00:00+00:00,19.942999,89.94442,18.243
38,2021-01-02 14:00:00+00:00,19.593,92.20695,18.293
39,2021-01-02 15:00:00+00:00,19.293,94.53378,18.393
40,2021-01-02 16:00:00+00:00,18.993,96.31769,18.393
41,2021-01-02 17:00:00+00:00,18.942999,96.92186,18.442999
42,2021-01-02 18:00:00+00:00,18.942999,96.92186,18.442999
43,2021-01-02 19:00:00+00:00,18.692999,97.22065,18.243
44,2021-01-02 20:00:00+00:00,18.343,97.82661,17.993
45,2021-01-02 21:00:00+00:00,18.143,97.51578,17.743
46,2021-01-02 22:00:00+00:00,17.493,99.370674,17.393
47,2021-01-02 23:00:00+00:00,17.243,97.80839,16.893
48,2021-01-03 00:00:00+00:00,17.493,97.19532,17.043
49,2021-01-03 01:00:00+00:00,17.343,97.50067,16.942999
50,2021-01-03 02:00:00+00:00,17.793,94.17335,16.843
51,2021-01-03 03:00:00+00:00,19.442999,85.74779,16.993
52,2021-01-03 04:00:00+00:00,21.893,72.34648,16.692999
53,2021-01-03 05:00:00+00:00,24.093,62.925854,16.593
54,2021-01-03 06:00:00+00:00,25.393,58.409344,16.643
55,2021-01-03 07:00:00+00:00,25.893,57.2444,16.793
56,2021-01-03 08:00:00+00:00,25.293,59.886868,16.942999
57,2021-01-03 09:00:00+00:00,24.793,63.080406,17.293
58,2021-01-03 10:00:00+00:00,24.393,65.42882,17.493
59,2021-01-03 11:00:00+00:00,23.993,66.59589,17.393
60,2021-01-03 12:00:00+00:00,22.593,75.02716,17.942999
61,2021-01-03 13:00:00+00:00,21.293,82.76488,18.243
62,2021-01-03 14:00:00+00:00,20.643,87.224945,18.442999
63,2021-01-03 15:00:00+00:00,19.893,92.22405,18.593
64,2021-01-03 16:00:00+00:00,19.393,95.42958,18.643
65,2021-01-03 17:00:00+00:00,19.692999,93.66746,18.643
66,2021-01-03 18:00:00+00:00,19.543,93.36756,18.442999
67,2021-01-03 19:00:00+00:00,19.293,92.77096,18.093
68,2021-01-03 20:00:00+00:00,18.893,93.62991,17.843
69,2021-01-03 21:00:00+00:00,18.743,93.62282,17.692999
70,2021-01-03 22:00:00+00:00,18.543,94.50323,17.643
71,2021-01-03 23:00:00+00:00,18.442999,94.201485,17.493
72,2021-01-04 00:00:00+00:00,18.393,94.19932,17.442999
73,2021-01-04 01:00:00+00:00,18.493,92.72821,17.293
74,2021-01-04 02:00:00+00:00,18.692999,90.997696,17.192999
75,2021-01-04 03:00:00+00:00,19.793,83.11045,16.843
76,2021-01-04 04:00:00+00:00,20.893,77.16154,16.743
77,2021-01-04 05:00:00+00:00,22.442999,69.96329,16.692999
78,2021-01-04 06:00:00+00:00,23.942999,64.1031,16.743
79,2021-01-04 07:00:00+00:00,24.043,63.51724,16.692999
80,2021-01-04 08:00:00+00:00,24.643,61.08012,16.643
81,2021-01-04 09:00:00+00:00,24.543,60.863472,16.493
82,2021-01-04 10:00:00+00:00,23.493,65.03183,16.543
83,2021-01-04 11:00:00+00:00,23.442999,63.58803,16.143
84,2021-01-04 12:00:00+00:00,22.743,68.919044,16.743
85,2021-01-04 13:00:00+00:00,21.442999,74.36435,16.692999
86,2021-01-04 14:00:00+00:00,20.743,77.63015,16.692999
87,2021-01-04 15:00:00+00:00,19.843,89.93713,18.143
88,2021-01-04 16:00:00+00:00,19.192999,96.625,18.643
89,2021-01-04 17:00:00+00:00,19.192999,96.625,18.643
90,2021-01-04 18:00:00+00:00,19.293,95.725296,18.593
91,2021-01-04 19:00:00+00:00,18.993,95.71568,18.293
92,2021-01-04 20:00:00+00:00,18.793,96.61486,18.243
93,2021-01-04 21:00:00+00:00,18.493,96.6072,17.942999
94,2021-01-04 22:00:00+00:00,18.192999,95.99231,17.543
95,2021-01-04 23:00:00+00:00,17.793,98.43677,17.543
96,2021-01-05 00:00:00+00:00,18.143,97.20908,17.692999
97,2021-01-05 01:00:00+00:00,18.043,96.29133,17.442999
98,2021-01-05 02:00:00+00:00,18.442999,93.60865,17.393
99,2021-01-05 03:00:00+00:00,20.243,82.900826,17.243
100,2021-01-05 04:00:00+00:00,21.692999,77.283325,17.543
101,2021-01-05 05:00:00+00:00,23.143,70.76294,17.543
102,2021-01-05 06:00:00+00:00,23.393,69.263954,17.442999
103,2021-01-05 07:00:00+00:00,23.393,72.158005,18.093
104,2021-01-05 08:00:00+00:00,23.643,72.656525,18.442999
105,2021-01-05 09:00:00+00:00,23.243,74.66441,18.493
106,2021-01-05 10:00:00+00:00,22.743,76.71783,18.442999
107,2021-01-05 11:00:00+00:00,22.543,78.87929,18.692999
108,2021-01-05 12:00:00+00:00,20.942999,88.073616,18.893
109,2021-01-05 13:00:00+00:00,20.043,95.45166,19.293
110,2021-01-05 14:00:00+00:00,19.893,96.94373,19.393
111,2021-01-05 15:00:00+00:00,19.843,97.54742,19.442999
112,2021-01-05 16:00:00+00:00,19.692999,97.84866,19.343
113,2021-01-05 17:00:00+00:00,19.593,98.152084,19.293
114,2021-01-05 18:00:00+00:00,19.692999,98.15349,19.393
115,2021-01-05 19:00:00+00:00,19.793,98.15488,19.493
116,2021-01-05 20:00:00+00:00,19.593,97.23942,19.143
117,2021-01-05 21:00:00+00:00,19.243,98.14719,18.942999
118,2021-01-05 22:00:00+00:00,19.343,97.842964,18.993
119,2021-01-05 23:00:00+00:00,19.543,97.541885,19.143
120,2021-01-06 00:00:00+00:00,19.743,98.45973,19.493
121,2021-01-06 01:00:00+00:00,19.942999,97.85271,19.593
122,2021-01-06 02:00:00+00:00,19.993,97.853516,19.643
123,2021-01-06 03:00:00+00:00,20.243,95.45842,19.493
124,2021-01-06 04:00:00+00:00,21.093,89.747955,19.343
125,2021-01-06 05:00:00+00:00,21.793,85.44861,19.243
126,2021-01-06 06:00:00+00:00,22.343,84.188,19.543
127,2021-01-06 07:00:00+00:00,22.942999,82.95988,19.893
128,2021-01-06 08:00:00+00:00,22.993,82.45325,19.843
129,2021-01-06 09:00:00+00:00,23.893,77.854576,19.793
130,2021-01-06 10:00:00+00:00,22.293,82.11246,19.093
131,2021-01-06 11:00:00+00:00,21.192999,94.318275,20.243
132,2021-01-06 12:00:00+00:00,20.743,93.42587,19.643
133,2021-01-06 13:00:00+00:00,20.493,92.54584,19.243
134,2021-01-06 14:00:00+00:00,20.192999,95.16039,19.393
135,2021-01-06 15:00:00+00:00,19.843,97.851074,19.493
136,2021-01-06 16:00:00+00:00,19.692999,98.76564,19.493
137,2021-01-06 17:00:00+00:00,19.893,98.461464,19.643
138,2021-01-06 18:00:00+00:00,19.793,98.15488,19.493
139,2021-01-06 19:00:00+00:00,19.692999,98.76564,19.493
140,2021-01-06 20:00:00+00:00,19.743,99.073326,19.593
141,2021-01-06 21:00:00+00:00,19.793,99.3816,19.692999
142,2021-01-06 22:00:00+00:00,19.692999,97.24149,19.243
143,2021-01-06 23:00:00+00:00,19.593,99.07226,19.442999
144,2021-01-07 00:00:00+00:00,19.442999,98.149994,19.143
145,2021-01-07 01:00:00+00:00,19.442999,98.149994,19.143
146,2021-01-07 02:00:00+00:00,19.442999,98.149994,19.143
147,2021-01-07 03:00:00+00:00,19.543,97.541885,19.143
148,2021-01-07 04:00:00+00:00,20.143,95.1586,19.343
149,2021-01-07 05:00:00+00:00,21.043,89.18719,19.192999
150,2021-01-07 06:00:00+00:00,22.093,82.8598,19.043
151,2021-01-07 07:00:00+00:00,23.543,75.18207,18.893
152,2021-01-07 08:00:00+00:00,23.493,74.93949,18.793
153,2021-01-07 09:00:00+00:00,23.942999,71.356926,18.442999
154,2021-01-07 10:00:00+00:00,23.393,75.15769,18.743
155,2021-01-07 11:00:00+00:00,22.493,80.8675,19.043
