,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,7.4295,80.70882,4.3295
1,2021-01-01 01:00:00+00:00,9.1795,71.42764,4.2795
2,2021-01-01 02:00:00+00:00,10.1295,68.20007,4.5295
3,2021-01-01 03:00:00+00:00,9.7795,78.290276,6.1795
4,2021-01-01 04:00:00+00:00,10.8795,73.00089,6.2295
5,2021-01-01 05:00:00+00:00,12.5795,71.33844,7.5295
6,2021-01-01 06:00:00+00:00,14.2295,68.5741,8.5295
7,2021-01-01 07:00:00+00:00,15.5795,64.37062,8.8795
8,2021-01-01 08:00:00+00:00,16.2295,61.75238,8.8795
9,2021-01-01 09:00:00+00:00,16.329498,61.775677,8.9795
10,2021-01-01 10:00:00+00:00,16.0295,64.253944,9.2795
11,2021-01-01 11:00:00+00:00,14.2295,83.81201,11.5295
12,2021-01-01 12:00:00+00:00,11.9295,79.68734,8.5295
13,2021-01-01 13:00:00+00:00,9.7295,85.006096,7.3295
14,2021-01-01 14:00:00+00:00,8.9295,83.18175,6.2295
15,2021-01-01 15:00:00+00:00,7.9295,82.483406,5.1295
16,2021-01-01 16:00:00+00:00,7.4795,79.31463,4.1295
17,2021-01-01 17:00:00+00:00,7.4295,75.23082,3.3295
18,2021-01-01 18:00:00+00:00,8.9795,63.763638,2.4795
19,2021-01-01 19:00:00+00:00,8.3295,63.38639,1.7795
20,2021-01-01 20:00:00+00:00,10.3295,50.104103,0.3795
21,2021-01-01 21:00:00+00:00,10.5295,46.8233,-0.37049997
22,2021-01-01 22:00:00+00:00,11.6295,42.43265,-0.7205
23,2021-01-01 23:00:00+00:00,11.4295,41.606194,-1.1705
24,2021-01-02 00:00:00+00:00,9.7795,61.506718,2.7295
25,2021-01-02 01:00:00+00:00,9.3295,63.393284,2.7295
26,2021-01-02 02:00:00+00:00,9.4795,70.2464,4.3295
27,2021-01-02 03:00:00+00:00,11.8795,72.435326,7.0795
28,2021-01-02 04:00:00+00:00,14.7295,59.743263,6.9795
29,2021-01-02 05:00:00+00:00,16.0795,63.6196,9.1795
30,2021-01-02 06:00:00+00:00,17.6795,50.876167,7.3795
31,2021-01-02 07:00:00+00:00,16.0795,55.543835,7.1795
32,2021-01-02 08:00:00+00:00,18.129501,48.286133,7.0295
33,2021-01-02 09:00:00+00:00,19.129501,50.747704,8.6795
34,2021-01-02 10:00:00+00:00,17.5295,60.212734,9.7295
35,2021-01-02 11:00:00+00:00,15.9795,75.39122,11.6295
36,2021-01-02 12:00:00+00:00,14.6295,81.67345,11.5295
37,2021-01-02 13:00:00+00:00,15.7295,72.409706,10.7795
38,2021-01-02 14:00:00+00:00,14.9795,69.18992,9.3795
39,2021-01-02 15:00:00+00:00,14.9295,60.61484,7.3795
40,2021-01-02 16:00:00+00:00,13.8295,61.610134,6.5795
41,2021-01-02 17:00:00+00:00,13.2295,61.46836,5.9795
42,2021-01-02 18:00:00+00:00,13.8295,56.90607,5.4295
43,2021-01-02 19:00:00+00:00,15.3795,42.6055,2.7295
44,2021-01-02 20:00:00+00:00,13.1795,51.071636,3.2795
45,2021-01-02 21:00:00+00:00,15.2795,39.22447,1.4795
46,2021-01-02 22:00:00+00:00,15.5795,43.57794,3.2295
47,2021-01-02 23:00:00+00:00,14.2295,54.305954,5.1295
48,2021-01-03 00:00:00+00:00,14.5795,54.397705,5.4795
49,2021-01-03 01:00:00+00:00,12.6795,66.63682,6.6295
50,2021-01-03 02:00:00+00:00,12.6295,75.08082,8.3295
51,2021-01-03 03:00:00+00:00,15.6295,68.16878,9.7795
