,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,3.55,93.83487,2.65
1,2021-01-01 01:00:00+00:00,3.8,92.52606,2.7
2,2021-01-01 02:00:00+00:00,4.7,91.60501,3.45
3,2021-01-01 03:00:00+00:00,7.5,82.42861,4.7
4,2021-01-01 04:00:00+00:00,11.25,70.59505,6.1
5,2021-01-01 05:00:00+00:00,14.1,54.27194,5.0
6,2021-01-01 06:00:00+00:00,16.1,44.97266,4.15
7,2021-01-01 07:00:00+00:00,17.65,39.91351,3.85
8,2021-01-01 08:00:00+00:00,18.65,37.88135,4.0
9,2021-01-01 09:00:00+00:00,19.25,35.60239,3.65
10,2021-01-01 10:00:00+00:00,19.25,35.853775,3.75
11,2021-01-01 11:00:00+00:00,18.05,69.56623,12.4
12,2021-01-01 12:00:00+00:00,17.2,43.430687,4.65
13,2021-01-01 13:00:00+00:00,16.55,44.47417,4.4
14,2021-01-01 14:00:00+00:00,15.95,46.04587,4.35
15,2021-01-01 15:00:00+00:00,11.0,69.09603,5.55
16,2021-01-01 16:00:00+00:00,9.7,75.88031,5.65
17,2021-01-01 17:00:00+00:00,9.0,79.81339,5.7
18,2021-01-01 18:00:00+00:00,8.4,84.56651,5.95
19,2021-01-01 19:00:00+00:00,7.95,88.707,6.2
20,2021-01-01 20:00:00+00:00,7.95,88.707,6.2
21,2021-01-01 21:00:00+00:00,7.8,89.00086,6.1
22,2021-01-01 22:00:00+00:00,7.45,89.89963,5.9
23,2021-01-01 23:00:00+00:00,7.35,89.89195,5.8
24,2021-01-02 00:00:00+00:00,7.25,91.768394,6.0
25,2021-01-02 01:00:00+00:00,7.45,89.89963,5.9
26,2021-01-02 02:00:00+00:00,8.1,88.41468,6.3
27,2021-01-02 03:00:00+00:00,10.9,77.65961,7.15
28,2021-01-02 04:00:00+00:00,14.25,66.517685,8.1
29,2021-01-02 05:00:00+00:00,16.9,57.87273,8.55
30,2021-01-02 06:00:00+00:00,18.8,52.402084,8.85
31,2021-01-02 07:00:00+00:00,20.05,50.652508,9.5
32,2021-01-02 08:00:00+00:00,21.0,50.567387,10.35
33,2021-01-02 09:00:00+00:00,21.65,50.572224,10.95
34,2021-01-02 10:00:00+00:00,21.7,51.43108,11.25
35,2021-01-02 11:00:00+00:00,20.45,67.58715,14.25
36,2021-01-02 12:00:00+00:00,20.25,56.785564,11.4
37,2021-01-02 13:00:00+00:00,18.2,66.02793,11.75
38,2021-01-02 14:00:00+00:00,15.9,76.12855,11.7
39,2021-01-02 15:00:00+00:00,14.7,79.023415,11.1
40,2021-01-02 16:00:00+00:00,14.1,81.06481,10.9
41,2021-01-02 17:00:00+00:00,13.85,81.03147,10.65
42,2021-01-02 18:00:00+00:00,13.45,82.88994,10.6
43,2021-01-02 19:00:00+00:00,13.1,84.52137,10.55
44,2021-01-02 20:00:00+00:00,12.9,85.34839,10.5
45,2021-01-02 21:00:00+00:00,13.1,83.12416,10.3
46,2021-01-02 22:00:00+00:00,12.55,85.02655,10.1
47,2021-01-02 23:00:00+00:00,11.75,88.726,9.95
48,2021-01-03 00:00:00+00:00,11.4,93.261536,10.35
49,2021-01-03 01:00:00+00:00,11.15,94.187874,10.25
50,2021-01-03 02:00:00+00:00,11.95,89.93569,10.35
51,2021-01-03 03:00:00+00:00,14.3,80.28823,10.95
