,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,21.055,90.86841,19.505001
1,2021-01-01 01:00:00+00:00,21.155,90.87501,19.605
2,2021-01-01 02:00:00+00:00,22.305,87.91656,20.205
3,2021-01-01 03:00:00+00:00,24.055,79.33719,20.255001
4,2021-01-01 04:00:00+00:00,25.455,72.5228,20.155
5,2021-01-01 05:00:00+00:00,26.505001,67.106346,19.905
6,2021-01-01 06:00:00+00:00,27.605,60.608208,19.305
7,2021-01-01 07:00:00+00:00,27.905,57.00973,18.605
8,2021-01-01 08:00:00+00:00,28.205,54.978546,18.305
9,2021-01-01 09:00:00+00:00,28.355,53.820896,18.105
10,2021-01-01 10:00:00+00:00,27.805,56.62979,18.405
11,2021-01-01 11:00:00+00:00,27.555,57.64363,18.455
12,2021-01-01 12:00:00+00:00,25.205,70.26398,19.405
13,2021-01-01 13:00:00+00:00,24.405,73.24466,19.305
14,2021-01-01 14:00:00+00:00,23.555,77.08218,19.305
15,2021-01-01 15:00:00+00:00,22.455,82.38835,19.305
16,2021-01-01 16:00:00+00:00,21.655,86.50546,19.305
17,2021-01-01 17:00:00+00:00,21.405,87.56612,19.255001
18,2021-01-01 18:00:00+00:00,20.805,90.569405,19.205
19,2021-01-01 19:00:00+00:00,20.755001,90.28421,19.105
20,2021-01-01 20:00:00+00:00,20.305,91.38781,18.855
21,2021-01-01 21:00:00+00:00,19.255001,92.18761,17.955
22,2021-01-01 22:00:00+00:00,19.605,91.0574,18.105
23,2021-01-01 23:00:00+00:00,20.555,86.943954,18.305
24,2021-01-02 00:00:00+00:00,19.705,90.493935,18.105
25,2021-01-02 01:00:00+00:00,19.855,90.50428,18.255001
26,2021-01-02 02:00:00+00:00,22.055,81.317406,18.705
27,2021-01-02 03:00:00+00:00,23.955,73.85525,19.005001
28,2021-01-02 04:00:00+00:00,25.805,67.5934,19.355
29,2021-01-02 05:00:00+00:00,27.505001,61.918888,19.555
30,2021-01-02 06:00:00+00:00,27.455,62.681404,19.705
31,2021-01-02 07:00:00+00:00,27.805,61.98564,19.855
32,2021-01-02 08:00:00+00:00,28.055,62.23329,20.155
33,2021-01-02 09:00:00+00:00,28.355,61.53495,20.255001
34,2021-01-02 10:00:00+00:00,28.505001,59.879124,19.955
35,2021-01-02 11:00:00+00:00,27.905,63.95425,20.455
36,2021-01-02 12:00:00+00:00,26.405,69.40849,20.355
37,2021-01-02 13:00:00+00:00,25.455,73.87919,20.455
38,2021-01-02 14:00:00+00:00,24.705,78.21419,20.655
39,2021-01-02 15:00:00+00:00,24.055,82.326805,20.855
40,2021-01-02 16:00:00+00:00,23.755001,85.384315,21.155
41,2021-01-02 17:00:00+00:00,23.605,86.95537,21.305
42,2021-01-02 18:00:00+00:00,23.355,87.467804,21.155
43,2021-01-02 19:00:00+00:00,23.055,88.25132,21.005001
44,2021-01-02 20:00:00+00:00,22.805,88.77506,20.855
45,2021-01-02 21:00:00+00:00,22.955,87.163666,20.705
46,2021-01-02 22:00:00+00:00,22.705,87.680115,20.555
47,2021-01-02 23:00:00+00:00,22.305,89.560234,20.505001
48,2021-01-03 00:00:00+00:00,22.405,89.29207,20.555
49,2021-01-03 01:00:00+00:00,22.605,88.48606,20.605
50,2021-01-03 02:00:00+00:00,23.555,84.84071,20.855
51,2021-01-03 03:00:00+00:00,24.655,79.909874,20.955
52,2021-01-03 04:00:00+00:00,25.555,76.909744,21.205
53,2021-01-03 05:00:00+00:00,26.005001,76.2747,21.505001
54,2021-01-03 06:00:00+00:00,26.355,74.9421,21.555
55,2021-01-03 07:00:00+00:00,27.255001,74.63216,22.355
56,2021-01-03 08:00:00+00:00,28.305,71.70099,22.705
57,2021-01-03 09:00:00+00:00,26.255001,80.12395,22.555
58,2021-01-03 10:00:00+00:00,27.005001,77.36238,22.705
59,2021-01-03 11:00:00+00:00,25.955,80.08408,22.255001
60,2021-01-03 12:00:00+00:00,24.705,87.852554,22.555
61,2021-01-03 13:00:00+00:00,24.005001,89.413376,22.155
62,2021-01-03 14:00:00+00:00,23.705,90.48806,22.055
63,2021-01-03 15:00:00+00:00,23.555,91.03146,22.005001
