,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,21.848,78.53301,17.948
1,2021-01-01 01:00:00+00:00,21.648,78.99993,17.848
2,2021-01-01 02:00:00+00:00,21.398,83.82106,18.548
3,2021-01-01 03:00:00+00:00,24.998,65.96868,18.198
4,2021-01-01 04:00:00+00:00,28.298,55.347164,18.498
5,2021-01-01 05:00:00+00:00,30.498,49.053688,18.598
6,2021-01-01 06:00:00+00:00,31.948,44.884007,18.498
7,2021-01-01 07:00:00+00:00,32.848003,41.99683,18.248
8,2021-01-01 08:00:00+00:00,33.098003,40.765507,17.998
9,2021-01-01 09:00:00+00:00,33.298,39.556435,17.698
10,2021-01-01 10:00:00+00:00,33.398003,39.211502,17.648
11,2021-01-01 11:00:00+00:00,33.198,39.904533,17.748
12,2021-01-01 12:00:00+00:00,31.698,47.41131,19.148
13,2021-01-01 13:00:00+00:00,29.398,56.13677,19.748
14,2021-01-01 14:00:00+00:00,28.098,63.016533,20.398
15,2021-01-01 15:00:00+00:00,27.048,68.25914,20.698
16,2021-01-01 16:00:00+00:00,26.798,70.12734,20.898
17,2021-01-01 17:00:00+00:00,27.048,68.25914,20.698
18,2021-01-01 18:00:00+00:00,26.748,69.26003,20.648
19,2021-01-01 19:00:00+00:00,26.348,70.69414,20.598
20,2021-01-01 20:00:00+00:00,25.648,73.68424,20.598
21,2021-01-01 21:00:00+00:00,23.648,84.59007,20.898
22,2021-01-01 22:00:00+00:00,23.648,82.27762,20.448
23,2021-01-01 23:00:00+00:00,22.598,86.8627,20.298
24,2021-01-02 00:00:00+00:00,21.648,91.18905,20.148
25,2021-01-02 01:00:00+00:00,21.248,89.75938,19.498
26,2021-01-02 02:00:00+00:00,21.498,87.574326,19.348
27,2021-01-02 03:00:00+00:00,24.198,71.18045,18.648
28,2021-01-02 04:00:00+00:00,27.298,57.582203,18.198
29,2021-01-02 05:00:00+00:00,29.198,50.91021,17.998
30,2021-01-02 06:00:00+00:00,30.548,45.073696,17.298
31,2021-01-02 07:00:00+00:00,31.398,42.13264,16.998
32,2021-01-02 08:00:00+00:00,31.848,40.939823,16.948
33,2021-01-02 09:00:00+00:00,31.998,40.2091,16.798
34,2021-01-02 10:00:00+00:00,32.948,36.56677,16.148
35,2021-01-02 11:00:00+00:00,32.798,37.34962,16.348
36,2021-01-02 12:00:00+00:00,29.448,54.09374,19.198
37,2021-01-02 13:00:00+00:00,26.998,63.75947,19.548
38,2021-01-02 14:00:00+00:00,27.248,63.02622,19.598
39,2021-01-02 15:00:00+00:00,25.448,72.971275,20.248
40,2021-01-02 16:00:00+00:00,26.048,70.2037,20.198
41,2021-01-02 17:00:00+00:00,25.298,74.081154,20.348
42,2021-01-02 18:00:00+00:00,24.248,79.36389,20.448
43,2021-01-02 19:00:00+00:00,23.098,84.53121,20.348
44,2021-01-02 20:00:00+00:00,21.798,88.41977,19.798
45,2021-01-02 21:00:00+00:00,21.598,85.69543,19.098
46,2021-01-02 22:00:00+00:00,21.098,85.377495,18.548
47,2021-01-02 23:00:00+00:00,19.998,85.533394,17.498
48,2021-01-03 00:00:00+00:00,18.898,83.80315,16.098
49,2021-01-03 01:00:00+00:00,19.498,74.51305,14.848
50,2021-01-03 02:00:00+00:00,19.798,68.11505,13.748
51,2021-01-03 03:00:00+00:00,21.198,62.075523,13.648
52,2021-01-03 04:00:00+00:00,24.248,53.987564,14.348
53,2021-01-03 05:00:00+00:00,27.448,43.80453,14.048
54,2021-01-03 06:00:00+00:00,29.598,35.990482,12.948
55,2021-01-03 07:00:00+00:00,30.698,34.232716,13.148
56,2021-01-03 08:00:00+00:00,31.548,31.980879,12.848
57,2021-01-03 09:00:00+00:00,31.998,31.379473,12.948
58,2021-01-03 10:00:00+00:00,32.148003,32.355812,13.548
59,2021-01-03 11:00:00+00:00,31.948,33.69476,13.998
60,2021-01-03 12:00:00+00:00,30.648,56.09252,20.898
61,2021-01-03 13:00:00+00:00,28.348,47.11763,15.997999
62,2021-01-03 14:00:00+00:00,25.948,62.54435,18.248
63,2021-01-03 15:00:00+00:00,26.898,58.581226,18.098
64,2021-01-03 16:00:00+00:00,24.948,68.05789,18.648
65,2021-01-03 17:00:00+00:00,24.248,75.29613,19.598
66,2021-01-03 18:00:00+00:00,24.998,69.35517,18.998
67,2021-01-03 19:00:00+00:00,24.098,74.80522,19.348
68,2021-01-03 20:00:00+00:00,23.248,81.97499,19.998
69,2021-01-03 21:00:00+00:00,22.898,87.6969,20.748
70,2021-01-03 22:00:00+00:00,22.898,89.60436,21.098
71,2021-01-03 23:00:00+00:00,22.448,89.29536,20.598
72,2021-01-04 00:00:00+00:00,22.248,86.02688,19.798
73,2021-01-04 01:00:00+00:00,21.948,89.257034,20.098
74,2021-01-04 02:00:00+00:00,23.298,78.74089,19.398
75,2021-01-04 03:00:00+00:00,24.098,79.34315,20.298
76,2021-01-04 04:00:00+00:00,25.998,70.19439,20.148
77,2021-01-04 05:00:00+00:00,27.748,61.39893,19.648
78,2021-01-04 06:00:00+00:00,28.748,57.034435,19.398
79,2021-01-04 07:00:00+00:00,29.598,54.638298,19.498
80,2021-01-04 08:00:00+00:00,30.498,52.208893,19.598
81,2021-01-04 09:00:00+00:00,31.148,49.070137,19.198
82,2021-01-04 10:00:00+00:00,30.748,49.735893,19.048
83,2021-01-04 11:00:00+00:00,29.398,56.311127,19.798
84,2021-01-04 12:00:00+00:00,29.148,59.657616,20.498
85,2021-01-04 13:00:00+00:00,26.398,71.5792,20.848
86,2021-01-04 14:00:00+00:00,26.248,71.33226,20.648
87,2021-01-04 15:00:00+00:00,25.348,74.089554,20.398
88,2021-01-04 16:00:00+00:00,23.998,80.31542,20.398
89,2021-01-04 17:00:00+00:00,24.048,78.8473,20.148
90,2021-01-04 18:00:00+00:00,23.748,78.804825,19.848
91,2021-01-04 19:00:00+00:00,22.798,82.42977,19.648
92,2021-01-04 20:00:00+00:00,22.348,83.407265,19.398
93,2021-01-04 21:00:00+00:00,21.798,85.18343,19.198
94,2021-01-04 22:00:00+00:00,21.848,84.133545,19.048
95,2021-01-04 23:00:00+00:00,21.398,86.21166,18.998
96,2021-01-05 00:00:00+00:00,21.698,83.332466,18.748
97,2021-01-05 01:00:00+00:00,21.598,84.369026,18.848
98,2021-01-05 02:00:00+00:00,21.698,87.59196,19.548
99,2021-01-05 03:00:00+00:00,23.848,75.70141,19.298
100,2021-01-05 04:00:00+00:00,26.148,68.29404,19.848
101,2021-01-05 05:00:00+00:00,28.148,62.25383,20.248
102,2021-01-05 06:00:00+00:00,29.148,58.9257,20.298
103,2021-01-05 07:00:00+00:00,29.448,57.379105,20.148
104,2021-01-05 08:00:00+00:00,29.848,55.040203,19.848
105,2021-01-05 09:00:00+00:00,30.398,51.860138,19.398
106,2021-01-05 10:00:00+00:00,30.598,50.16429,19.048
107,2021-01-05 11:00:00+00:00,30.698,49.56803,18.948
108,2021-01-05 12:00:00+00:00,29.548,71.06077,23.748
109,2021-01-05 13:00:00+00:00,26.998,69.73499,20.998
110,2021-01-05 14:00:00+00:00,26.948,67.82018,20.498
111,2021-01-05 15:00:00+00:00,25.698,71.45317,20.148
112,2021-01-05 16:00:00+00:00,24.748,73.7599,19.748
113,2021-01-05 17:00:00+00:00,23.598,80.51101,20.048
114,2021-01-05 18:00:00+00:00,23.498,79.01427,19.648
115,2021-01-05 19:00:00+00:00,24.148,73.20033,19.048
116,2021-01-05 20:00:00+00:00,23.898,74.07633,18.998
117,2021-01-05 21:00:00+00:00,23.548,75.65353,18.998
118,2021-01-05 22:00:00+00:00,23.198,77.99465,19.148
119,2021-01-05 23:00:00+00:00,22.798,82.174255,19.598
120,2021-01-06 00:00:00+00:00,23.598,80.76047,20.098
121,2021-01-06 01:00:00+00:00,22.898,86.35632,20.498
122,2021-01-06 02:00:00+00:00,22.598,86.8627,20.298
123,2021-01-06 03:00:00+00:00,24.998,75.184166,20.298
124,2021-01-06 04:00:00+00:00,27.348,62.269836,19.498
125,2021-01-06 05:00:00+00:00,29.398,54.250023,19.198
126,2021-01-06 06:00:00+00:00,30.748,48.508762,18.648
127,2021-01-06 07:00:00+00:00,31.248,45.834038,18.198
128,2021-01-06 08:00:00+00:00,31.398,44.87712,17.998
129,2021-01-06 09:00:00+00:00,31.948,43.63469,18.048
130,2021-01-06 10:00:00+00:00,32.448,42.285202,17.998
131,2021-01-06 11:00:00+00:00,32.448,42.819786,18.198
132,2021-01-06 12:00:00+00:00,30.798,49.59401,19.048
133,2021-01-06 13:00:00+00:00,29.698,51.84354,18.748
134,2021-01-06 14:00:00+00:00,27.348,62.852722,19.648
135,2021-01-06 15:00:00+00:00,26.698,64.49226,19.448
136,2021-01-06 16:00:00+00:00,25.148,74.05607,20.198
137,2021-01-06 17:00:00+00:00,24.798,74.45726,19.948
138,2021-01-06 18:00:00+00:00,24.398,76.02398,19.898
139,2021-01-06 19:00:00+00:00,24.448,75.32837,19.798
140,2021-01-06 20:00:00+00:00,24.198,75.75708,19.648
141,2021-01-06 21:00:00+00:00,23.698,82.283676,20.498
142,2021-01-06 22:00:00+00:00,24.448,75.32837,19.798
143,2021-01-06 23:00:00+00:00,24.448,75.796715,19.898
144,2021-01-07 00:00:00+00:00,24.448,76.74107,20.098
145,2021-01-07 01:00:00+00:00,24.198,77.89941,20.098
146,2021-01-07 02:00:00+00:00,23.048,85.3122,20.448
147,2021-01-07 03:00:00+00:00,25.598,71.8784,20.148
148,2021-01-07 04:00:00+00:00,27.798,64.12899,20.398
149,2021-01-07 05:00:00+00:00,29.598,58.30746,20.548
