,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,17.723001,98.435936,17.473001
1,2021-01-01 01:00:00+00:00,17.973001,98.74941,17.773
2,2021-01-01 02:00:00+00:00,18.673,96.006714,18.023
3,2021-01-01 03:00:00+00:00,20.673,83.476,17.773
4,2021-01-01 04:00:00+00:00,22.623001,72.020035,17.323
5,2021-01-01 05:00:00+00:00,24.223001,63.355385,16.823
6,2021-01-01 06:00:00+00:00,25.623001,55.21004,15.973
7,2021-01-01 07:00:00+00:00,26.623001,50.24076,15.422999
8,2021-01-01 08:00:00+00:00,27.223001,47.11803,14.973
9,2021-01-01 09:00:00+00:00,27.023,46.461075,14.573
10,2021-01-01 10:00:00+00:00,26.873001,45.23419,14.023
11,2021-01-01 11:00:00+00:00,26.123001,46.217354,13.672999
12,2021-01-01 12:00:00+00:00,24.623001,52.363735,14.223
13,2021-01-01 13:00:00+00:00,22.623001,58.497322,14.073
14,2021-01-01 14:00:00+00:00,21.623001,61.97082,14.023
15,2021-01-01 15:00:00+00:00,20.773,64.6561,13.873
16,2021-01-01 16:00:00+00:00,19.823,67.45928,13.623
17,2021-01-01 17:00:00+00:00,19.123001,70.68872,13.672999
18,2021-01-01 18:00:00+00:00,18.873001,73.688126,14.073
19,2021-01-01 19:00:00+00:00,18.323,77.51273,14.323
20,2021-01-01 20:00:00+00:00,17.423,82.82822,14.473
21,2021-01-01 21:00:00+00:00,16.573,87.41047,14.473
22,2021-01-01 22:00:00+00:00,15.873,91.398056,14.473
23,2021-01-01 23:00:00+00:00,15.523,92.865974,14.373
24,2021-01-02 00:00:00+00:00,15.223,94.976845,14.422999
25,2021-01-02 01:00:00+00:00,15.223,95.9014,14.573
26,2021-01-02 02:00:00+00:00,16.123001,93.19712,15.023
27,2021-01-02 03:00:00+00:00,19.073,81.7109,15.873
28,2021-01-02 04:00:00+00:00,21.573,65.24816,14.773
29,2021-01-02 05:00:00+00:00,23.323,54.103134,13.523
30,2021-01-02 06:00:00+00:00,24.823,47.390877,12.873
31,2021-01-02 07:00:00+00:00,26.023,42.426434,12.273
32,2021-01-02 08:00:00+00:00,26.673,40.695507,12.223
33,2021-01-02 09:00:00+00:00,26.923,40.101353,12.223
34,2021-01-02 10:00:00+00:00,26.823,39.810543,12.023
35,2021-01-02 11:00:00+00:00,26.223001,40.436207,11.723
36,2021-01-02 12:00:00+00:00,24.023,49.716328,12.873
37,2021-01-02 13:00:00+00:00,22.323,56.370686,13.223
38,2021-01-02 14:00:00+00:00,21.473001,62.137978,13.922999
39,2021-01-02 15:00:00+00:00,20.723001,66.129005,14.172999
40,2021-01-02 16:00:00+00:00,19.973001,68.37165,13.973
41,2021-01-02 17:00:00+00:00,19.123001,72.78317,14.123
42,2021-01-02 18:00:00+00:00,18.523,76.79528,14.373
43,2021-01-02 19:00:00+00:00,18.173,79.00797,14.473
44,2021-01-02 20:00:00+00:00,17.873001,80.25216,14.422999
45,2021-01-02 21:00:00+00:00,17.323,83.08425,14.422999
46,2021-01-02 22:00:00+00:00,16.823,86.0339,14.473
47,2021-01-02 23:00:00+00:00,16.373001,88.529495,14.473
48,2021-01-03 00:00:00+00:00,15.773,92.58005,14.573
49,2021-01-03 01:00:00+00:00,15.922999,92.88723,14.773
50,2021-01-03 02:00:00+00:00,16.673,90.28123,15.073
51,2021-01-03 03:00:00+00:00,19.273,75.68496,14.873
52,2021-01-03 04:00:00+00:00,21.723001,60.2096,13.672999
53,2021-01-03 05:00:00+00:00,23.723001,51.960995,13.273
54,2021-01-03 06:00:00+00:00,25.423,46.937214,13.273
55,2021-01-03 07:00:00+00:00,26.623001,43.294296,13.123
56,2021-01-03 08:00:00+00:00,27.373001,40.757,12.873
57,2021-01-03 09:00:00+00:00,27.623001,40.165005,12.873
58,2021-01-03 10:00:00+00:00,27.473001,41.321003,13.172999
59,2021-01-03 11:00:00+00:00,26.673,42.606636,12.922999
60,2021-01-03 12:00:00+00:00,24.273,52.273247,13.873
61,2021-01-03 13:00:00+00:00,22.773,57.035103,13.823
62,2021-01-03 14:00:00+00:00,22.023,61.861404,14.373
63,2021-01-03 15:00:00+00:00,21.473001,63.768944,14.323
64,2021-01-03 16:00:00+00:00,20.873001,65.73382,14.223
65,2021-01-03 17:00:00+00:00,19.923,70.38314,14.373
66,2021-01-03 18:00:00+00:00,19.373001,74.252174,14.672999
67,2021-01-03 19:00:00+00:00,18.923,77.3544,14.873
68,2021-01-03 20:00:00+00:00,18.373001,81.360054,15.123
69,2021-01-03 21:00:00+00:00,17.823,86.409874,15.523
70,2021-01-03 22:00:00+00:00,17.323,89.75119,15.623
71,2021-01-03 23:00:00+00:00,17.073,90.599525,15.523
72,2021-01-04 00:00:00+00:00,16.923,93.23755,15.823
73,2021-01-04 01:00:00+00:00,17.073,86.05887,14.723
74,2021-01-04 02:00:00+00:00,17.623001,79.44231,14.023
75,2021-01-04 03:00:00+00:00,19.673,72.6462,14.623
76,2021-01-04 04:00:00+00:00,21.973001,61.650314,14.273
77,2021-01-04 05:00:00+00:00,23.973001,51.352745,13.323
78,2021-01-04 06:00:00+00:00,25.473001,45.740665,12.922999
79,2021-01-04 07:00:00+00:00,26.573,42.718456,12.873
80,2021-01-04 08:00:00+00:00,27.323,39.170925,12.223
81,2021-01-04 09:00:00+00:00,27.573,38.22275,12.073
82,2021-01-04 10:00:00+00:00,27.273,39.28588,12.223
83,2021-01-04 11:00:00+00:00,26.423,43.239086,12.922999
84,2021-01-04 12:00:00+00:00,24.423,48.85632,12.973
85,2021-01-04 13:00:00+00:00,22.573,56.06626,13.373
86,2021-01-04 14:00:00+00:00,21.473001,62.94881,14.123
87,2021-01-04 15:00:00+00:00,20.723001,68.96416,14.823
88,2021-01-04 16:00:00+00:00,20.173,72.73523,15.123
89,2021-01-04 17:00:00+00:00,19.473001,75.96111,15.123
90,2021-01-04 18:00:00+00:00,18.823,77.83896,14.873
91,2021-01-04 19:00:00+00:00,18.273,79.53382,14.672999
92,2021-01-04 20:00:00+00:00,17.823,82.07919,14.723
93,2021-01-04 21:00:00+00:00,17.423,85.26692,14.922999
94,2021-01-04 22:00:00+00:00,17.123001,88.59184,15.223
95,2021-01-04 23:00:00+00:00,16.873001,91.75491,15.523
96,2021-01-05 00:00:00+00:00,16.823,93.83066,15.823
97,2021-01-05 01:00:00+00:00,17.023,94.742065,16.173
98,2021-01-05 02:00:00+00:00,17.673,92.684,16.473001
99,2021-01-05 03:00:00+00:00,19.973001,82.60656,16.923
100,2021-01-05 04:00:00+00:00,22.123001,72.38751,16.923
101,2021-01-05 05:00:00+00:00,24.223001,61.37374,16.323
102,2021-01-05 06:00:00+00:00,25.723001,53.841007,15.672999
103,2021-01-05 07:00:00+00:00,26.873001,48.251404,15.023
104,2021-01-05 08:00:00+00:00,27.673,44.008305,14.323
105,2021-01-05 09:00:00+00:00,28.173,42.330193,14.172999
106,2021-01-05 10:00:00+00:00,28.123001,42.17955,14.073
107,2021-01-05 11:00:00+00:00,27.823,45.49246,14.973
108,2021-01-05 12:00:00+00:00,25.173,64.77392,18.073
109,2021-01-05 13:00:00+00:00,23.473001,64.61529,16.423
110,2021-01-05 14:00:00+00:00,23.923,60.52717,15.823
111,2021-01-05 15:00:00+00:00,23.023,70.29518,17.323
112,2021-01-05 16:00:00+00:00,22.823,75.30076,18.223001
113,2021-01-05 17:00:00+00:00,22.373001,78.36277,18.423
114,2021-01-05 18:00:00+00:00,22.023,81.31332,18.673
115,2021-01-05 19:00:00+00:00,22.023,83.3699,19.073
116,2021-01-05 20:00:00+00:00,21.773,85.446556,19.223001
117,2021-01-05 21:00:00+00:00,21.473001,87.844986,19.373001
118,2021-01-05 22:00:00+00:00,21.123001,90.591064,19.523
119,2021-01-05 23:00:00+00:00,20.673,93.42247,19.573
120,2021-01-06 00:00:00+00:00,20.323,95.758,19.623001
121,2021-01-06 01:00:00+00:00,20.823,93.14033,19.673
122,2021-01-06 02:00:00+00:00,21.273,90.60125,19.673
123,2021-01-06 03:00:00+00:00,22.323,83.924644,19.473001
124,2021-01-06 04:00:00+00:00,23.773,76.162094,19.323
125,2021-01-06 05:00:00+00:00,24.023,76.67586,19.673
126,2021-01-06 06:00:00+00:00,23.323,82.4929,20.173
127,2021-01-06 07:00:00+00:00,23.623001,80.514275,20.073
128,2021-01-06 08:00:00+00:00,23.873001,77.61055,19.723001
129,2021-01-06 09:00:00+00:00,23.623001,81.01383,20.173
130,2021-01-06 10:00:00+00:00,23.223001,83.24956,20.223001
131,2021-01-06 11:00:00+00:00,22.923,84.77403,20.223001
132,2021-01-06 12:00:00+00:00,21.873001,92.33554,20.573
133,2021-01-06 13:00:00+00:00,21.473001,92.31325,20.173
134,2021-01-06 14:00:00+00:00,21.323,91.73503,19.923
135,2021-01-06 15:00:00+00:00,21.023,94.31114,20.073
136,2021-01-06 16:00:00+00:00,20.823,94.30278,19.873001
137,2021-01-06 17:00:00+00:00,20.223001,92.820175,19.023
138,2021-01-06 18:00:00+00:00,19.573,91.917,18.223001
139,2021-01-06 19:00:00+00:00,19.323,92.19152,18.023
