,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,15.3025,69.720116,9.8025
1,2021-01-01 01:00:00+00:00,14.6525,73.92472,10.0525
2,2021-01-01 02:00:00+00:00,13.752501,79.94546,10.3525
3,2021-01-01 03:00:00+00:00,16.6025,67.6877,10.6025
4,2021-01-01 04:00:00+00:00,19.2525,59.23115,11.1025
5,2021-01-01 05:00:00+00:00,21.8525,53.727295,12.0525
6,2021-01-01 06:00:00+00:00,23.9025,50.17432,12.9025
7,2021-01-01 07:00:00+00:00,25.4525,48.183453,13.7025
8,2021-01-01 08:00:00+00:00,26.5025,46.924103,14.252501
9,2021-01-01 09:00:00+00:00,27.1525,45.604237,14.4025
10,2021-01-01 10:00:00+00:00,27.3525,44.78208,14.3025
11,2021-01-01 11:00:00+00:00,27.1025,44.56915,14.002501
12,2021-01-01 12:00:00+00:00,25.4025,51.062077,14.5525
13,2021-01-01 13:00:00+00:00,22.5025,58.658276,14.002501
14,2021-01-01 14:00:00+00:00,21.5525,59.00481,13.2025
15,2021-01-01 15:00:00+00:00,20.4025,59.506332,12.252501
16,2021-01-01 16:00:00+00:00,19.2525,60.02141,11.3025
17,2021-01-01 17:00:00+00:00,18.2025,61.386494,10.6525
18,2021-01-01 18:00:00+00:00,17.2025,63.234634,10.1525
19,2021-01-01 19:00:00+00:00,16.3025,65.62152,9.8525
20,2021-01-01 20:00:00+00:00,15.3525,69.26429,9.752501
21,2021-01-01 21:00:00+00:00,14.6525,71.970474,9.6525
22,2021-01-01 22:00:00+00:00,14.2025,73.351715,9.502501
23,2021-01-01 23:00:00+00:00,13.7025,74.75765,9.3025
24,2021-01-02 00:00:00+00:00,13.8525,75.794205,9.6525
25,2021-01-02 01:00:00+00:00,13.4025,77.26286,9.502501
26,2021-01-02 02:00:00+00:00,13.002501,79.57233,9.5525
27,2021-01-02 03:00:00+00:00,14.7025,73.440704,10.002501
28,2021-01-02 04:00:00+00:00,17.5525,64.376076,10.752501
