,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,20.651,89.15672,18.801
1,2021-01-01 01:00:00+00:00,21.001,85.10048,18.401
2,2021-01-01 02:00:00+00:00,21.451,81.75176,18.201
3,2021-01-01 03:00:00+00:00,24.051,69.60891,18.151
4,2021-01-01 04:00:00+00:00,27.051,58.801468,18.301
5,2021-01-01 05:00:00+00:00,29.651,50.23319,18.201
6,2021-01-01 06:00:00+00:00,31.601,45.64157,18.451
7,2021-01-01 07:00:00+00:00,32.901,42.011223,18.301
8,2021-01-01 08:00:00+00:00,33.051003,41.658382,18.301
9,2021-01-01 09:00:00+00:00,31.301,49.416397,19.451
10,2021-01-01 10:00:00+00:00,29.401,56.83772,19.951
11,2021-01-01 11:00:00+00:00,28.451,60.988583,20.201
12,2021-01-01 12:00:00+00:00,27.351,66.0435,20.451
13,2021-01-01 13:00:00+00:00,26.201,71.98575,20.751
14,2021-01-01 14:00:00+00:00,25.751,73.47504,20.651
15,2021-01-01 15:00:00+00:00,25.101,75.43316,20.451
16,2021-01-01 16:00:00+00:00,24.651,76.53534,20.251
17,2021-01-01 17:00:00+00:00,24.051,79.33662,20.251
18,2021-01-01 18:00:00+00:00,23.501,82.51421,20.351
19,2021-01-01 19:00:00+00:00,23.251,83.25278,20.251
20,2021-01-01 20:00:00+00:00,22.851,85.55591,20.301
21,2021-01-01 21:00:00+00:00,22.301,88.73474,20.351
22,2021-01-01 22:00:00+00:00,21.951,91.20831,20.451
23,2021-01-01 23:00:00+00:00,21.551,93.46471,20.451
24,2021-01-02 00:00:00+00:00,21.651,95.79959,20.951
25,2021-01-02 01:00:00+00:00,21.351,96.38195,20.751
26,2021-01-02 02:00:00+00:00,21.901,94.92925,21.051
27,2021-01-02 03:00:00+00:00,23.901,84.09911,21.051
28,2021-01-02 04:00:00+00:00,26.301,71.122444,20.651
29,2021-01-02 05:00:00+00:00,28.351,62.10671,20.401
30,2021-01-02 06:00:00+00:00,29.501,57.391705,20.201
31,2021-01-02 07:00:00+00:00,30.201,55.984463,20.451
32,2021-01-02 08:00:00+00:00,30.201,57.381172,20.851
33,2021-01-02 09:00:00+00:00,29.601,58.668583,20.651
34,2021-01-02 10:00:00+00:00,28.851,59.589203,20.201
35,2021-01-02 11:00:00+00:00,27.551,64.274635,20.201
36,2021-01-02 12:00:00+00:00,26.301,67.27365,19.751
37,2021-01-02 13:00:00+00:00,24.851,71.968,19.451
38,2021-01-02 14:00:00+00:00,24.151,73.20086,19.051
39,2021-01-02 15:00:00+00:00,23.751,72.90328,18.601
40,2021-01-02 16:00:00+00:00,23.351,72.150505,18.051
41,2021-01-02 17:00:00+00:00,23.051,70.745834,17.451
42,2021-01-02 18:00:00+00:00,22.951,67.8747,16.701
43,2021-01-02 19:00:00+00:00,22.801,66.34991,16.201
44,2021-01-02 20:00:00+00:00,22.751,66.97671,16.301
45,2021-01-02 21:00:00+00:00,22.451,70.41028,16.801
46,2021-01-02 22:00:00+00:00,22.001,73.754684,17.101
47,2021-01-02 23:00:00+00:00,21.801,74.66038,17.101
48,2021-01-03 00:00:00+00:00,21.901,76.82923,17.651
49,2021-01-03 01:00:00+00:00,21.151,80.94619,17.751
50,2021-01-03 02:00:00+00:00,20.901,85.893845,18.451
51,2021-01-03 03:00:00+00:00,23.551,71.06168,18.001
52,2021-01-03 04:00:00+00:00,25.601,65.68164,18.701
53,2021-01-03 05:00:00+00:00,27.651,61.568024,19.601
54,2021-01-03 06:00:00+00:00,29.151,54.357964,19.001
55,2021-01-03 07:00:00+00:00,29.951,50.944485,18.701
56,2021-01-03 08:00:00+00:00,30.151,51.958874,19.201
57,2021-01-03 09:00:00+00:00,29.801,54.349968,19.601
58,2021-01-03 10:00:00+00:00,28.601,57.35502,19.351
59,2021-01-03 11:00:00+00:00,27.201,59.021255,18.501
60,2021-01-03 12:00:00+00:00,25.801,64.30084,18.551
61,2021-01-03 13:00:00+00:00,23.851,72.01382,18.501
62,2021-01-03 14:00:00+00:00,22.901,74.60779,18.151
63,2021-01-03 15:00:00+00:00,22.351,72.19928,17.101
64,2021-01-03 16:00:00+00:00,21.951,68.76386,15.951
65,2021-01-03 17:00:00+00:00,21.701,66.97563,15.301
66,2021-01-03 18:00:00+00:00,21.751,65.49648,15.000999
67,2021-01-03 19:00:00+00:00,22.051,61.668125,14.351
68,2021-01-03 20:00:00+00:00,21.551,62.966236,14.201
69,2021-01-03 21:00:00+00:00,21.401,63.547123,14.201
70,2021-01-03 22:00:00+00:00,21.351,63.742096,14.201
71,2021-01-03 23:00:00+00:00,21.151,64.32015,14.151
72,2021-01-04 00:00:00+00:00,21.051,71.050125,15.601
73,2021-01-04 01:00:00+00:00,21.401,71.79917,16.101
74,2021-01-04 02:00:00+00:00,20.601,80.87429,17.201
75,2021-01-04 03:00:00+00:00,22.751,66.76372,16.251
76,2021-01-04 04:00:00+00:00,24.751,61.49369,16.851
77,2021-01-04 05:00:00+00:00,26.501,57.57248,17.451
78,2021-01-04 06:00:00+00:00,28.151,53.432423,17.801
79,2021-01-04 07:00:00+00:00,29.201,50.43291,17.851
80,2021-01-04 08:00:00+00:00,29.501,49.41118,17.801
81,2021-01-04 09:00:00+00:00,29.201,50.43291,17.851
82,2021-01-04 10:00:00+00:00,28.601,52.711468,18.001
83,2021-01-04 11:00:00+00:00,27.501,56.201855,18.001
84,2021-01-04 12:00:00+00:00,25.751,61.1393,17.701
85,2021-01-04 13:00:00+00:00,23.951,70.46923,18.251
86,2021-01-04 14:00:00+00:00,23.101,75.34575,18.501
87,2021-01-04 15:00:00+00:00,22.801,76.48688,18.451
88,2021-01-04 16:00:00+00:00,22.601,74.7929,17.901
89,2021-01-04 17:00:00+00:00,22.251,73.10096,17.201
90,2021-01-04 18:00:00+00:00,21.851,72.109566,16.601
91,2021-01-04 19:00:00+00:00,21.501,74.84746,16.851
92,2021-01-04 20:00:00+00:00,21.101,81.70782,17.851
93,2021-01-04 21:00:00+00:00,20.901,81.425575,17.601
94,2021-01-04 22:00:00+00:00,20.501,83.98392,17.701
95,2021-01-04 23:00:00+00:00,19.851,89.65575,18.101
96,2021-01-05 00:00:00+00:00,20.201,78.543045,16.351
97,2021-01-05 01:00:00+00:00,19.901,82.07548,16.751
98,2021-01-05 02:00:00+00:00,19.901,85.52348,17.401
99,2021-01-05 03:00:00+00:00,22.351,72.4281,17.151
100,2021-01-05 04:00:00+00:00,24.501,66.07316,17.751
101,2021-01-05 05:00:00+00:00,26.801,59.11279,18.151
102,2021-01-05 06:00:00+00:00,28.501,54.1963,18.351
103,2021-01-05 07:00:00+00:00,29.701,51.199776,18.551
104,2021-01-05 08:00:00+00:00,29.951,49.9967,18.401
105,2021-01-05 09:00:00+00:00,29.351,49.8407,17.801
106,2021-01-05 10:00:00+00:00,28.401,52.165455,17.651
107,2021-01-05 11:00:00+00:00,27.101,56.281334,17.651
108,2021-01-05 12:00:00+00:00,25.601,61.880363,17.751
109,2021-01-05 13:00:00+00:00,24.301,66.65905,17.701
110,2021-01-05 14:00:00+00:00,23.701,66.95818,17.201
111,2021-01-05 15:00:00+00:00,23.301,66.2427,16.651
112,2021-01-05 16:00:00+00:00,23.101,65.15565,16.201
113,2021-01-05 17:00:00+00:00,22.951,64.70935,15.951
114,2021-01-05 18:00:00+00:00,22.801,64.26477,15.701
115,2021-01-05 19:00:00+00:00,22.601,63.60667,15.351
116,2021-01-05 20:00:00+00:00,22.451,62.76159,15.000999
117,2021-01-05 21:00:00+00:00,22.351,60.94455,14.451
118,2021-01-05 22:00:00+00:00,22.351,59.00356,13.951
119,2021-01-05 23:00:00+00:00,22.351,56.377625,13.250999
120,2021-01-06 00:00:00+00:00,21.901,54.990078,12.451
121,2021-01-06 01:00:00+00:00,21.401,57.257603,12.601
122,2021-01-06 02:00:00+00:00,21.151,59.879414,13.051
123,2021-01-06 03:00:00+00:00,22.201,58.395878,13.651
124,2021-01-06 04:00:00+00:00,24.151,56.094162,14.851
125,2021-01-06 05:00:00+00:00,26.501,54.20936,16.501
126,2021-01-06 06:00:00+00:00,28.401,52.330093,17.701
127,2021-01-06 07:00:00+00:00,29.901,48.89743,18.001
128,2021-01-06 08:00:00+00:00,30.701,47.295834,18.201
129,2021-01-06 09:00:00+00:00,30.651,46.69207,17.951
130,2021-01-06 10:00:00+00:00,29.751,47.043472,17.251
131,2021-01-06 11:00:00+00:00,28.351,50.05325,16.951
132,2021-01-06 12:00:00+00:00,26.951,57.138226,17.751
133,2021-01-06 13:00:00+00:00,25.401,63.015373,17.851
134,2021-01-06 14:00:00+00:00,24.701,64.469765,17.551
135,2021-01-06 15:00:00+00:00,24.401,64.813736,17.351
136,2021-01-06 16:00:00+00:00,24.201,64.97629,17.201
137,2021-01-06 17:00:00+00:00,24.051,64.944405,17.051
138,2021-01-06 18:00:00+00:00,23.701,65.698204,16.901
139,2021-01-06 19:00:00+00:00,23.101,69.20749,17.151
140,2021-01-06 20:00:00+00:00,22.701,72.94896,17.601
141,2021-01-06 21:00:00+00:00,22.651,76.46353,18.301
142,2021-01-06 22:00:00+00:00,22.351,81.60925,19.051
143,2021-01-06 23:00:00+00:00,22.001,86.00261,19.551
