,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,8.063,95.0179,7.313
1,2021-01-01 01:00:00+00:00,7.363,95.97441,6.763
2,2021-01-01 02:00:00+00:00,9.662999,90.6807,8.212999
3,2021-01-01 03:00:00+00:00,12.763,77.16238,8.863
4,2021-01-01 04:00:00+00:00,15.763,63.548256,8.863
5,2021-01-01 05:00:00+00:00,17.963001,54.347214,8.613
6,2021-01-01 06:00:00+00:00,19.663,46.446766,7.863
7,2021-01-01 07:00:00+00:00,20.813,42.820854,7.713
8,2021-01-01 08:00:00+00:00,21.463001,41.286484,7.763
9,2021-01-01 09:00:00+00:00,21.713001,40.383854,7.663
10,2021-01-01 10:00:00+00:00,21.413,41.131924,7.663
11,2021-01-01 11:00:00+00:00,18.763,61.925476,11.313
12,2021-01-01 12:00:00+00:00,16.063,64.69492,9.412999
13,2021-01-01 13:00:00+00:00,15.313,67.194305,9.263
14,2021-01-01 14:00:00+00:00,14.912999,67.564835,8.962999
15,2021-01-01 15:00:00+00:00,13.712999,72.28208,8.813
16,2021-01-01 16:00:00+00:00,11.912999,80.22601,8.613
17,2021-01-01 17:00:00+00:00,10.912999,83.70515,8.263
18,2021-01-01 18:00:00+00:00,10.462999,84.51,7.963
19,2021-01-01 19:00:00+00:00,10.212999,85.059044,7.813
20,2021-01-01 20:00:00+00:00,9.412999,88.528114,7.613
21,2021-01-01 21:00:00+00:00,9.013,89.40578,7.363
22,2021-01-01 22:00:00+00:00,8.662999,90.609886,7.213
23,2021-01-01 23:00:00+00:00,8.263,91.83201,7.013
24,2021-01-02 00:00:00+00:00,7.813,95.0082,7.063
25,2021-01-02 01:00:00+00:00,7.213,95.96967,6.613
26,2021-01-02 02:00:00+00:00,9.712999,89.76569,8.113
27,2021-01-02 03:00:00+00:00,13.113,75.416885,8.863
28,2021-01-02 04:00:00+00:00,16.263,61.34466,8.813
29,2021-01-02 05:00:00+00:00,18.663,50.96701,8.313
30,2021-01-02 06:00:00+00:00,20.363,45.39322,8.162999
31,2021-01-02 07:00:00+00:00,21.463001,43.2965,8.462999
32,2021-01-02 08:00:00+00:00,22.163,42.62203,8.863
33,2021-01-02 09:00:00+00:00,22.363,42.822292,9.113
34,2021-01-02 10:00:00+00:00,22.063,44.50097,9.412999
35,2021-01-02 11:00:00+00:00,19.663,65.47639,13.013
36,2021-01-02 12:00:00+00:00,16.813,67.95644,10.863
37,2021-01-02 13:00:00+00:00,16.863,67.74127,10.863
38,2021-01-02 14:00:00+00:00,15.313,75.03079,10.912999
39,2021-01-02 15:00:00+00:00,14.162999,78.94514,10.563
40,2021-01-02 16:00:00+00:00,13.462999,78.31599,9.763
41,2021-01-02 17:00:00+00:00,13.162999,75.93574,9.013
42,2021-01-02 18:00:00+00:00,12.412999,78.687126,8.813
43,2021-01-02 19:00:00+00:00,12.113,80.25391,8.813
44,2021-01-02 20:00:00+00:00,13.563,72.25438,8.662999
45,2021-01-02 21:00:00+00:00,12.863,75.374954,8.613
46,2021-01-02 22:00:00+00:00,11.063,84.57746,8.563
47,2021-01-02 23:00:00+00:00,10.363,88.309814,8.513
48,2021-01-03 00:00:00+00:00,9.613,93.48473,8.613
49,2021-01-03 01:00:00+00:00,9.563,94.116684,8.662999
50,2021-01-03 02:00:00+00:00,11.763,88.43065,9.912999
51,2021-01-03 03:00:00+00:00,15.063,77.77818,11.212999
52,2021-01-03 04:00:00+00:00,17.063,71.70095,11.912999
53,2021-01-03 05:00:00+00:00,19.263,63.696083,12.212999
54,2021-01-03 06:00:00+00:00,21.163,54.98412,11.763
55,2021-01-03 07:00:00+00:00,21.763,53.00084,11.763
56,2021-01-03 08:00:00+00:00,22.513,51.305904,11.962999
57,2021-01-03 09:00:00+00:00,22.813,50.54664,12.013
58,2021-01-03 10:00:00+00:00,22.713001,51.021706,12.063
59,2021-01-03 11:00:00+00:00,21.163,68.608406,15.162999
60,2021-01-03 12:00:00+00:00,20.963001,57.526814,12.263
61,2021-01-03 13:00:00+00:00,17.463001,72.24779,12.412999
62,2021-01-03 14:00:00+00:00,15.712999,78.65054,12.013
63,2021-01-03 15:00:00+00:00,15.013,80.3862,11.662999
64,2021-01-03 16:00:00+00:00,14.662999,80.3382,11.313
65,2021-01-03 17:00:00+00:00,14.162999,82.15609,11.162999
66,2021-01-03 18:00:00+00:00,13.212999,86.23666,10.962999
67,2021-01-03 19:00:00+00:00,12.513,88.49462,10.662999
68,2021-01-03 20:00:00+00:00,12.013,89.64098,10.363
69,2021-01-03 21:00:00+00:00,11.462999,90.80616,10.013
70,2021-01-03 22:00:00+00:00,11.313,90.18952,9.763
71,2021-01-03 23:00:00+00:00,10.863,91.37648,9.513
72,2021-01-04 00:00:00+00:00,12.462999,89.37798,10.763
73,2021-01-04 01:00:00+00:00,12.813,87.64236,10.813
74,2021-01-04 02:00:00+00:00,14.013,81.86497,10.962999
75,2021-01-04 03:00:00+00:00,16.263,73.95967,11.613
76,2021-01-04 04:00:00+00:00,18.713001,63.364075,11.613
77,2021-01-04 05:00:00+00:00,20.813,55.442432,11.563
78,2021-01-04 06:00:00+00:00,22.513,49.64035,11.462999
79,2021-01-04 07:00:00+00:00,23.613,46.9074,11.613
80,2021-01-04 08:00:00+00:00,24.313,45.57301,11.813
81,2021-01-04 09:00:00+00:00,24.563,45.342026,11.962999
82,2021-01-04 10:00:00+00:00,24.313,45.87445,11.912999
