,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,3.3174999,100.0,3.3174999
1,2021-01-01 01:00:00+00:00,2.5175,99.64536,2.4675
2,2021-01-01 02:00:00+00:00,3.1675,98.59551,2.9675
3,2021-01-01 03:00:00+00:00,4.3175,96.553246,3.8174999
4,2021-01-01 04:00:00+00:00,6.8175,96.95409,6.3675003
5,2021-01-01 05:00:00+00:00,10.0675,87.093155,8.0175
6,2021-01-01 06:00:00+00:00,13.617499,68.68241,7.9675
7,2021-01-01 07:00:00+00:00,15.617499,57.948376,7.3675003
8,2021-01-01 08:00:00+00:00,16.7675,53.30313,7.2175
9,2021-01-01 09:00:00+00:00,17.317501,50.778618,7.0175004
10,2021-01-01 10:00:00+00:00,17.317501,50.43181,6.9175
11,2021-01-01 11:00:00+00:00,16.417501,58.344227,8.2175
12,2021-01-01 12:00:00+00:00,12.367499,70.08902,7.0675
13,2021-01-01 13:00:00+00:00,10.5675,77.34187,6.7675004
14,2021-01-01 14:00:00+00:00,9.4175,81.5419,6.4175
15,2021-01-01 15:00:00+00:00,9.1675,80.94823,6.0675
16,2021-01-01 16:00:00+00:00,8.867499,81.75083,5.9175
17,2021-01-01 17:00:00+00:00,8.0675,85.41123,5.7675004
18,2021-01-01 18:00:00+00:00,8.0175,85.998856,5.8175
19,2021-01-01 19:00:00+00:00,7.4675,89.28153,5.8175
20,2021-01-01 20:00:00+00:00,7.2175,90.506134,5.7675004
21,2021-01-01 21:00:00+00:00,7.5675,87.75861,5.6675
22,2021-01-01 22:00:00+00:00,8.617499,79.48178,5.2675004
23,2021-01-01 23:00:00+00:00,8.367499,83.11285,5.6675
24,2021-01-02 00:00:00+00:00,8.5175,81.704704,5.5675
25,2021-01-02 01:00:00+00:00,8.8175,80.06417,5.5675
26,2021-01-02 02:00:00+00:00,8.9175,80.914055,5.8175
27,2021-01-02 03:00:00+00:00,10.7175,75.78864,6.6175003
28,2021-01-02 04:00:00+00:00,12.8175,68.753944,7.2175
29,2021-01-02 05:00:00+00:00,14.6675,63.29989,7.7675004
30,2021-01-02 06:00:00+00:00,16.1175,56.12611,7.3675003
31,2021-01-02 07:00:00+00:00,17.917501,49.229584,7.1175003
32,2021-01-02 08:00:00+00:00,18.2675,50.34434,7.7675004
33,2021-01-02 09:00:00+00:00,17.7175,60.056053,9.867499
34,2021-01-02 10:00:00+00:00,17.567501,62.478138,10.3175
35,2021-01-02 11:00:00+00:00,16.917501,67.08043,10.7675
36,2021-01-02 12:00:00+00:00,15.4175,65.20939,8.9175
37,2021-01-02 13:00:00+00:00,14.6675,67.28595,8.6675
38,2021-01-02 14:00:00+00:00,14.117499,69.72102,8.6675
39,2021-01-02 15:00:00+00:00,13.4175,74.45741,8.9675
40,2021-01-02 16:00:00+00:00,12.8175,78.4825,9.1675
41,2021-01-02 17:00:00+00:00,12.4175,80.29625,9.117499
42,2021-01-02 18:00:00+00:00,12.0175,81.88211,9.0175
43,2021-01-02 19:00:00+00:00,11.4175,84.617096,8.9175
44,2021-01-02 20:00:00+00:00,11.1675,85.45087,8.8175
45,2021-01-02 21:00:00+00:00,11.4175,83.200264,8.6675
46,2021-01-02 22:00:00+00:00,11.8175,82.41068,8.9175
47,2021-01-02 23:00:00+00:00,12.2675,83.86369,9.617499
48,2021-01-03 00:00:00+00:00,11.7675,88.13546,9.867499
49,2021-01-03 01:00:00+00:00,11.5175,89.30307,9.8175
50,2021-01-03 02:00:00+00:00,12.4675,86.16172,10.2175
51,2021-01-03 03:00:00+00:00,13.3175,85.67661,10.9675
52,2021-01-03 04:00:00+00:00,14.5675,84.96301,12.0675
53,2021-01-03 05:00:00+00:00,16.1175,79.7492,12.617499
54,2021-01-03 06:00:00+00:00,18.2175,73.33488,13.367499
55,2021-01-03 07:00:00+00:00,19.6175,70.55318,14.117499
56,2021-01-03 08:00:00+00:00,20.7675,66.56764,14.3175
57,2021-01-03 09:00:00+00:00,20.667501,69.62269,14.9175
58,2021-01-03 10:00:00+00:00,20.417501,71.85012,15.1675
59,2021-01-03 11:00:00+00:00,19.2675,78.65864,15.4675
60,2021-01-03 12:00:00+00:00,16.2675,90.543724,14.7175
61,2021-01-03 13:00:00+00:00,15.867499,91.397705,14.4675
62,2021-01-03 14:00:00+00:00,15.7675,91.39132,14.367499
63,2021-01-03 15:00:00+00:00,15.5675,91.67481,14.2175
64,2021-01-03 16:00:00+00:00,15.5675,91.971924,14.2675
65,2021-01-03 17:00:00+00:00,15.2175,93.15092,14.117499
66,2021-01-03 18:00:00+00:00,15.2175,91.951004,13.9175
67,2021-01-03 19:00:00+00:00,14.7175,91.920975,13.4175
68,2021-01-03 20:00:00+00:00,14.617499,91.91495,13.3175
69,2021-01-03 21:00:00+00:00,14.4675,93.41607,13.4175
70,2021-01-03 22:00:00+00:00,14.5175,93.41853,13.4675
71,2021-01-03 23:00:00+00:00,14.2675,93.101944,13.1675
72,2021-01-04 00:00:00+00:00,12.867499,96.45895,12.3175
73,2021-01-04 01:00:00+00:00,12.8175,96.457596,12.2675
74,2021-01-04 02:00:00+00:00,13.0175,96.147,12.4175
75,2021-01-04 03:00:00+00:00,14.4175,92.806694,13.2675
76,2021-01-04 04:00:00+00:00,15.9175,89.06667,14.117499
77,2021-01-04 05:00:00+00:00,17.2675,84.429955,14.617499
78,2021-01-04 06:00:00+00:00,19.2175,78.65139,15.4175
79,2021-01-04 07:00:00+00:00,20.1175,76.3078,15.8175
80,2021-01-04 08:00:00+00:00,21.0175,70.13892,15.367499
81,2021-01-04 09:00:00+00:00,20.917501,70.5713,15.367499
