,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,9.4,96.68846,8.9
1,2021-01-01 01:00:00+00:00,9.1,97.008194,8.65
2,2021-01-01 02:00:00+00:00,10.65,92.91059,9.55
3,2021-01-01 03:00:00+00:00,13.1,78.26131,9.4
4,2021-01-01 04:00:00+00:00,15.75,59.78615,7.95
5,2021-01-01 05:00:00+00:00,18.1,48.6098,7.1
6,2021-01-01 06:00:00+00:00,20.05,44.54085,7.6
7,2021-01-01 07:00:00+00:00,21.45,43.14645,8.4
8,2021-01-01 08:00:00+00:00,22.3,42.94909,9.1
9,2021-01-01 09:00:00+00:00,22.6,43.323364,9.5
10,2021-01-01 10:00:00+00:00,22.45,43.281357,9.35
11,2021-01-01 11:00:00+00:00,21.05,57.548145,12.35
12,2021-01-01 12:00:00+00:00,17.7,62.300396,10.4
13,2021-01-01 13:00:00+00:00,16.35,68.54345,10.55
14,2021-01-01 14:00:00+00:00,15.75,70.98185,10.5
15,2021-01-01 15:00:00+00:00,16.95,64.02855,10.1
16,2021-01-01 16:00:00+00:00,16.4,65.86255,10.0
17,2021-01-01 17:00:00+00:00,15.6,68.85115,9.9
18,2021-01-01 18:00:00+00:00,15.65,67.717514,9.7
19,2021-01-01 19:00:00+00:00,15.2,70.168724,9.8
20,2021-01-01 20:00:00+00:00,14.45,76.14619,10.3
21,2021-01-01 21:00:00+00:00,14.0,79.44915,10.5
22,2021-01-01 22:00:00+00:00,13.75,78.884636,10.15
23,2021-01-01 23:00:00+00:00,12.5,81.944244,9.5
24,2021-01-02 00:00:00+00:00,13.15,82.8533,10.3
25,2021-01-02 01:00:00+00:00,12.85,82.81653,10.0
26,2021-01-02 02:00:00+00:00,12.5,84.73727,10.0
27,2021-01-02 03:00:00+00:00,14.75,76.70368,10.7
28,2021-01-02 04:00:00+00:00,17.85,63.591454,10.85
29,2021-01-02 05:00:00+00:00,20.1,56.186874,11.1
30,2021-01-02 06:00:00+00:00,21.85,52.32824,11.65
31,2021-01-02 07:00:00+00:00,23.25,49.185482,12.0
32,2021-01-02 08:00:00+00:00,24.2,46.912632,12.15
33,2021-01-02 09:00:00+00:00,24.55,45.93934,12.15
34,2021-01-02 10:00:00+00:00,24.35,46.645813,12.2
35,2021-01-02 11:00:00+00:00,22.65,65.68644,15.9
36,2021-01-02 12:00:00+00:00,19.4,69.3763,13.65
37,2021-01-02 13:00:00+00:00,18.3,74.55197,13.7
38,2021-01-02 14:00:00+00:00,17.65,76.16077,13.4
39,2021-01-02 15:00:00+00:00,17.95,73.52739,13.15
40,2021-01-02 16:00:00+00:00,15.6,85.35206,13.15
41,2021-01-02 17:00:00+00:00,15.35,85.32578,12.9
42,2021-01-02 18:00:00+00:00,14.5,88.952515,12.7
43,2021-01-02 19:00:00+00:00,14.05,90.684456,12.55
44,2021-01-02 20:00:00+00:00,13.65,91.85629,12.35
45,2021-01-02 21:00:00+00:00,13.45,92.44997,12.25
46,2021-01-02 22:00:00+00:00,13.2,92.43577,12.0
47,2021-01-02 23:00:00+00:00,13.0,92.42438,11.8
48,2021-01-03 00:00:00+00:00,12.9,95.828156,12.25
49,2021-01-03 01:00:00+00:00,13.0,94.579865,12.15
50,2021-01-03 02:00:00+00:00,15.15,86.1464,12.85
51,2021-01-03 03:00:00+00:00,17.9,73.75902,13.15
52,2021-01-03 04:00:00+00:00,20.6,62.957966,13.3
53,2021-01-03 05:00:00+00:00,23.0,52.972664,12.9
54,2021-01-03 06:00:00+00:00,24.7,46.13161,12.35
55,2021-01-03 07:00:00+00:00,25.7,42.75688,12.1
56,2021-01-03 08:00:00+00:00,26.25,41.115788,12.0
57,2021-01-03 09:00:00+00:00,25.7,42.897762,12.15
58,2021-01-03 10:00:00+00:00,25.85,43.222286,12.4
59,2021-01-03 11:00:00+00:00,24.25,51.929,13.75
60,2021-01-03 12:00:00+00:00,21.25,61.284985,13.5
61,2021-01-03 13:00:00+00:00,20.75,63.196945,13.5
62,2021-01-03 14:00:00+00:00,19.3,70.03654,13.7
63,2021-01-03 15:00:00+00:00,19.15,71.15457,13.8
64,2021-01-03 16:00:00+00:00,17.7,78.1755,13.85
65,2021-01-03 17:00:00+00:00,16.85,82.49088,13.85
66,2021-01-03 18:00:00+00:00,16.2,84.586174,13.6
67,2021-01-03 19:00:00+00:00,15.2,88.43099,13.3
68,2021-01-03 20:00:00+00:00,14.55,89.833954,12.9
69,2021-01-03 21:00:00+00:00,14.0,91.57713,12.65
70,2021-01-03 22:00:00+00:00,13.65,92.46131,12.45
71,2021-01-03 23:00:00+00:00,13.5,91.545616,12.15
72,2021-01-04 00:00:00+00:00,14.9,90.44788,13.35
73,2021-01-04 01:00:00+00:00,16.2,81.34158,13.0
74,2021-01-04 02:00:00+00:00,15.95,86.22601,13.65
75,2021-01-04 03:00:00+00:00,18.65,70.13987,13.1
76,2021-01-04 04:00:00+00:00,21.65,59.60781,13.45
77,2021-01-04 05:00:00+00:00,23.45,53.43554,13.45
78,2021-01-04 06:00:00+00:00,25.35,46.61224,13.1
79,2021-01-04 07:00:00+00:00,26.65,42.461193,12.85
80,2021-01-04 08:00:00+00:00,27.5,40.39423,12.85
81,2021-01-04 09:00:00+00:00,27.7,40.186447,12.95
82,2021-01-04 10:00:00+00:00,27.2,42.474743,13.35
