,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,2.8825,100.0,2.8825
1,2021-01-01 01:00:00+00:00,2.1325,99.28962,2.0325
2,2021-01-01 02:00:00+00:00,2.5325,97.19424,2.1325
3,2021-01-01 03:00:00+00:00,3.2825,96.18312,2.7325
4,2021-01-01 04:00:00+00:00,5.3325,95.909615,4.7324996
5,2021-01-01 05:00:00+00:00,7.8325,95.00895,7.0825
6,2021-01-01 06:00:00+00:00,11.2825,82.343185,8.382501
7,2021-01-01 07:00:00+00:00,13.4825,71.50967,8.4325
8,2021-01-01 08:00:00+00:00,14.5825,66.138824,8.3325
9,2021-01-01 09:00:00+00:00,15.0325,64.466896,8.382501
10,2021-01-01 10:00:00+00:00,14.9825,64.02013,8.2325
11,2021-01-01 11:00:00+00:00,13.9825,70.40507,8.6825
12,2021-01-01 12:00:00+00:00,10.5325,79.758736,7.1825
13,2021-01-01 13:00:00+00:00,8.0325,87.49875,6.0825
14,2021-01-01 14:00:00+00:00,6.7324996,92.3738,5.5825
15,2021-01-01 15:00:00+00:00,6.2324996,93.63728,5.2825
16,2021-01-01 16:00:00+00:00,5.3325,94.91042,4.5825
17,2021-01-01 17:00:00+00:00,4.4824996,97.2377,4.0825
18,2021-01-01 18:00:00+00:00,3.6325,99.2982,3.5325
19,2021-01-01 19:00:00+00:00,3.4825,100.0,3.4825
20,2021-01-01 20:00:00+00:00,4.0325,98.952324,3.8825
21,2021-01-01 21:00:00+00:00,4.1324997,98.95316,3.9825
22,2021-01-01 22:00:00+00:00,4.4325,98.60973,4.2324996
23,2021-01-01 23:00:00+00:00,4.6825,98.95778,4.5325
24,2021-01-02 00:00:00+00:00,5.3325,99.30774,5.2324996
25,2021-01-02 01:00:00+00:00,5.5325,99.30886,5.4325
26,2021-01-02 02:00:00+00:00,6.0825,99.31189,5.9824996
27,2021-01-02 03:00:00+00:00,6.9325,97.62594,6.5825
28,2021-01-02 04:00:00+00:00,9.0325,92.50732,7.8824997
29,2021-01-02 05:00:00+00:00,11.4825,84.339424,8.9325
30,2021-01-02 06:00:00+00:00,13.7825,74.77132,9.382501
31,2021-01-02 07:00:00+00:00,14.9825,67.351814,8.9825
32,2021-01-02 08:00:00+00:00,15.382501,65.64313,8.9825
33,2021-01-02 09:00:00+00:00,15.5825,66.800415,9.4325
34,2021-01-02 10:00:00+00:00,15.5825,67.93103,9.6825
35,2021-01-02 11:00:00+00:00,14.6825,75.1748,10.3325
36,2021-01-02 12:00:00+00:00,12.2325,91.76921,10.9325
37,2021-01-02 13:00:00+00:00,11.2325,93.87776,10.2825
38,2021-01-02 14:00:00+00:00,11.2825,93.255516,10.2325
39,2021-01-02 15:00:00+00:00,10.5825,94.47879,9.7325
40,2021-01-02 16:00:00+00:00,10.632501,93.53536,9.632501
41,2021-01-02 17:00:00+00:00,10.8325,93.54523,9.8325
42,2021-01-02 18:00:00+00:00,10.632501,93.84962,9.6825
43,2021-01-02 19:00:00+00:00,10.4825,94.79196,9.6825
44,2021-01-02 20:00:00+00:00,10.0325,95.4137,9.3325
45,2021-01-02 21:00:00+00:00,10.1825,94.77993,9.382501
46,2021-01-02 22:00:00+00:00,9.9325,94.13336,9.0325
47,2021-01-02 23:00:00+00:00,9.8325,94.12887,8.9325
48,2021-01-03 00:00:00+00:00,9.9825,94.45328,9.132501
49,2021-01-03 01:00:00+00:00,9.7825,94.1266,8.882501
50,2021-01-03 02:00:00+00:00,10.132501,93.19611,9.0825
51,2021-01-03 03:00:00+00:00,10.9325,91.074776,9.5325
52,2021-01-03 04:00:00+00:00,12.632501,88.210976,10.7325
53,2021-01-03 05:00:00+00:00,13.9825,86.31336,11.7325
54,2021-01-03 06:00:00+00:00,15.132501,84.19173,12.4825
55,2021-01-03 07:00:00+00:00,15.5825,85.07209,13.0825
56,2021-01-03 08:00:00+00:00,15.5825,87.6045,13.5325
57,2021-01-03 09:00:00+00:00,16.432499,85.439156,13.9825
58,2021-01-03 10:00:00+00:00,16.332499,88.24054,14.382501
59,2021-01-03 11:00:00+00:00,16.582499,89.695595,14.882501
60,2021-01-03 12:00:00+00:00,15.382501,93.46113,14.3325
61,2021-01-03 13:00:00+00:00,14.8325,94.34821,13.9325
62,2021-01-03 14:00:00+00:00,13.7825,96.16951,13.1825
63,2021-01-03 15:00:00+00:00,13.9825,95.239555,13.2325
64,2021-01-03 16:00:00+00:00,14.3325,94.94287,13.5325
65,2021-01-03 17:00:00+00:00,14.382501,94.63644,13.5325
66,2021-01-03 18:00:00+00:00,14.0325,94.93133,13.2325
67,2021-01-03 19:00:00+00:00,13.8325,95.23414,13.0825
68,2021-01-03 20:00:00+00:00,13.5325,95.22323,12.7825
69,2021-01-03 21:00:00+00:00,13.132501,95.83557,12.4825
70,2021-01-03 22:00:00+00:00,12.8325,96.14154,12.2325
71,2021-01-03 23:00:00+00:00,12.632501,96.45254,12.0825
72,2021-01-04 00:00:00+00:00,12.5825,97.08805,12.132501
73,2021-01-04 01:00:00+00:00,13.2325,96.15336,12.632501
74,2021-01-04 02:00:00+00:00,13.4825,96.160706,12.882501
75,2021-01-04 03:00:00+00:00,14.2325,94.63035,13.382501
76,2021-01-04 04:00:00+00:00,15.382501,92.25922,14.132501
77,2021-01-04 05:00:00+00:00,16.582499,88.83291,14.7325
78,2021-01-04 06:00:00+00:00,17.432499,85.26792,14.9325
79,2021-01-04 07:00:00+00:00,17.182499,86.62581,14.9325
80,2021-01-04 08:00:00+00:00,17.7325,83.669876,14.9325
81,2021-01-04 09:00:00+00:00,17.832499,83.95087,15.0825
82,2021-01-04 10:00:00+00:00,17.2825,88.60506,15.382501
83,2021-01-04 11:00:00+00:00,16.7325,92.92999,15.5825
84,2021-01-04 12:00:00+00:00,17.182499,88.02966,15.1825
85,2021-01-04 13:00:00+00:00,15.882501,92.88508,14.7325
86,2021-01-04 14:00:00+00:00,14.6825,94.6486,13.8325
87,2021-01-04 15:00:00+00:00,15.1825,94.66878,14.3325
88,2021-01-04 16:00:00+00:00,14.5825,95.57087,13.882501
89,2021-01-04 17:00:00+00:00,14.8325,94.65466,13.9825
90,2021-01-04 18:00:00+00:00,14.9325,93.742645,13.9325
91,2021-01-04 19:00:00+00:00,14.2325,94.939026,13.4325
92,2021-01-04 20:00:00+00:00,14.2325,94.939026,13.4325
93,2021-01-04 21:00:00+00:00,14.132501,94.626274,13.2825
94,2021-01-04 22:00:00+00:00,14.0825,94.31609,13.1825
95,2021-01-04 23:00:00+00:00,13.7825,94.92171,12.9825
96,2021-01-05 00:00:00+00:00,13.7325,95.23051,12.9825
97,2021-01-05 01:00:00+00:00,13.7825,95.543816,13.0825
98,2021-01-05 02:00:00+00:00,14.0825,94.008835,13.132501
99,2021-01-05 03:00:00+00:00,14.382501,93.10789,13.2825
100,2021-01-05 04:00:00+00:00,15.2325,91.06102,13.7825
101,2021-01-05 05:00:00+00:00,15.882501,88.77576,14.0325
102,2021-01-05 06:00:00+00:00,16.8825,87.72071,14.8325
103,2021-01-05 07:00:00+00:00,17.682499,82.59276,14.6825
