,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,8.441,94.70921,7.6410003
1,2021-01-01 01:00:00+00:00,8.141,95.67188,7.491
2,2021-01-01 02:00:00+00:00,9.691,91.92044,8.441
3,2021-01-01 03:00:00+00:00,12.540999,79.50618,9.091
4,2021-01-01 04:00:00+00:00,15.591,67.93276,9.691
5,2021-01-01 05:00:00+00:00,18.291,58.21533,9.941
6,2021-01-01 06:00:00+00:00,19.991,48.7955,8.891
7,2021-01-01 07:00:00+00:00,21.041,42.739635,7.8910003
8,2021-01-01 08:00:00+00:00,21.591,40.211723,7.491
9,2021-01-01 09:00:00+00:00,21.791,39.995075,7.591
10,2021-01-01 10:00:00+00:00,21.491,42.002605,8.040999
11,2021-01-01 11:00:00+00:00,18.841,61.53471,11.290999
12,2021-01-01 12:00:00+00:00,15.891,65.31266,9.391
13,2021-01-01 13:00:00+00:00,15.240999,62.363277,8.091
14,2021-01-01 14:00:00+00:00,14.441,61.12308,7.041
15,2021-01-01 15:00:00+00:00,13.990999,61.86013,6.791
16,2021-01-01 16:00:00+00:00,13.191,65.61268,6.8910003
17,2021-01-01 17:00:00+00:00,12.240999,71.03046,7.1410003
18,2021-01-01 18:00:00+00:00,11.341,76.93667,7.441
19,2021-01-01 19:00:00+00:00,10.740999,81.438354,7.691
20,2021-01-01 20:00:00+00:00,10.091,86.50537,7.941
21,2021-01-01 21:00:00+00:00,9.691,89.76401,8.091
22,2021-01-01 22:00:00+00:00,9.391,91.59047,8.091
23,2021-01-01 23:00:00+00:00,9.141,92.19957,7.941
24,2021-01-02 00:00:00+00:00,8.040999,96.32391,7.491
25,2021-01-02 01:00:00+00:00,7.1410003,97.629845,6.791
26,2021-01-02 02:00:00+00:00,9.191,95.383705,8.490999
27,2021-01-02 03:00:00+00:00,12.091,83.00181,9.290999
28,2021-01-02 04:00:00+00:00,15.441,71.1603,10.240999
29,2021-01-02 05:00:00+00:00,18.191,61.179813,10.591
30,2021-01-02 06:00:00+00:00,20.041,49.471603,9.141
31,2021-01-02 07:00:00+00:00,21.291,40.81775,7.441
32,2021-01-02 08:00:00+00:00,21.841,38.79853,7.191
