,date,temperature_2m,relative_humidity_2m,dew_point_2m
0,2021-01-01 00:00:00+00:00,21.4995,84.095,18.6995
1,2021-01-01 01:00:00+00:00,20.9495,86.980446,18.6995
2,2021-01-01 02:00:00+00:00,21.2995,86.20212,18.8995
3,2021-01-01 03:00:00+00:00,23.3495,74.21598,18.4995
4,2021-01-01 04:00:00+00:00,26.1995,62.796284,18.5495
5,2021-01-01 05:00:00+00:00,29.0495,52.003353,18.1995
6,2021-01-01 06:00:00+00:00,31.0495,46.06955,18.0995
7,2021-01-01 07:00:00+00:00,31.7995,44.007637,18.0495
8,2021-01-01 08:00:00+00:00,31.2495,46.997955,18.5995
9,2021-01-01 09:00:00+00:00,30.2995,50.87508,18.9995
10,2021-01-01 10:00:00+00:00,29.0495,59.08506,20.2495
11,2021-01-01 11:00:00+00:00,27.8995,64.74653,20.6495
12,2021-01-01 12:00:00+00:00,27.0495,71.0402,21.3495
13,2021-01-01 13:00:00+00:00,26.0995,76.05634,21.5495
14,2021-01-01 14:00:00+00:00,25.4995,78.3287,21.4495
15,2021-01-01 15:00:00+00:00,25.0495,78.50472,21.0495
16,2021-01-01 16:00:00+00:00,24.8495,77.27742,20.5995
17,2021-01-01 17:00:00+00:00,24.6995,75.60233,20.0995
18,2021-01-01 18:00:00+00:00,24.2495,77.18722,19.9995
19,2021-01-01 19:00:00+00:00,23.9995,78.84043,20.0995
20,2021-01-01 20:00:00+00:00,23.3995,82.502045,20.2495
21,2021-01-01 21:00:00+00:00,22.8495,86.08567,20.3995
22,2021-01-01 22:00:00+00:00,22.9995,85.04434,20.3495
23,2021-01-01 23:00:00+00:00,23.0495,84.2653,20.2495
24,2021-01-02 00:00:00+00:00,22.8495,89.32598,20.9995
25,2021-01-02 01:00:00+00:00,22.7495,90.97938,21.1995
26,2021-01-02 02:00:00+00:00,22.9995,91.27457,21.4995
27,2021-01-02 03:00:00+00:00,24.4995,83.140884,21.4495
28,2021-01-02 04:00:00+00:00,26.2995,70.4676,20.4995
29,2021-01-02 05:00:00+00:00,27.7995,63.341923,20.1995
30,2021-01-02 06:00:00+00:00,28.5495,61.76861,20.4995
31,2021-01-02 07:00:00+00:00,28.8995,62.419334,20.9995
32,2021-01-02 08:00:00+00:00,29.0495,61.50047,20.8995
33,2021-01-02 09:00:00+00:00,28.6495,62.172688,20.6995
34,2021-01-02 10:00:00+00:00,27.7495,66.32884,20.8995
35,2021-01-02 11:00:00+00:00,26.8495,71.44075,21.2495
36,2021-01-02 12:00:00+00:00,25.6495,72.33317,20.2995
37,2021-01-02 13:00:00+00:00,24.4495,76.97902,20.1495
38,2021-01-02 14:00:00+00:00,24.1495,77.65156,19.9995
39,2021-01-02 15:00:00+00:00,24.0495,76.20539,19.5995
40,2021-01-02 16:00:00+00:00,23.8495,74.53171,19.0495
41,2021-01-02 17:00:00+00:00,23.5495,73.09675,18.4495
42,2021-01-02 18:00:00+00:00,23.4495,70.37537,17.7495
43,2021-01-02 19:00:00+00:00,23.4995,67.342155,17.0995
44,2021-01-02 20:00:00+00:00,23.3495,66.67461,16.7995
45,2021-01-02 21:00:00+00:00,23.0495,68.76073,16.9995
46,2021-01-02 22:00:00+00:00,22.8495,70.93217,17.2995
47,2021-01-02 23:00:00+00:00,22.6495,72.93995,17.5495
48,2021-01-03 00:00:00+00:00,22.4995,76.68023,18.1995
49,2021-01-03 01:00:00+00:00,21.9495,79.29112,18.1995
50,2021-01-03 02:00:00+00:00,21.5995,83.06086,18.5995
51,2021-01-03 03:00:00+00:00,23.4495,71.49118,17.9995
52,2021-01-03 04:00:00+00:00,25.1495,66.00007,18.3495
53,2021-01-03 05:00:00+00:00,26.8995,62.95,19.2495
54,2021-01-03 06:00:00+00:00,28.0995,58.316257,19.1495
55,2021-01-03 07:00:00+00:00,28.4495,59.128548,19.6995
